,unique_ID,Comp,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Url,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG+_per__minus__Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,player_market_value_euro
0,Fernando Pacheco_2019_Alaves,La Liga,ESP,GK,26.0,1992.0,35.0,35.0,3150.0,35.0,46.0,1.31,154.0,110.0,74.0,11.0,11.0,13.0,8.0,22.9,6.0,6.0,0.0,0.0,0.0,https://fbref.com/en/players/97852360/Fernando-Pacheco,46.0,6.0,3.0,1.0,2.0,50.0,0.3,6.0,0.17,292.0,714.0,40.9,749.0,87.0,61.0,42.8,294.0,87.4,56.0,557.0,19.0,3.4,40.0,1.14,15.6,
1,Antonio Sivera_2019_Alaves,La Liga,ESP,GK,21.0,1996.0,3.0,3.0,270.0,3.0,4.0,1.33,13.0,9.0,69.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/9970da54/Antonio-Sivera,4.0,0.0,0.0,1.0,0.0,2.5,0.2,-1.5,-0.49,33.0,80.0,41.3,66.0,11.0,74.2,48.9,33.0,93.9,62.8,75.0,2.0,2.7,2.0,0.67,8.6,
2,Regis Gurtner_2019_Amiens,Ligue 1,FRA,GK,31.0,1986.0,38.0,38.0,3420.0,38.0,52.0,1.37,166.0,114.0,72.3,9.0,11.0,18.0,11.0,28.9,9.0,6.0,2.0,1.0,25.0,https://fbref.com/en/players/bc270726/Regis-Gurtner,52.0,6.0,3.0,7.0,2.0,47.9,0.25,-2.1,-0.06,296.0,775.0,38.2,826.0,82.0,59.2,42.7,329.0,86.9,56.7,571.0,14.0,2.5,18.0,0.47,13.7,
3,Zacharie Boucher_2019_Angers,Ligue 1,FRA,GK,26.0,1992.0,2.0,2.0,180.0,2.0,1.0,0.5,4.0,3.0,75.0,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/249cdcff/Zacharie-Boucher,1.0,0.0,0.0,0.0,0.0,1.0,0.26,0.0,0.02,10.0,32.0,31.3,36.0,8.0,47.2,39.4,17.0,88.2,60.5,37.0,4.0,10.8,2.0,1.0,17.8,
4,Ludovic Butelle_2019_Angers,Ligue 1,FRA,GK,35.0,1983.0,36.0,36.0,3239.0,36.0,48.0,1.33,161.0,113.0,72.0,9.0,15.0,12.0,11.0,30.6,5.0,3.0,2.0,0.0,40.0,https://fbref.com/en/players/26975a92/Ludovic-Butelle,48.0,3.0,0.0,3.0,2.0,47.2,0.27,1.2,0.03,240.0,576.0,41.7,707.0,183.0,49.8,38.3,290.0,77.2,50.7,524.0,17.0,3.2,33.0,0.92,13.9,
5,Petr Cech_2019_Arsenal,Premier League,CZE,GK,36.0,1982.0,7.0,7.0,585.0,6.5,9.0,1.38,37.0,28.0,75.7,5.0,0.0,2.0,1.0,14.3,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/71672fa0/Petr-Cech,9.0,0.0,0.0,0.0,0.0,9.2,0.26,0.2,0.03,32.0,93.0,34.4,217.0,46.0,28.6,31.7,53.0,58.5,46.5,104.0,6.0,5.8,8.0,1.23,12.9,
6,Bernd Leno_2019_Arsenal,Premier League,GER,GK,26.0,1992.0,32.0,31.0,2835.0,31.5,42.0,1.33,145.0,104.0,75.9,16.0,7.0,8.0,7.0,22.6,7.0,7.0,0.0,0.0,0.0,https://fbref.com/en/players/2628fd2b/Bernd-Leno,42.0,7.0,1.0,3.0,1.0,44.3,0.27,3.3,0.1,127.0,385.0,33.0,876.0,181.0,29.3,31.5,227.0,56.4,45.3,385.0,10.0,2.6,40.0,1.27,15.3,28000000.0
7,Etrit Berisha_2019_Atalanta,Serie A,ALB,GK,29.0,1989.0,18.0,18.0,1620.0,18.0,25.0,1.39,63.0,41.0,61.9,9.0,3.0,6.0,5.0,27.8,2.0,1.0,0.0,1.0,0.0,https://fbref.com/en/players/ee833569/Etrit-Berisha,25.0,1.0,1.0,5.0,3.0,18.2,0.27,-3.8,-0.21,91.0,199.0,45.7,345.0,90.0,26.4,30.3,135.0,80.0,51.7,208.0,8.0,3.8,19.0,1.06,14.5,
8,Pierluigi Gollini_2019_Atalanta,Serie A,ITA,GK,23.0,1995.0,20.0,20.0,1800.0,20.0,21.0,1.05,70.0,49.0,74.3,11.0,6.0,3.0,4.0,20.0,3.0,3.0,0.0,0.0,0.0,https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini,21.0,3.0,2.0,1.0,0.0,21.2,0.27,0.2,0.01,95.0,257.0,37.0,454.0,83.0,34.4,33.2,137.0,73.7,53.8,240.0,4.0,1.7,30.0,1.5,17.8,13000000.0
9,Francesco Rossi_2019_Atalanta,Serie A,ITA,GK,27.0,1991.0,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/7b5f516f/Francesco-Rossi,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,100.0,1.0,0.0,100.0,50.0,0.0,,,0.0,0.0,,0.0,0.0,,
