"","unique_ID","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
"1","Fernando Pacheco_2019",2019,"Alavés","La Liga","Fernando Pacheco","ESP","GK","26",1992,35,35,3150,35,46,1.31,154,110,74,11,11,13,8,22.9,6,6,0,0,0,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
"2","Antonio Sivera_2019",2019,"Alavés","La Liga","Antonio Sivera","ESP","GK","21",1996,3,3,270,3,4,1.33,13,9,69.2,2,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
"3","Régis Gurtner_2019",2019,"Amiens","Ligue 1","Régis Gurtner","FRA","GK","31",1986,38,38,3420,38,52,1.37,166,114,72.3,9,11,18,11,28.9,9,6,2,1,25,"https://fbref.com/en/players/bc270726/Regis-Gurtner"
"4","Zacharie Boucher_2019",2019,"Angers","Ligue 1","Zacharie Boucher","FRA","GK","26",1992,2,2,180,2,1,0.5,4,3,75,1,1,0,1,50,0,0,0,0,NA,"https://fbref.com/en/players/249cdcff/Zacharie-Boucher"
"5","Ludovic Butelle_2019",2019,"Angers","Ligue 1","Ludovic Butelle","FRA","GK","35",1983,36,36,3239,36,48,1.33,161,113,72,9,15,12,11,30.6,5,3,2,0,40,"https://fbref.com/en/players/26975a92/Ludovic-Butelle"
"6","Petr Čech_2019",2019,"Arsenal","Premier League","Petr Čech","CZE","GK","36",1982,7,7,585,6.5,9,1.38,37,28,75.7,5,0,2,1,14.3,0,0,0,0,NA,"https://fbref.com/en/players/71672fa0/Petr-Cech"
"7","Bernd Leno_2019",2019,"Arsenal","Premier League","Bernd Leno","GER","GK","26",1992,32,31,2835,31.5,42,1.33,145,104,75.9,16,7,8,7,22.6,7,7,0,0,0,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
"8","Etrit Berisha_2019",2019,"Atalanta","Serie A","Etrit Berisha","ALB","GK","29",1989,18,18,1620,18,25,1.39,63,41,61.9,9,3,6,5,27.8,2,1,0,1,0,"https://fbref.com/en/players/ee833569/Etrit-Berisha"
"9","Pierluigi Gollini_2019",2019,"Atalanta","Serie A","Pierluigi Gollini","ITA","GK","23",1995,20,20,1800,20,21,1.05,70,49,74.3,11,6,3,4,20,3,3,0,0,0,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
"10","Francesco Rossi_2019",2019,"Atalanta","Serie A","Francesco Rossi","ITA","GK","27",1991,1,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/7b5f516f/Francesco-Rossi"
"11","Iago Herrerín_2019",2019,"Athletic Club","La Liga","Iago Herrerín","ESP","GK","30",1988,31,31,2790,31,32,1.03,87,55,66.7,12,10,9,10,32.3,3,3,0,0,0,"https://fbref.com/en/players/9109185e/Iago-Herrerin"
"12","Unai Simón_2019",2019,"Athletic Club","La Liga","Unai Simón","ESP","GK","21",1997,7,7,630,7,13,1.86,33,20,66.7,1,4,2,0,0,2,2,0,0,0,"https://fbref.com/en/players/5dcf3e90/Unai-Simon"
"13","Antonio Adán_2019",2019,"Atlético Madrid","La Liga","Antonio Adán","ESP","GK","31",1987,2,1,90,1,2,2,7,5,71.4,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/65d62814/Antonio-Adan"
"14","Jan Oblak_2019",2019,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","25",1993,37,37,3330,37,27,0.73,129,104,82.9,22,9,6,20,54.1,5,5,0,0,0,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
"15","Fabian Giefer_2019",2019,"Augsburg","Bundesliga","Fabian Giefer","GER","GK","28",1990,4,4,360,4,7,1.75,19,12,63.2,1,1,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/fbefefdb/Fabian-Giefer"
"16","Gregor Kobel_2019",2019,"Augsburg","Bundesliga","Gregor Kobel","SUI","GK","20",1997,16,16,1390,15.4,42,2.72,93,51,55.9,4,2,10,3,18.8,2,1,1,0,50,"https://fbref.com/en/players/cd59b9df/Gregor-Kobel"
"17","Andreas Luthe_2019",2019,"Augsburg","Bundesliga","Andreas Luthe","GER","GK","31",1987,15,14,1310,14.6,22,1.51,78,57,71.8,3,5,6,2,14.3,0,0,0,0,NA,"https://fbref.com/en/players/7fe12375/Andreas-Luthe"
"18","Jasper Cillessen_2019",2019,"Barcelona","La Liga","Jasper Cillessen","NED","GK","29",1989,3,3,270,3,4,1.33,14,10,78.6,1,1,1,1,33.3,1,1,0,0,0,"https://fbref.com/en/players/04ac8285/Jasper-Cillessen"
