"","unique_ID","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
"1","Fernando Pacheco_2019",2019,"Alavés","La Liga","Fernando Pacheco","ESP","GK","26",1992,35,46,6,3,1,2,50,0.3,6,0.17,292,714,40.9,749,87,61,42.8,294,87.4,56,557,19,3.4,40,1.14,15.6,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
"2","Antonio Sivera_2019",2019,"Alavés","La Liga","Antonio Sivera","ESP","GK","21",1996,3,4,0,0,1,0,2.5,0.2,-1.5,-0.49,33,80,41.3,66,11,74.2,48.9,33,93.9,62.8,75,2,2.7,2,0.67,8.6,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
"3","Régis Gurtner_2019",2019,"Amiens","Ligue 1","Régis Gurtner","FRA","GK","31",1986,38,52,6,3,7,2,47.9,0.25,-2.1,-0.06,296,775,38.2,826,82,59.2,42.7,329,86.9,56.7,571,14,2.5,18,0.47,13.7,"https://fbref.com/en/players/bc270726/Regis-Gurtner"
"4","Zacharie Boucher_2019",2019,"Angers","Ligue 1","Zacharie Boucher","FRA","GK","26",1992,2,1,0,0,0,0,1,0.26,0,0.02,10,32,31.3,36,8,47.2,39.4,17,88.2,60.5,37,4,10.8,2,1,17.8,"https://fbref.com/en/players/249cdcff/Zacharie-Boucher"
"5","Ludovic Butelle_2019",2019,"Angers","Ligue 1","Ludovic Butelle","FRA","GK","35",1983,36,48,3,0,3,2,47.2,0.27,1.2,0.03,240,576,41.7,707,183,49.8,38.3,290,77.2,50.7,524,17,3.2,33,0.92,13.9,"https://fbref.com/en/players/26975a92/Ludovic-Butelle"
"6","Petr Čech_2019",2019,"Arsenal","Premier League","Petr Čech","CZE","GK","36",1982,6.5,9,0,0,0,0,9.2,0.26,0.2,0.03,32,93,34.4,217,46,28.6,31.7,53,58.5,46.5,104,6,5.8,8,1.23,12.9,"https://fbref.com/en/players/71672fa0/Petr-Cech"
"7","Bernd Leno_2019",2019,"Arsenal","Premier League","Bernd Leno","GER","GK","26",1992,31.5,42,7,1,3,1,44.3,0.27,3.3,0.1,127,385,33,876,181,29.3,31.5,227,56.4,45.3,385,10,2.6,40,1.27,15.3,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
"8","Etrit Berisha_2019",2019,"Atalanta","Serie A","Etrit Berisha","ALB","GK","29",1989,18,25,1,1,5,3,18.2,0.27,-3.8,-0.21,91,199,45.7,345,90,26.4,30.3,135,80,51.7,208,8,3.8,19,1.06,14.5,"https://fbref.com/en/players/ee833569/Etrit-Berisha"
"9","Pierluigi Gollini_2019",2019,"Atalanta","Serie A","Pierluigi Gollini","ITA","GK","23",1995,20,21,3,2,1,0,21.2,0.27,0.2,0.01,95,257,37,454,83,34.4,33.2,137,73.7,53.8,240,4,1.7,30,1.5,17.8,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
"10","Francesco Rossi_2019",2019,"Atalanta","Serie A","Francesco Rossi","ITA","GK","27",1991,0,0,0,0,0,0,0,NA,0,0,1,1,100,1,0,100,50,0,NA,NA,0,0,NA,0,0,NA,"https://fbref.com/en/players/7b5f516f/Francesco-Rossi"
"11","Iago Herrerín_2019",2019,"Athletic Club","La Liga","Iago Herrerín","ESP","GK","30",1988,31,32,3,0,4,0,29.5,0.31,-2.5,-0.08,316,723,43.7,767,89,68.7,46.9,209,93.8,64.3,419,18,4.3,34,1.1,17.3,"https://fbref.com/en/players/9109185e/Iago-Herrerin"
"12","Unai Simón_2019",2019,"Athletic Club","La Liga","Unai Simón","ESP","GK","21",1997,7,13,2,0,2,0,13.3,0.34,0.3,0.04,42,102,41.2,134,34,43.3,36.7,55,80,56.8,89,4,4.5,2,0.29,11.1,"https://fbref.com/en/players/5dcf3e90/Unai-Simon"
"13","Antonio Adán_2019",2019,"Atlético Madrid","La Liga","Antonio Adán","ESP","GK","31",1987,1,2,0,0,1,0,3,0.43,1,1.03,5,16,31.3,13,2,53.8,33.3,11,81.8,52.5,18,0,0,0,0,NA,"https://fbref.com/en/players/65d62814/Antonio-Adan"
"14","Jan Oblak_2019",2019,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","25",1993,37,27,5,0,3,2,39.3,0.27,14.3,0.39,215,580,37.1,570,102,56.7,41,291,88.3,57.4,537,22,4.1,16,0.43,12,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
"15","Fabian Giefer_2019",2019,"Augsburg","Bundesliga","Fabian Giefer","GER","GK","28",1990,4,7,0,0,1,0,5.5,0.29,-1.5,-0.38,28,61,45.9,88,16,48.9,39.3,29,62.1,47.7,54,3,5.6,1,0.25,10.1,"https://fbref.com/en/players/fbefefdb/Fabian-Giefer"
"16","Gregor Kobel_2019",2019,"Augsburg","Bundesliga","Gregor Kobel","SUI","GK","20",1997,15.4,42,1,1,5,1,34.6,0.36,-6.4,-0.42,74,221,33.5,407,71,38.1,33.4,119,55.5,45.7,216,10,4.6,16,1.04,14.6,"https://fbref.com/en/players/cd59b9df/Gregor-Kobel"
"17","Andreas Luthe_2019",2019,"Augsburg","Bundesliga","Andreas Luthe","GER","GK","31",1987,14.6,22,0,1,2,1,20.7,0.27,-0.3,-0.02,76,209,36.4,353,56,42.8,36.9,128,45.3,38.1,200,3,1.5,9,0.62,13.7,"https://fbref.com/en/players/7fe12375/Andreas-Luthe"
"18","Jasper Cillessen_2019",2019,"Barcelona","La Liga","Jasper Cillessen","NED","GK","29",1989,3,4,1,0,0,0,2.9,0.14,-1.1,-0.36,11,21,52.4,87,14,14.9,26,24,33.3,33.1,45,0,0,6,2,15.8,"https://fbref.com/en/players/04ac8285/Jasper-Cillessen"
"19","Marc-André ter Stegen_2019",2019,"Barcelona","La Liga","Marc-André ter Stegen","GER","GK","26",1992,35,32,1,0,2,1,37.5,0.32,6.5,0.18,114,223,51.1,883,197,15.7,27.3,200,42,38.4,395,8,2,32,0.91,16.2,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen"
"20","Manuel Neuer_2019",2019,"Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","32",1986,25.6,23,3,0,2,1,19.8,0.31,-2.2,-0.08,92,210,43.8,794,114,23.8,28.8,128,16.4,31.3,188,10,5.3,44,1.72,20.6,"https://fbref.com/en/players/8778c910/Manuel-Neuer"
"21","Sven Ulreich_2019",2019,"Bayern Munich","Bundesliga","Sven Ulreich","GER","GK","29",1988,8.4,9,2,1,1,0,9.9,0.35,0.9,0.11,18,51,35.3,218,56,20.6,26.6,37,16.2,29.5,61,0,0,8,0.95,17.5,"https://fbref.com/en/players/7d3e7da6/Sven-Ulreich"
"22","Pau López_2019",2019,"Betis","La Liga","Pau López","ESP","GK","23",1994,33,47,3,2,7,0,45.6,0.32,-1.4,-0.04,106,281,37.7,995,173,19,26.4,249,36.9,36.7,406,23,5.7,46,1.39,15.9,"https://fbref.com/en/players/20b9f052/Pau-Lopez"
