,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,123,1426,Adam Lallana_2019_Liverpool,1.5262901767932764,84.27,2019,Liverpool,Premier League,Adam Lallana,ENG,"MF,FW",30,1988,13,5,468,5.2,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.7,18.0,30.0,39.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.14,0.05,0.14,https://fbref.com/en/players/99813635/Adam-Lallana,5.2,0,5,1,20.0,0.96,0.19,0.0,0.0,17.2,0.0,0,0,0.05,-0.3,-0.3,251.0,312.0,80.4,2855.0,786.0,171.0,192.0,89.1,44.0,57.0,77.2,7.0,14.0,50.0,0.5,0.5,-0.5,9.0,14.0,7.0,0.0,30.0,312.0,302.0,9.0,1.0,1.0,2.0,8,1.0,4.0,2.0,0.0,0.0,251.0,1.0,10.0,24.0,4.63,18.0,3.0,2.0,0.0,1.0,0.0,3.0,0.58,2.0,0.0,0.0,0.0,1.0,0.0,16.0,9,6.0,7.0,3.0,5.0,12.0,41.7,7.0,10.0,1.0,9.0,5,21.0,4.0,0.0,384.0,4.0,39.0,182.0,163.0,26.0,384.0,11.0,8.0,72.7,3.0,27.3,243.0,1061.0,519.0,18.0,9.0,5.0,10.0,10.0,282.0,39.0,13,468,36,13.7,5.2,5,70.0,0,8,15.0,11,2.54,14,3,11,2.12,0.41,10.3,2.2,8.1,1.56,0.43,0,4,11,0,8,9,0.0,0.0,0,25.0,8.0,13.0,38.1,-,Attacking Midfield,5/10/1988,,England,Brighton & Hove Albion,1.72,both,7/1/2014,Southampton FC,6/30/2024,9500000.0,https://www.transfermarkt.com/adam-lallana/profil/spieler/43530
1,125,5844,Adam Lallana_2021_Brighton,-0.554852053428979,41.57,2021,Brighton,Premier League,Adam Lallana,ENG,"MF,FW",32,1988,30,16,1596,17.7,1,1,2,1,0,0,0,0,1.6,1.6,2.6,4.2,33.0,109.0,77.0,0.06,0.06,0.11,0.06,0.11,0.09,0.14,0.23,0.09,0.23,https://fbref.com/en/players/99813635/Adam-Lallana,17.7,1,22,5,22.7,1.24,0.28,0.05,0.2,17.3,0.0,0,0,0.07,-0.6,-0.6,792.0,944.0,83.9,11000.0,2987.0,450.0,511.0,88.1,240.0,281.0,85.4,35.0,55.0,63.6,2.6,2.6,-1.6,25.0,61.0,26.0,2.0,109.0,944.0,918.0,22.0,11.0,2.0,2.0,12,5.0,3.0,1.0,0.0,0.0,792.0,4.0,14.0,56.0,3.16,50.0,0.0,2.0,1.0,3.0,0.0,4.0,0.23,4.0,0.0,0.0,0.0,0.0,0.0,28.0,13,11.0,13.0,4.0,8.0,39.0,20.5,31.0,18.0,3.0,15.0,15,43.0,13.0,0.0,1104.0,26.0,207.0,556.0,349.0,61.0,1104.0,28.0,18.0,64.3,10.0,35.7,586.0,2726.0,1324.0,33.0,15.0,13.0,24.0,15.0,808.0,77.0,30,1596,53,46.7,17.7,16,77.0,8,14,26.0,1,1.13,20,18,2,0.11,0.51,23.2,14.0,9.1,0.52,0.2,0,18,20,3,12,13,0.0,1.0,0,117.0,10.0,26.0,27.8,14,Attacking Midfield,5/10/1988,,England,Brighton & Hove Albion,1.72,both,7/27/2020,Liverpool FC,6/30/2024,2000000.0,https://www.transfermarkt.com/adam-lallana/profil/spieler/43530
2,126,8733,Adam Lallana_2022_Brighton,-0.8777957327205534,29.21,2022,Brighton,Premier League,Adam Lallana,ENG,MF,33,1988,24,18,1561,17.3,0,1,1,0,0,0,4,0,1.1,1.1,0.9,2.0,17.0,76.0,47.0,0.0,0.06,0.06,0.0,0.06,0.06,0.05,0.11,0.06,0.11,https://fbref.com/en/players/99813635/Adam-Lallana,17.3,0,19,4,21.1,1.1,0.23,0.0,0.0,19.8,0.0,0,0,0.06,-1.1,-1.1,836.0,962.0,86.9,11641.0,2793.0,502.0,552.0,90.9,265.0,288.0,92.0,28.0,53.0,52.8,0.9,1.0,0.1,8.0,58.0,17.0,1.0,76.0,962.0,949.0,12.0,9.0,1.0,2.0,3,1.0,0.0,0.0,0.0,0.0,836.0,1.0,16.0,28.0,1.62,24.0,0.0,0.0,2.0,2.0,0.0,4.0,0.23,4.0,0.0,0.0,0.0,0.0,0.0,34.0,17,14.0,14.0,6.0,12.0,41.0,29.3,29.0,16.0,6.0,10.0,16,50.0,13.0,1.0,1123.0,40.0,243.0,632.0,255.0,35.0,1123.0,23.0,14.0,60.9,9.0,39.1,618.0,2312.0,1084.0,17.0,21.0,2.0,24.0,15.0,793.0,47.0,24,1561,65,45.6,17.3,18,81.0,10,6,18.0,10,1.5,20,20,0,0.0,0.1,20.3,18.6,1.6,0.1,0.02,0,11,17,0,3,17,0.0,0.0,0,126.0,15.0,8.0,65.2,14,Attacking Midfield,5/10/1988,,England,Brighton & Hove Albion,1.72,both,7/27/2020,Liverpool FC,6/30/2024,1200000.0,https://www.transfermarkt.com/adam-lallana/profil/spieler/43530
3,127,11665,Adam Lallana_2023_Brighton,-0.5753286380147845,40.45,2023,Brighton,Premier League,Adam Lallana,ENG,"MF,FW",34,1988,16,12,722,8.0,2,1,3,2,0,0,0,0,0.9,0.9,1.0,1.9,10.0,33.0,43.0,0.25,0.12,0.37,0.25,0.37,0.11,0.12,0.23,0.11,0.23,https://fbref.com/en/players/99813635/Adam-Lallana,8.0,2,8,5,62.5,1.0,0.62,0.25,0.4,13.3,0.0,0,0,0.11,1.1,1.1,262.0,317.0,82.6,3033.0,656.0,173.0,194.0,89.2,57.0,74.0,77.0,6.0,9.0,66.7,1.0,1.2,0.0,14.0,23.0,9.0,1.0,33.0,317.0,304.0,11.0,2.0,0.0,0.0,3,2.0,1.0,0.0,0.0,0.0,262.0,2.0,5.0,22.0,2.75,22.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,2.0,0.0,0.0,0.0,0.0,0.0,9.0,4,6.0,2.0,1.0,0.0,7.0,0.0,7.0,6.0,0.0,6.0,2,11.0,1.0,0.0,373.0,6.0,43.0,180.0,151.0,33.0,373.0,6.0,3.0,50.0,3.0,50.0,206.0,839.0,420.0,10.0,4.0,4.0,15.0,11.0,295.0,43.0,16,722,45,21.1,8.0,12,55.0,0,4,15.0,0,1.56,16,10,6,0.75,0.31,12.0,10.7,1.3,0.16,-0.56,0,2,7,0,3,4,0.0,0.0,0,25.0,8.0,9.0,47.1,14,Attacking Midfield,5/10/1988,,England,,1.72,both,7/27/2020,Liverpool FC,6/30/2024,1200000.0,https://www.transfermarkt.com/adam-lallana/profil/spieler/43530
4,527,3477,Alex Iwobi_2020_Everton,-1.7783136696326185,12.36,2020,Everton,Premier League,Alex Iwobi,NGA,"MF,FW",23,1996,25,19,1596,17.7,1,0,1,1,0,0,0,0,2.5,2.5,1.9,4.4,60.0,106.0,84.0,0.06,0.0,0.06,0.06,0.06,0.14,0.11,0.25,0.14,0.25,https://fbref.com/en/players/6ca5ec4b/Alex-Iwobi,17.7,1,23,10,43.5,1.3,0.56,0.04,0.1,17.3,0.0,0,0,0.11,-1.5,-1.5,457.0,610.0,74.9,7868.0,2410.0,217.0,258.0,84.1,175.0,224.0,78.1,46.0,75.0,61.3,1.9,2.6,-1.9,24.0,50.0,28.0,9.0,106.0,610.0,597.0,10.0,1.0,9.0,9.0,48,2.0,1.0,0.0,0.0,0.0,457.0,3.0,19.0,54.0,3.05,50.0,0.0,1.0,3.0,0.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,25.0,17,8.0,15.0,2.0,12.0,33.0,36.4,21.0,18.0,2.0,16.0,14,39.0,10.0,1.0,794.0,16.0,116.0,351.0,341.0,47.0,794.0,52.0,32.0,61.5,20.0,38.5,534.0,3317.0,1800.0,60.0,55.0,12.0,35.0,17.0,542.0,84.0,25,1596,64,46.7,17.7,19,72.0,6,6,37.0,5,1.08,23,30,-7,-0.39,-0.15,22.4,24.8,-2.4,-0.14,-0.38,0,12,4,0,48,17,0.0,0.0,0,98.0,8.0,12.0,40.0,17,Attacking Midfield,5/3/1996,,Nigeria,Everton FC,1.83,right,8/8/2019,Arsenal FC,6/30/2024,22000000.0,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631
5,528,6222,Alex Iwobi_2021_Everton,-0.6679711452904032,35.96,2021,Everton,Premier League,Alex Iwobi,NGA,"FW,MF",24,1996,30,17,1542,17.1,1,2,3,1,0,0,0,0,0.9,0.9,1.9,2.8,72.0,65.0,99.0,0.06,0.12,0.18,0.06,0.18,0.05,0.11,0.16,0.05,0.16,https://fbref.com/en/players/6ca5ec4b/Alex-Iwobi,17.1,1,15,3,20.0,0.88,0.18,0.07,0.33,18.7,0.0,0,0,0.06,0.1,0.1,528.0,698.0,75.6,8511.0,2306.0,270.0,308.0,87.7,206.0,258.0,79.8,36.0,78.0,46.2,1.9,1.8,0.1,16.0,35.0,23.0,7.0,65.0,698.0,656.0,37.0,1.0,2.0,8.0,69,29.0,0.0,0.0,0.0,0.0,528.0,5.0,20.0,45.0,2.63,38.0,0.0,2.0,3.0,2.0,0.0,5.0,0.29,4.0,0.0,0.0,1.0,0.0,0.0,27.0,10,10.0,14.0,3.0,13.0,25.0,52.0,12.0,20.0,1.0,19.0,16,43.0,14.0,0.0,883.0,23.0,178.0,388.0,337.0,42.0,883.0,71.0,45.0,63.4,26.0,36.6,576.0,4340.0,2345.0,72.0,49.0,13.0,41.0,26.0,617.0,99.0,30,1542,51,45.1,17.1,17,75.0,5,13,20.0,5,1.53,24,21,3,0.18,0.37,22.3,23.9,-1.6,-0.09,0.05,0,13,12,0,69,10,0.0,0.0,0,93.0,3.0,8.0,27.3,17,Attacking Midfield,5/3/1996,,Nigeria,Everton FC,1.83,right,8/8/2019,Arsenal FC,6/30/2024,18000000.0,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631
6,529,9110,Alex Iwobi_2022_Everton,-1.2783812653051545,23.599999999999998,2022,Everton,Premier League,Alex Iwobi,NGA,"MF,DF",25,1996,28,22,2035,22.6,2,2,4,2,0,0,1,0,2.3,2.3,2.6,4.9,44.0,103.0,104.0,0.09,0.09,0.18,0.09,0.18,0.1,0.12,0.22,0.1,0.22,https://fbref.com/en/players/6ca5ec4b/Alex-Iwobi,22.6,2,24,6,25.0,1.06,0.27,0.08,0.33,16.4,0.0,0,0,0.1,-0.3,-0.3,599.0,782.0,76.6,9080.0,3232.0,324.0,366.0,88.5,192.0,248.0,77.4,48.0,89.0,53.9,2.6,3.0,-0.6,36.0,61.0,40.0,6.0,103.0,782.0,721.0,57.0,2.0,6.0,6.0,32,50.0,1.0,0.0,1.0,0.0,599.0,4.0,25.0,66.0,2.92,59.0,3.0,2.0,2.0,0.0,0.0,7.0,0.31,6.0,0.0,1.0,0.0,0.0,0.0,40.0,19,23.0,12.0,5.0,21.0,52.0,40.4,31.0,39.0,3.0,36.0,20,60.0,25.0,2.0,1052.0,40.0,234.0,396.0,436.0,61.0,1052.0,57.0,32.0,56.1,25.0,43.9,581.0,3314.0,1660.0,44.0,37.0,19.0,44.0,27.0,638.0,104.0,28,2035,73,59.5,22.6,22,86.0,15,6,23.0,7,1.32,27,38,-11,-0.49,0.29,25.5,35.1,-9.6,-0.42,-0.12,0,16,6,3,32,19,0.0,1.0,0,130.0,9.0,21.0,30.0,17,Attacking Midfield,5/3/1996,,Nigeria,Everton FC,1.83,right,8/8/2019,Arsenal FC,6/30/2024,28000000.0,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631
7,530,12034,Alex Iwobi_2023_Everton,-1.634686064086406,13.48,2023,Everton,Premier League,Alex Iwobi,NGA,"MF,FW",26,1996,38,38,3378,37.5,2,7,9,2,0,0,2,0,2.5,2.5,6.1,8.5,90.0,194.0,145.0,0.05,0.19,0.24,0.05,0.24,0.07,0.16,0.23,0.07,0.23,https://fbref.com/en/players/6ca5ec4b/Alex-Iwobi,37.5,2,42,15,35.7,1.12,0.4,0.05,0.13,21.0,0.0,0,0,0.06,-0.5,-0.5,1154.0,1536.0,75.1,20102.0,6570.0,547.0,648.0,84.4,435.0,555.0,78.4,132.0,220.0,60.0,6.1,4.3,0.9,64.0,134.0,63.0,17.0,194.0,1536.0,1469.0,58.0,3.0,14.0,13.0,104,31.0,17.0,14.0,1.0,0.0,1154.0,9.0,46.0,120.0,3.2,91.0,9.0,8.0,7.0,3.0,2.0,9.0,0.24,8.0,0.0,0.0,0.0,1.0,0.0,69.0,37,37.0,28.0,4.0,33.0,65.0,50.8,32.0,41.0,2.0,39.0,25,94.0,29.0,0.0,1912.0,52.0,359.0,892.0,709.0,59.0,1912.0,110.0,55.0,50.0,50.0,45.5,1169.0,6913.0,3434.0,90.0,79.0,15.0,68.0,42.0,1285.0,145.0,38,3378,89,98.8,37.5,38,89.0,34,0,,0,0.95,34,56,-22,-0.59,1.56,44.8,64.7,-19.9,-0.53,0.92,0,19,15,4,104,37,1.0,0.0,0,259.0,10.0,28.0,26.3,17,Attacking Midfield,5/3/1996,,Nigeria,,1.83,right,8/8/2019,Arsenal FC,6/30/2024,28000000.0,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631
8,644,5846,Alexis Mac Allister_2021_Brighton,-1.3570714240929351,22.470000000000002,2021,Brighton,Premier League,Alexis Mac Allister,ARG,"MF,FW",21,1998,21,13,1115,12.4,1,1,2,1,0,0,1,0,1.3,1.3,1.5,2.7,15.0,48.0,55.0,0.08,0.08,0.16,0.08,0.16,0.1,0.12,0.22,0.1,0.22,https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister,12.4,1,24,3,12.5,1.94,0.24,0.04,0.33,22.5,1.0,0,0,0.05,-0.3,-0.3,320.0,410.0,78.0,4922.0,1248.0,168.0,196.0,85.7,109.0,129.0,84.5,20.0,36.0,55.6,1.5,1.7,-0.5,15.0,26.0,16.0,0.0,48.0,410.0,396.0,11.0,6.0,3.0,6.0,11,0.0,1.0,0.0,0.0,0.0,320.0,3.0,11.0,34.0,2.74,29.0,0.0,2.0,2.0,1.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,26.0,12,6.0,16.0,4.0,11.0,38.0,28.9,27.0,25.0,4.0,21.0,9,35.0,4.0,0.0,563.0,8.0,95.0,258.0,220.0,34.0,563.0,26.0,16.0,61.5,10.0,38.5,303.0,1505.0,680.0,15.0,12.0,0.0,28.0,16.0,368.0,55.0,21,1115,53,32.6,12.4,13,75.0,5,8,17.0,9,1.0,9,14,-5,-0.4,-0.36,14.7,11.1,3.6,0.29,-0.18,0,19,15,0,11,12,0.0,0.0,0,67.0,7.0,19.0,26.9,-,Attacking Midfield,12/24/1998,,Argentina,Liverpool FC,1.74,right,1/24/2019,AA Argentinos Juniors,6/30/2028,16000000.0,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033
9,645,8736,Alexis Mac Allister_2022_Brighton,-0.9911898303836847,26.97,2022,Brighton,Premier League,Alexis Mac Allister,ARG,"MF,FW",22,1998,33,22,2123,23.6,5,2,7,3,2,3,4,0,6.3,4.0,1.9,5.9,30.0,137.0,66.0,0.21,0.08,0.3,0.13,0.21,0.27,0.08,0.35,0.17,0.25,https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister,23.6,5,57,9,15.8,2.42,0.38,0.05,0.33,22.0,4.0,2,3,0.07,-1.3,-1.0,858.0,1066.0,80.5,14410.0,4157.0,411.0,473.0,86.9,328.0,370.0,88.6,78.0,133.0,58.6,1.9,2.6,0.1,31.0,104.0,25.0,2.0,137.0,1066.0,986.0,78.0,22.0,4.0,9.0,66,3.0,46.0,26.0,15.0,0.0,858.0,2.0,23.0,83.0,3.52,57.0,10.0,3.0,3.0,7.0,3.0,5.0,0.21,2.0,2.0,0.0,1.0,0.0,0.0,65.0,40,23.0,30.0,12.0,29.0,68.0,42.6,39.0,37.0,7.0,30.0,13,78.0,22.0,0.0,1368.0,41.0,222.0,652.0,510.0,49.0,1365.0,42.0,21.0,50.0,21.0,50.0,719.0,3238.0,1502.0,30.0,38.0,2.0,43.0,23.0,854.0,66.0,33,2123,64,62.1,23.6,22,86.0,18,11,21.0,5,1.33,31,29,2,0.08,0.36,30.4,24.1,6.4,0.27,0.48,0,30,39,4,66,40,0.0,0.0,0,149.0,24.0,23.0,51.1,-,Attacking Midfield,12/24/1998,,Argentina,Liverpool FC,1.74,right,1/24/2019,AA Argentinos Juniors,6/30/2028,65000000.0,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033
