,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,310,8983,Ajdin Hrustic_2022_Eint Frankfurt,1.031920264386853,74.07000000000001,2022,Eint Frankfurt,Bundesliga,Ajdin Hrustic,AUS,MF,25,1996,23,9,964,10.7,2,0,2,2,0,0,2,0,1.2,1.2,0.6,1.9,12.0,59.0,42.0,0.19,0.0,0.19,0.19,0.19,0.12,0.06,0.18,0.12,0.18,https://fbref.com/en/players/1f2d714c/Ajdin-Hrustic,10.7,2,29,8,27.6,2.71,0.75,0.07,0.25,24.6,1.0,0,0,0.04,0.8,0.8,482.0,606.0,79.5,8621.0,2932.0,228.0,261.0,87.4,196.0,225.0,87.1,51.0,88.0,58.0,0.6,1.3,-0.6,10.0,51.0,8.0,2.0,59.0,606.0,574.0,31.0,14.0,1.0,7.0,26,1.0,11.0,4.0,6.0,0.0,482.0,1.0,12.0,29.0,2.71,14.0,7.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11,5.0,7.0,4.0,11.0,32.0,34.4,21.0,18.0,1.0,17.0,10,26.0,7.0,0.0,747.0,15.0,139.0,449.0,167.0,13.0,747.0,24.0,12.0,50.0,12.0,50.0,449.0,1997.0,817.0,12.0,14.0,2.0,20.0,19.0,527.0,42.0,23,964,42,31.5,10.7,9,77.0,3,14,19.0,6,1.04,7,16,-9,-0.84,-1.05,10.4,15.8,-5.4,-0.51,-0.51,0,14,7,0,26,11,0.0,0.0,0,66.0,7.0,3.0,70.0,,Attacking Midfield,,,,,,,,,,1500000.0,
1,821,2211,Amine Harit_2019_Schalke 04,0.4405610964476218,54.32,2019,Schalke 04,Bundesliga,Amine Harit,MAR,"MF,FW",21,1997,18,12,1082,12.0,1,1,2,1,0,0,1,0,1.0,1.0,1.2,2.2,64.0,59.0,89.0,0.08,0.08,0.17,0.08,0.17,0.09,0.1,0.18,0.09,0.18,https://fbref.com/en/players/e7d59f4f/Amine-Harit,12.0,1,12,5,41.7,1.0,0.42,0.08,0.2,22.2,0.0,0,0,0.09,0.0,0.0,347.0,436.0,79.6,5328.0,1398.0,197.0,232.0,84.9,109.0,131.0,83.2,28.0,36.0,77.8,1.2,1.3,-0.2,21.0,38.0,12.0,1.0,59.0,436.0,422.0,12.0,1.0,0.0,6.0,3,7.0,0.0,0.0,0.0,0.0,347.0,2.0,12.0,48.0,3.99,32.0,0.0,1.0,1.0,12.0,2.0,2.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0,15.0,8,4.0,9.0,2.0,8.0,24.0,33.3,16.0,11.0,1.0,10.0,9,24.0,2.0,0.0,559.0,4.0,65.0,289.0,227.0,26.0,559.0,52.0,36.0,69.2,16.0,30.8,402.0,3097.0,1702.0,64.0,43.0,10.0,25.0,39.0,445.0,89.0,18,1082,60,35.4,12.0,12,80.0,5,6,21.0,7,0.67,12,20,-8,-0.67,-0.21,14.8,16.1,-1.3,-0.1,0.04,0,9,50,1,3,8,1.0,0.0,0,68.0,7.0,15.0,31.8,-,Attacking Midfield,6/18/1997,,Morocco,Olympique Marseille,1.8,right,7/10/2017,FC Nantes,6/30/2027,24000000.0,https://www.transfermarkt.com/amine-harit/profil/spieler/372711
2,822,4911,Amine Harit_2020_Schalke 04,-0.6604793657423303,35.8,2020,Schalke 04,Bundesliga,Amine Harit,MAR,"MF,FW",22,1997,25,24,2102,23.4,6,4,10,5,1,1,3,0,3.3,2.5,3.8,6.3,94.0,134.0,149.0,0.26,0.17,0.43,0.21,0.39,0.14,0.16,0.3,0.11,0.27,https://fbref.com/en/players/e7d59f4f/Amine-Harit,23.4,6,28,11,39.3,1.2,0.47,0.18,0.45,22.0,0.0,1,1,0.09,2.7,2.5,754.0,913.0,82.6,10689.0,3118.0,453.0,512.0,88.5,188.0,225.0,83.6,60.0,80.0,75.0,3.8,3.0,0.2,44.0,71.0,35.0,1.0,134.0,913.0,863.0,46.0,22.0,8.0,6.0,22,15.0,9.0,2.0,5.0,0.0,754.0,4.0,19.0,92.0,3.94,70.0,7.0,5.0,2.0,8.0,0.0,10.0,0.43,7.0,0.0,2.0,0.0,1.0,0.0,16.0,7,8.0,5.0,3.0,6.0,25.0,24.0,19.0,13.0,0.0,13.0,7,23.0,2.0,1.0,1146.0,6.0,103.0,598.0,467.0,58.0,1145.0,91.0,60.0,65.9,31.0,34.1,866.0,6156.0,3131.0,94.0,71.0,18.0,76.0,64.0,931.0,149.0,25,2102,84,68.7,23.4,24,87.0,16,1,15.0,0,1.36,30,37,-7,-0.3,0.92,26.6,35.4,-8.9,-0.38,0.08,0,19,70,8,22,7,1.0,0.0,0,118.0,8.0,28.0,22.2,-,Attacking Midfield,6/18/1997,,Morocco,Olympique Marseille,1.8,right,7/10/2017,FC Nantes,6/30/2027,10000000.0,https://www.transfermarkt.com/amine-harit/profil/spieler/372711
3,823,7666,Amine Harit_2021_Schalke 04,1.1898801487165738,79.01,2021,Schalke 04,Bundesliga,Amine Harit,MAR,"MF,FW",23,1997,28,25,2101,23.3,2,5,7,2,0,0,4,0,1.5,1.5,5.1,6.7,83.0,93.0,152.0,0.09,0.21,0.3,0.09,0.3,0.07,0.22,0.29,0.07,0.29,https://fbref.com/en/players/e7d59f4f/Amine-Harit,23.3,2,22,5,22.7,0.94,0.21,0.09,0.4,21.4,1.0,0,0,0.07,0.5,0.5,639.0,869.0,73.5,10046.0,3127.0,323.0,391.0,82.6,211.0,264.0,79.9,64.0,120.0,53.3,5.1,4.0,-0.1,51.0,42.0,39.0,3.0,93.0,869.0,763.0,103.0,46.0,7.0,7.0,71,8.0,42.0,13.0,25.0,0.0,639.0,3.0,25.0,99.0,4.24,59.0,16.0,10.0,2.0,11.0,1.0,7.0,0.3,6.0,1.0,0.0,0.0,0.0,0.0,22.0,13,8.0,11.0,3.0,10.0,23.0,43.5,13.0,9.0,1.0,8.0,17,39.0,7.0,1.0,1117.0,12.0,159.0,545.0,447.0,49.0,1117.0,142.0,90.0,63.4,52.0,36.6,782.0,5435.0,2762.0,83.0,70.0,18.0,65.0,60.0,856.0,152.0,28,2101,75,68.7,23.3,25,80.0,11,3,31.0,1,0.5,20,60,-40,-1.71,0.26,19.9,45.3,-25.4,-1.09,0.32,0,28,79,7,71,13,2.0,0.0,0,99.0,6.0,22.0,21.4,,Attacking Midfield,,,,,,,,,,10000000.0,
4,1116,12684,Angelo Fulgini_2023_Mainz 05,1.7922667166507156,90.12,2023,Mainz 05,Bundesliga,Angelo Fulgini,FRA,MF,25,1996,16,5,525,5.8,0,1,1,0,0,0,1,0,0.6,0.6,0.8,1.4,3.0,29.0,43.0,0.0,0.17,0.17,0.0,0.17,0.1,0.13,0.23,0.1,0.23,https://fbref.com/en/players/4b96c347/Angelo-Fulgini,5.8,0,8,4,50.0,1.37,0.69,0.0,0.0,18.6,0.0,0,0,0.07,-0.6,-0.6,188.0,238.0,79.0,2496.0,683.0,123.0,139.0,88.5,48.0,69.0,69.6,6.0,15.0,40.0,0.8,0.4,0.2,8.0,13.0,10.0,1.0,29.0,238.0,230.0,7.0,0.0,1.0,1.0,7,5.0,1.0,0.0,0.0,0.0,188.0,1.0,3.0,18.0,3.09,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5,2.0,3.0,1.0,5.0,12.0,41.7,7.0,5.0,0.0,5.0,5,11.0,7.0,0.0,320.0,6.0,36.0,177.0,110.0,14.0,320.0,25.0,8.0,32.0,14.0,56.0,199.0,800.0,326.0,3.0,6.0,2.0,12.0,7.0,228.0,43.0,16,525,33,17.2,5.8,5,56.0,0,11,22.0,2,1.19,5,11,-6,-1.03,-1.21,6.4,10.2,-3.7,-0.64,-0.54,0,7,15,1,7,5,0.0,0.0,0,30.0,4.0,12.0,25.0,,Attacking Midfield,,,,,,,,,,9000000.0,
5,2338,3704,Christoph Baumgartner_2020_Hoffenheim,1.1466968111179943,77.78,2020,Hoffenheim,Bundesliga,Christoph Baumgartner,AUT,"MF,FW",19,1999,26,17,1493,16.6,7,2,9,7,0,0,3,0,8.8,8.8,2.1,11.0,39.0,35.0,105.0,0.42,0.12,0.54,0.42,0.54,0.53,0.13,0.66,0.53,0.66,https://fbref.com/en/players/437f2b00/Christoph-Baumgartner,16.6,7,55,23,41.8,3.32,1.39,0.13,0.3,14.5,0.0,0,0,0.16,-1.8,-1.8,344.0,496.0,69.4,4880.0,1059.0,197.0,241.0,81.7,110.0,149.0,73.8,17.0,39.0,43.6,2.1,1.0,-0.1,18.0,25.0,9.0,1.0,35.0,496.0,457.0,34.0,2.0,0.0,2.0,17,6.0,8.0,4.0,4.0,0.0,344.0,5.0,24.0,53.0,3.19,29.0,3.0,7.0,8.0,6.0,0.0,4.0,0.24,1.0,1.0,0.0,2.0,0.0,0.0,32.0,17,15.0,16.0,1.0,10.0,37.0,27.0,27.0,25.0,1.0,24.0,8,40.0,13.0,0.0,753.0,16.0,101.0,377.0,285.0,82.0,753.0,48.0,24.0,50.0,24.0,50.0,447.0,2659.0,1217.0,39.0,31.0,17.0,47.0,25.0,530.0,105.0,26,1493,57,48.8,16.6,17,76.0,6,9,21.0,6,1.46,24,29,-5,-0.3,-0.59,29.7,30.7,-1.0,-0.06,0.08,0,37,29,6,17,17,1.0,0.0,0,70.0,43.0,46.0,48.3,-,Attacking Midfield,8/1/1999,,Austria,RB Leipzig,1.8,right,1/15/2019,TSG 1899 Hoffenheim II,6/30/2028,22000000.0,https://www.transfermarkt.com/christoph-baumgartner/profil/spieler/324278
6,2339,6485,Christoph Baumgartner_2021_Hoffenheim,0.917768034686134,72.84,2021,Hoffenheim,Bundesliga,Christoph Baumgartner,AUT,"MF,FW",20,1999,31,28,2369,26.3,6,3,9,6,0,0,6,0,5.9,5.9,3.5,9.4,68.0,110.0,133.0,0.23,0.11,0.34,0.23,0.34,0.23,0.13,0.36,0.23,0.36,https://fbref.com/en/players/437f2b00/Christoph-Baumgartner,26.3,6,61,21,34.4,2.32,0.8,0.1,0.29,16.1,1.0,0,0,0.1,0.1,0.1,699.0,951.0,73.5,10511.0,2835.0,395.0,492.0,80.3,220.0,281.0,78.3,51.0,89.0,57.3,3.5,2.7,-0.5,34.0,65.0,29.0,3.0,110.0,951.0,887.0,58.0,13.0,1.0,9.0,21,14.0,2.0,1.0,1.0,0.0,699.0,6.0,30.0,83.0,3.16,59.0,1.0,3.0,5.0,12.0,3.0,11.0,0.42,8.0,0.0,1.0,0.0,2.0,0.0,44.0,31,13.0,24.0,7.0,14.0,51.0,27.5,37.0,40.0,8.0,32.0,24,68.0,24.0,0.0,1353.0,36.0,203.0,674.0,498.0,95.0,1353.0,72.0,35.0,48.6,37.0,51.4,759.0,4314.0,2203.0,68.0,59.0,19.0,91.0,36.0,916.0,133.0,31,2369,76,77.4,26.3,28,81.0,13,3,30.0,0,1.23,42,46,-4,-0.15,-0.41,40.2,41.4,-1.2,-0.05,-0.05,0,70,53,1,21,31,2.0,0.0,0,140.0,53.0,89.0,37.3,-,Attacking Midfield,8/1/1999,,Austria,RB Leipzig,1.8,right,1/15/2019,TSG 1899 Hoffenheim II,6/30/2028,22000000.0,https://www.transfermarkt.com/christoph-baumgartner/profil/spieler/324278
7,2340,9381,Christoph Baumgartner_2022_Hoffenheim,1.677557906348342,85.19,2022,Hoffenheim,Bundesliga,Christoph Baumgartner,AUT,"MF,FW",21,1999,29,23,1888,21.0,7,2,9,7,0,0,5,0,7.0,7.0,3.7,10.8,34.0,83.0,116.0,0.33,0.1,0.43,0.33,0.43,0.33,0.18,0.51,0.33,0.51,https://fbref.com/en/players/437f2b00/Christoph-Baumgartner,21.0,7,42,17,40.5,2.0,0.81,0.17,0.41,13.5,0.0,0,0,0.17,0.0,0.0,514.0,729.0,70.5,8091.0,2264.0,249.0,315.0,79.0,190.0,250.0,76.0,46.0,87.0,52.9,3.7,2.9,-1.7,21.0,50.0,23.0,7.0,83.0,729.0,695.0,32.0,6.0,4.0,4.0,35,23.0,2.0,1.0,0.0,0.0,514.0,2.0,18.0,53.0,2.53,43.0,0.0,3.0,1.0,4.0,2.0,4.0,0.19,3.0,0.0,0.0,0.0,0.0,1.0,28.0,15,14.0,7.0,7.0,13.0,32.0,40.6,19.0,24.0,3.0,21.0,8,36.0,16.0,0.0,990.0,26.0,153.0,466.0,384.0,76.0,990.0,48.0,21.0,43.8,27.0,56.3,551.0,2845.0,1256.0,34.0,28.0,15.0,61.0,27.0,680.0,116.0,29,1888,65,61.7,21.0,23,76.0,9,6,24.0,0,1.34,29,33,-4,-0.19,-0.34,34.4,32.5,1.9,0.09,-0.05,0,37,32,1,35,15,0.0,0.0,0,103.0,37.0,49.0,43.0,-,Attacking Midfield,8/1/1999,,Austria,RB Leipzig,1.8,right,1/15/2019,TSG 1899 Hoffenheim II,6/30/2028,24000000.0,https://www.transfermarkt.com/christoph-baumgartner/profil/spieler/324278
8,2341,12260,Christoph Baumgartner_2023_Hoffenheim,1.7082800677691186,86.42,2023,Hoffenheim,Bundesliga,Christoph Baumgartner,AUT,"MF,FW",22,1999,33,33,2567,28.5,7,3,10,7,0,0,7,0,7.1,7.1,4.3,11.4,76.0,100.0,145.0,0.25,0.11,0.35,0.25,0.35,0.25,0.15,0.4,0.25,0.4,https://fbref.com/en/players/437f2b00/Christoph-Baumgartner,28.5,7,66,19,28.8,2.31,0.67,0.11,0.37,15.7,0.0,0,0,0.11,-0.1,-0.1,610.0,915.0,66.7,9280.0,2767.0,340.0,449.0,75.7,188.0,257.0,73.2,47.0,86.0,54.7,4.3,4.3,-1.3,24.0,70.0,35.0,4.0,100.0,915.0,850.0,56.0,10.0,4.0,9.0,29,31.0,1.0,0.0,0.0,0.0,610.0,9.0,42.0,89.0,3.12,60.0,0.0,11.0,5.0,12.0,1.0,12.0,0.42,5.0,0.0,2.0,1.0,4.0,0.0,36.0,19,12.0,17.0,7.0,9.0,52.0,17.3,43.0,57.0,5.0,52.0,15,51.0,19.0,1.0,1340.0,39.0,204.0,655.0,505.0,118.0,1340.0,116.0,54.0,46.6,47.0,40.5,767.0,4948.0,2487.0,76.0,59.0,33.0,81.0,36.0,900.0,145.0,33,2567,78,83.9,28.5,33,78.0,14,0,,0,1.09,40,49,-9,-0.32,-0.32,42.0,42.8,-0.8,-0.03,0.38,0,66,49,9,29,19,5.0,0.0,0,142.0,72.0,75.0,49.0,,Attacking Midfield,,,,,,,,,,24000000.0,
9,2564,3420,Daichi Kamada_2020_Eint Frankfurt,-0.21073175313623693,41.980000000000004,2020,Eint Frankfurt,Bundesliga,Daichi Kamada,JPN,"MF,FW",22,1996,28,22,1969,21.9,2,4,6,2,0,0,5,0,6.7,6.7,4.0,10.6,63.0,119.0,138.0,0.09,0.18,0.27,0.09,0.27,0.31,0.18,0.49,0.31,0.49,https://fbref.com/en/players/15b287da/Daichi-Kamada,21.9,2,46,18,39.1,2.1,0.82,0.04,0.11,15.3,1.0,0,0,0.15,-4.7,-4.7,568.0,772.0,73.6,9653.0,2472.0,290.0,342.0,84.8,190.0,242.0,78.5,66.0,126.0,52.4,4.0,4.8,0.0,37.0,62.0,18.0,3.0,119.0,772.0,673.0,96.0,19.0,4.0,3.0,89,6.0,59.0,25.0,27.0,0.0,568.0,3.0,17.0,100.0,4.57,61.0,19.0,14.0,5.0,1.0,0.0,11.0,0.5,6.0,3.0,1.0,1.0,0.0,0.0,29.0,20,7.0,17.0,5.0,8.0,42.0,19.0,34.0,16.0,1.0,15.0,10,39.0,6.0,0.0,1011.0,9.0,94.0,434.0,496.0,75.0,1011.0,58.0,39.0,67.2,19.0,32.8,573.0,3451.0,1652.0,63.0,39.0,22.0,59.0,35.0,676.0,138.0,28,1969,70,64.3,21.9,22,82.0,13,6,28.0,4,1.14,33,39,-6,-0.27,-0.69,39.7,30.4,9.3,0.43,0.4,0,28,38,7,89,20,0.0,0.0,0,99.0,10.0,36.0,21.7,-,Attacking Midfield,8/5/1996,,Japan,Without Club,1.84,right,7/1/2017,Sagan Tosu,,25000000.0,https://www.transfermarkt.com/daichi-kamada/profil/spieler/356141
