,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,52,10582,Abdelhamid Sabiri_2022_Sampdoria,-0.12769698172813496,42.309999999999995,2022,Sampdoria,Serie A,Abdelhamid Sabiri,MAR,"MF,FW",24,1996,14,9,893,9.9,3,2,5,3,0,0,3,0,1.4,1.4,1.6,3.0,13.0,35.0,36.0,0.3,0.2,0.5,0.3,0.5,0.14,0.16,0.31,0.14,0.31,https://fbref.com/en/players/4830e0af/Abdelhamid-Sabiri,9.9,3,16,9,56.3,1.61,0.91,0.19,0.33,23.6,3.0,0,0,0.09,1.6,1.6,259.0,346.0,74.9,4452.0,1155.0,123.0,145.0,84.8,98.0,121.0,81.0,28.0,44.0,63.6,1.6,0.7,0.4,13.0,28.0,5.0,1.0,35.0,346.0,313.0,29.0,15.0,0.0,4.0,15,5.0,6.0,4.0,0.0,0.0,259.0,4.0,13.0,28.0,2.82,18.0,2.0,4.0,0.0,2.0,2.0,5.0,0.5,2.0,0.0,1.0,0.0,1.0,1.0,34.0,18,10.0,15.0,9.0,7.0,25.0,28.0,18.0,10.0,2.0,8.0,7,41.0,3.0,0.0,481.0,5.0,52.0,256.0,181.0,24.0,481.0,30.0,17.0,56.7,13.0,43.3,275.0,1246.0,525.0,13.0,14.0,4.0,32.0,18.0,347.0,36.0,14,893,64,26.1,9.9,9,85.0,6,5,26.0,1,0.93,11,13,-2,-0.2,0.33,10.3,15.8,-5.5,-0.55,-0.05,0,21,34,1,15,18,0.0,0.0,0,39.0,26.0,26.0,50.0,-,Attacking Midfield,11/28/1996,,Morocco,ACF Fiorentina,1.86,right,1/31/2023,ACF Fiorentina,6/30/2026,2500000.0,https://www.transfermarkt.com/abdelhamid-sabiri/profil/spieler/340394
1,53,13398,Abdelhamid Sabiri_2023_Sampdoria,-3.0788452799264987,0.0,2023,Sampdoria,Serie A,Abdelhamid Sabiri,MAR,"MF,FW",25,1996,18,12,1069,11.9,2,0,2,1,1,2,5,0,3.0,1.4,1.4,2.8,7.0,49.0,54.0,0.17,0.0,0.17,0.08,0.08,0.26,0.12,0.38,0.11,0.23,https://fbref.com/en/players/4830e0af/Abdelhamid-Sabiri,11.9,2,31,9,29.0,2.61,0.76,0.03,0.11,25.5,8.0,1,2,0.04,-1.0,-0.4,310.0,461.0,67.2,5531.0,1574.0,141.0,180.0,78.3,118.0,162.0,72.8,39.0,85.0,45.9,1.4,1.2,-1.4,14.0,44.0,12.0,0.0,49.0,461.0,390.0,69.0,33.0,3.0,8.0,54,3.0,32.0,9.0,19.0,0.0,310.0,2.0,11.0,41.0,3.45,22.0,7.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7,5.0,9.0,4.0,4.0,13.0,30.8,9.0,18.0,4.0,14.0,2,20.0,5.0,0.0,618.0,15.0,64.0,304.0,257.0,31.0,616.0,39.0,14.0,35.9,17.0,43.6,363.0,1503.0,536.0,7.0,20.0,5.0,34.0,28.0,423.0,54.0,18,1069,59,31.3,11.9,12,75.0,6,6,28.0,4,0.5,6,20,-14,-1.18,0.08,10.8,18.0,-7.2,-0.61,0.35,0,28,39,0,54,7,0.0,0.0,0,50.0,30.0,29.0,50.8,,Attacking Midfield,,,,,,,,,,2500000.0,
2,1219,3848,Antonin Barak_2020_Lecce,-0.7559431621000267,26.919999999999998,2020,Lecce,Serie A,AntonÃƒÂ­n BarÃƒÂ¡k,CZE,MF,24,1994,16,15,1369,15.2,2,1,3,2,0,0,0,0,3.9,3.9,1.6,5.5,44.0,81.0,66.0,0.13,0.07,0.2,0.13,0.2,0.25,0.11,0.36,0.25,0.36,https://fbref.com/en/players/01efac19/Antonin-Barak,15.2,2,33,13,39.4,2.17,0.85,0.06,0.15,17.0,0.0,0,0,0.12,-1.9,-1.9,552.0,679.0,81.3,8524.0,2503.0,301.0,335.0,89.9,193.0,231.0,83.5,38.0,65.0,58.5,1.6,1.5,-0.6,17.0,57.0,13.0,1.0,81.0,679.0,664.0,13.0,7.0,2.0,8.0,20,5.0,1.0,0.0,0.0,0.0,552.0,2.0,15.0,47.0,3.09,41.0,0.0,1.0,3.0,2.0,0.0,5.0,0.33,4.0,0.0,1.0,0.0,0.0,0.0,19.0,10,9.0,10.0,0.0,6.0,24.0,25.0,18.0,18.0,1.0,17.0,9,28.0,20.0,2.0,842.0,27.0,183.0,436.0,232.0,36.0,842.0,22.0,10.0,45.5,12.0,54.5,544.0,3379.0,1894.0,44.0,41.0,2.0,16.0,20.0,629.0,66.0,16,1369,86,40.0,15.2,15,90.0,15,1,19.0,0,1.19,28,37,-9,-0.59,0.46,26.7,33.9,-7.2,-0.47,0.56,0,12,9,2,20,10,0.0,0.0,0,74.0,19.0,27.0,41.3,,Attacking Midfield,,,,,,,,,,14000000.0,
3,1221,6419,Antonin Barak_2021_Hellas Verona,-0.8964348611445435,23.080000000000002,2021,Hellas Verona,Serie A,AntonÃƒÂ­n BarÃƒÂ¡k,CZE,MF,25,1994,34,32,2765,30.7,7,3,10,7,0,0,5,1,6.8,6.8,2.2,9.1,64.0,147.0,101.0,0.23,0.1,0.33,0.23,0.33,0.22,0.07,0.3,0.22,0.3,https://fbref.com/en/players/01efac19/Antonin-Barak,30.7,7,45,16,35.6,1.46,0.52,0.16,0.44,15.9,1.0,0,0,0.15,0.2,0.2,1017.0,1311.0,77.6,16319.0,4200.0,523.0,629.0,83.1,395.0,476.0,83.0,67.0,104.0,64.4,2.2,2.0,0.8,24.0,126.0,26.0,2.0,147.0,1311.0,1261.0,40.0,20.0,2.0,6.0,14,15.0,0.0,0.0,0.0,0.0,1017.0,10.0,37.0,56.0,1.84,50.0,0.0,4.0,1.0,1.0,0.0,7.0,0.23,5.0,0.0,2.0,0.0,0.0,0.0,30.0,19,8.0,16.0,6.0,14.0,47.0,29.8,33.0,26.0,7.0,19.0,12,42.0,38.0,1.0,1598.0,57.0,234.0,937.0,459.0,76.0,1598.0,41.0,27.0,65.9,14.0,34.1,882.0,4840.0,2376.0,64.0,49.0,14.0,44.0,28.0,1080.0,101.0,34,2765,81,80.8,30.7,32,85.0,23,2,27.0,0,1.24,37,41,-4,-0.13,-0.41,37.0,41.3,-4.3,-0.14,-0.17,0,60,17,4,14,19,0.0,1.0,0,216.0,65.0,81.0,44.5,-,Attacking Midfield,12/3/1994,,Czech Republic,ACF Fiorentina,1.9,left,7/1/2021,Udinese Calcio,6/30/2027,20000000.0,https://www.transfermarkt.com/antonin-barak/profil/spieler/272261
4,1222,9310,Antonin Barak_2022_Hellas Verona,0.03273534201407238,52.559999999999995,2022,Hellas Verona,Serie A,AntonÃƒÂ­n BarÃƒÂ¡k,CZE,"MF,FW",26,1994,29,27,2340,26.0,11,4,15,7,4,4,4,0,8.9,5.7,2.7,8.4,68.0,147.0,124.0,0.42,0.15,0.58,0.27,0.42,0.34,0.1,0.44,0.22,0.32,https://fbref.com/en/players/01efac19/Antonin-Barak,26.0,11,47,20,42.6,1.81,0.77,0.15,0.35,15.7,2.0,4,4,0.12,2.1,1.3,876.0,1107.0,79.1,11982.0,3508.0,520.0,610.0,85.2,275.0,331.0,83.1,33.0,52.0,63.5,2.7,3.1,1.3,28.0,81.0,22.0,1.0,147.0,1107.0,1081.0,17.0,5.0,2.0,4.0,13,6.0,0.0,0.0,0.0,0.0,876.0,9.0,37.0,70.0,2.69,57.0,1.0,4.0,6.0,2.0,0.0,9.0,0.35,6.0,0.0,1.0,1.0,1.0,0.0,18.0,8,9.0,8.0,1.0,5.0,17.0,29.4,12.0,32.0,5.0,27.0,6,24.0,26.0,0.0,1376.0,40.0,185.0,723.0,488.0,91.0,1372.0,55.0,31.0,56.4,24.0,43.6,851.0,4966.0,2391.0,68.0,51.0,16.0,42.0,54.0,1039.0,124.0,29,2340,81,68.4,26.0,27,85.0,20,2,26.0,1,1.52,48,42,6,0.23,0.23,35.5,34.0,1.5,0.06,0.07,0,27,17,3,13,8,1.0,0.0,0,156.0,41.0,68.0,37.6,-,Attacking Midfield,12/3/1994,,Czech Republic,ACF Fiorentina,1.9,left,7/1/2021,Udinese Calcio,6/30/2027,10000000.0,https://www.transfermarkt.com/antonin-barak/profil/spieler/272261
5,1223,12050,Antonin Barak_2023_Fiorentina,-1.1217384885780397,19.23,2023,Fiorentina,Serie A,AntonÃƒÂ­n BarÃƒÂ¡k,CZE,MF,27,1994,30,21,1799,20.0,2,0,2,2,0,0,4,0,2.6,2.6,1.6,4.1,45.0,82.0,93.0,0.1,0.0,0.1,0.1,0.1,0.13,0.08,0.21,0.13,0.21,https://fbref.com/en/players/01efac19/Antonin-Barak,20.0,2,32,7,21.9,1.6,0.35,0.06,0.29,17.7,0.0,0,0,0.08,-0.6,-0.6,590.0,719.0,82.1,8980.0,1995.0,321.0,359.0,89.4,199.0,242.0,82.2,42.0,60.0,70.0,1.6,1.1,-1.6,22.0,59.0,14.0,2.0,82.0,719.0,689.0,28.0,6.0,5.0,6.0,14,7.0,0.0,0.0,0.0,0.0,590.0,2.0,16.0,44.0,2.2,35.0,0.0,4.0,2.0,3.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,21.0,9,5.0,7.0,9.0,6.0,16.0,37.5,10.0,16.0,2.0,14.0,3,24.0,13.0,0.0,904.0,19.0,84.0,470.0,362.0,67.0,904.0,39.0,19.0,48.7,17.0,43.6,556.0,3364.0,1435.0,45.0,31.0,8.0,34.0,28.0,649.0,93.0,30,1799,60,52.6,20.0,21,78.0,6,9,18.0,4,1.33,25,26,-1,-0.05,-0.66,28.2,24.1,4.1,0.21,-0.21,0,13,17,3,14,9,0.0,1.0,0,76.0,18.0,31.0,36.7,72,Attacking Midfield,12/3/1994,,Czech Republic,,1.9,left,1/31/2023,Hellas Verona,6/30/2027,10000000.0,https://www.transfermarkt.com/antonin-barak/profil/spieler/272261
6,1859,7065,Brahim Diaz_2021_Milan,2.1844798934311274,89.74,2021,Milan,Serie A,Brahim DÃƒÂ­az,ESP,"MF,FW",20,1999,27,15,1228,13.6,4,3,7,4,0,0,2,0,3.4,3.4,1.5,4.9,43.0,43.0,69.0,0.29,0.22,0.51,0.29,0.51,0.25,0.11,0.36,0.25,0.36,https://fbref.com/en/players/407feb71/Brahim-Diaz,13.6,4,26,8,30.8,1.91,0.59,0.15,0.5,16.8,0.0,0,0,0.13,0.6,0.6,415.0,488.0,85.0,5535.0,1169.0,242.0,267.0,90.6,113.0,130.0,86.9,22.0,36.0,61.1,1.5,1.4,1.5,20.0,28.0,11.0,2.0,43.0,488.0,456.0,29.0,6.0,1.0,0.0,16,3.0,15.0,6.0,3.0,0.0,415.0,3.0,8.0,48.0,3.51,29.0,5.0,3.0,3.0,8.0,0.0,10.0,0.73,7.0,1.0,1.0,0.0,1.0,0.0,18.0,10,7.0,7.0,4.0,10.0,23.0,43.5,13.0,10.0,0.0,10.0,2,20.0,2.0,0.0,650.0,3.0,48.0,308.0,308.0,51.0,650.0,50.0,25.0,50.0,25.0,50.0,383.0,2429.0,1226.0,43.0,41.0,8.0,43.0,24.0,491.0,69.0,27,1228,45,35.9,13.6,15,62.0,0,12,24.0,7,2.07,27,8,19,1.39,0.82,27.2,12.1,15.1,1.11,0.75,0,14,29,0,16,10,1.0,0.0,0,56.0,4.0,27.0,12.9,-,Attacking Midfield,8/3/1999,,Spain,Real Madrid,1.7,both,7/19/2021,Real Madrid,6/30/2027,18000000.0,https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678
7,1860,9989,Brahim Diaz_2022_Milan,1.218545219695245,83.33,2022,Milan,Serie A,Brahim DÃƒÂ­az,ESP,MF,21,1999,31,25,1855,20.6,3,3,6,3,0,0,4,0,4.1,4.1,2.3,6.4,59.0,88.0,104.0,0.15,0.15,0.29,0.15,0.29,0.2,0.11,0.31,0.2,0.31,https://fbref.com/en/players/407feb71/Brahim-Diaz,20.6,3,30,6,20.0,1.46,0.29,0.1,0.5,17.0,0.0,0,0,0.14,-1.1,-1.1,605.0,721.0,83.9,8842.0,2068.0,335.0,375.0,89.3,207.0,234.0,88.5,28.0,44.0,63.6,2.3,2.0,0.7,31.0,57.0,29.0,3.0,88.0,721.0,674.0,37.0,5.0,5.0,2.0,11,1.0,3.0,0.0,0.0,0.0,605.0,10.0,11.0,78.0,3.78,61.0,2.0,4.0,3.0,5.0,3.0,10.0,0.48,7.0,1.0,0.0,2.0,0.0,0.0,23.0,17,3.0,11.0,9.0,8.0,22.0,36.4,14.0,11.0,0.0,11.0,8,31.0,4.0,0.0,946.0,7.0,59.0,489.0,421.0,63.0,946.0,88.0,45.0,51.1,43.0,48.9,609.0,3812.0,1829.0,59.0,50.0,13.0,64.0,39.0,717.0,104.0,31,1855,60,54.2,20.6,25,70.0,2,6,16.0,4,2.1,34,15,19,0.92,-0.17,33.9,18.6,15.3,0.74,0.26,0,22,33,4,11,17,0.0,0.0,0,108.0,4.0,40.0,9.1,-,Attacking Midfield,8/3/1999,,Spain,Real Madrid,1.7,both,7/19/2021,Real Madrid,6/30/2027,20000000.0,https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678
8,1861,12819,Brahim Diaz_2023_Milan,1.8621694547984766,87.18,2023,Milan,Serie A,Brahim DÃƒÂ­az,ESP,"MF,FW",22,1999,33,27,1925,21.4,6,7,13,6,0,0,3,0,6.0,6.0,5.6,11.5,80.0,121.0,116.0,0.28,0.33,0.61,0.28,0.61,0.28,0.26,0.54,0.28,0.54,https://fbref.com/en/players/407feb71/Brahim-Diaz,21.4,6,35,16,45.7,1.64,0.75,0.17,0.38,14.5,1.0,0,0,0.17,0.0,0.0,575.0,719.0,80.0,8239.0,2469.0,329.0,375.0,87.7,193.0,231.0,83.5,26.0,46.0,56.5,5.6,3.4,1.4,41.0,80.0,40.0,3.0,121.0,719.0,677.0,37.0,8.0,11.0,2.0,20,9.0,6.0,0.0,4.0,0.0,575.0,5.0,24.0,96.0,4.49,69.0,1.0,12.0,6.0,7.0,1.0,18.0,0.84,8.0,0.0,6.0,2.0,1.0,1.0,32.0,15,5.0,22.0,5.0,5.0,15.0,33.3,10.0,11.0,0.0,11.0,7,39.0,6.0,0.0,990.0,6.0,63.0,538.0,413.0,65.0,990.0,86.0,39.0,45.3,40.0,46.5,691.0,4623.0,2512.0,80.0,68.0,17.0,74.0,48.0,763.0,116.0,33,1925,58,56.3,21.4,27,65.0,1,6,28.0,4,1.85,36,21,15,0.7,0.34,34.2,19.8,14.5,0.68,0.48,0,29,50,2,20,15,1.0,0.0,0,100.0,4.0,24.0,14.3,,Attacking Midfield,,,,,,,,,,20000000.0,
9,2187,12817,Charles De Ketelaere_2023_Milan,-0.8493820266125625,24.36,2023,Milan,Serie A,Charles De Ketelaere,BEL,"MF,FW",21,2001,32,9,1116,12.4,0,1,1,0,0,0,2,0,2.0,2.0,2.0,4.0,45.0,59.0,69.0,0.0,0.08,0.08,0.0,0.08,0.16,0.16,0.32,0.16,0.32,https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere,12.4,0,19,3,15.8,1.53,0.24,0.0,0.0,12.5,0.0,0,0,0.11,-2.0,-2.0,299.0,383.0,78.1,4161.0,1234.0,183.0,225.0,81.3,95.0,110.0,86.4,11.0,16.0,68.8,2.0,1.8,-1.0,20.0,28.0,19.0,0.0,59.0,383.0,362.0,21.0,2.0,2.0,2.0,10,9.0,0.0,0.0,0.0,0.0,299.0,0.0,13.0,47.0,3.79,39.0,2.0,4.0,0.0,2.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,26.0,12,7.0,14.0,5.0,13.0,30.0,43.3,17.0,14.0,2.0,12.0,4,30.0,9.0,0.0,533.0,10.0,50.0,241.0,252.0,60.0,533.0,59.0,36.0,61.0,16.0,27.1,313.0,2178.0,1149.0,45.0,26.0,14.0,25.0,30.0,351.0,69.0,32,1116,35,32.6,12.4,9,67.0,0,23,22.0,5,1.78,19,19,0,0.0,-0.82,20.3,16.1,4.2,0.34,-0.19,0,19,15,2,10,12,0.0,0.0,0,56.0,19.0,30.0,38.8,90,Attacking Midfield,3/10/2001,,Belgium,,1.92,left,8/2/2022,Club Brugge KV,6/30/2027,22000000.0,https://www.transfermarkt.com/charles-de-ketelaere/profil/spieler/435772
