,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,36,13040,Aaron Ramsey_2023_Nice,-0.592289916162504,38.93,2023,Nice,Ligue 1,Aaron Ramsey,WAL,MF,31,1990,27,18,1584,17.6,1,1,2,1,0,0,3,0,2.5,2.5,1.8,4.3,29.0,126.0,84.0,0.06,0.06,0.11,0.06,0.11,0.14,0.1,0.24,0.14,0.24,https://fbref.com/en/players/ef619b0b/Aaron-Ramsey,17.6,1,22,6,27.3,1.25,0.34,0.05,0.17,15.3,1.0,0,0,0.11,-1.5,-1.5,915.0,1088.0,84.1,16069.0,3809.0,398.0,431.0,92.3,382.0,444.0,86.0,100.0,159.0,62.9,1.8,2.0,-0.8,28.0,88.0,20.0,3.0,126.0,1088.0,998.0,88.0,37.0,5.0,11.0,62,6.0,45.0,16.0,18.0,0.0,915.0,2.0,10.0,62.0,3.52,42.0,14.0,0.0,5.0,1.0,0.0,4.0,0.23,2.0,1.0,0.0,0.0,1.0,0.0,47.0,25,18.0,19.0,10.0,16.0,39.0,41.0,23.0,25.0,4.0,21.0,17,64.0,18.0,1.0,1279.0,43.0,208.0,723.0,361.0,50.0,1279.0,24.0,14.0,58.3,5.0,20.8,980.0,4866.0,1934.0,29.0,34.0,8.0,24.0,32.0,902.0,84.0,27,1584,59,46.3,17.6,18,74.0,6,9,27.0,0,1.59,25,10,15,0.85,1.05,28.2,17.2,11.0,0.63,0.55,0,23,18,3,62,25,1.0,0.0,0,115.0,6.0,12.0,33.3,16,Central Midfield,12/26/1990,,Wales,,1.78,right,8/1/2022,Juventus FC,6/30/2023,2500000.0,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057
1,240,1644,Adrien Silva_2019_Monaco,-0.19170771442257356,51.01,2019,Monaco,Ligue 1,Adrien Silva,POR,MF,29,1989,15,13,1184,13.2,0,0,0,0,0,0,6,0,0.3,0.3,0.7,1.0,11.0,102.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,https://fbref.com/en/players/d6f88a1d/Adrien-Silva,13.2,0,9,3,33.3,0.68,0.23,0.0,0.0,26.6,1.0,0,0,0.03,-0.3,-0.3,616.0,744.0,82.8,11227.0,3427.0,268.0,300.0,89.3,257.0,296.0,86.8,76.0,110.0,69.1,0.7,0.8,-0.7,6.0,72.0,6.0,2.0,102.0,744.0,701.0,41.0,34.0,0.0,10.0,6,6.0,0.0,0.0,0.0,0.0,616.0,2.0,12.0,28.0,2.13,21.0,3.0,1.0,1.0,1.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,50.0,31,19.0,26.0,5.0,30.0,62.0,48.4,32.0,15.0,2.0,13.0,16,66.0,23.0,0.0,900.0,34.0,175.0,625.0,110.0,0.0,900.0,25.0,15.0,60.0,10.0,40.0,474.0,2282.0,1102.0,11.0,10.0,0.0,15.0,15.0,540.0,9.0,15,1184,79,34.6,13.2,13,88.0,12,2,21.0,0,1.4,14,16,-2,-0.15,0.53,17.9,17.6,0.3,0.02,0.15,0,22,17,0,6,31,0.0,0.0,0,118.0,21.0,15.0,58.3,-,Central Midfield,3/15/1989,,Portugal,Without Club,1.75,right,1/31/2019,Leicester City,,8000000.0,https://www.transfermarkt.com/adrien-silva/profil/spieler/56810
2,241,4296,Adrien Silva_2020_Monaco,-0.5916098169112857,39.6,2020,Monaco,Ligue 1,Adrien Silva,POR,MF,30,1989,22,13,1221,13.6,0,2,2,0,0,0,7,0,0.6,0.6,2.1,2.7,14.0,92.0,21.0,0.0,0.15,0.15,0.0,0.15,0.05,0.15,0.2,0.05,0.2,https://fbref.com/en/players/d6f88a1d/Adrien-Silva,13.6,0,14,3,21.4,1.03,0.22,0.0,0.0,26.5,4.0,0,0,0.04,-0.6,-0.6,728.0,851.0,85.5,12219.0,3940.0,343.0,385.0,89.1,312.0,339.0,92.0,59.0,95.0,62.1,2.1,2.0,-0.1,15.0,74.0,8.0,0.0,92.0,851.0,786.0,64.0,49.0,1.0,7.0,20,2.0,13.0,3.0,8.0,0.0,728.0,1.0,6.0,37.0,2.73,24.0,8.0,3.0,0.0,1.0,1.0,3.0,0.22,1.0,2.0,0.0,0.0,0.0,0.0,37.0,22,14.0,19.0,4.0,10.0,37.0,27.0,27.0,19.0,6.0,13.0,12,49.0,14.0,2.0,985.0,27.0,174.0,637.0,182.0,4.0,985.0,31.0,21.0,67.7,10.0,32.3,511.0,2060.0,1065.0,14.0,10.0,1.0,12.0,13.0,661.0,21.0,22,1221,56,48.5,13.6,13,86.0,9,9,12.0,1,1.64,21,15,6,0.44,0.86,23.5,19.6,3.9,0.29,0.14,0,22,22,0,20,22,0.0,0.0,0,88.0,10.0,16.0,38.5,,Central Midfield,,,,,,,,,,3000000.0,
3,861,4568,Ander Herrera_2020_Paris S-G,-2.9933496020171493,1.34,2020,Paris S-G,Ligue 1,Ander Herrera,ESP,"MF,DF",29,1989,8,6,547,6.1,1,1,2,1,0,0,0,0,0.3,0.3,0.9,1.3,7.0,44.0,38.0,0.16,0.16,0.33,0.16,0.33,0.05,0.15,0.21,0.05,0.21,https://fbref.com/en/players/436a9dd0/Ander-Herrera,6.1,1,6,2,33.3,0.99,0.33,0.17,0.5,20.5,0.0,0,0,0.06,0.7,0.7,454.0,494.0,91.9,6470.0,1559.0,272.0,281.0,96.8,145.0,157.0,92.4,17.0,23.0,73.9,0.9,0.6,0.1,8.0,28.0,5.0,2.0,44.0,494.0,474.0,18.0,2.0,0.0,1.0,7,16.0,0.0,0.0,0.0,0.0,454.0,2.0,5.0,20.0,3.28,17.0,0.0,0.0,1.0,1.0,1.0,2.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,19.0,11,9.0,9.0,1.0,5.0,14.0,35.7,9.0,10.0,2.0,8.0,6,25.0,4.0,0.0,551.0,13.0,97.0,332.0,125.0,10.0,551.0,3.0,2.0,66.7,1.0,33.3,310.0,1336.0,720.0,7.0,12.0,1.0,7.0,2.0,439.0,38.0,8,547,68,22.5,6.1,6,85.0,4,2,18.0,4,2.38,17,7,10,1.65,-0.31,15.8,4.9,10.9,1.79,-0.13,0,5,4,1,7,11,0.0,0.0,0,31.0,2.0,1.0,66.7,-,Central Midfield,8/14/1989,,Spain,Athletic Bilbao,1.82,right,7/4/2019,Manchester United,6/30/2024,13000000.0,https://www.transfermarkt.com/ander-herrera/profil/spieler/99343
4,862,7321,Ander Herrera_2021_Paris S-G,-2.1202210422813197,6.710000000000001,2021,Paris S-G,Ligue 1,Ander Herrera,ESP,MF,30,1989,31,18,1851,20.6,1,3,4,1,0,0,6,0,1.4,1.4,3.1,4.6,27.0,171.0,57.0,0.05,0.15,0.19,0.05,0.19,0.07,0.15,0.22,0.07,0.22,https://fbref.com/en/players/436a9dd0/Ander-Herrera,20.6,1,21,4,19.0,1.02,0.19,0.05,0.25,19.2,1.0,0,0,0.07,-0.4,-0.4,1580.0,1750.0,90.3,22413.0,6708.0,917.0,972.0,94.3,506.0,552.0,91.7,70.0,104.0,67.3,3.1,3.0,-0.1,24.0,185.0,22.0,3.0,171.0,1750.0,1702.0,40.0,23.0,8.0,3.0,13,11.0,5.0,1.0,1.0,0.0,1580.0,8.0,9.0,54.0,2.62,51.0,1.0,0.0,0.0,1.0,1.0,8.0,0.39,8.0,0.0,0.0,0.0,0.0,0.0,53.0,35,17.0,26.0,10.0,30.0,77.0,39.0,47.0,31.0,5.0,26.0,31,84.0,22.0,1.0,1975.0,55.0,311.0,1250.0,424.0,30.0,1975.0,23.0,12.0,52.2,11.0,47.8,1205.0,5119.0,2693.0,27.0,31.0,1.0,25.0,10.0,1579.0,57.0,31,1851,60,54.1,20.6,18,83.0,12,13,28.0,1,2.35,47,11,36,1.75,0.49,44.1,21.3,22.7,1.11,0.15,0,32,16,0,13,35,0.0,0.0,0,139.0,8.0,12.0,40.0,-,Central Midfield,8/14/1989,,Spain,Athletic Bilbao,1.82,right,7/4/2019,Manchester United,6/30/2024,10000000.0,https://www.transfermarkt.com/ander-herrera/profil/spieler/99343
5,863,10243,Ander Herrera_2022_Paris S-G,-2.844725028167154,2.68,2022,Paris S-G,Ligue 1,Ander Herrera,ESP,MF,31,1989,19,12,1091,12.1,3,2,5,3,0,0,2,0,0.8,0.8,1.4,2.2,11.0,97.0,25.0,0.25,0.16,0.41,0.25,0.41,0.06,0.11,0.18,0.06,0.18,https://fbref.com/en/players/436a9dd0/Ander-Herrera,12.1,3,14,3,21.4,1.15,0.25,0.21,1.0,22.3,0.0,0,0,0.06,2.2,2.2,970.0,1060.0,91.5,14459.0,3847.0,542.0,573.0,94.6,308.0,332.0,92.8,67.0,84.0,79.8,1.4,2.5,0.6,18.0,102.0,18.0,0.0,97.0,1060.0,1044.0,12.0,9.0,8.0,1.0,6,2.0,1.0,0.0,1.0,0.0,970.0,4.0,5.0,39.0,3.22,35.0,0.0,2.0,1.0,1.0,0.0,7.0,0.58,7.0,0.0,0.0,0.0,0.0,0.0,29.0,17,7.0,16.0,6.0,14.0,39.0,35.9,25.0,22.0,8.0,14.0,14,43.0,8.0,0.0,1184.0,32.0,193.0,732.0,260.0,12.0,1184.0,10.0,6.0,60.0,4.0,40.0,733.0,2902.0,1480.0,11.0,15.0,0.0,17.0,5.0,964.0,25.0,19,1091,57,31.9,12.1,12,82.0,5,7,15.0,6,2.63,28,11,17,1.4,-0.03,21.1,11.3,9.8,0.81,-0.24,0,14,5,3,6,17,0.0,0.0,0,72.0,2.0,3.0,40.0,,Central Midfield,,,,,,,,,,2500000.0,
6,887,12544,Andre Gomes_2023_Lille,-1.957705468775754,9.4,2023,Lille,Ligue 1,AndrÃƒÂ© Gomes,POR,MF,29,1993,26,18,1629,18.1,3,2,5,3,0,0,6,0,1.1,1.1,1.2,2.3,26.0,160.0,33.0,0.17,0.11,0.28,0.17,0.28,0.06,0.07,0.13,0.06,0.13,https://fbref.com/en/players/1961b2aa/Andre-Gomes,18.1,3,18,5,27.8,0.99,0.28,0.17,0.6,21.2,0.0,0,0,0.06,1.9,1.9,1179.0,1334.0,88.4,20280.0,5925.0,546.0,595.0,91.8,487.0,515.0,94.6,110.0,158.0,69.6,1.2,1.6,0.8,14.0,145.0,18.0,1.0,160.0,1334.0,1305.0,25.0,18.0,3.0,13.0,11,5.0,2.0,0.0,2.0,0.0,1179.0,4.0,22.0,40.0,2.21,36.0,1.0,1.0,2.0,0.0,0.0,5.0,0.28,4.0,0.0,0.0,1.0,0.0,0.0,37.0,19,12.0,17.0,8.0,19.0,52.0,36.5,33.0,20.0,5.0,15.0,9,46.0,16.0,1.0,1520.0,37.0,261.0,1010.0,270.0,17.0,1520.0,42.0,29.0,69.0,10.0,23.8,1254.0,5944.0,2291.0,26.0,35.0,4.0,30.0,26.0,1172.0,33.0,26,1629,63,47.6,18.1,18,82.0,11,8,20.0,0,1.81,35,20,15,0.83,0.53,33.2,17.6,15.6,0.86,0.23,0,49,17,1,11,19,0.0,0.0,0,142.0,18.0,12.0,60.0,,Central Midfield,,,,,,,,,,16000000.0,
7,1226,2719,Antonin Bobichon_2020_Angers,2.0856302378438993,89.25999999999999,2020,Angers,Ligue 1,Antonin Bobichon,FRA,MF,23,1995,11,8,649,7.2,2,1,3,2,0,0,0,0,1.0,1.0,0.6,1.6,20.0,42.0,24.0,0.28,0.14,0.42,0.28,0.42,0.14,0.09,0.23,0.14,0.23,https://fbref.com/en/players/7d937aa1/Antonin-Bobichon,7.2,2,20,5,25.0,2.77,0.69,0.1,0.4,21.4,1.0,0,0,0.05,1.0,1.0,224.0,288.0,77.8,3257.0,989.0,123.0,137.0,89.8,66.0,84.0,78.6,16.0,35.0,45.7,0.6,0.7,0.4,7.0,30.0,5.0,2.0,42.0,288.0,263.0,24.0,6.0,0.0,2.0,23,2.0,16.0,8.0,8.0,0.0,224.0,1.0,6.0,22.0,3.05,14.0,7.0,0.0,1.0,0.0,0.0,3.0,0.42,1.0,1.0,0.0,1.0,0.0,0.0,9.0,4,4.0,5.0,0.0,2.0,19.0,10.5,17.0,7.0,0.0,7.0,7,16.0,4.0,0.0,371.0,3.0,46.0,192.0,133.0,15.0,371.0,8.0,5.0,62.5,3.0,37.5,184.0,1057.0,629.0,20.0,18.0,3.0,18.0,9.0,259.0,24.0,11,649,59,25.8,7.2,8,71.0,1,3,26.0,11,1.73,6,6,0,0.0,0.24,5.8,6.5,-0.8,-0.11,-0.19,0,10,7,1,23,4,0.0,0.0,0,28.0,4.0,12.0,25.0,-,Central Midfield,9/14/1995,,France,Stade Lavallois,1.78,right,8/29/2019,NÃƒÂ®mes Olympique,6/30/2024,2500000.0,https://www.transfermarkt.com/antonin-bobichon/profil/spieler/344575
8,1228,5425,Antonin Bobichon_2021_Angers,0.8256823036400649,70.47,2021,Angers,Ligue 1,Antonin Bobichon,FRA,"MF,FW",24,1995,23,10,911,10.1,0,1,1,0,0,0,0,0,1.0,1.0,1.4,2.4,20.0,61.0,58.0,0.0,0.1,0.1,0.0,0.1,0.1,0.14,0.24,0.1,0.24,https://fbref.com/en/players/7d937aa1/Antonin-Bobichon,10.1,0,22,3,13.6,2.17,0.3,0.0,0.0,24.1,3.0,0,0,0.04,-1.0,-1.0,441.0,548.0,80.5,7153.0,1993.0,241.0,266.0,90.6,138.0,164.0,84.1,47.0,86.0,54.7,1.4,1.5,-0.4,17.0,39.0,5.0,0.0,61.0,548.0,498.0,50.0,21.0,2.0,12.0,43,3.0,25.0,7.0,15.0,1.0,441.0,0.0,10.0,44.0,4.34,29.0,5.0,3.0,2.0,5.0,0.0,3.0,0.3,2.0,0.0,0.0,1.0,0.0,0.0,23.0,14,10.0,8.0,5.0,9.0,15.0,60.0,6.0,4.0,1.0,3.0,2,25.0,1.0,0.0,652.0,6.0,66.0,363.0,230.0,20.0,652.0,26.0,18.0,69.2,8.0,30.8,419.0,2017.0,915.0,20.0,24.0,3.0,17.0,16.0,478.0,58.0,23,911,40,26.6,10.1,10,73.0,2,13,14.0,15,1.26,11,15,-4,-0.4,0.11,11.7,14.4,-2.7,-0.27,0.02,0,14,16,0,43,14,1.0,0.0,0,58.0,8.0,12.0,40.0,-,Central Midfield,9/14/1995,,France,Stade Lavallois,1.78,right,8/29/2019,NÃƒÂ®mes Olympique,6/30/2024,1800000.0,https://www.transfermarkt.com/antonin-bobichon/profil/spieler/344575
9,1519,8266,Azzedine Ounahi_2022_Angers,-0.4054963925803933,46.31,2022,Angers,Ligue 1,Azzedine Ounahi,MAR,MF,21,2000,32,16,1633,18.1,2,1,3,2,0,0,2,0,2.0,2.0,1.5,3.5,50.0,110.0,79.0,0.11,0.06,0.17,0.11,0.17,0.11,0.08,0.19,0.11,0.19,https://fbref.com/en/players/83299cc0/Azzedine-Ounahi,18.1,2,26,4,15.4,1.43,0.22,0.08,0.5,23.3,0.0,0,0,0.08,0.0,0.0,782.0,909.0,86.0,12548.0,3196.0,389.0,430.0,90.5,307.0,339.0,90.6,59.0,88.0,67.0,1.5,1.4,-0.5,18.0,81.0,17.0,2.0,110.0,909.0,876.0,31.0,9.0,3.0,6.0,19,20.0,0.0,0.0,0.0,0.0,782.0,2.0,13.0,47.0,2.59,36.0,0.0,6.0,1.0,2.0,2.0,4.0,0.22,2.0,0.0,1.0,0.0,1.0,0.0,39.0,22,16.0,22.0,1.0,11.0,40.0,27.5,29.0,19.0,1.0,18.0,26,65.0,13.0,0.0,1143.0,19.0,192.0,669.0,302.0,26.0,1143.0,56.0,26.0,46.4,30.0,53.6,812.0,4611.0,2266.0,50.0,46.0,5.0,52.0,33.0,870.0,79.0,32,1633,51,47.7,18.1,16,85.0,10,16,17.0,1,0.97,19,34,-15,-0.83,-1.03,19.3,29.1,-9.7,-0.54,-0.85,0,20,26,1,19,22,1.0,0.0,0,94.0,13.0,16.0,44.8,-,Central Midfield,4/19/2000,,Morocco,Olympique Marseille,1.82,right,7/14/2021,US Avranches,6/30/2027,12000000.0,https://www.transfermarkt.com/azzedine-ounahi/profil/spieler/593482
