,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,99,13175,Abdul Mumin_2023_Rayo Vallecano,3.079996363168024,96.67,2023,Rayo Vallecano,La Liga,Abdul Mumin,GHA,DF,24,1998,16,9,922,10.2,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,5.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,https://fbref.com/en/players/5487adcd/Abdul-Mumin,10.2,0,6,1,16.7,0.59,0.1,0.0,0.0,11.3,0.0,0,0,0.07,-0.4,-0.4,299.0,390.0,76.7,6424.0,1975.0,73.0,82.0,89.0,180.0,202.0,89.1,45.0,99.0,45.5,0.0,0.1,0.0,1.0,18.0,1.0,1.0,19.0,390.0,370.0,19.0,15.0,0.0,4.0,3,4.0,0.0,0.0,0.0,0.0,299.0,1.0,3.0,6.0,0.59,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9,5.0,6.0,0.0,3.0,7.0,42.9,4.0,13.0,5.0,8.0,9,20.0,36.0,2.0,493.0,59.0,248.0,231.0,19.0,8.0,493.0,9.0,5.0,55.6,4.0,44.4,268.0,1328.0,646.0,5.0,6.0,0.0,4.0,5.0,270.0,1.0,16,922,58,27.0,10.2,9,90.0,9,7,16.0,18,1.25,13,17,-4,-0.39,-0.25,11.1,13.5,-2.3,-0.23,-0.09,0,7,8,0,3,9,0.0,0.0,0,54.0,13.0,18.0,41.9,16,Centre-Back,6/6/1998,,Ghana,,1.88,right,9/1/2022,VitÃƒÂ³ria GuimarÃƒÂ£es SC,6/30/2026,1500000.0,https://www.transfermarkt.com/abdul-mumin/profil/spieler/451801
1,297,11009,Aissa Mandi_2022_Villarreal,0.1083016702080369,55.83,2022,Villarreal,La Liga,AÃƒÂ¯ssa Mandi,ALG,DF,29,1991,17,14,1375,15.3,1,0,1,1,0,0,3,0,2.3,2.3,0.1,2.3,7.0,54.0,2.0,0.07,0.0,0.07,0.07,0.07,0.15,0.0,0.15,0.15,0.15,https://fbref.com/en/players/fbd6378b/Aissa-Mandi,15.3,1,10,3,30.0,0.65,0.2,0.1,0.33,10.1,0.0,0,0,0.23,-1.3,-1.3,920.0,990.0,92.9,17568.0,6054.0,331.0,353.0,93.8,479.0,499.0,96.0,100.0,117.0,85.5,0.1,0.1,-0.1,1.0,30.0,1.0,0.0,54.0,990.0,952.0,37.0,32.0,0.0,12.0,0,1.0,0.0,0.0,0.0,0.0,920.0,1.0,3.0,5.0,0.33,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.07,0.0,0.0,0.0,1.0,0.0,0.0,11.0,5,2.0,8.0,1.0,3.0,6.0,50.0,3.0,17.0,14.0,3.0,13,24.0,49.0,3.0,1111.0,147.0,576.0,506.0,32.0,11.0,1111.0,0.0,0.0,,0.0,,731.0,3373.0,1860.0,7.0,5.0,0.0,6.0,1.0,827.0,2.0,17,1375,81,40.2,15.3,14,90.0,14,3,38.0,19,1.88,28,15,13,0.85,0.28,29.3,20.2,9.0,0.59,0.14,0,14,5,1,0,5,0.0,0.0,1,54.0,26.0,21.0,55.3,23,Centre-Back,10/22/1991,,Algeria,Villarreal CF,1.84,right,7/1/2021,Real Betis BalompiÃƒÂ©,6/30/2025,3000000.0,https://www.transfermarkt.com/aissa-mandi/profil/spieler/80293
2,298,13895,Aissa Mandi_2023_Villarreal,0.4852847827901799,63.33,2023,Villarreal,La Liga,AÃƒÂ¯ssa Mandi,ALG,DF,30,1991,21,16,1461,16.2,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,7.0,36.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,https://fbref.com/en/players/fbd6378b/Aissa-Mandi,16.2,0,2,2,100.0,0.12,0.12,0.0,0.0,19.9,0.0,0,0,0.05,-0.1,-0.1,826.0,911.0,90.7,16064.0,5793.0,288.0,303.0,95.0,427.0,462.0,92.4,98.0,120.0,81.7,0.3,0.4,-0.3,4.0,30.0,3.0,0.0,36.0,911.0,857.0,52.0,24.0,1.0,12.0,2,24.0,0.0,0.0,0.0,0.0,826.0,2.0,4.0,9.0,0.55,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,18.0,10,14.0,3.0,1.0,6.0,12.0,50.0,6.0,19.0,14.0,5.0,21,39.0,58.0,0.0,1051.0,143.0,573.0,429.0,51.0,6.0,1051.0,3.0,1.0,33.3,1.0,33.3,614.0,2874.0,1516.0,7.0,7.0,0.0,3.0,2.0,726.0,9.0,21,1461,70,42.7,16.2,16,86.0,13,5,16.0,17,1.95,34,17,17,1.05,0.96,31.8,23.6,8.2,0.51,0.37,0,16,10,4,2,10,0.0,0.0,0,62.0,20.0,19.0,51.3,23,Centre-Back,10/22/1991,,Algeria,,1.84,right,7/1/2021,Real Betis BalompiÃƒÂ©,6/30/2025,3000000.0,https://www.transfermarkt.com/aissa-mandi/profil/spieler/80293
3,304,11324,Aitor Paredes_2023_Athletic Club,-1.4178569821072502,16.669999999999998,2023,Athletic Club,La Liga,Aitor Paredes,ESP,DF,22,2000,16,9,859,9.5,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,4.0,33.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,https://fbref.com/en/players/b906757a/Aitor-Paredes,9.5,0,8,3,37.5,0.84,0.31,0.0,0.0,12.6,0.0,0,0,0.06,-0.5,-0.5,464.0,521.0,89.1,9712.0,3359.0,133.0,143.0,93.0,258.0,273.0,94.5,68.0,93.0,73.1,0.4,0.2,-0.4,3.0,29.0,2.0,0.0,33.0,521.0,493.0,25.0,12.0,1.0,3.0,2,12.0,0.0,0.0,0.0,0.0,464.0,3.0,2.0,5.0,0.52,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6,4.0,2.0,1.0,6.0,11.0,54.5,5.0,11.0,7.0,4.0,14,21.0,26.0,0.0,600.0,53.0,277.0,296.0,30.0,10.0,600.0,1.0,0.0,0.0,1.0,100.0,343.0,1678.0,895.0,4.0,2.0,0.0,3.0,0.0,377.0,8.0,16,859,54,25.1,9.5,9,89.0,8,7,8.0,22,1.25,9,18,-9,-0.94,-1.4,16.9,12.6,4.3,0.45,0.0,0,12,2,0,2,6,0.0,0.0,1,59.0,21.0,7.0,75.0,31,Centre-Back,4/29/2000,,Spain,,1.85,right,7/1/2022,Bilbao Athletic,6/30/2025,1000000.0,https://www.transfermarkt.com/aitor-paredes/profil/spieler/591916
4,838,700,Anaitz Arbilla_2019_Eibar,-0.12818854399329824,46.67,2019,Eibar,La Liga,Anaitz Arbilla,ESP,DF,31,1987,25,22,1950,21.7,1,2,3,1,0,0,6,1,0.9,0.9,1.1,1.9,26.0,109.0,7.0,0.05,0.09,0.14,0.05,0.14,0.04,0.05,0.09,0.04,0.09,https://fbref.com/en/players/850c0a0d/Anaitz-Arbilla,21.7,1,18,1,5.6,0.83,0.05,0.06,1.0,24.7,3.0,0,0,0.05,0.1,0.1,863.0,1152.0,74.9,20574.0,7115.0,222.0,266.0,83.5,408.0,478.0,85.4,228.0,380.0,60.0,1.1,1.3,0.9,4.0,124.0,5.0,1.0,109.0,1152.0,1077.0,71.0,47.0,1.0,42.0,8,24.0,0.0,0.0,0.0,0.0,863.0,4.0,14.0,16.0,0.74,14.0,0.0,0.0,1.0,1.0,0.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,31.0,24,25.0,5.0,1.0,17.0,27.0,63.0,10.0,12.0,5.0,7.0,46,77.0,92.0,2.0,1380.0,92.0,458.0,833.0,100.0,18.0,1380.0,6.0,4.0,66.7,2.0,33.3,686.0,4776.0,2605.0,26.0,23.0,1.0,15.0,5.0,721.0,7.0,25,1950,78,57.0,21.7,22,88.0,19,3,5.0,2,1.24,26,31,-5,-0.23,-0.29,30.8,25.9,4.9,0.22,-0.02,1,14,5,0,8,24,0.0,0.0,0,151.0,59.0,41.0,59.0,23,Centre-Back,5/15/1987,,Spain,SD Eibar,1.78,right,8/30/2016,RCD Espanyol Barcelona,6/30/2024,1600000.0,https://www.transfermarkt.com/anaitz-arbilla/profil/spieler/71548
5,839,3383,Anaitz Arbilla_2020_Eibar,0.921091533027891,74.17,2020,Eibar,La Liga,Anaitz Arbilla,ESP,DF,32,1987,24,22,2007,22.3,1,0,1,1,0,0,5,0,0.7,0.7,0.3,1.0,21.0,104.0,17.0,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,https://fbref.com/en/players/850c0a0d/Anaitz-Arbilla,22.3,1,14,2,14.3,0.63,0.09,0.07,0.5,24.9,3.0,0,0,0.05,0.3,0.3,872.0,1215.0,71.8,19842.0,7149.0,274.0,322.0,85.1,400.0,501.0,79.8,190.0,349.0,54.4,0.3,0.6,-0.3,6.0,91.0,10.0,3.0,104.0,1215.0,1063.0,147.0,53.0,0.0,45.0,30,94.0,0.0,0.0,0.0,0.0,872.0,5.0,15.0,23.0,1.03,18.0,2.0,1.0,2.0,0.0,0.0,1.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,33.0,20,23.0,8.0,2.0,16.0,34.0,47.1,18.0,20.0,4.0,16.0,29,62.0,82.0,0.0,1421.0,106.0,505.0,772.0,166.0,8.0,1421.0,13.0,9.0,69.2,4.0,30.8,725.0,4319.0,2018.0,21.0,17.0,1.0,15.0,7.0,709.0,17.0,24,2007,84,58.7,22.3,22,90.0,20,2,19.0,1,1.0,23,39,-16,-0.72,-0.65,24.3,33.4,-9.1,-0.41,-0.28,0,22,12,0,30,20,0.0,0.0,0,173.0,56.0,33.0,62.9,23,Centre-Back,5/15/1987,,Spain,SD Eibar,1.78,right,8/30/2016,RCD Espanyol Barcelona,6/30/2024,1000000.0,https://www.transfermarkt.com/anaitz-arbilla/profil/spieler/71548
6,840,6125,Anaitz Arbilla_2021_Eibar,1.234596209825978,80.0,2021,Eibar,La Liga,Anaitz Arbilla,ESP,DF,33,1987,34,30,2807,31.2,0,1,1,0,0,0,8,0,1.8,1.8,0.9,2.7,37.0,173.0,19.0,0.0,0.03,0.03,0.0,0.03,0.06,0.03,0.09,0.06,0.09,https://fbref.com/en/players/850c0a0d/Anaitz-Arbilla,31.2,0,27,2,7.4,0.87,0.06,0.0,0.0,27.1,5.0,0,0,0.07,-1.8,-1.8,1459.0,1932.0,75.5,31846.0,12343.0,482.0,547.0,88.1,656.0,790.0,83.0,300.0,543.0,55.2,0.9,1.3,0.1,10.0,179.0,17.0,8.0,173.0,1932.0,1652.0,278.0,88.0,0.0,82.0,43,190.0,0.0,0.0,0.0,0.0,1459.0,2.0,21.0,44.0,1.41,31.0,3.0,4.0,2.0,2.0,2.0,4.0,0.13,2.0,0.0,1.0,1.0,0.0,0.0,45.0,26,31.0,11.0,3.0,27.0,54.0,50.0,27.0,36.0,11.0,25.0,69,114.0,73.0,1.0,2222.0,119.0,720.0,1256.0,284.0,13.0,2222.0,30.0,25.0,83.3,5.0,16.7,1109.0,6550.0,3244.0,37.0,26.0,3.0,22.0,9.0,1156.0,19.0,34,2807,83,82.1,31.2,30,90.0,30,4,27.0,0,0.79,23,46,-23,-0.74,-0.74,37.8,36.9,0.9,0.03,0.22,0,36,13,0,43,26,0.0,2.0,0,245.0,68.0,53.0,56.2,,Centre-Back,,,,,,,,,,1000000.0,
7,982,11436,Andreas Christensen_2023_Barcelona,-2.247159538761593,7.08,2023,Barcelona,La Liga,Andreas Christensen,DEN,DF,26,1996,23,22,1760,19.6,1,1,2,1,0,0,2,0,1.0,1.0,0.5,1.5,18.0,91.0,5.0,0.05,0.05,0.1,0.05,0.1,0.05,0.03,0.08,0.05,0.08,https://fbref.com/en/players/1cb49278/Andreas-Christensen,19.6,1,10,5,50.0,0.51,0.26,0.1,0.2,12.2,0.0,0,0,0.1,0.0,0.0,1416.0,1507.0,94.0,25804.0,8685.0,549.0,580.0,94.7,740.0,761.0,97.2,113.0,142.0,79.6,0.5,0.9,0.5,6.0,114.0,4.0,0.0,91.0,1507.0,1445.0,62.0,48.0,3.0,14.0,1,10.0,0.0,0.0,0.0,0.0,1416.0,0.0,7.0,15.0,0.77,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,20.0,15,9.0,11.0,0.0,10.0,16.0,62.5,6.0,14.0,12.0,2.0,21,41.0,47.0,0.0,1652.0,127.0,645.0,962.0,50.0,13.0,1652.0,2.0,0.0,0.0,2.0,100.0,1170.0,5841.0,3232.0,18.0,15.0,0.0,10.0,1.0,1257.0,5.0,23,1760,77,51.5,19.6,22,80.0,15,1,6.0,4,2.3,33,13,20,1.02,-0.6,34.9,19.5,15.4,0.79,-0.67,0,18,7,0,1,15,0.0,0.0,1,107.0,42.0,19.0,68.9,15,Centre-Back,4/10/1996,,Denmark,,1.87,right,7/4/2022,Chelsea FC,6/30/2026,40000000.0,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948
8,1269,9853,Antonio Raillo_2022_Mallorca,-0.9259746666518011,27.500000000000004,2022,Mallorca,La Liga,Antonio Raillo,ESP,DF,29,1991,17,17,1530,17.0,2,0,2,2,0,0,8,0,0.7,0.7,0.0,0.7,15.0,50.0,0.0,0.12,0.0,0.12,0.12,0.12,0.04,0.0,0.04,0.04,0.04,https://fbref.com/en/players/b857bd29/Antonio-Raillo,17.0,2,9,4,44.4,0.53,0.24,0.22,0.5,11.6,0.0,0,0,0.08,1.3,1.3,532.0,624.0,85.3,10123.0,3924.0,194.0,210.0,92.4,256.0,277.0,92.4,70.0,115.0,60.9,0.0,0.1,0.0,0.0,28.0,1.0,0.0,50.0,624.0,591.0,31.0,30.0,0.0,7.0,1,1.0,0.0,0.0,0.0,0.0,532.0,2.0,5.0,7.0,0.41,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7,10.0,4.0,2.0,5.0,6.0,83.3,1.0,17.0,14.0,3.0,18,34.0,81.0,0.0,790.0,138.0,465.0,295.0,36.0,14.0,790.0,1.0,0.0,0.0,1.0,100.0,413.0,2664.0,1534.0,15.0,7.0,0.0,8.0,1.0,433.0,0.0,17,1530,90,44.7,17.0,17,90.0,17,0,,0,1.18,20,30,-10,-0.59,0.22,19.3,21.5,-2.1,-0.13,0.27,0,20,14,1,1,7,0.0,0.0,1,66.0,27.0,28.0,49.1,21,Centre-Back,10/8/1991,,Spain,RCD Mallorca,1.87,Ã‚Â ,7/1/2016,RCD Espanyol Barcelona,6/30/2026,4000000.0,https://www.transfermarkt.com/antonio-raillo/profil/spieler/278296
9,1270,12724,Antonio Raillo_2023_Mallorca,-1.1262393288434185,22.919999999999998,2023,Mallorca,La Liga,Antonio Raillo,ESP,DF,30,1991,31,31,2766,30.7,2,3,5,2,0,0,11,1,0.6,0.6,1.1,1.7,8.0,50.0,5.0,0.07,0.1,0.16,0.07,0.16,0.02,0.03,0.05,0.02,0.05,https://fbref.com/en/players/b857bd29/Antonio-Raillo,30.7,2,13,5,38.5,0.42,0.16,0.15,0.4,13.9,0.0,0,0,0.05,1.4,1.4,902.0,1088.0,82.9,18671.0,6723.0,230.0,271.0,84.9,566.0,612.0,92.5,99.0,173.0,57.2,1.1,0.6,1.9,7.0,32.0,0.0,0.0,50.0,1088.0,1022.0,62.0,57.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,902.0,4.0,6.0,15.0,0.48,11.0,1.0,0.0,1.0,2.0,0.0,5.0,0.16,4.0,0.0,0.0,0.0,1.0,0.0,34.0,21,23.0,11.0,0.0,10.0,15.0,66.7,5.0,38.0,29.0,9.0,31,65.0,158.0,1.0,1413.0,247.0,798.0,579.0,53.0,34.0,1413.0,3.0,2.0,66.7,1.0,33.3,706.0,4410.0,2519.0,8.0,4.0,0.0,9.0,3.0,713.0,5.0,31,2766,89,80.9,30.7,31,89.0,30,0,,0,1.32,31,31,0,0.0,0.83,29.8,32.3,-2.5,-0.08,1.17,0,42,21,5,0,21,1.0,0.0,0,140.0,92.0,51.0,64.3,21,Centre-Back,10/8/1991,,Spain,,1.87,Ã‚Â ,7/1/2016,RCD Espanyol Barcelona,6/30/2026,4000000.0,https://www.transfermarkt.com/antonio-raillo/profil/spieler/278296
