,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,161,3578,Adama Soumaoro_2020_Genoa,-3.132179563879301,2.62,2020,Genoa,Serie A,Adama Soumaoro,FRA,DF,27,1992,8,7,637,7.1,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,0.0,9.0,1.0,0.14,0.0,0.14,0.14,0.14,0.05,0.01,0.07,0.05,0.07,https://fbref.com/en/players/7b075c75/Adama-Soumaoro,7.1,1,1,1,100.0,0.14,0.14,1.0,1.0,5.7,0.0,0,0,0.36,0.6,0.6,302.0,327.0,92.4,6077.0,1794.0,90.0,98.0,91.8,164.0,172.0,95.3,44.0,49.0,89.8,0.1,0.0,-0.1,2.0,3.0,0.0,0.0,9.0,327.0,314.0,13.0,12.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2,3.0,0.0,0.0,1.0,3.0,33.3,2.0,12.0,12.0,0.0,11,14.0,32.0,0.0,392.0,66.0,209.0,178.0,7.0,5.0,392.0,0.0,0.0,,0.0,,235.0,983.0,374.0,0.0,4.0,1.0,2.0,0.0,240.0,1.0,8,637,80,18.6,7.1,7,85.0,6,1,45.0,4,1.38,13,14,-1,-0.14,0.67,10.5,9.0,1.5,0.22,0.63,0,4,0,1,0,2,0.0,0.0,0,35.0,20.0,7.0,74.1,,Centre-Back,,,,,,,,,,4000000.0,
1,163,5774,Adama Soumaoro_2021_Bologna,-2.3233933316801654,4.37,2021,Bologna,Serie A,Adama Soumaoro,FRA,DF,28,1992,20,19,1755,19.5,1,0,1,1,0,0,4,0,1.4,1.4,0.1,1.4,12.0,51.0,1.0,0.05,0.0,0.05,0.05,0.05,0.07,0.0,0.07,0.07,0.07,https://fbref.com/en/players/7b075c75/Adama-Soumaoro,19.5,1,8,2,25.0,0.41,0.1,0.13,0.5,9.5,0.0,0,0,0.17,-0.4,-0.4,822.0,925.0,88.9,14538.0,4983.0,337.0,375.0,89.9,415.0,448.0,92.6,61.0,77.0,79.2,0.1,0.1,-0.1,3.0,21.0,0.0,0.0,51.0,925.0,853.0,71.0,67.0,0.0,1.0,0,4.0,0.0,0.0,0.0,0.0,822.0,1.0,5.0,12.0,0.62,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,24.0,14,17.0,7.0,0.0,6.0,12.0,50.0,6.0,28.0,23.0,5.0,20,44.0,72.0,0.0,1114.0,152.0,570.0,521.0,30.0,11.0,1114.0,6.0,6.0,100.0,0.0,0.0,531.0,2644.0,1435.0,12.0,6.0,0.0,7.0,2.0,625.0,1.0,20,1755,88,51.3,19.5,19,90.0,19,1,45.0,1,1.05,27,33,-6,-0.31,0.12,30.6,33.4,-2.9,-0.15,0.13,0,33,19,0,0,14,0.0,3.0,0,111.0,60.0,15.0,80.0,5,Centre-Back,6/18/1992,,France,Bologna FC 1909,1.86,right,7/1/2021,LOSC Lille,6/30/2024,4000000.0,https://www.transfermarkt.com/adama-soumaoro/profil/spieler/126673
2,165,8622,Adama Soumaoro_2022_Bologna,-2.161238175017547,4.96,2022,Bologna,Serie A,Adama Soumaoro,FRA,DF,29,1992,28,26,2266,25.2,0,0,0,0,0,0,6,2,0.9,0.9,0.0,0.9,16.0,61.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,https://fbref.com/en/players/7b075c75/Adama-Soumaoro,25.2,0,8,2,25.0,0.32,0.08,0.0,0.0,8.3,0.0,0,0,0.11,-0.9,-0.9,930.0,1043.0,89.2,15111.0,5118.0,438.0,472.0,92.8,418.0,464.0,90.1,49.0,63.0,77.8,0.0,0.3,0.0,1.0,43.0,2.0,0.0,61.0,1043.0,989.0,53.0,41.0,1.0,3.0,2,12.0,0.0,0.0,0.0,0.0,930.0,1.0,11.0,12.0,0.48,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,15.0,5,5.0,8.0,2.0,4.0,9.0,44.4,5.0,22.0,16.0,6.0,34,49.0,95.0,0.0,1253.0,136.0,563.0,616.0,80.0,17.0,1253.0,10.0,8.0,80.0,2.0,20.0,628.0,3045.0,1642.0,16.0,20.0,1.0,13.0,5.0,766.0,10.0,28,2266,81,66.3,25.2,26,86.0,23,2,19.0,5,1.25,27,26,1,0.04,0.98,30.3,32.2,-1.9,-0.07,0.38,0,24,16,1,2,5,0.0,1.0,1,108.0,45.0,16.0,73.8,5,Centre-Back,6/18/1992,,France,Bologna FC 1909,1.86,right,7/1/2021,LOSC Lille,6/30/2024,3000000.0,https://www.transfermarkt.com/adama-soumaoro/profil/spieler/126673
3,166,11565,Adama Soumaoro_2023_Bologna,1.040539675823578,77.25999999999999,2023,Bologna,Serie A,Adama Soumaoro,FRA,DF,30,1992,23,22,1867,20.7,0,0,0,0,0,0,5,1,0.3,0.3,0.0,0.3,7.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,https://fbref.com/en/players/7b075c75/Adama-Soumaoro,20.7,0,2,1,50.0,0.1,0.05,0.0,0.0,8.8,0.0,0,0,0.16,-0.3,-0.3,996.0,1075.0,92.7,18518.0,6098.0,358.0,376.0,95.2,550.0,580.0,94.8,78.0,95.0,82.1,0.0,0.1,0.0,1.0,28.0,1.0,0.0,50.0,1075.0,1021.0,48.0,47.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,996.0,6.0,5.0,7.0,0.34,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,25.0,17,11.0,12.0,2.0,5.0,7.0,71.4,2.0,18.0,13.0,5.0,15,40.0,75.0,1.0,1226.0,158.0,649.0,557.0,23.0,7.0,1226.0,3.0,2.0,66.7,0.0,0.0,721.0,3553.0,1787.0,7.0,5.0,0.0,6.0,1.0,830.0,1.0,23,1867,81,54.6,20.7,22,84.0,18,1,25.0,4,1.39,28,25,3,0.14,0.09,22.6,26.0,-3.5,-0.17,-0.09,1,21,12,0,0,17,0.0,0.0,0,96.0,31.0,15.0,67.4,5,Centre-Back,6/18/1992,,France,,1.86,right,7/1/2021,LOSC Lille,6/30/2024,3000000.0,https://www.transfermarkt.com/adama-soumaoro/profil/spieler/126673
4,321,3648,Alan Empereur_2020_Hellas Verona,-0.05958508838145573,51.6,2020,Hellas Verona,Serie A,Alan Empereur,BRA,DF,25,1994,13,8,855,9.5,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,6.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,https://fbref.com/en/players/825b8997/Alan-Empereur,9.5,0,2,0,0.0,0.21,0.0,0.0,,14.0,0.0,0,0,0.05,-0.1,-0.1,394.0,468.0,84.2,7141.0,3168.0,149.0,173.0,86.1,192.0,214.0,89.7,42.0,63.0,66.7,0.0,0.1,0.0,1.0,29.0,1.0,0.0,32.0,468.0,438.0,29.0,23.0,0.0,2.0,2,6.0,0.0,0.0,0.0,0.0,394.0,1.0,6.0,5.0,0.53,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8,11.0,4.0,1.0,6.0,10.0,60.0,4.0,19.0,12.0,7.0,22,38.0,36.0,0.0,575.0,63.0,280.0,270.0,28.0,4.0,575.0,2.0,2.0,100.0,0.0,0.0,326.0,1178.0,612.0,6.0,11.0,2.0,5.0,3.0,347.0,2.0,13,855,66,25.0,9.5,8,88.0,7,5,31.0,19,1.08,15,18,-3,-0.32,-0.28,10.8,16.6,-5.9,-0.62,-0.71,0,18,9,0,2,8,0.0,1.0,0,44.0,22.0,17.0,56.4,-,Centre-Back,3/10/1994,,Brazil,CuiabÃƒÂ¡ Esporte Clube (MT),1.86,left,8/17/2018,Foggia Calcio,12/31/2024,1000000.0,https://www.transfermarkt.com/alan-empereur/profil/spieler/169179
5,438,3735,Alessandro Bastoni_2020_Inter,0.6483190190591822,66.75999999999999,2020,Inter,Serie A,Alessandro Bastoni,ITA,DF,20,1999,25,21,1921,21.3,2,0,2,2,0,0,9,1,1.3,1.3,0.7,2.0,50.0,107.0,24.0,0.09,0.0,0.09,0.09,0.09,0.06,0.03,0.09,0.06,0.09,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,21.3,2,8,4,50.0,0.37,0.19,0.25,0.5,10.1,0.0,0,0,0.16,0.7,0.7,1278.0,1460.0,87.5,23424.0,7663.0,514.0,537.0,95.7,605.0,656.0,92.2,137.0,206.0,66.5,0.7,0.8,-0.7,12.0,88.0,8.0,2.0,107.0,1460.0,1368.0,85.0,63.0,1.0,27.0,20,22.0,0.0,0.0,0.0,0.0,1278.0,7.0,17.0,36.0,1.69,29.0,1.0,2.0,3.0,0.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,32.0,17,14.0,11.0,7.0,15.0,24.0,62.5,9.0,18.0,9.0,9.0,26,58.0,54.0,0.0,1637.0,168.0,642.0,875.0,145.0,15.0,1637.0,14.0,11.0,78.6,3.0,21.4,1001.0,5652.0,3824.0,50.0,30.0,4.0,13.0,7.0,1173.0,24.0,25,1921,77,56.2,21.3,21,87.0,16,4,25.0,11,2.0,51,23,28,1.31,0.29,41.9,22.8,19.1,0.89,0.31,1,37,28,0,20,17,0.0,1.0,0,135.0,43.0,25.0,63.2,95,Centre-Back,4/13/1999,,Italy,Inter Milan,1.9,left,8/30/2017,Atalanta BC,6/30/2028,60000000.0,https://www.transfermarkt.com/alessandro-bastoni/profil/spieler/315853
6,439,6540,Alessandro Bastoni_2021_Inter,0.9872223584874217,75.22,2021,Inter,Serie A,Alessandro Bastoni,ITA,DF,21,1999,33,33,2922,32.5,0,3,3,0,0,0,6,0,1.0,1.0,1.5,2.4,70.0,146.0,60.0,0.0,0.09,0.09,0.0,0.09,0.03,0.04,0.08,0.03,0.08,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,32.5,0,10,1,10.0,0.31,0.03,0.0,0.0,9.9,0.0,0,0,0.1,-1.0,-1.0,2065.0,2306.0,89.5,37276.0,10450.0,910.0,952.0,95.6,899.0,961.0,93.5,226.0,315.0,71.7,1.5,1.4,1.5,12.0,150.0,16.0,4.0,146.0,2306.0,2175.0,124.0,63.0,1.0,24.0,24,32.0,0.0,0.0,0.0,0.0,2065.0,7.0,24.0,41.0,1.26,36.0,0.0,0.0,1.0,2.0,2.0,6.0,0.18,6.0,0.0,0.0,0.0,0.0,0.0,36.0,22,13.0,21.0,2.0,17.0,27.0,63.0,10.0,34.0,16.0,18.0,40,76.0,75.0,0.0,2547.0,245.0,931.0,1357.0,278.0,19.0,2547.0,15.0,12.0,80.0,3.0,20.0,1649.0,8511.0,5492.0,70.0,55.0,2.0,19.0,6.0,1923.0,60.0,33,2922,89,85.4,32.5,33,89.0,29,0,,3,2.45,71,26,45,1.39,-0.24,60.4,31.9,28.5,0.88,-0.18,0,40,28,0,24,22,0.0,0.0,0,164.0,48.0,32.0,60.0,95,Centre-Back,4/13/1999,,Italy,Inter Milan,1.9,left,8/30/2017,Atalanta BC,6/30/2028,60000000.0,https://www.transfermarkt.com/alessandro-bastoni/profil/spieler/315853
7,440,9410,Alessandro Bastoni_2022_Inter,-0.5797332251367472,36.15,2022,Inter,Serie A,Alessandro Bastoni,ITA,DF,22,1999,31,29,2311,25.7,1,2,3,1,0,0,4,0,0.3,0.3,2.0,2.3,30.0,132.0,34.0,0.04,0.08,0.12,0.04,0.12,0.01,0.08,0.09,0.01,0.09,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,25.7,1,9,2,22.2,0.35,0.08,0.11,0.5,20.5,0.0,0,0,0.04,0.7,0.7,1599.0,1810.0,88.3,29365.0,9419.0,666.0,723.0,92.1,720.0,777.0,92.7,177.0,237.0,74.7,2.0,1.7,0.0,14.0,120.0,16.0,5.0,132.0,1810.0,1684.0,120.0,58.0,2.0,29.0,29,30.0,2.0,0.0,0.0,0.0,1599.0,6.0,25.0,45.0,1.75,39.0,0.0,2.0,2.0,0.0,2.0,5.0,0.19,5.0,0.0,0.0,0.0,0.0,0.0,44.0,25,28.0,13.0,3.0,17.0,34.0,50.0,17.0,22.0,12.0,10.0,35,79.0,59.0,1.0,2036.0,242.0,881.0,956.0,218.0,18.0,2036.0,19.0,11.0,57.9,8.0,42.1,1280.0,5399.0,3236.0,30.0,30.0,5.0,21.0,5.0,1448.0,34.0,31,2311,75,67.6,25.7,29,78.0,13,2,27.0,1,2.35,57,18,39,1.52,0.46,50.5,26.1,24.4,0.95,-0.52,0,30,28,0,29,25,0.0,1.0,0,152.0,43.0,26.0,62.3,95,Centre-Back,4/13/1999,,Italy,Inter Milan,1.9,left,8/30/2017,Atalanta BC,6/30/2028,60000000.0,https://www.transfermarkt.com/alessandro-bastoni/profil/spieler/315853
8,441,12290,Alessandro Bastoni_2023_Inter,-1.831745703938022,9.04,2023,Inter,Serie A,Alessandro Bastoni,ITA,DF,23,1999,29,26,2157,24.0,0,2,2,0,0,0,3,0,1.0,1.0,2.7,3.7,47.0,141.0,44.0,0.0,0.08,0.08,0.0,0.08,0.04,0.11,0.15,0.04,0.15,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,24.0,0,12,3,25.0,0.5,0.13,0.0,0.0,13.1,0.0,0,0,0.09,-1.0,-1.0,1384.0,1671.0,82.8,27841.0,9878.0,486.0,539.0,90.2,677.0,751.0,90.1,207.0,324.0,63.9,2.7,2.9,-0.7,15.0,130.0,29.0,11.0,141.0,1671.0,1510.0,152.0,53.0,2.0,24.0,49,77.0,0.0,0.0,0.0,0.0,1384.0,9.0,24.0,52.0,2.17,43.0,4.0,1.0,2.0,2.0,0.0,5.0,0.21,3.0,1.0,0.0,0.0,1.0,0.0,41.0,20,20.0,14.0,7.0,11.0,27.0,40.7,16.0,27.0,13.0,14.0,24,65.0,45.0,0.0,1857.0,201.0,796.0,821.0,250.0,30.0,1857.0,15.0,8.0,53.3,6.0,40.0,1137.0,5797.0,3688.0,47.0,31.0,3.0,13.0,6.0,1310.0,44.0,29,2157,74,63.1,24.0,26,80.0,16,3,25.0,8,1.9,42,25,17,0.71,-0.15,42.5,21.9,20.6,0.86,0.07,0,19,15,1,49,20,0.0,0.0,0,117.0,39.0,23.0,62.9,95,Centre-Back,4/13/1999,,Italy,,1.9,left,8/30/2017,Atalanta BC,6/30/2028,60000000.0,https://www.transfermarkt.com/alessandro-bastoni/profil/spieler/315853
9,445,7878,Alessandro Buongiorno_2021_Torino,-1.154261668452371,19.53,2021,Torino,Serie A,Alessandro Buongiorno,ITA,DF,21,1999,12,9,858,9.5,0,0,0,0,0,0,4,0,0.3,0.3,0.0,0.3,9.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,https://fbref.com/en/players/4ae67f27/Alessandro-Buongiorno,9.5,0,3,0,0.0,0.31,0.0,0.0,,6.7,0.0,0,0,0.11,-0.3,-0.3,362.0,436.0,83.0,6290.0,2048.0,138.0,156.0,88.5,196.0,212.0,92.5,21.0,53.0,39.6,0.0,0.1,0.0,1.0,25.0,1.0,1.0,30.0,436.0,413.0,23.0,18.0,0.0,3.0,1,5.0,0.0,0.0,0.0,0.0,362.0,0.0,4.0,2.0,0.21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5,8.0,4.0,0.0,7.0,12.0,58.3,5.0,15.0,9.0,6.0,11,23.0,44.0,1.0,550.0,69.0,237.0,292.0,22.0,5.0,550.0,3.0,3.0,100.0,0.0,0.0,312.0,1726.0,1108.0,9.0,2.0,0.0,13.0,2.0,340.0,3.0,12,858,72,25.1,9.5,9,83.0,7,3,36.0,24,0.83,10,19,-9,-0.94,-0.59,10.6,17.9,-7.3,-0.77,-0.6,0,17,11,1,1,5,0.0,0.0,0,43.0,22.0,10.0,68.8,4,Centre-Back,6/6/1999,,Italy,Torino FC,1.94,left,7/1/2018,Torino Primavera,6/30/2025,4000000.0,https://www.transfermarkt.com/alessandro-buongiorno/profil/spieler/386446
