,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,57,9852,Abdon Prats_2022_Mallorca,-1.5359036627833362,17.79,2022,Mallorca,La Liga,AbdÃƒÂ³n Prats,ESP,FW,28,1992,23,6,641,7.1,3,0,3,3,0,0,3,0,1.5,1.5,0.7,2.2,4.0,17.0,33.0,0.42,0.0,0.42,0.42,0.42,0.21,0.1,0.31,0.21,0.31,https://fbref.com/en/players/d1b060e2/Abdon-Prats,7.1,3,18,6,33.3,2.53,0.84,0.17,0.5,15.9,2.0,0,0,0.08,1.5,1.5,104.0,156.0,66.7,1283.0,294.0,64.0,96.0,66.7,22.0,28.0,78.6,4.0,7.0,57.1,0.7,0.4,-0.7,10.0,9.0,4.0,0.0,17.0,156.0,139.0,17.0,1.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,104.0,0.0,5.0,18.0,2.53,12.0,1.0,0.0,2.0,2.0,1.0,1.0,0.14,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2,1.0,0.0,1.0,1.0,5.0,20.0,4.0,5.0,0.0,5.0,1,3.0,6.0,0.0,232.0,5.0,20.0,108.0,106.0,28.0,232.0,11.0,7.0,63.6,4.0,36.4,115.0,473.0,161.0,4.0,5.0,2.0,17.0,21.0,158.0,33.0,23,641,28,18.7,7.1,6,61.0,0,17,16.0,14,1.04,9,16,-7,-0.98,-0.34,7.8,8.2,-0.4,-0.05,0.27,0,8,15,2,2,2,0.0,0.0,0,21.0,31.0,30.0,50.8,9,Centre-Forward,12/7/1992,,Spain,RCD Mallorca,1.81,left,7/4/2017,Racing Santander,6/30/2024,1200000.0,https://www.transfermarkt.com/abdon-prats/profil/spieler/177452
1,215,4515,Adrian Lopez_2020_Osasuna,-0.989709697441313,33.129999999999995,2020,Osasuna,La Liga,AdriÃƒÂ¡n LÃƒÂ³pez,ESP,FW,31,1988,26,17,1443,16.0,2,0,2,1,1,1,0,0,3.1,2.3,3.0,5.3,58.0,50.0,110.0,0.12,0.0,0.12,0.06,0.06,0.19,0.19,0.38,0.14,0.33,https://fbref.com/en/players/88a359d4/Adrian-Lopez,16.0,2,17,7,41.2,1.06,0.44,0.06,0.14,15.4,0.0,1,1,0.14,-1.1,-1.3,350.0,505.0,69.3,4279.0,901.0,231.0,294.0,78.6,79.0,125.0,63.2,9.0,19.0,47.4,3.0,1.8,-3.0,26.0,31.0,7.0,2.0,50.0,505.0,486.0,15.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,350.0,4.0,13.0,52.0,3.24,47.0,0.0,4.0,1.0,0.0,0.0,6.0,0.37,5.0,0.0,0.0,1.0,0.0,0.0,7.0,5,1.0,5.0,1.0,2.0,19.0,10.5,17.0,6.0,2.0,4.0,4,11.0,8.0,0.0,638.0,11.0,33.0,289.0,319.0,65.0,637.0,44.0,23.0,52.3,21.0,47.7,400.0,2713.0,1412.0,58.0,38.0,23.0,29.0,24.0,511.0,110.0,26,1443,56,42.2,16.0,17,71.0,0,9,26.0,4,1.27,18,21,-3,-0.19,0.04,22.9,20.1,2.8,0.17,0.3,0,9,6,6,16,5,0.0,0.0,0,37.0,43.0,71.0,37.7,-,Centre-Forward,1/8/1988,,Spain,Without Club,1.83,right,7/30/2019,FC Porto,,1200000.0,https://www.transfermarkt.com/adrian-lopez/profil/spieler/45383
2,216,7297,Adrian Lopez_2021_Osasuna,0.223726121996286,63.800000000000004,2021,Osasuna,La Liga,AdriÃƒÂ¡n LÃƒÂ³pez,ESP,"FW,MF",32,1988,17,5,481,5.3,1,1,2,1,0,0,0,0,1.4,1.4,0.2,1.6,12.0,23.0,43.0,0.19,0.19,0.37,0.19,0.37,0.27,0.03,0.3,0.27,0.3,https://fbref.com/en/players/88a359d4/Adrian-Lopez,5.3,1,10,2,20.0,1.87,0.37,0.1,0.5,14.2,0.0,0,0,0.14,-0.4,-0.4,137.0,191.0,71.7,1792.0,386.0,86.0,107.0,80.4,39.0,54.0,72.2,5.0,9.0,55.6,0.2,0.2,0.8,4.0,10.0,6.0,1.0,23.0,191.0,187.0,3.0,0.0,0.0,0.0,5,1.0,0.0,0.0,0.0,0.0,137.0,1.0,3.0,16.0,3.0,11.0,0.0,2.0,2.0,1.0,0.0,2.0,0.37,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3,0.0,1.0,2.0,1.0,5.0,20.0,4.0,3.0,0.0,3.0,0,3.0,3.0,0.0,257.0,3.0,21.0,107.0,132.0,26.0,257.0,21.0,9.0,42.9,12.0,57.1,139.0,905.0,335.0,12.0,11.0,6.0,22.0,9.0,201.0,43.0,17,481,28,14.1,5.3,5,68.0,0,12,12.0,11,1.12,6,5,1,0.19,0.55,6.1,7.0,-0.9,-0.17,0.08,0,4,4,4,5,3,0.0,0.0,0,22.0,17.0,29.0,37.0,,Centre-Forward,,,,,,,,,,1200000.0,
3,588,4675,Alexander Isak_2020_Real Sociedad,0.6905252479050795,73.61999999999999,2020,Real Sociedad,La Liga,Alexander Isak,SWE,FW,19,1999,37,14,1507,16.7,9,1,10,9,0,0,3,0,7.3,7.3,2.3,9.5,46.0,36.0,98.0,0.54,0.06,0.6,0.54,0.6,0.43,0.14,0.57,0.43,0.57,https://fbref.com/en/players/8e92be30/Alexander-Isak,16.7,9,44,22,50.0,2.63,1.31,0.2,0.41,13.5,1.0,0,0,0.17,1.7,1.7,215.0,298.0,72.1,2902.0,530.0,119.0,157.0,75.8,67.0,84.0,79.8,8.0,12.0,66.7,2.3,2.1,-1.3,14.0,17.0,14.0,1.0,36.0,298.0,263.0,35.0,1.0,3.0,1.0,9,0.0,1.0,0.0,0.0,0.0,215.0,0.0,15.0,31.0,1.85,22.0,0.0,3.0,2.0,3.0,1.0,4.0,0.24,2.0,0.0,0.0,1.0,0.0,1.0,7.0,2,0.0,3.0,4.0,1.0,8.0,12.5,7.0,8.0,0.0,8.0,3,10.0,6.0,0.0,481.0,6.0,13.0,212.0,266.0,98.0,481.0,30.0,17.0,56.7,13.0,43.3,312.0,2153.0,1099.0,46.0,30.0,24.0,59.0,37.0,360.0,98.0,37,1507,41,44.1,16.7,14,71.0,1,23,22.0,1,1.51,25,21,4,0.24,0.05,24.5,21.8,2.6,0.16,0.01,0,22,15,14,9,2,0.0,0.0,0,29.0,23.0,38.0,37.7,-,Centre-Forward,9/21/1999,,Sweden,Newcastle United,1.92,right,7/1/2019,Borussia Dortmund,6/30/2028,40000000.0,https://www.transfermarkt.com/alexander-isak/profil/spieler/349066
4,589,7451,Alexander Isak_2021_Real Sociedad,1.6254362902350368,85.28,2021,Real Sociedad,La Liga,Alexander Isak,SWE,FW,20,1999,34,30,2340,26.0,17,2,19,17,0,1,4,0,16.8,16.0,1.8,17.8,44.0,44.0,153.0,0.65,0.08,0.73,0.65,0.73,0.64,0.07,0.71,0.61,0.68,https://fbref.com/en/players/8e92be30/Alexander-Isak,26.0,17,80,40,50.0,3.08,1.54,0.21,0.43,13.4,5.0,0,1,0.2,0.2,1.0,319.0,451.0,70.7,4637.0,758.0,175.0,225.0,77.8,106.0,133.0,79.7,17.0,31.0,54.8,1.8,2.2,0.2,10.0,11.0,17.0,0.0,44.0,451.0,399.0,49.0,1.0,5.0,0.0,18,1.0,0.0,0.0,0.0,0.0,319.0,3.0,17.0,50.0,1.92,25.0,1.0,8.0,6.0,9.0,1.0,6.0,0.23,3.0,0.0,0.0,1.0,2.0,0.0,9.0,5,0.0,3.0,6.0,3.0,8.0,37.5,5.0,17.0,1.0,16.0,3,12.0,7.0,0.0,704.0,8.0,25.0,303.0,390.0,141.0,703.0,67.0,38.0,56.7,29.0,43.3,403.0,2549.0,1218.0,44.0,33.0,25.0,54.0,28.0,522.0,153.0,34,2340,69,68.4,26.0,30,75.0,5,4,26.0,4,1.59,39,22,17,0.65,0.32,41.6,24.6,17.1,0.66,0.28,0,26,33,22,18,5,3.0,0.0,0,50.0,38.0,68.0,35.8,-,Centre-Forward,9/21/1999,,Sweden,Newcastle United,1.92,right,7/1/2019,Borussia Dortmund,6/30/2028,30000000.0,https://www.transfermarkt.com/alexander-isak/profil/spieler/349066
5,590,10363,Alexander Isak_2022_Real Sociedad,0.3964447524423176,68.71000000000001,2022,Real Sociedad,La Liga,Alexander Isak,SWE,FW,21,1999,32,26,2140,23.8,6,2,8,4,2,2,6,0,9.8,8.2,3.2,11.4,58.0,43.0,160.0,0.25,0.08,0.34,0.17,0.25,0.41,0.13,0.55,0.35,0.48,https://fbref.com/en/players/8e92be30/Alexander-Isak,23.8,6,71,33,46.5,2.99,1.39,0.06,0.12,15.7,3.0,2,2,0.12,-3.8,-4.2,316.0,440.0,71.8,4102.0,829.0,199.0,242.0,82.2,76.0,109.0,69.7,16.0,25.0,64.0,3.2,3.1,-1.2,20.0,23.0,15.0,1.0,43.0,440.0,399.0,40.0,0.0,5.0,1.0,17,5.0,1.0,0.0,0.0,0.0,316.0,1.0,24.0,62.0,2.61,34.0,1.0,13.0,7.0,7.0,0.0,4.0,0.17,1.0,0.0,1.0,2.0,0.0,0.0,7.0,4,1.0,3.0,3.0,2.0,12.0,16.7,10.0,14.0,2.0,12.0,3,10.0,10.0,0.0,696.0,13.0,44.0,240.0,431.0,130.0,694.0,88.0,44.0,50.0,44.0,50.0,473.0,3304.0,1432.0,58.0,48.0,29.0,56.0,36.0,540.0,160.0,32,2140,67,62.6,23.8,26,76.0,5,6,27.0,1,1.56,21,21,0,0.0,-0.21,31.0,23.5,7.5,0.31,-0.06,0,32,30,15,17,4,0.0,0.0,0,56.0,28.0,34.0,45.2,-,Centre-Forward,9/21/1999,,Sweden,Newcastle United,1.92,right,7/1/2019,Borussia Dortmund,6/30/2028,70000000.0,https://www.transfermarkt.com/alexander-isak/profil/spieler/349066
6,607,10380,Alexander Sorloth_2022_Real Sociedad,-0.8428661152706959,36.199999999999996,2022,Real Sociedad,La Liga,Alexander SÃƒÂ¸rloth,NOR,FW,25,1995,33,20,1763,19.6,4,0,4,4,0,0,2,0,5.9,5.9,3.4,9.4,55.0,33.0,112.0,0.2,0.0,0.2,0.2,0.2,0.3,0.18,0.48,0.3,0.48,https://fbref.com/en/players/e92cd3f7/Alexander-Sorloth,19.6,4,35,12,34.3,1.79,0.61,0.11,0.33,12.5,0.0,0,0,0.17,-1.9,-1.9,331.0,459.0,72.1,4429.0,686.0,207.0,269.0,77.0,89.0,121.0,73.6,17.0,26.0,65.4,3.4,1.7,-3.4,23.0,16.0,11.0,0.0,33.0,459.0,430.0,28.0,1.0,1.0,1.0,9,2.0,1.0,0.0,0.0,0.0,331.0,1.0,16.0,45.0,2.3,33.0,0.0,7.0,3.0,2.0,0.0,5.0,0.26,1.0,0.0,2.0,1.0,1.0,0.0,20.0,7,4.0,10.0,6.0,7.0,17.0,41.2,10.0,14.0,1.0,13.0,4,24.0,15.0,0.0,696.0,19.0,48.0,312.0,351.0,96.0,696.0,66.0,38.0,57.6,28.0,42.4,417.0,2985.0,1435.0,55.0,39.0,18.0,71.0,52.0,549.0,112.0,33,1763,53,51.5,19.6,20,78.0,8,13,16.0,0,1.58,23,18,5,0.26,0.36,29.5,18.8,10.7,0.55,0.43,0,29,14,12,9,7,2.0,0.0,0,61.0,51.0,49.0,51.0,-,Centre-Forward,12/5/1995,,Norway,RB Leipzig,1.95,left,8/29/2022,RB Leipzig,6/30/2025,12000000.0,https://www.transfermarkt.com/alexander-sorloth/profil/spieler/238407
7,609,13238,Alexander Sorloth_2023_Real Sociedad,0.5091364607357057,69.94,2023,Real Sociedad,La Liga,Alexander SÃƒÂ¸rloth,NOR,FW,26,1995,34,28,2386,26.5,12,3,15,12,0,0,4,0,12.7,12.7,4.2,16.9,41.0,20.0,132.0,0.45,0.11,0.57,0.45,0.57,0.48,0.16,0.64,0.48,0.64,https://fbref.com/en/players/e92cd3f7/Alexander-Sorloth,26.5,12,63,27,42.9,2.38,1.02,0.19,0.44,11.3,0.0,0,0,0.2,-0.7,-0.7,329.0,481.0,68.4,4213.0,567.0,210.0,269.0,78.1,88.0,132.0,66.7,9.0,16.0,56.3,4.2,1.9,-1.2,31.0,11.0,10.0,2.0,20.0,481.0,449.0,29.0,0.0,1.0,1.0,8,1.0,0.0,0.0,0.0,0.0,329.0,3.0,18.0,58.0,2.19,41.0,0.0,8.0,6.0,2.0,1.0,5.0,0.19,4.0,0.0,1.0,0.0,0.0,0.0,18.0,9,3.0,6.0,9.0,7.0,14.0,50.0,7.0,15.0,1.0,14.0,2,20.0,26.0,1.0,807.0,29.0,64.0,331.0,431.0,107.0,807.0,75.0,29.0,38.7,42.0,56.0,458.0,2843.0,1264.0,41.0,30.0,19.0,84.0,61.0,591.0,132.0,34,2386,70,69.8,26.5,28,79.0,8,6,29.0,0,1.91,38,20,18,0.68,0.85,37.2,20.4,16.9,0.64,0.42,0,32,16,17,8,9,0.0,0.0,0,74.0,60.0,54.0,52.6,,Centre-Forward,,,,,,,,,,12000000.0,
8,1098,998,Angel Rodriguez_2019_Getafe,0.6582964104203209,73.00999999999999,2019,Getafe,La Liga,ÃƒÂngel RodrÃƒÂ­guez,ESP,FW,31,1987,37,20,1819,20.2,8,3,11,8,0,0,4,0,8.1,8.1,3.8,12.0,42.0,37.0,140.0,0.4,0.15,0.54,0.4,0.54,0.4,0.19,0.59,0.4,0.59,https://fbref.com/en/players/8cfc2f69/Angel-Rodriguez,20.2,8,67,21,31.3,3.32,1.04,0.12,0.38,14.8,0.0,0,0,0.12,-0.1,-0.1,221.0,350.0,63.1,3526.0,948.0,113.0,154.0,73.4,71.0,109.0,65.1,22.0,41.0,53.7,3.8,2.9,-0.8,20.0,25.0,21.0,7.0,37.0,350.0,335.0,12.0,0.0,4.0,6.0,27,3.0,0.0,0.0,0.0,0.0,221.0,3.0,17.0,46.0,2.28,27.0,0.0,5.0,7.0,6.0,1.0,7.0,0.35,4.0,0.0,3.0,0.0,0.0,0.0,16.0,7,1.0,6.0,9.0,6.0,26.0,23.1,20.0,15.0,1.0,14.0,8,24.0,8.0,0.0,598.0,7.0,28.0,235.0,339.0,93.0,598.0,26.0,11.0,42.3,15.0,57.7,384.0,2324.0,861.0,42.0,21.0,20.0,74.0,31.0,452.0,140.0,37,1819,49,53.2,20.2,20,75.0,3,17,19.0,1,1.57,21,16,5,0.25,-0.2,23.7,23.3,0.4,0.02,-0.1,0,42,35,35,27,7,0.0,1.0,0,59.0,26.0,68.0,27.7,-,Centre-Forward,4/26/1987,,Spain,CD Tenerife,1.71,right,7/6/2017,Real Zaragoza,6/30/2025,6000000.0,https://www.transfermarkt.com/angel-rodriguez/profil/spieler/51510
9,1099,3608,Angel Rodriguez_2020_Getafe,1.276652902387275,82.21000000000001,2020,Getafe,La Liga,ÃƒÂngel RodrÃƒÂ­guez,ESP,FW,32,1987,32,9,1407,15.6,10,3,13,9,1,1,6,0,7.5,6.6,2.5,9.1,31.0,22.0,106.0,0.64,0.19,0.83,0.58,0.77,0.48,0.16,0.64,0.42,0.58,https://fbref.com/en/players/8cfc2f69/Angel-Rodriguez,15.6,10,52,22,42.3,3.33,1.41,0.17,0.41,15.6,0.0,1,1,0.13,2.5,2.4,182.0,307.0,59.3,2812.0,554.0,99.0,141.0,70.2,58.0,100.0,58.0,16.0,34.0,47.1,2.5,1.4,0.5,18.0,18.0,8.0,2.0,22.0,307.0,300.0,5.0,0.0,5.0,3.0,25,4.0,0.0,0.0,0.0,0.0,182.0,2.0,13.0,35.0,2.24,20.0,1.0,4.0,5.0,5.0,0.0,6.0,0.38,2.0,0.0,2.0,1.0,1.0,0.0,14.0,8,2.0,8.0,4.0,2.0,18.0,11.1,16.0,10.0,1.0,9.0,3,17.0,10.0,0.0,524.0,9.0,27.0,197.0,309.0,83.0,523.0,33.0,20.0,60.6,13.0,39.4,345.0,1952.0,625.0,31.0,13.0,15.0,70.0,29.0,400.0,106.0,32,1407,44,41.1,15.6,9,81.0,6,23,29.0,4,1.31,23,23,0,0.0,-0.27,20.5,21.3,-0.8,-0.05,-0.09,0,52,26,29,25,8,0.0,0.0,0,61.0,28.0,70.0,28.6,-,Centre-Forward,4/26/1987,,Spain,CD Tenerife,1.71,right,7/6/2017,Real Zaragoza,6/30/2025,3000000.0,https://www.transfermarkt.com/angel-rodriguez/profil/spieler/51510
