,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,120,12520,Adam Hlozek_2023_Leverkusen,0.7626143172633771,68.64,2023,Leverkusen,Bundesliga,Adam HloÃ…Â¾ek,CZE,"FW,MF",20,2002,29,16,1286,14.3,5,3,8,5,0,0,2,0,2.7,2.7,2.5,5.3,22.0,32.0,70.0,0.35,0.21,0.56,0.35,0.56,0.19,0.18,0.37,0.19,0.37,https://fbref.com/en/players/5521f419/Adam-Hlozek,14.3,5,30,11,36.7,2.1,0.77,0.17,0.45,16.9,2.0,0,0,0.09,2.3,2.3,241.0,332.0,72.6,3525.0,988.0,145.0,178.0,81.5,63.0,88.0,71.6,20.0,30.0,66.7,2.5,1.3,0.5,18.0,21.0,6.0,0.0,32.0,332.0,309.0,23.0,1.0,1.0,2.0,15,1.0,11.0,5.0,4.0,0.0,241.0,0.0,10.0,39.0,2.73,30.0,3.0,1.0,4.0,1.0,0.0,8.0,0.56,6.0,0.0,0.0,2.0,0.0,0.0,9.0,4,4.0,3.0,2.0,3.0,9.0,33.3,6.0,9.0,2.0,7.0,6,15.0,9.0,0.0,490.0,11.0,49.0,236.0,210.0,42.0,490.0,22.0,9.0,40.9,7.0,31.8,251.0,1125.0,535.0,22.0,17.0,9.0,43.0,22.0,356.0,70.0,29,1286,44,42.0,14.3,16,66.0,0,13,18.0,3,1.31,21,17,4,0.28,0.08,19.3,18.2,1.1,0.08,-0.3,0,19,20,1,15,4,0.0,0.0,0,37.0,24.0,43.0,35.8,23,Centre-Forward,7/25/2002,,Czech Republic,,1.88,right,7/1/2022,AC Sparta Prague,6/30/2027,18000000.0,https://www.transfermarkt.com/adam-hlozek/profil/spieler/552057
1,149,1143,Adam Szalai_2019_Hoffenheim,0.7954489076249446,69.82000000000001,2019,Hoffenheim,Bundesliga,ÃƒÂdÃƒÂ¡m Szalai,HUN,FW,30,1987,30,15,1627,18.1,6,3,9,6,0,0,3,0,9.6,9.6,3.8,13.4,12.0,30.0,100.0,0.33,0.17,0.5,0.33,0.5,0.53,0.21,0.74,0.53,0.74,https://fbref.com/en/players/53e07d0b/Adam-Szalai,18.1,6,66,20,30.3,3.65,1.11,0.09,0.3,12.7,0.0,0,0,0.15,-3.6,-3.6,299.0,427.0,70.0,3620.0,737.0,181.0,234.0,77.4,57.0,88.0,64.8,15.0,23.0,65.2,3.8,1.2,-0.8,27.0,23.0,7.0,0.0,30.0,427.0,384.0,37.0,1.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,299.0,6.0,15.0,60.0,3.32,44.0,1.0,3.0,10.0,1.0,1.0,7.0,0.39,3.0,0.0,1.0,3.0,0.0,0.0,19.0,13,3.0,12.0,4.0,4.0,11.0,36.4,7.0,8.0,1.0,7.0,4,23.0,8.0,0.0,636.0,9.0,48.0,326.0,273.0,102.0,636.0,23.0,10.0,43.5,13.0,56.5,335.0,1157.0,440.0,12.0,16.0,6.0,54.0,21.0,466.0,100.0,30,1627,54,53.2,18.1,15,80.0,8,15,28.0,2,1.37,37,33,4,0.22,-0.66,44.7,29.8,15.0,0.83,0.3,0,33,24,10,2,13,0.0,0.0,0,42.0,46.0,52.0,46.9,-,Centre-Forward,12/9/1987,,Hungary,,1.93,right,7/4/2014,FC Schalke 04,,1600000.0,https://www.transfermarkt.com/adam-szalai/profil/spieler/39106
2,150,4107,Adam Szalai_2020_Mainz 05,-2.0026477730052683,12.43,2020,Mainz 05,Bundesliga,ÃƒÂdÃƒÂ¡m Szalai,HUN,FW,31,1987,27,12,1147,12.7,1,1,2,1,0,0,1,0,4.5,4.5,1.3,5.8,10.0,23.0,69.0,0.08,0.08,0.16,0.08,0.16,0.36,0.1,0.45,0.36,0.45,https://fbref.com/en/players/53e07d0b/Adam-Szalai,12.7,1,30,10,33.3,2.35,0.78,0.03,0.1,12.8,0.0,0,0,0.15,-3.5,-3.5,181.0,303.0,59.7,2208.0,460.0,104.0,154.0,67.5,43.0,75.0,57.3,8.0,15.0,53.3,1.3,1.2,-0.3,14.0,13.0,2.0,0.0,23.0,303.0,286.0,16.0,0.0,1.0,0.0,7,0.0,0.0,0.0,0.0,0.0,181.0,1.0,5.0,32.0,2.52,23.0,0.0,3.0,4.0,2.0,0.0,3.0,0.24,2.0,0.0,0.0,1.0,0.0,0.0,8.0,4,0.0,6.0,2.0,1.0,11.0,9.1,10.0,9.0,0.0,9.0,2,10.0,14.0,0.0,455.0,17.0,40.0,192.0,225.0,73.0,455.0,17.0,12.0,70.6,5.0,29.4,282.0,938.0,328.0,10.0,6.0,4.0,41.0,37.0,358.0,69.0,27,1147,42,37.5,12.7,12,76.0,4,15,16.0,4,1.22,15,20,-5,-0.39,0.36,19.2,18.3,0.9,0.07,0.65,0,23,23,7,7,4,0.0,0.0,0,35.0,59.0,59.0,50.0,-,Centre-Forward,12/9/1987,,Hungary,,1.93,right,8/27/2019,TSG 1899 Hoffenheim,,1600000.0,https://www.transfermarkt.com/adam-szalai/profil/spieler/39106
3,151,6944,Adam Szalai_2021_Mainz 05,-3.1435194228969854,4.73,2021,Mainz 05,Bundesliga,ÃƒÂdÃƒÂ¡m Szalai,HUN,FW,32,1987,18,8,733,8.1,1,0,1,1,0,0,1,0,2.4,2.4,0.6,3.0,5.0,20.0,52.0,0.12,0.0,0.12,0.12,0.12,0.29,0.08,0.37,0.29,0.37,https://fbref.com/en/players/53e07d0b/Adam-Szalai,8.1,1,14,6,42.9,1.72,0.74,0.07,0.17,14.9,0.0,0,0,0.17,-1.4,-1.4,113.0,208.0,54.3,1496.0,448.0,65.0,111.0,58.6,28.0,44.0,63.6,8.0,15.0,53.3,0.6,0.8,-0.6,6.0,14.0,3.0,0.0,20.0,208.0,203.0,4.0,0.0,2.0,2.0,6,0.0,0.0,0.0,0.0,0.0,113.0,1.0,10.0,15.0,1.84,11.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6,3.0,2.0,2.0,2.0,8.0,25.0,6.0,4.0,1.0,3.0,2,9.0,4.0,0.0,308.0,6.0,27.0,133.0,150.0,38.0,308.0,13.0,6.0,46.2,7.0,53.8,169.0,567.0,198.0,5.0,2.0,2.0,42.0,19.0,229.0,52.0,18,733,41,24.0,8.1,8,71.0,0,10,17.0,3,1.44,8,7,1,0.12,0.82,11.5,8.1,3.4,0.42,0.64,0,18,13,5,6,6,0.0,0.0,0,29.0,25.0,51.0,32.9,-,Centre-Forward,12/9/1987,,Hungary,,1.93,right,8/27/2019,TSG 1899 Hoffenheim,,,https://www.transfermarkt.com/adam-szalai/profil/spieler/39106
4,679,194,Alfred Finnbogason_2019_Augsburg,0.4745605353428006,65.68,2019,Augsburg,Bundesliga,AlfreÃƒÂ° Finnbogason,ISL,FW,29,1989,18,17,1335,14.8,10,1,11,6,4,4,2,0,10.6,7.5,2.4,9.8,21.0,27.0,110.0,0.67,0.07,0.74,0.4,0.47,0.71,0.16,0.88,0.5,0.66,https://fbref.com/en/players/f9e7c4ac/Alfred-Finnbogason,14.8,10,36,14,38.9,2.43,0.94,0.17,0.43,14.5,0.0,4,4,0.21,-0.6,-1.5,220.0,327.0,67.3,3132.0,570.0,124.0,158.0,78.5,66.0,97.0,68.0,12.0,14.0,85.7,2.4,2.6,-1.4,20.0,19.0,9.0,1.0,27.0,327.0,286.0,38.0,0.0,2.0,1.0,4,3.0,0.0,0.0,0.0,0.0,220.0,3.0,20.0,39.0,2.63,32.0,0.0,2.0,2.0,3.0,0.0,6.0,0.4,3.0,0.0,1.0,0.0,2.0,0.0,7.0,3,2.0,5.0,0.0,1.0,9.0,11.1,8.0,6.0,1.0,5.0,3,10.0,11.0,0.0,475.0,15.0,31.0,236.0,211.0,77.0,471.0,24.0,12.0,50.0,12.0,50.0,260.0,1319.0,558.0,21.0,11.0,12.0,41.0,23.0,349.0,110.0,18,1335,74,43.6,14.8,17,75.0,5,1,63.0,0,1.06,22,24,-2,-0.13,0.8,23.9,21.2,2.7,0.18,1.14,0,34,9,22,4,3,1.0,0.0,0,32.0,22.0,34.0,39.3,-,Centre-Forward,2/1/1989,,Iceland,Lyngby BK,1.84,right,7/1/2016,Real Sociedad,6/30/2024,5500000.0,https://www.transfermarkt.com/alfred-finnbogason/profil/spieler/90024
5,680,2888,Alfred Finnbogason_2020_Augsburg,-1.0450355215625906,28.99,2020,Augsburg,Bundesliga,AlfreÃƒÂ° Finnbogason,ISL,FW,30,1989,21,10,966,10.7,3,1,4,2,1,1,1,0,4.0,3.2,2.4,5.6,6.0,21.0,49.0,0.28,0.09,0.37,0.19,0.28,0.37,0.23,0.6,0.3,0.52,https://fbref.com/en/players/f9e7c4ac/Alfred-Finnbogason,10.7,3,17,7,41.2,1.58,0.65,0.12,0.29,14.0,0.0,1,1,0.19,-1.0,-1.2,148.0,241.0,61.4,2007.0,479.0,91.0,126.0,72.2,35.0,57.0,61.4,8.0,18.0,44.4,2.4,1.0,-1.4,19.0,8.0,10.0,0.0,21.0,241.0,219.0,19.0,0.0,0.0,5.0,1,6.0,0.0,0.0,0.0,0.0,148.0,3.0,8.0,32.0,2.98,24.0,0.0,2.0,4.0,1.0,1.0,4.0,0.37,3.0,0.0,1.0,0.0,0.0,0.0,11.0,6,1.0,9.0,1.0,2.0,7.0,28.6,5.0,8.0,2.0,6.0,3,14.0,8.0,0.0,349.0,10.0,41.0,160.0,148.0,41.0,348.0,12.0,6.0,50.0,6.0,50.0,193.0,755.0,247.0,6.0,2.0,3.0,34.0,13.0,235.0,49.0,21,966,46,31.6,10.7,10,77.0,3,11,18.0,1,0.9,12,16,-4,-0.37,0.23,13.7,15.8,-2.0,-0.19,0.3,0,14,10,6,1,6,0.0,0.0,0,31.0,17.0,37.0,31.5,-,Centre-Forward,2/1/1989,,Iceland,Lyngby BK,1.84,right,7/1/2016,Real Sociedad,6/30/2024,1200000.0,https://www.transfermarkt.com/alfred-finnbogason/profil/spieler/90024
6,874,8466,Andi Zeqiri_2022_Augsburg,-1.5653222490501704,18.34,2022,Augsburg,Bundesliga,Andi Zeqiri,SUI,"FW,MF",22,1999,22,11,1016,11.3,2,1,3,2,0,0,2,0,2.9,2.9,0.7,3.6,10.0,19.0,44.0,0.18,0.09,0.27,0.18,0.27,0.25,0.06,0.32,0.25,0.32,https://fbref.com/en/players/d01231f0/Andi-Zeqiri,11.3,2,30,8,26.7,2.66,0.71,0.07,0.25,16.8,0.0,0,0,0.1,-0.9,-0.9,114.0,173.0,65.9,1869.0,429.0,53.0,75.0,70.7,44.0,55.0,80.0,10.0,20.0,50.0,0.7,0.7,0.3,10.0,9.0,4.0,2.0,19.0,173.0,163.0,10.0,0.0,0.0,1.0,7,1.0,1.0,0.0,0.0,0.0,114.0,0.0,9.0,23.0,2.01,16.0,0.0,2.0,4.0,0.0,1.0,3.0,0.26,3.0,0.0,0.0,0.0,0.0,0.0,14.0,7,3.0,5.0,6.0,3.0,12.0,25.0,9.0,10.0,1.0,9.0,2,16.0,12.0,0.0,320.0,16.0,43.0,140.0,143.0,34.0,320.0,21.0,9.0,42.9,12.0,57.1,164.0,953.0,303.0,10.0,12.0,6.0,42.0,20.0,203.0,44.0,22,1016,46,33.2,11.3,11,67.0,1,11,26.0,2,0.91,13,18,-5,-0.44,0.09,11.0,18.9,-7.9,-0.69,-0.1,0,20,15,12,7,7,0.0,0.0,0,38.0,11.0,36.0,23.4,,Centre-Forward,,,,,,,,,,2300000.0,
7,900,3428,Andre Silva_2020_Eint Frankfurt,1.1936515913180132,78.11,2020,Eint Frankfurt,Bundesliga,AndrÃƒÂ© Silva,POR,FW,23,1995,25,16,1575,17.5,12,3,15,11,1,1,1,0,10.8,10.0,4.8,14.8,43.0,38.0,141.0,0.69,0.17,0.86,0.63,0.8,0.62,0.28,0.89,0.57,0.85,https://fbref.com/en/players/3effaa34/Andre-Silva,17.5,12,54,20,37.0,3.09,1.14,0.2,0.55,12.0,0.0,1,1,0.19,1.2,1.0,329.0,485.0,67.8,4280.0,757.0,201.0,262.0,76.7,88.0,127.0,69.3,11.0,24.0,45.8,4.8,3.7,-1.8,31.0,18.0,14.0,1.0,38.0,485.0,442.0,43.0,0.0,3.0,2.0,10,6.0,0.0,0.0,0.0,0.0,329.0,0.0,18.0,62.0,3.54,47.0,0.0,6.0,3.0,5.0,1.0,5.0,0.29,2.0,0.0,1.0,1.0,1.0,0.0,7.0,2,0.0,5.0,2.0,2.0,14.0,14.3,12.0,9.0,0.0,9.0,8,15.0,4.0,0.0,677.0,5.0,27.0,292.0,369.0,93.0,676.0,35.0,17.0,48.6,18.0,51.4,384.0,1935.0,958.0,43.0,30.0,12.0,52.0,33.0,515.0,141.0,25,1575,63,51.5,17.5,16,83.0,7,9,28.0,4,1.2,33,35,-2,-0.11,-0.17,33.5,27.8,5.7,0.32,0.09,0,14,21,12,10,2,1.0,0.0,0,53.0,38.0,61.0,38.4,-,Centre-Forward,11/6/1995,,Portugal,RB Leipzig,1.85,right,9/10/2020,AC Milan,6/30/2026,45000000.0,https://www.transfermarkt.com/andre-silva/profil/spieler/198008
8,902,6171,Andre Silva_2021_Eint Frankfurt,3.061089433092555,91.72,2021,Eint Frankfurt,Bundesliga,AndrÃƒÂ© Silva,POR,FW,24,1995,32,32,2760,30.7,28,7,35,21,7,7,1,0,25.6,20.1,4.7,24.8,46.0,67.0,255.0,0.91,0.23,1.14,0.68,0.91,0.83,0.15,0.99,0.65,0.81,https://fbref.com/en/players/3effaa34/Andre-Silva,30.7,28,110,53,48.2,3.59,1.73,0.19,0.4,13.3,3.0,7,7,0.19,2.4,0.9,561.0,774.0,72.5,7354.0,1308.0,338.0,437.0,77.3,171.0,214.0,79.9,17.0,28.0,60.7,4.7,4.9,2.3,31.0,36.0,19.0,2.0,67.0,774.0,693.0,77.0,1.0,2.0,1.0,12,10.0,0.0,0.0,0.0,0.0,561.0,4.0,18.0,88.0,2.87,60.0,2.0,8.0,11.0,6.0,1.0,15.0,0.49,7.0,0.0,1.0,3.0,4.0,0.0,11.0,2,0.0,7.0,4.0,6.0,13.0,46.2,7.0,11.0,1.0,10.0,3,14.0,15.0,0.0,1114.0,20.0,49.0,452.0,622.0,191.0,1107.0,57.0,26.0,45.6,31.0,54.4,571.0,2991.0,1179.0,46.0,31.0,30.0,87.0,48.0,838.0,255.0,32,2760,86,90.2,30.7,32,86.0,20,0,,0,1.78,64,46,18,0.59,1.19,53.8,37.3,16.6,0.54,2.03,0,18,34,28,12,2,3.0,0.0,0,72.0,73.0,92.0,44.2,,Centre-Forward,,,,,,,,,,32000000.0,
9,903,10290,Andre Silva_2022_RB Leipzig,1.287878244959366,79.88,2022,RB Leipzig,Bundesliga,AndrÃƒÂ© Silva,POR,FW,25,1995,33,24,2076,23.1,11,3,14,8,3,3,1,0,12.6,10.7,3.3,14.0,36.0,50.0,172.0,0.48,0.13,0.61,0.35,0.48,0.54,0.14,0.69,0.46,0.61,https://fbref.com/en/players/3effaa34/Andre-Silva,23.1,11,55,23,41.8,2.38,1.0,0.15,0.35,11.8,0.0,3,3,0.2,-1.6,-2.7,412.0,568.0,72.5,4828.0,1121.0,249.0,319.0,78.1,101.0,136.0,74.3,8.0,16.0,50.0,3.3,3.0,-0.3,16.0,22.0,25.0,2.0,50.0,568.0,520.0,44.0,1.0,4.0,1.0,7,6.0,0.0,0.0,0.0,0.0,412.0,4.0,17.0,51.0,2.21,34.0,0.0,4.0,8.0,4.0,1.0,15.0,0.65,10.0,0.0,1.0,3.0,1.0,0.0,13.0,9,2.0,3.0,8.0,4.0,13.0,30.8,9.0,20.0,2.0,18.0,2,15.0,15.0,0.0,863.0,19.0,43.0,386.0,443.0,142.0,860.0,53.0,23.0,43.4,30.0,56.6,473.0,2023.0,798.0,36.0,22.0,24.0,90.0,47.0,645.0,172.0,33,2076,63,67.8,23.1,24,77.0,9,9,26.0,1,1.67,50,28,22,0.95,-0.24,41.4,29.8,11.5,0.5,-0.68,0,20,28,16,7,9,0.0,0.0,0,66.0,37.0,65.0,36.3,19,Centre-Forward,11/6/1995,,Portugal,RB Leipzig,1.85,right,7/2/2021,Eintracht Frankfurt,6/30/2026,15000000.0,https://www.transfermarkt.com/andre-silva/profil/spieler/198008
