,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,344,463,Alberto Cerri_2019_Cagliari,-3.1067720664112946,2.62,2019,Cagliari,Serie A,Alberto Cerri,ITA,FW,22,1996,15,7,670,7.4,0,0,0,0,0,0,3,0,2.0,2.0,1.0,3.1,7.0,10.0,45.0,0.0,0.0,0.0,0.0,0.0,0.27,0.14,0.41,0.27,0.41,https://fbref.com/en/players/1079c685/Alberto-Cerri,7.4,0,23,3,13.0,3.09,0.4,0.0,0.0,15.0,0.0,0,0,0.09,-2.0,-2.0,134.0,219.0,61.2,1887.0,232.0,74.0,111.0,66.7,35.0,52.0,67.3,10.0,18.0,55.6,1.0,0.9,-1.0,9.0,3.0,5.0,0.0,10.0,219.0,217.0,2.0,1.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,134.0,0.0,13.0,18.0,2.41,12.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,2.0,1.0,0.0,0.0,7.0,0.0,7.0,7.0,1.0,6.0,2,5.0,4.0,0.0,305.0,4.0,32.0,137.0,136.0,42.0,305.0,10.0,5.0,50.0,5.0,50.0,151.0,624.0,214.0,7.0,3.0,2.0,21.0,16.0,245.0,45.0,15,670,45,19.6,7.4,7,71.0,2,8,22.0,15,0.73,6,11,-5,-0.67,-0.25,8.2,12.9,-4.7,-0.63,-0.13,0,24,10,3,4,2,0.0,0.0,0,19.0,48.0,49.0,49.5,-,Centre-Forward,4/16/1996,,Italy,Como 1907,1.94,right,7/1/2019,Juventus FC,6/30/2026,3500000.0,https://www.transfermarkt.com/alberto-cerri/profil/spieler/197751
1,346,4781,Alberto Cerri_2020_SPAL,-3.214186555978604,2.09,2020,SPAL,Serie A,Alberto Cerri,ITA,FW,23,1996,8,5,420,4.7,1,0,1,1,0,0,1,0,1.5,1.5,0.7,2.2,13.0,17.0,36.0,0.21,0.0,0.21,0.21,0.21,0.33,0.14,0.47,0.33,0.47,https://fbref.com/en/players/1079c685/Alberto-Cerri,4.7,1,11,5,45.5,2.36,1.07,0.09,0.2,13.6,0.0,0,0,0.14,-0.5,-0.5,84.0,138.0,60.9,1255.0,260.0,52.0,75.0,69.3,25.0,41.0,61.0,5.0,9.0,55.6,0.7,0.4,-0.7,8.0,8.0,4.0,0.0,17.0,138.0,134.0,4.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,84.0,0.0,9.0,13.0,2.79,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,0,2.0,3.0,0.0,177.0,3.0,6.0,84.0,89.0,26.0,177.0,10.0,8.0,80.0,2.0,20.0,114.0,570.0,271.0,13.0,6.0,4.0,10.0,7.0,159.0,36.0,8,420,53,12.3,4.7,5,76.0,2,3,14.0,2,0.0,3,17,-14,-3.0,-1.92,5.1,9.6,-4.5,-0.96,-0.26,0,8,6,2,2,1,0.0,0.0,0,6.0,23.0,15.0,60.5,,Centre-Forward,,,,,,,,,,1500000.0,
2,363,2110,Alberto Paloschi_2019_SPAL,-2.8827858490535823,3.66,2019,SPAL,Serie A,Alberto Paloschi,ITA,FW,28,1990,23,8,863,9.6,2,0,2,2,0,0,3,0,2.8,2.8,0.6,3.4,3.0,11.0,33.0,0.21,0.0,0.21,0.21,0.21,0.3,0.06,0.36,0.3,0.36,https://fbref.com/en/players/b5cae4e6/Alberto-Paloschi,9.6,2,10,4,40.0,1.04,0.42,0.2,0.5,10.7,0.0,0,0,0.28,-0.8,-0.8,122.0,162.0,75.3,1552.0,233.0,74.0,90.0,82.2,34.0,45.0,75.6,3.0,7.0,42.9,0.6,0.4,-0.6,5.0,9.0,1.0,1.0,11.0,162.0,145.0,17.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,122.0,0.0,5.0,10.0,1.04,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9,3.0,5.0,5.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,1,14.0,0.0,0.0,230.0,1.0,20.0,128.0,84.0,30.0,230.0,4.0,1.0,25.0,3.0,75.0,149.0,463.0,138.0,3.0,3.0,0.0,28.0,15.0,175.0,33.0,23,863,38,25.2,9.6,8,84.0,5,15,13.0,14,0.7,10,15,-5,-0.52,-0.28,11.3,16.2,-4.9,-0.51,-0.43,0,17,10,8,3,9,0.0,0.0,0,15.0,8.0,20.0,28.6,-,Centre-Forward,1/4/1990,,Italy,ACN Siena,1.83,right,7/1/2018,Atalanta BC,6/30/2025,1200000.0,https://www.transfermarkt.com/alberto-paloschi/profil/spieler/68306
3,365,4799,Alberto Paloschi_2020_SPAL,-3.3895565098950846,1.05,2020,SPAL,Serie A,Alberto Paloschi,ITA,FW,29,1990,10,5,438,4.9,0,0,0,0,0,0,0,0,1.7,1.7,0.4,2.1,2.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.35,0.08,0.43,0.35,0.43,https://fbref.com/en/players/b5cae4e6/Alberto-Paloschi,4.9,0,10,1,10.0,2.05,0.21,0.0,0.0,10.7,0.0,0,0,0.17,-1.7,-1.7,43.0,61.0,70.5,570.0,41.0,28.0,36.0,77.8,11.0,18.0,61.1,2.0,2.0,100.0,0.4,0.1,-0.4,5.0,0.0,0.0,0.0,1.0,61.0,52.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,8.0,1.64,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,3.0,0.0,0.0,2.0,8.0,25.0,6.0,3.0,0.0,3.0,0,3.0,2.0,0.0,106.0,4.0,11.0,49.0,48.0,19.0,106.0,2.0,1.0,50.0,1.0,50.0,67.0,310.0,74.0,2.0,3.0,2.0,16.0,9.0,72.0,24.0,10,438,44,12.8,4.9,5,74.0,1,5,13.0,11,0.8,4,7,-3,-0.62,0.8,7.7,9.6,-2.0,-0.4,0.38,0,8,8,5,0,0,1.0,0.0,0,17.0,4.0,7.0,36.4,,Centre-Forward,,,,,,,,,,1200000.0,
4,463,2192,Alessandro Matri_2019_Sassuolo,-0.7913514788368694,42.41,2019,Sassuolo,Serie A,Alessandro Matri,ITA,FW,33,1984,19,6,603,6.7,2,0,2,2,0,0,3,0,3.2,3.2,0.4,3.6,7.0,6.0,49.0,0.3,0.0,0.3,0.3,0.3,0.49,0.05,0.54,0.49,0.54,https://fbref.com/en/players/58d97e77/Alessandro-Matri,6.7,2,15,9,60.0,2.24,1.34,0.13,0.22,11.0,0.0,0,0,0.23,-1.2,-1.2,115.0,154.0,74.7,1295.0,200.0,85.0,95.0,89.5,20.0,32.0,62.5,1.0,8.0,12.5,0.4,0.5,-0.4,8.0,4.0,3.0,0.0,6.0,154.0,135.0,18.0,1.0,1.0,1.0,4,0.0,1.0,0.0,0.0,0.0,115.0,1.0,8.0,19.0,2.84,13.0,0.0,2.0,3.0,0.0,1.0,1.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1,0.0,0.0,2.0,0.0,3.0,0.0,3.0,4.0,2.0,2.0,4,6.0,7.0,0.0,227.0,11.0,20.0,116.0,95.0,29.0,227.0,5.0,4.0,80.0,1.0,20.0,146.0,492.0,163.0,7.0,6.0,5.0,25.0,15.0,181.0,49.0,19,603,32,17.6,6.7,6,68.0,1,13,15.0,18,1.16,8,12,-4,-0.6,-0.5,12.5,9.2,3.3,0.5,0.89,0,6,5,10,4,1,0.0,0.0,0,19.0,7.0,22.0,24.1,-,Centre-Forward,8/19/1984,,Italy,,1.83,right,8/16/2016,AC Milan,,,https://www.transfermarkt.com/alessandro-matri/profil/spieler/40660
5,652,3754,Alexis Sanchez_2020_Inter,6.351220485373458,98.95,2020,Inter,Serie A,Alexis SÃƒÂ¡nchez,CHI,FW,30,1988,22,10,923,10.3,4,8,12,3,1,1,4,1,4.3,3.5,3.2,6.7,22.0,62.0,95.0,0.39,0.78,1.17,0.29,1.07,0.42,0.31,0.73,0.35,0.66,https://fbref.com/en/players/2c0f8e9e/Alexis-Sanchez,10.3,4,21,11,52.4,2.05,1.07,0.14,0.27,16.3,1.0,1,1,0.17,-0.3,-0.5,288.0,402.0,71.6,5257.0,1714.0,128.0,159.0,80.5,98.0,135.0,72.6,48.0,63.0,76.2,3.2,3.8,4.8,33.0,33.0,28.0,3.0,62.0,402.0,355.0,45.0,10.0,3.0,4.0,40,0.0,29.0,12.0,7.0,0.0,288.0,2.0,11.0,68.0,6.63,44.0,11.0,2.0,5.0,4.0,2.0,13.0,1.27,9.0,2.0,0.0,0.0,1.0,1.0,9.0,7,1.0,4.0,4.0,5.0,13.0,38.5,8.0,7.0,0.0,7.0,3,12.0,1.0,0.0,504.0,2.0,28.0,201.0,281.0,52.0,503.0,28.0,22.0,78.6,6.0,21.4,331.0,1761.0,581.0,22.0,15.0,9.0,28.0,19.0,395.0,95.0,22,923,42,27.0,10.3,10,74.0,4,12,15.0,4,2.05,31,9,22,2.15,1.32,23.7,11.3,12.4,1.21,0.62,1,19,32,9,40,7,1.0,0.0,0,35.0,5.0,22.0,18.5,-,Centre-Forward,12/19/1988,,Chile,Without Club,1.69,right,9/1/2020,Manchester United,,7500000.0,https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433
6,653,6557,Alexis Sanchez_2021_Inter,5.23024518386988,97.91,2021,Inter,Serie A,Alexis SÃƒÂ¡nchez,CHI,FW,31,1988,30,12,1146,12.7,7,5,12,7,0,1,0,0,6.4,5.6,5.3,10.9,28.0,62.0,89.0,0.55,0.39,0.94,0.55,0.94,0.5,0.41,0.92,0.44,0.86,https://fbref.com/en/players/2c0f8e9e/Alexis-Sanchez,12.7,7,28,15,53.6,2.2,1.18,0.25,0.47,16.5,4.0,0,1,0.2,0.6,1.4,398.0,515.0,77.3,6577.0,1699.0,194.0,231.0,84.0,118.0,154.0,76.6,56.0,75.0,74.7,5.3,4.0,-0.3,33.0,38.0,30.0,3.0,62.0,515.0,472.0,37.0,13.0,6.0,7.0,28,0.0,15.0,1.0,7.0,0.0,398.0,6.0,6.0,79.0,6.2,62.0,9.0,2.0,4.0,1.0,1.0,14.0,1.1,13.0,0.0,1.0,0.0,0.0,0.0,14.0,8,4.0,4.0,6.0,5.0,18.0,27.8,13.0,11.0,0.0,11.0,7,21.0,1.0,1.0,664.0,1.0,56.0,267.0,350.0,67.0,663.0,36.0,24.0,66.7,12.0,33.3,405.0,2215.0,781.0,28.0,20.0,14.0,41.0,34.0,529.0,89.0,30,1146,38,33.5,12.7,12,72.0,2,18,15.0,2,2.47,37,13,24,1.88,0.7,29.3,15.1,14.2,1.12,0.32,0,19,33,10,28,8,0.0,0.0,0,53.0,9.0,10.0,47.4,-,Centre-Forward,12/19/1988,,Chile,Without Club,1.69,right,9/1/2020,Manchester United,,3500000.0,https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433
7,654,9428,Alexis Sanchez_2022_Inter,2.9496459157452097,92.67,2022,Inter,Serie A,Alexis SÃƒÂ¡nchez,CHI,FW,32,1988,27,7,881,9.8,5,2,7,5,0,0,0,0,4.3,4.3,2.0,6.3,22.0,76.0,77.0,0.51,0.2,0.72,0.51,0.72,0.44,0.2,0.64,0.44,0.64,https://fbref.com/en/players/2c0f8e9e/Alexis-Sanchez,9.8,5,33,13,39.4,3.37,1.33,0.15,0.38,16.0,1.0,0,0,0.13,0.7,0.7,348.0,456.0,76.3,5914.0,1714.0,174.0,206.0,84.5,109.0,141.0,77.3,47.0,75.0,62.7,2.0,2.5,0.0,20.0,32.0,30.0,5.0,76.0,456.0,420.0,33.0,10.0,5.0,8.0,35,0.0,19.0,8.0,5.0,0.0,348.0,3.0,9.0,53.0,5.44,38.0,6.0,2.0,3.0,2.0,2.0,6.0,0.62,5.0,1.0,0.0,0.0,0.0,0.0,9.0,8,0.0,6.0,3.0,2.0,11.0,18.2,9.0,4.0,0.0,4.0,2,11.0,3.0,0.0,565.0,4.0,33.0,237.0,299.0,51.0,565.0,39.0,21.0,53.8,18.0,46.2,363.0,1743.0,674.0,22.0,14.0,9.0,22.0,14.0,436.0,77.0,27,881,33,25.8,9.8,7,74.0,2,20,18.0,6,2.07,18,10,8,0.82,-0.74,23.0,10.5,12.5,1.28,0.22,0,10,21,8,35,8,0.0,0.0,0,36.0,10.0,16.0,38.5,,Centre-Forward,,,,,,,,,,4000000.0,
8,759,6585,Alvaro Morata_2021_Juventus,2.4441371933785536,89.53,2021,Juventus,Serie A,ÃƒÂlvaro Morata,ESP,FW,27,1992,32,23,2014,22.4,11,9,20,10,1,1,3,1,10.7,9.9,5.1,15.0,55.0,56.0,159.0,0.49,0.4,0.89,0.45,0.85,0.48,0.23,0.7,0.44,0.67,https://fbref.com/en/players/129af0db/Alvaro-Morata,22.4,11,55,23,41.8,2.46,1.03,0.18,0.43,11.7,0.0,1,1,0.18,0.3,0.1,445.0,601.0,74.0,6767.0,1186.0,242.0,302.0,80.1,136.0,168.0,81.0,37.0,54.0,68.5,5.1,2.8,3.9,40.0,26.0,23.0,2.0,56.0,601.0,556.0,38.0,2.0,3.0,6.0,18,1.0,0.0,0.0,0.0,0.0,445.0,7.0,15.0,72.0,3.22,55.0,0.0,4.0,8.0,5.0,0.0,15.0,0.67,12.0,0.0,0.0,2.0,1.0,0.0,17.0,12,2.0,10.0,5.0,4.0,28.0,14.3,24.0,22.0,2.0,20.0,5,22.0,21.0,0.0,851.0,27.0,60.0,376.0,423.0,130.0,850.0,41.0,23.0,56.1,18.0,43.9,424.0,2942.0,1396.0,55.0,35.0,21.0,74.0,41.0,656.0,159.0,32,2014,63,58.9,22.4,23,79.0,10,9,22.0,1,1.94,44,23,21,0.94,-0.21,45.6,23.5,22.1,0.99,0.16,0,37,44,19,18,12,1.0,0.0,0,55.0,33.0,34.0,49.3,-,Centre-Forward,10/23/1992,,Spain,AtlÃƒÂ©tico de Madrid,1.89,right,9/22/2020,AtlÃƒÂ©tico de Madrid,6/30/2024,25000000.0,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223
9,760,9454,Alvaro Morata_2022_Juventus,0.8794639333738372,69.63000000000001,2022,Juventus,Serie A,ÃƒÂlvaro Morata,ESP,FW,28,1992,35,26,2302,25.6,9,4,13,8,1,1,5,0,8.8,8.1,6.6,14.6,65.0,54.0,154.0,0.35,0.16,0.51,0.31,0.47,0.35,0.26,0.6,0.32,0.57,https://fbref.com/en/players/129af0db/Alvaro-Morata,25.6,9,60,24,40.0,2.35,0.94,0.13,0.33,13.1,1.0,1,1,0.13,0.2,-0.1,489.0,659.0,74.2,7395.0,1340.0,261.0,332.0,78.6,152.0,194.0,78.4,41.0,56.0,73.2,6.6,3.1,-2.6,44.0,28.0,23.0,5.0,54.0,659.0,641.0,17.0,3.0,6.0,8.0,20,3.0,0.0,0.0,0.0,0.0,489.0,1.0,20.0,81.0,3.17,60.0,0.0,3.0,5.0,12.0,1.0,13.0,0.51,9.0,0.0,1.0,2.0,1.0,0.0,18.0,9,4.0,9.0,5.0,8.0,31.0,25.8,23.0,26.0,1.0,25.0,5,23.0,24.0,0.0,957.0,27.0,104.0,406.0,459.0,127.0,956.0,47.0,23.0,48.9,24.0,51.1,573.0,3691.0,1847.0,65.0,46.0,24.0,78.0,43.0,771.0,154.0,35,2302,66,67.3,25.6,26,79.0,7,9,28.0,1,1.83,37,20,17,0.66,0.42,36.5,25.6,10.9,0.43,0.23,0,48,77,20,20,9,2.0,1.0,0,88.0,36.0,33.0,52.2,,Centre-Forward,,,,,,,,,,20000000.0,
