,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,1080,12136,Angel Algobia_2023_Getafe,-0.33286952265217096,36.36,2023,Getafe,La Liga,ÃƒÂngel Algobia,ESP,MF,23,1999,26,11,1138,12.6,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,10.0,42.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,https://fbref.com/en/players/acc1aefa/Angel-Algobia,12.6,0,7,1,14.3,0.55,0.08,0.0,0.0,24.9,0.0,0,0,0.04,-0.3,-0.3,420.0,521.0,80.6,7479.0,1575.0,179.0,211.0,84.8,173.0,197.0,87.8,52.0,82.0,63.4,0.6,0.3,-0.6,5.0,35.0,4.0,4.0,42.0,521.0,502.0,17.0,15.0,0.0,5.0,11,0.0,1.0,1.0,0.0,0.0,420.0,2.0,8.0,16.0,1.27,13.0,0.0,1.0,2.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,27.0,13,14.0,13.0,0.0,22.0,48.0,45.8,26.0,15.0,5.0,10.0,3,30.0,11.0,0.0,626.0,14.0,147.0,390.0,92.0,9.0,626.0,6.0,4.0,66.7,2.0,33.3,330.0,1542.0,716.0,10.0,4.0,3.0,12.0,7.0,387.0,11.0,26,1138,44,33.3,12.6,11,71.0,3,15,24.0,10,1.19,17,15,2,0.16,0.67,15.6,14.6,1.1,0.09,0.5,0,31,10,0,11,13,0.0,0.0,0,68.0,7.0,21.0,25.0,16,Defensive Midfield,6/23/1999,,Spain,,1.88,right,8/11/2022,Getafe CF B,6/30/2024,1500000.0,https://www.transfermarkt.com/angel-algobia/profil/spieler/638589
1,1436,1988,Asier Illarramendi_2019_Real Sociedad,-0.30729969048350375,37.37,2019,Real Sociedad,La Liga,Asier Illarramendi,ESP,MF,28,1990,23,20,1821,20.2,1,1,2,1,0,0,8,0,0.5,0.5,1.4,1.9,24.0,144.0,6.0,0.05,0.05,0.1,0.05,0.1,0.02,0.07,0.1,0.02,0.1,https://fbref.com/en/players/5ce0b5ba/Asier-Illarramendi,20.2,1,14,4,28.6,0.69,0.2,0.07,0.25,24.9,2.0,0,0,0.04,0.5,0.5,1060.0,1267.0,83.7,19327.0,6015.0,429.0,480.0,89.4,483.0,548.0,88.1,120.0,180.0,66.7,1.4,1.6,-0.4,11.0,117.0,10.0,0.0,144.0,1267.0,1174.0,88.0,79.0,7.0,7.0,19,5.0,4.0,1.0,3.0,0.0,1060.0,5.0,19.0,34.0,1.68,22.0,5.0,1.0,4.0,1.0,1.0,3.0,0.15,2.0,1.0,0.0,0.0,0.0,0.0,39.0,24,22.0,14.0,3.0,21.0,51.0,41.2,30.0,36.0,9.0,27.0,31,70.0,46.0,1.0,1468.0,79.0,395.0,944.0,142.0,4.0,1468.0,10.0,7.0,70.0,3.0,30.0,796.0,4551.0,2294.0,24.0,19.0,0.0,22.0,13.0,911.0,6.0,23,1821,79,53.2,20.2,20,88.0,16,3,22.0,1,1.22,23,21,2,0.1,0.27,25.5,24.0,1.4,0.07,0.09,0,34,35,0,19,24,0.0,0.0,0,182.0,28.0,50.0,35.9,-,Defensive Midfield,3/8/1990,,Spain,Without Club,1.79,right,8/26/2015,Real Madrid,,14500000.0,https://www.transfermarkt.com/asier-illarramendi/profil/spieler/59344
2,1438,7450,Asier Illarramendi_2021_Real Sociedad,-0.671248582409731,26.26,2021,Real Sociedad,La Liga,Asier Illarramendi,ESP,MF,30,1990,6,6,337,3.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,5.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/5ce0b5ba/Asier-Illarramendi,3.7,0,0,0,,0.0,0.0,,,,0.0,0,0,,0.0,0.0,253.0,279.0,90.7,4328.0,1430.0,119.0,123.0,96.7,105.0,113.0,92.9,23.0,34.0,67.6,0.0,0.1,0.0,1.0,29.0,3.0,0.0,29.0,279.0,249.0,29.0,27.0,0.0,2.0,6,2.0,0.0,0.0,0.0,0.0,253.0,1.0,1.0,7.0,1.87,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.27,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2,1.0,4.0,0.0,1.0,5.0,20.0,4.0,2.0,0.0,2.0,5,10.0,7.0,0.0,301.0,6.0,61.0,208.0,33.0,1.0,301.0,0.0,0.0,,0.0,,173.0,962.0,590.0,5.0,2.0,0.0,0.0,0.0,218.0,3.0,6,337,56,9.9,3.7,6,56.0,0,0,,6,2.17,8,2,6,1.6,1.16,6.5,1.5,5.0,1.35,0.87,0,6,10,0,6,2,0.0,0.0,0,11.0,11.0,9.0,55.0,-,Defensive Midfield,3/8/1990,,Spain,Without Club,1.79,right,8/26/2015,Real Madrid,,3000000.0,https://www.transfermarkt.com/asier-illarramendi/profil/spieler/59344
3,1439,10362,Asier Illarramendi_2022_Real Sociedad,-2.5295281701635304,6.0600000000000005,2022,Real Sociedad,La Liga,Asier Illarramendi,ESP,MF,31,1990,8,6,374,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,https://fbref.com/en/players/5ce0b5ba/Asier-Illarramendi,4.2,0,0,0,,0.0,0.0,,,,0.0,0,0,,0.0,0.0,252.0,292.0,86.3,4040.0,1091.0,125.0,134.0,93.3,101.0,114.0,88.6,20.0,30.0,66.7,0.3,0.3,-0.3,4.0,12.0,1.0,0.0,19.0,292.0,279.0,13.0,11.0,0.0,1.0,5,1.0,1.0,1.0,0.0,0.0,252.0,0.0,4.0,6.0,1.44,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5,5.0,3.0,1.0,1.0,10.0,10.0,9.0,5.0,1.0,4.0,4,13.0,12.0,0.0,341.0,17.0,103.0,201.0,39.0,0.0,341.0,7.0,3.0,42.9,4.0,57.1,175.0,703.0,236.0,0.0,5.0,0.0,4.0,6.0,228.0,5.0,8,374,47,10.9,4.2,6,61.0,0,2,4.0,14,1.63,4,5,-1,-0.24,-0.36,6.0,2.6,3.4,0.82,0.54,0,4,1,0,5,5,0.0,0.0,0,37.0,12.0,7.0,63.2,-,Defensive Midfield,3/8/1990,,Spain,Without Club,1.79,right,8/26/2015,Real Madrid,,2000000.0,https://www.transfermarkt.com/asier-illarramendi/profil/spieler/59344
4,1440,13218,Asier Illarramendi_2023_Real Sociedad,-0.20584771254816966,41.410000000000004,2023,Real Sociedad,La Liga,Asier Illarramendi,ESP,MF,32,1990,24,13,1076,12.0,1,0,1,1,0,0,5,0,0.8,0.8,0.4,1.2,10.0,48.0,24.0,0.08,0.0,0.08,0.08,0.08,0.07,0.03,0.1,0.07,0.1,https://fbref.com/en/players/5ce0b5ba/Asier-Illarramendi,12.0,1,11,3,27.3,0.92,0.25,0.09,0.33,20.5,0.0,0,0,0.07,0.2,0.2,545.0,640.0,85.2,8295.0,2035.0,297.0,329.0,90.3,198.0,220.0,90.0,32.0,49.0,65.3,0.4,0.4,-0.4,10.0,53.0,3.0,1.0,48.0,640.0,607.0,29.0,18.0,0.0,3.0,6,5.0,3.0,0.0,2.0,0.0,545.0,4.0,10.0,27.0,2.26,22.0,3.0,0.0,0.0,1.0,1.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0,36.0,18,10.0,22.0,4.0,16.0,44.0,36.4,28.0,27.0,8.0,19.0,18,54.0,20.0,0.0,790.0,33.0,160.0,477.0,156.0,12.0,790.0,7.0,7.0,100.0,0.0,0.0,426.0,1917.0,799.0,10.0,18.0,1.0,15.0,8.0,516.0,24.0,24,1076,45,31.5,12.0,13,69.0,2,11,16.0,13,2.04,15,5,10,0.84,0.61,14.1,9.3,4.8,0.4,-0.16,0,25,13,0,6,18,0.0,0.0,0,67.0,16.0,20.0,44.4,,Defensive Midfield,,,,,,,,,,2000000.0,
5,1476,13208,Aurelien Tchouameni_2023_Real Madrid,2.79868390439014,96.97,2023,Real Madrid,La Liga,AurÃƒÂ©lien TchouamÃƒÂ©ni,FRA,MF,22,2000,33,24,2119,23.5,0,4,4,0,0,0,2,0,1.8,1.8,2.2,4.0,41.0,142.0,23.0,0.0,0.17,0.17,0.0,0.17,0.08,0.09,0.17,0.08,0.17,https://fbref.com/en/players/4f255115/Aurelien-Tchouameni,23.5,0,38,6,15.8,1.61,0.25,0.0,0.0,22.1,0.0,0,0,0.05,-1.8,-1.8,1578.0,1700.0,92.8,25016.0,7823.0,807.0,851.0,94.8,646.0,686.0,94.2,88.0,106.0,83.0,2.2,2.1,1.8,22.0,159.0,11.0,0.0,142.0,1700.0,1657.0,41.0,40.0,7.0,7.0,12,1.0,0.0,0.0,0.0,0.0,1578.0,2.0,9.0,63.0,2.67,53.0,1.0,2.0,3.0,3.0,1.0,12.0,0.51,11.0,0.0,0.0,0.0,1.0,0.0,64.0,40,23.0,36.0,5.0,23.0,38.0,60.5,15.0,20.0,6.0,14.0,49,113.0,50.0,0.0,1990.0,94.0,470.0,1234.0,298.0,29.0,1990.0,39.0,28.0,71.8,8.0,20.5,1291.0,6841.0,3344.0,41.0,43.0,4.0,24.0,12.0,1533.0,23.0,33,2119,64,62.0,23.5,24,80.0,14,9,21.0,1,2.03,51,27,24,1.02,-0.02,46.3,25.3,21.0,0.89,-0.19,0,35,35,0,12,40,0.0,0.0,0,123.0,48.0,24.0,66.7,18,Defensive Midfield,1/27/2000,,France,,1.88,right,7/1/2022,AS Monaco,6/30/2028,85000000.0,https://www.transfermarkt.com/aurelien-tchouameni/profil/spieler/413112
6,2103,1958,Casemiro_2019_Real Madrid,0.35659268621528445,60.61,2019,Real Madrid,La Liga,Casemiro,BRA,MF,26,1992,29,27,2312,25.7,3,0,3,3,0,0,7,1,2.6,2.6,0.9,3.5,15.0,111.0,23.0,0.12,0.0,0.12,0.12,0.12,0.1,0.03,0.14,0.1,0.14,https://fbref.com/en/players/4d224fe8/Casemiro,25.7,3,40,8,20.0,1.56,0.31,0.08,0.38,19.5,1.0,0,0,0.07,0.4,0.4,1431.0,1641.0,87.2,26905.0,7567.0,644.0,712.0,90.4,527.0,574.0,91.8,223.0,281.0,79.4,0.9,0.8,-0.9,14.0,108.0,14.0,2.0,111.0,1641.0,1568.0,63.0,58.0,1.0,41.0,8,5.0,0.0,0.0,0.0,0.0,1431.0,10.0,15.0,54.0,2.1,36.0,0.0,3.0,8.0,6.0,1.0,3.0,0.12,0.0,0.0,0.0,1.0,2.0,0.0,86.0,52,44.0,35.0,7.0,38.0,94.0,40.4,56.0,52.0,12.0,40.0,41,127.0,56.0,3.0,1958.0,99.0,548.0,1177.0,254.0,33.0,1958.0,21.0,17.0,81.0,4.0,19.0,1030.0,4175.0,2114.0,15.0,32.0,3.0,14.0,17.0,1306.0,23.0,29,2312,80,67.6,25.7,27,83.0,21,2,39.0,3,1.72,43,32,11,0.43,-0.06,48.1,31.0,17.1,0.67,0.46,1,47,49,0,8,52,1.0,2.0,0,184.0,83.0,51.0,61.9,-,Defensive Midfield,2/23/1992,,Brazil,Manchester United,1.85,right,7/2/2015,FC Porto,6/30/2026,64000000.0,https://www.transfermarkt.com/casemiro/profil/spieler/16306
7,2104,4647,Casemiro_2020_Real Madrid,0.15674205957441611,54.55,2020,Real Madrid,La Liga,Casemiro,BRA,MF,27,1992,35,35,3088,34.3,4,3,7,4,0,0,12,0,4.2,4.2,1.5,5.7,16.0,201.0,26.0,0.12,0.09,0.2,0.12,0.2,0.12,0.04,0.17,0.12,0.17,https://fbref.com/en/players/4d224fe8/Casemiro,34.3,4,45,12,26.7,1.31,0.35,0.09,0.33,22.6,4.0,0,0,0.1,-0.2,-0.2,1817.0,2185.0,83.2,34678.0,10324.0,812.0,901.0,90.1,640.0,751.0,85.2,305.0,409.0,74.6,1.5,1.8,1.5,13.0,204.0,19.0,3.0,201.0,2185.0,2119.0,58.0,58.0,7.0,65.0,24,0.0,0.0,0.0,0.0,0.0,1817.0,8.0,26.0,68.0,1.98,53.0,1.0,3.0,5.0,1.0,5.0,7.0,0.2,5.0,0.0,1.0,0.0,0.0,1.0,96.0,60,43.0,45.0,8.0,39.0,99.0,39.4,60.0,53.0,10.0,43.0,68,164.0,72.0,0.0,2616.0,131.0,687.0,1588.0,376.0,36.0,2616.0,33.0,29.0,87.9,4.0,12.1,1440.0,5626.0,2765.0,16.0,40.0,1.0,23.0,28.0,1707.0,26.0,35,3088,88,90.3,34.3,35,88.0,32,0,,1,2.34,67,22,45,1.31,1.31,61.1,28.5,32.6,0.95,0.43,0,87,65,3,24,60,0.0,0.0,0,294.0,100.0,62.0,61.7,-,Defensive Midfield,2/23/1992,,Brazil,Manchester United,1.85,right,7/2/2015,FC Porto,6/30/2026,70000000.0,https://www.transfermarkt.com/casemiro/profil/spieler/16306
8,2105,7416,Casemiro_2021_Real Madrid,0.6930193821273198,70.71,2021,Real Madrid,La Liga,Casemiro,BRA,MF,28,1992,34,32,2901,32.2,6,4,10,6,0,0,11,1,6.2,6.2,2.7,8.8,20.0,135.0,45.0,0.19,0.12,0.31,0.19,0.31,0.19,0.08,0.27,0.19,0.27,https://fbref.com/en/players/4d224fe8/Casemiro,32.2,6,46,11,23.9,1.43,0.34,0.13,0.55,18.2,0.0,0,0,0.13,-0.2,-0.2,1630.0,1969.0,82.8,29223.0,8359.0,723.0,817.0,88.5,633.0,707.0,89.5,202.0,299.0,67.6,2.7,3.8,1.3,25.0,136.0,22.0,2.0,135.0,1969.0,1914.0,46.0,41.0,1.0,32.0,23,5.0,0.0,0.0,0.0,0.0,1630.0,9.0,33.0,55.0,1.71,49.0,0.0,0.0,2.0,3.0,1.0,8.0,0.25,7.0,0.0,0.0,1.0,0.0,0.0,84.0,49,50.0,30.0,4.0,33.0,73.0,45.2,40.0,50.0,17.0,33.0,70,154.0,62.0,0.0,2369.0,122.0,725.0,1279.0,376.0,59.0,2369.0,23.0,13.0,56.5,10.0,43.5,1175.0,4643.0,2332.0,20.0,28.0,5.0,30.0,28.0,1601.0,45.0,34,2901,85,84.8,32.2,32,89.0,29,2,34.0,0,2.32,59,20,39,1.21,1.21,54.6,27.8,26.8,0.83,1.34,1,55,55,4,23,49,0.0,0.0,0,226.0,97.0,77.0,55.7,-,Defensive Midfield,2/23/1992,,Brazil,Manchester United,1.85,right,7/2/2015,FC Porto,6/30/2026,40000000.0,https://www.transfermarkt.com/casemiro/profil/spieler/16306
9,2106,10330,Casemiro_2022_Real Madrid,0.6485880945564613,68.69,2022,Real Madrid,La Liga,Casemiro,BRA,MF,29,1992,32,31,2569,28.5,1,3,4,1,0,0,11,0,2.5,2.5,2.8,5.3,23.0,162.0,30.0,0.04,0.11,0.14,0.04,0.14,0.09,0.1,0.19,0.09,0.19,https://fbref.com/en/players/4d224fe8/Casemiro,28.5,1,41,9,22.0,1.44,0.32,0.02,0.11,25.1,1.0,0,0,0.06,-1.5,-1.5,1695.0,1989.0,85.2,30880.0,10039.0,782.0,857.0,91.2,630.0,743.0,84.8,227.0,288.0,78.8,2.8,2.9,0.2,26.0,194.0,21.0,4.0,162.0,1989.0,1929.0,53.0,45.0,9.0,38.0,17,3.0,0.0,0.0,0.0,0.0,1695.0,7.0,19.0,65.0,2.28,58.0,0.0,1.0,2.0,2.0,2.0,10.0,0.35,7.0,0.0,0.0,1.0,1.0,1.0,79.0,51,45.0,30.0,4.0,30.0,67.0,44.8,37.0,65.0,19.0,46.0,38,117.0,65.0,3.0,2354.0,156.0,707.0,1300.0,366.0,29.0,2354.0,27.0,19.0,70.4,8.0,29.6,1338.0,4641.0,2455.0,23.0,23.0,4.0,33.0,14.0,1608.0,30.0,32,2569,80,75.1,28.5,31,82.0,22,1,30.0,2,2.13,52,23,29,1.02,-1.1,50.0,33.3,16.7,0.59,-0.59,0,54,38,4,17,51,1.0,0.0,0,230.0,101.0,50.0,66.9,-,Defensive Midfield,2/23/1992,,Brazil,Manchester United,1.85,right,7/2/2015,FC Porto,6/30/2026,40000000.0,https://www.transfermarkt.com/casemiro/profil/spieler/16306
