,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,828,857,Amir Abrashi_2019_Freiburg,-0.9071968936260124,26.150000000000002,2019,Freiburg,Bundesliga,Amir Abrashi,ALB,MF,28,1990,10,9,790,8.8,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,6.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,https://fbref.com/en/players/1c08a3c8/Amir-Abrashi,8.8,0,7,2,28.6,0.8,0.23,0.0,0.0,26.9,0.0,0,0,0.03,-0.2,-0.2,319.0,372.0,85.8,5012.0,1108.0,154.0,174.0,88.5,129.0,137.0,94.2,18.0,26.0,69.2,0.1,0.1,-0.1,2.0,14.0,0.0,0.0,19.0,372.0,368.0,4.0,1.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,319.0,0.0,9.0,8.0,0.91,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11,7.0,10.0,3.0,6.0,19.0,31.6,13.0,11.0,3.0,8.0,14,34.0,15.0,0.0,461.0,24.0,112.0,294.0,58.0,1.0,461.0,5.0,3.0,60.0,2.0,40.0,193.0,944.0,422.0,6.0,4.0,1.0,4.0,8.0,266.0,9.0,10,790,79,25.8,8.8,9,85.0,7,1,22.0,2,1.2,10,15,-5,-0.57,-0.17,8.0,16.2,-8.2,-0.93,-0.45,0,19,16,0,2,11,0.0,0.0,0,61.0,5.0,4.0,55.6,-,Defensive Midfield,3/27/1990,,Albania,Grasshopper Club Zurich,1.72,right,7/1/2015,Grasshopper Club Zurich,6/30/2024,1600000.0,https://www.transfermarkt.com/amir-abrashi/profil/spieler/66005
1,829,3522,Amir Abrashi_2020_Freiburg,1.371605204071435,80.77,2020,Freiburg,Bundesliga,Amir Abrashi,ALB,MF,29,1990,13,8,663,7.4,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,8.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.08,0.07,0.08,https://fbref.com/en/players/1c08a3c8/Amir-Abrashi,7.4,0,4,2,50.0,0.54,0.27,0.0,0.0,20.1,0.0,0,0,0.12,-0.5,-0.5,280.0,330.0,84.8,4029.0,919.0,162.0,178.0,91.0,101.0,112.0,90.2,10.0,18.0,55.6,0.1,0.2,-0.1,4.0,24.0,4.0,3.0,27.0,330.0,317.0,13.0,9.0,0.0,0.0,7,1.0,0.0,0.0,0.0,0.0,280.0,0.0,9.0,10.0,1.35,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8,7.0,8.0,1.0,10.0,19.0,52.6,9.0,18.0,3.0,15.0,7,23.0,16.0,2.0,425.0,24.0,137.0,232.0,58.0,4.0,425.0,5.0,3.0,60.0,2.0,40.0,236.0,1014.0,401.0,8.0,4.0,0.0,18.0,3.0,250.0,13.0,13,663,51,21.7,7.4,8,74.0,3,5,14.0,14,1.62,9,9,0,0.0,-0.04,9.6,12.2,-2.6,-0.35,0.22,0,17,12,0,7,8,0.0,0.0,0,51.0,9.0,9.0,50.0,-,Defensive Midfield,3/27/1990,,Albania,Grasshopper Club Zurich,1.72,right,7/1/2015,Grasshopper Club Zurich,6/30/2024,1600000.0,https://www.transfermarkt.com/amir-abrashi/profil/spieler/66005
2,1123,9406,Angelo Stiller_2022_Hoffenheim,-0.5949910250010837,35.38,2022,Hoffenheim,Bundesliga,Angelo Stiller,GER,MF,20,2001,26,18,1693,18.8,2,1,3,2,0,0,1,0,1.1,1.1,1.2,2.4,20.0,115.0,63.0,0.11,0.05,0.16,0.11,0.16,0.06,0.06,0.13,0.06,0.13,https://fbref.com/en/players/3b1ed320/Angelo-Stiller,18.8,2,15,4,26.7,0.8,0.21,0.13,0.5,17.6,0.0,0,0,0.08,0.9,0.9,798.0,968.0,82.4,12339.0,3797.0,406.0,469.0,86.6,315.0,356.0,88.5,45.0,79.0,57.0,1.2,1.8,-0.2,15.0,82.0,17.0,3.0,115.0,968.0,949.0,16.0,6.0,1.0,1.0,17,5.0,4.0,3.0,0.0,0.0,798.0,3.0,15.0,32.0,1.7,30.0,0.0,0.0,2.0,0.0,0.0,4.0,0.21,4.0,0.0,0.0,0.0,0.0,0.0,30.0,17,11.0,15.0,4.0,9.0,23.0,39.1,14.0,32.0,6.0,26.0,9,39.0,16.0,2.0,1142.0,33.0,262.0,643.0,245.0,32.0,1142.0,28.0,15.0,53.6,13.0,46.4,627.0,2487.0,1191.0,20.0,15.0,6.0,26.0,7.0,773.0,63.0,26,1693,65,55.3,18.8,18,83.0,12,8,24.0,5,1.23,34,39,-5,-0.27,-0.46,31.3,36.6,-5.2,-0.28,-0.87,0,25,13,1,17,17,0.0,0.0,0,116.0,26.0,26.0,50.0,13,Defensive Midfield,4/4/2001,,Germany,TSG 1899 Hoffenheim,1.83,left,7/1/2021,FC Bayern Munich II,6/30/2025,5000000.0,https://www.transfermarkt.com/angelo-stiller/profil/spieler/443710
3,1124,12284,Angelo Stiller_2023_Hoffenheim,2.0991792593981744,90.77,2023,Hoffenheim,Bundesliga,Angelo Stiller,GER,MF,21,2001,20,6,704,7.8,1,1,2,1,0,0,1,0,0.3,0.3,0.5,0.8,4.0,34.0,16.0,0.13,0.13,0.26,0.13,0.26,0.04,0.06,0.1,0.04,0.1,https://fbref.com/en/players/3b1ed320/Angelo-Stiller,7.8,1,7,3,42.9,0.89,0.38,0.14,0.33,22.1,0.0,0,0,0.04,0.7,0.7,279.0,363.0,76.9,4425.0,1193.0,154.0,183.0,84.2,93.0,111.0,83.8,22.0,34.0,64.7,0.5,0.6,0.5,3.0,26.0,5.0,0.0,34.0,363.0,353.0,8.0,3.0,2.0,3.0,6,3.0,1.0,0.0,1.0,0.0,279.0,2.0,13.0,16.0,2.04,14.0,1.0,0.0,0.0,1.0,0.0,3.0,0.38,3.0,0.0,0.0,0.0,0.0,0.0,26.0,12,9.0,13.0,4.0,8.0,12.0,66.7,4.0,12.0,2.0,10.0,10,36.0,14.0,0.0,466.0,17.0,106.0,243.0,121.0,11.0,466.0,7.0,3.0,42.9,3.0,42.9,226.0,951.0,357.0,4.0,7.0,0.0,15.0,11.0,266.0,16.0,20,704,35,23.0,7.8,6,81.0,2,14,16.0,6,1.24,14,14,0,0.0,0.34,10.8,11.1,-0.4,-0.05,0.05,0,11,3,0,6,12,0.0,0.0,0,51.0,16.0,10.0,61.5,13,Defensive Midfield,4/4/2001,,Germany,,1.83,left,7/1/2021,FC Bayern Munich II,6/30/2025,5000000.0,https://www.transfermarkt.com/angelo-stiller/profil/spieler/443710
4,1178,8581,Anthony Losilla_2022_Bochum,-0.6158769845898504,33.85,2022,Bochum,Bundesliga,Anthony Losilla,FRA,MF,35,1986,33,33,2935,32.6,2,0,2,2,0,0,5,0,2.2,2.2,0.7,2.9,14.0,96.0,25.0,0.06,0.0,0.06,0.06,0.06,0.07,0.02,0.09,0.07,0.09,https://fbref.com/en/players/07c7eb0c/Anthony-Losilla,32.6,2,34,9,26.5,1.04,0.28,0.06,0.22,19.3,0.0,0,0,0.06,-0.2,-0.2,960.0,1259.0,76.3,19031.0,5050.0,339.0,442.0,76.7,437.0,539.0,81.1,162.0,209.0,77.5,0.7,1.2,-0.7,16.0,55.0,11.0,2.0,96.0,1259.0,1224.0,30.0,28.0,0.0,19.0,10,2.0,0.0,0.0,0.0,0.0,960.0,5.0,11.0,45.0,1.42,37.0,0.0,1.0,3.0,2.0,2.0,2.0,0.06,1.0,0.0,1.0,0.0,0.0,0.0,65.0,39,29.0,30.0,6.0,34.0,69.0,49.3,35.0,32.0,9.0,23.0,70,135.0,53.0,1.0,1590.0,85.0,505.0,907.0,200.0,39.0,1590.0,28.0,19.0,67.9,9.0,32.1,642.0,2904.0,1079.0,14.0,8.0,3.0,32.0,16.0,728.0,25.0,33,2935,89,95.9,32.6,33,89.0,31,0,,0,1.24,37,50,-13,-0.4,0.32,39.4,55.2,-15.8,-0.5,-0.78,0,47,19,2,10,39,0.0,0.0,0,241.0,114.0,70.0,62.0,8,Defensive Midfield,3/10/1986,,France,VfL Bochum,1.85,right,7/1/2014,SG Dynamo Dresden,6/30/2024,,https://www.transfermarkt.com/anthony-losilla/profil/spieler/111266
5,1179,11529,Anthony Losilla_2023_Bochum,-1.7277681720870404,13.08,2023,Bochum,Bundesliga,Anthony Losilla,FRA,MF,36,1986,31,31,2720,30.2,2,2,4,2,0,0,6,1,1.9,1.9,2.2,4.1,13.0,93.0,42.0,0.07,0.07,0.13,0.07,0.13,0.06,0.07,0.14,0.06,0.14,https://fbref.com/en/players/07c7eb0c/Anthony-Losilla,30.2,2,27,8,29.6,0.89,0.26,0.07,0.25,17.2,0.0,0,0,0.07,0.1,0.1,650.0,962.0,67.6,10825.0,3793.0,311.0,413.0,75.3,266.0,376.0,70.7,52.0,110.0,47.3,2.2,2.2,-0.2,14.0,62.0,8.0,2.0,93.0,962.0,951.0,8.0,6.0,4.0,4.0,10,0.0,0.0,0.0,0.0,0.0,650.0,3.0,20.0,41.0,1.36,32.0,0.0,0.0,4.0,2.0,3.0,6.0,0.2,5.0,0.0,0.0,1.0,0.0,0.0,76.0,49,32.0,34.0,10.0,38.0,77.0,49.4,39.0,39.0,12.0,27.0,37,113.0,67.0,0.0,1286.0,90.0,366.0,705.0,234.0,39.0,1286.0,20.0,9.0,45.0,10.0,50.0,410.0,1715.0,645.0,13.0,14.0,1.0,24.0,10.0,551.0,42.0,31,2720,88,88.9,30.2,31,88.0,26,0,,0,1.1,39,64,-25,-0.83,1.03,35.3,59.3,-24.0,-0.8,-0.35,0,47,17,3,10,49,0.0,1.0,0,203.0,92.0,76.0,54.8,8,Defensive Midfield,3/10/1986,,France,,1.85,right,7/1/2014,SG Dynamo Dresden,6/30/2024,,https://www.transfermarkt.com/anthony-losilla/profil/spieler/111266
6,1214,9826,Anton Stach_2022_Mainz 05,-1.873341586514307,11.540000000000001,2022,Mainz 05,Bundesliga,Anton Stach,GER,MF,22,1998,29,20,1861,20.7,1,6,7,1,0,0,6,0,2.1,2.1,4.5,6.6,48.0,103.0,50.0,0.05,0.29,0.34,0.05,0.34,0.1,0.22,0.32,0.1,0.32,https://fbref.com/en/players/0f59a7bf/Anton-Stach,20.7,1,49,12,24.5,2.37,0.58,0.02,0.08,25.6,9.0,0,0,0.04,-1.1,-1.1,671.0,955.0,70.3,10929.0,3639.0,346.0,438.0,79.0,226.0,318.0,71.1,65.0,119.0,54.6,4.5,4.4,1.5,32.0,82.0,25.0,4.0,103.0,955.0,902.0,49.0,22.0,3.0,4.0,53,1.0,26.0,15.0,10.0,0.0,671.0,4.0,28.0,59.0,2.85,35.0,10.0,2.0,5.0,7.0,0.0,10.0,0.48,8.0,1.0,0.0,1.0,0.0,0.0,28.0,19,14.0,13.0,1.0,15.0,38.0,39.5,23.0,24.0,5.0,19.0,51,79.0,25.0,0.0,1265.0,48.0,252.0,725.0,316.0,29.0,1265.0,44.0,29.0,65.9,15.0,34.1,586.0,3577.0,1789.0,48.0,36.0,4.0,53.0,21.0,676.0,50.0,29,1861,64,60.8,20.7,20,83.0,9,9,22.0,2,1.17,31,33,-2,-0.1,-0.62,28.5,30.7,-2.2,-0.11,-0.76,0,35,43,0,53,19,0.0,0.0,0,176.0,52.0,20.0,72.2,6,Defensive Midfield,11/15/1998,,Germany,1.FSV Mainz 05,1.94,both,7/31/2021,SpVgg Greuther FÃƒÂ¼rth,6/30/2024,15000000.0,https://www.transfermarkt.com/anton-stach/profil/spieler/344069
7,1215,12696,Anton Stach_2023_Mainz 05,-1.7160187611365727,13.850000000000001,2023,Mainz 05,Bundesliga,Anton Stach,GER,MF,23,1998,30,22,2070,23.0,1,4,5,1,0,0,4,0,2.2,2.2,3.6,5.8,37.0,106.0,77.0,0.04,0.17,0.22,0.04,0.22,0.1,0.16,0.25,0.1,0.25,https://fbref.com/en/players/0f59a7bf/Anton-Stach,23.0,1,36,10,27.8,1.57,0.43,0.03,0.1,22.6,4.0,0,0,0.06,-1.2,-1.2,619.0,897.0,69.0,9824.0,3597.0,321.0,423.0,75.9,218.0,298.0,73.2,50.0,105.0,47.6,3.6,4.0,0.4,31.0,70.0,25.0,6.0,106.0,897.0,832.0,60.0,29.0,6.0,5.0,62,5.0,26.0,20.0,3.0,0.0,619.0,5.0,23.0,59.0,2.56,36.0,10.0,4.0,1.0,5.0,3.0,6.0,0.26,4.0,1.0,1.0,0.0,0.0,0.0,27.0,21,10.0,15.0,2.0,16.0,38.0,42.1,22.0,28.0,2.0,26.0,41,68.0,25.0,0.0,1172.0,34.0,212.0,644.0,345.0,50.0,1172.0,51.0,25.0,49.0,21.0,41.2,549.0,3090.0,1519.0,37.0,28.0,7.0,45.0,16.0,655.0,77.0,30,2070,69,67.6,23.0,22,83.0,9,8,32.0,1,1.4,35,36,-1,-0.04,-0.04,31.5,35.0,-3.4,-0.15,0.13,0,26,40,3,62,21,0.0,1.0,0,167.0,72.0,31.0,69.9,6,Defensive Midfield,11/15/1998,,Germany,,1.94,both,7/31/2021,SpVgg Greuther FÃƒÂ¼rth,6/30/2024,15000000.0,https://www.transfermarkt.com/anton-stach/profil/spieler/344069
8,1460,7857,Atakan Karazor_2021_Stuttgart,1.8060277671522047,86.15,2021,Stuttgart,Bundesliga,Atakan Karazor,GER,"DF,MF",23,1996,19,10,1037,11.5,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,4.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,https://fbref.com/en/players/5762be5c/Atakan-Karazor,11.5,0,3,1,33.3,0.26,0.09,0.0,0.0,21.7,0.0,0,0,0.05,-0.1,-0.1,605.0,703.0,86.1,9874.0,3721.0,281.0,315.0,89.2,276.0,303.0,91.1,30.0,55.0,54.5,0.1,0.2,-0.1,2.0,21.0,0.0,0.0,33.0,703.0,668.0,34.0,33.0,0.0,3.0,0,1.0,0.0,0.0,0.0,0.0,605.0,1.0,3.0,7.0,0.61,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,20.0,12,12.0,7.0,1.0,13.0,22.0,59.1,9.0,18.0,8.0,10.0,21,41.0,50.0,2.0,856.0,113.0,407.0,414.0,39.0,4.0,856.0,8.0,7.0,87.5,1.0,12.5,451.0,1649.0,766.0,4.0,2.0,0.0,16.0,4.0,524.0,6.0,19,1037,55,33.9,11.5,10,88.0,9,9,17.0,10,1.26,14,18,-4,-0.35,-0.57,14.5,17.9,-3.3,-0.29,-0.4,0,15,16,0,0,12,0.0,1.0,0,76.0,29.0,30.0,49.2,16,Defensive Midfield,10/13/1996,,Germany,VfB Stuttgart,1.91,right,7/1/2019,Holstein Kiel,6/30/2026,4500000.0,https://www.transfermarkt.com/atakan-karazor/profil/spieler/232320
9,1461,10750,Atakan Karazor_2022_Stuttgart,0.5195859300174415,62.31,2022,Stuttgart,Bundesliga,Atakan Karazor,GER,MF,24,1996,24,23,1898,21.1,0,1,1,0,0,0,9,1,0.3,0.3,1.2,1.5,11.0,82.0,24.0,0.0,0.05,0.05,0.0,0.05,0.01,0.06,0.07,0.01,0.07,https://fbref.com/en/players/5762be5c/Atakan-Karazor,21.1,0,9,2,22.2,0.43,0.09,0.0,0.0,26.6,0.0,0,0,0.03,-0.3,-0.3,830.0,1016.0,81.7,13376.0,4140.0,400.0,465.0,86.0,344.0,393.0,87.5,51.0,88.0,58.0,1.2,0.9,-0.2,17.0,72.0,8.0,1.0,82.0,1016.0,971.0,42.0,41.0,1.0,3.0,3,0.0,0.0,0.0,0.0,0.0,830.0,3.0,15.0,38.0,1.8,32.0,1.0,1.0,0.0,1.0,3.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,48.0,24,18.0,27.0,3.0,18.0,36.0,50.0,18.0,37.0,14.0,23.0,34,82.0,47.0,0.0,1285.0,97.0,375.0,785.0,134.0,11.0,1285.0,27.0,13.0,48.1,14.0,51.9,604.0,2290.0,1064.0,11.0,13.0,0.0,24.0,14.0,730.0,24.0,24,1898,79,62.0,21.1,23,82.0,15,1,16.0,4,1.29,24,35,-11,-0.52,0.02,26.3,34.0,-7.6,-0.36,-0.16,1,38,39,0,3,24,0.0,0.0,0,142.0,57.0,32.0,64.0,16,Defensive Midfield,10/13/1996,,Germany,VfB Stuttgart,1.91,right,7/1/2019,Holstein Kiel,6/30/2026,4000000.0,https://www.transfermarkt.com/atakan-karazor/profil/spieler/232320
