,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,3,2589,Aaron Cresswell_2019_West Ham,-0.5870211567781364,38.83,2019,West Ham,Premier League,Aaron Cresswell,ENG,DF,28,1989,20,18,1589,17.7,0,1,1,0,0,0,1,0,0.5,0.5,1.1,1.5,35.0,94.0,103.0,0.0,0.06,0.06,0.0,0.06,0.03,0.06,0.09,0.03,0.09,https://fbref.com/en/players/4f974391/Aaron-Cresswell,17.7,0,11,0,0.0,0.62,0.0,0.0,,22.6,2.0,0,0,0.04,-0.5,-0.5,848.0,1082.0,78.4,12647.0,5043.0,484.0,545.0,88.8,279.0,345.0,80.9,48.0,106.0,45.3,1.1,1.4,-0.1,17.0,60.0,19.0,8.0,94.0,1082.0,859.0,220.0,20.0,0.0,3.0,75,192.0,8.0,1.0,6.0,0.0,848.0,3.0,38.0,35.0,1.98,24.0,6.0,0.0,3.0,1.0,1.0,3.0,0.17,1.0,2.0,0.0,0.0,0.0,0.0,29.0,16,14.0,11.0,4.0,13.0,25.0,52.0,12.0,28.0,7.0,21.0,23,52.0,58.0,0.0,1279.0,71.0,309.0,642.0,335.0,29.0,1279.0,13.0,6.0,46.2,7.0,53.8,563.0,2544.0,1349.0,35.0,25.0,6.0,13.0,6.0,707.0,103.0,20,1589,79,46.5,17.7,18,85.0,16,2,30.0,7,1.3,21,26,-5,-0.28,-0.38,19.7,25.2,-5.5,-0.31,0.12,0,2,12,1,75,16,0.0,0.0,0,85.0,25.0,18.0,58.1,3,Left-Back,12/15/1989,,England,West Ham United,1.7,left,7/3/2014,Ipswich Town,6/30/2023,6500000.0,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571
1,4,5317,Aaron Cresswell_2020_West Ham,-1.4969345549815996,14.96,2020,West Ham,Premier League,Aaron Cresswell,ENG,DF,29,1989,31,31,2727,30.3,3,0,3,3,0,0,7,0,1.4,1.4,3.2,4.5,43.0,166.0,97.0,0.1,0.0,0.1,0.1,0.1,0.05,0.11,0.15,0.05,0.15,https://fbref.com/en/players/4f974391/Aaron-Cresswell,30.3,3,17,5,29.4,0.56,0.17,0.18,0.6,21.7,7.0,0,0,0.08,1.6,1.6,1232.0,1705.0,72.3,20084.0,9913.0,676.0,753.0,89.8,425.0,597.0,71.2,110.0,256.0,43.0,3.2,2.2,-3.2,26.0,135.0,21.0,17.0,166.0,1705.0,1314.0,384.0,45.0,0.0,5.0,127,320.0,19.0,10.0,4.0,2.0,1232.0,7.0,53.0,51.0,1.68,37.0,8.0,1.0,1.0,4.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,43.0,26,21.0,18.0,4.0,23.0,46.0,50.0,23.0,33.0,10.0,23.0,35,78.0,75.0,2.0,1975.0,100.0,542.0,922.0,520.0,24.0,1975.0,34.0,11.0,32.4,23.0,67.6,934.0,3750.0,1808.0,43.0,33.0,2.0,18.0,10.0,1043.0,97.0,31,2727,88,79.7,30.3,31,88.0,28,0,,0,0.97,41,51,-10,-0.33,0.06,38.7,49.6,-10.9,-0.36,0.2,0,16,17,2,127,26,0.0,0.0,0,172.0,45.0,39.0,53.6,3,Left-Back,12/15/1989,,England,West Ham United,1.7,left,7/3/2014,Ipswich Town,6/30/2023,5000000.0,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571
2,5,8139,Aaron Cresswell_2021_West Ham,1.6119377678211202,86.17,2021,West Ham,Premier League,Aaron Cresswell,ENG,DF,30,1989,36,36,3170,35.2,0,8,8,0,0,0,3,0,1.0,1.0,6.5,7.5,35.0,162.0,96.0,0.0,0.23,0.23,0.0,0.23,0.03,0.18,0.21,0.03,0.21,https://fbref.com/en/players/4f974391/Aaron-Cresswell,35.2,0,19,4,21.1,0.54,0.11,0.0,0.0,25.4,11.0,0,0,0.05,-1.0,-1.0,1586.0,2141.0,74.1,28632.0,13845.0,754.0,847.0,89.0,606.0,755.0,80.3,198.0,429.0,46.2,6.5,5.0,1.5,58.0,174.0,26.0,18.0,162.0,2141.0,1671.0,447.0,101.0,2.0,20.0,207,259.0,87.0,27.0,56.0,0.0,1586.0,23.0,44.0,103.0,2.92,51.0,44.0,1.0,5.0,2.0,0.0,14.0,0.4,6.0,5.0,0.0,2.0,1.0,0.0,32.0,13,15.0,15.0,2.0,18.0,32.0,56.3,14.0,29.0,14.0,15.0,32,64.0,79.0,2.0,2366.0,169.0,758.0,1071.0,555.0,14.0,2366.0,10.0,4.0,40.0,6.0,60.0,1148.0,5201.0,2524.0,35.0,31.0,0.0,13.0,9.0,1349.0,96.0,36,3170,88,92.7,35.2,36,88.0,34,0,,0,1.81,60,41,19,0.54,1.98,52.2,42.5,9.7,0.28,1.35,0,13,18,0,207,13,0.0,0.0,0,195.0,35.0,29.0,54.7,3,Left-Back,12/15/1989,,England,West Ham United,1.7,left,7/3/2014,Ipswich Town,6/30/2023,3000000.0,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571
3,6,11057,Aaron Cresswell_2022_West Ham,-0.011340637580452563,55.11000000000001,2022,West Ham,Premier League,Aaron Cresswell,ENG,DF,31,1989,31,31,2726,30.3,2,3,5,2,0,0,3,0,1.1,1.1,3.2,4.2,54.0,186.0,99.0,0.07,0.1,0.17,0.07,0.17,0.04,0.1,0.14,0.04,0.14,https://fbref.com/en/players/4f974391/Aaron-Cresswell,30.3,2,18,3,16.7,0.59,0.1,0.11,0.67,20.5,8.0,0,0,0.06,0.9,0.9,1656.0,2096.0,79.0,27331.0,11135.0,837.0,912.0,91.8,650.0,755.0,86.1,134.0,318.0,42.1,3.2,3.0,-0.2,31.0,131.0,19.0,12.0,186.0,2096.0,1736.0,350.0,67.0,0.0,6.0,145,232.0,51.0,11.0,40.0,0.0,1656.0,10.0,44.0,53.0,1.75,31.0,20.0,0.0,2.0,0.0,0.0,6.0,0.2,2.0,4.0,0.0,0.0,0.0,0.0,28.0,18,18.0,6.0,4.0,13.0,25.0,52.0,12.0,31.0,18.0,13.0,35,63.0,66.0,0.0,2312.0,126.0,674.0,1078.0,576.0,22.0,2312.0,17.0,8.0,47.1,9.0,52.9,1305.0,5741.0,2727.0,54.0,45.0,2.0,14.0,4.0,1497.0,99.0,31,2726,88,79.7,30.3,31,88.0,29,0,,0,1.45,44,38,6,0.2,-0.19,38.6,41.0,-2.4,-0.08,-0.12,0,14,10,2,145,18,0.0,1.0,0,163.0,32.0,24.0,57.1,3,Left-Back,12/15/1989,,England,West Ham United,1.7,left,7/3/2014,Ipswich Town,6/30/2023,1200000.0,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571
4,7,13943,Aaron Cresswell_2023_West Ham,-0.17696323172139966,50.57000000000001,2023,West Ham,Premier League,Aaron Cresswell,ENG,DF,32,1989,28,24,2235,24.8,0,1,1,0,0,0,3,0,0.3,0.3,3.7,4.0,35.0,145.0,82.0,0.0,0.04,0.04,0.0,0.04,0.01,0.15,0.16,0.01,0.16,https://fbref.com/en/players/4f974391/Aaron-Cresswell,24.8,0,9,1,11.1,0.36,0.04,0.0,0.0,22.5,4.0,0,0,0.04,-0.3,-0.3,1127.0,1448.0,77.8,18285.0,8587.0,626.0,670.0,93.4,387.0,497.0,77.9,100.0,206.0,48.5,3.7,2.9,-2.7,40.0,91.0,28.0,15.0,145.0,1448.0,1157.0,288.0,40.0,1.0,5.0,133,192.0,56.0,5.0,44.0,1.0,1127.0,3.0,35.0,73.0,2.94,43.0,27.0,0.0,2.0,1.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,21.0,11,12.0,7.0,2.0,12.0,31.0,38.7,19.0,21.0,11.0,10.0,27,48.0,56.0,0.0,1607.0,97.0,507.0,668.0,438.0,13.0,1607.0,7.0,2.0,28.6,4.0,57.1,766.0,3497.0,1751.0,35.0,26.0,1.0,6.0,6.0,960.0,82.0,28,2235,80,65.4,24.8,24,88.0,20,4,29.0,8,1.11,26,32,-6,-0.24,0.29,32.3,32.9,-0.6,-0.03,0.22,0,9,9,2,133,11,0.0,0.0,0,120.0,28.0,27.0,50.9,3,Left-Back,12/15/1989,,England,,1.7,left,7/3/2014,Ipswich Town,6/30/2023,1200000.0,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571
5,20,1504,Aaron Martin_2019_Mainz 05,0.8399290757992387,73.3,2019,Mainz 05,Bundesliga,AarÃƒÂ³n MartÃƒÂ­n,ESP,DF,21,1997,33,32,2878,32.0,0,3,3,0,0,0,3,0,0.8,0.8,4.9,5.7,115.0,106.0,187.0,0.0,0.09,0.09,0.0,0.09,0.02,0.15,0.18,0.02,0.18,https://fbref.com/en/players/2f3e911a/Aaron-Martin,32.0,0,18,5,27.8,0.56,0.16,0.0,0.0,23.6,2.0,0,0,0.04,-0.8,-0.8,1284.0,1739.0,73.8,20885.0,7229.0,714.0,787.0,90.7,439.0,590.0,74.4,110.0,278.0,39.6,4.9,5.6,-1.9,63.0,74.0,38.0,23.0,106.0,1739.0,1281.0,451.0,62.0,2.0,3.0,235,302.0,87.0,31.0,50.0,1.0,1284.0,7.0,42.0,106.0,3.31,71.0,23.0,8.0,2.0,1.0,1.0,9.0,0.28,5.0,2.0,1.0,0.0,1.0,0.0,55.0,30,29.0,21.0,5.0,20.0,38.0,52.6,18.0,38.0,11.0,27.0,38,93.0,75.0,1.0,2043.0,114.0,504.0,824.0,731.0,28.0,2043.0,56.0,45.0,80.4,11.0,19.6,976.0,6575.0,3864.0,115.0,85.0,11.0,22.0,23.0,1079.0,187.0,33,2878,87,94.1,32.0,32,89.0,30,1,27.0,1,1.3,46,50,-4,-0.13,3.34,50.0,55.7,-5.7,-0.18,0.99,0,29,28,6,235,30,1.0,0.0,0,166.0,23.0,36.0,39.0,-,Left-Back,4/22/1997,,Spain,Genoa CFC,1.8,left,7/1/2019,RCD Espanyol Barcelona,6/30/2026,10500000.0,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878
6,21,4096,Aaron Martin_2020_Mainz 05,-1.2392996582087688,21.78,2020,Mainz 05,Bundesliga,AarÃƒÂ³n MartÃƒÂ­n,ESP,DF,22,1997,22,21,1792,19.9,0,0,0,0,0,0,2,0,0.3,0.3,2.9,3.2,40.0,44.0,90.0,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.16,0.02,0.16,https://fbref.com/en/players/2f3e911a/Aaron-Martin,19.9,0,9,3,33.3,0.45,0.15,0.0,0.0,23.8,1.0,0,0,0.04,-0.3,-0.3,649.0,907.0,71.6,9947.0,3939.0,379.0,427.0,88.8,193.0,285.0,67.7,56.0,142.0,39.4,2.9,3.8,-2.9,32.0,33.0,16.0,9.0,44.0,907.0,633.0,270.0,44.0,1.0,1.0,136,167.0,58.0,30.0,28.0,0.0,649.0,4.0,14.0,54.0,2.71,30.0,21.0,3.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,29.0,15,17.0,8.0,4.0,9.0,22.0,40.9,13.0,11.0,5.0,6.0,30,59.0,36.0,0.0,1072.0,48.0,288.0,450.0,351.0,11.0,1072.0,28.0,19.0,67.9,9.0,32.1,527.0,3129.0,1546.0,40.0,26.0,3.0,15.0,15.0,514.0,90.0,22,1792,81,58.6,19.9,21,84.0,16,1,25.0,9,1.0,29,49,-20,-1.0,-0.93,27.5,40.6,-13.1,-0.66,-0.77,0,18,12,2,136,15,0.0,0.0,0,86.0,14.0,21.0,40.0,-,Left-Back,4/22/1997,,Spain,Genoa CFC,1.8,left,7/1/2019,RCD Espanyol Barcelona,6/30/2026,4500000.0,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878
7,22,5932,Aaron Martin_2021_Celta Vigo,-0.4691580999004934,41.29,2021,Celta Vigo,La Liga,AarÃƒÂ³n MartÃƒÂ­n,ESP,DF,23,1997,19,17,1540,17.1,0,3,3,0,0,0,1,0,0.2,0.2,0.8,1.0,32.0,42.0,86.0,0.0,0.18,0.18,0.0,0.18,0.01,0.05,0.06,0.01,0.06,https://fbref.com/en/players/2f3e911a/Aaron-Martin,17.1,0,5,1,20.0,0.29,0.06,0.0,0.0,22.4,0.0,0,0,0.03,-0.2,-0.2,675.0,866.0,77.9,10129.0,3019.0,373.0,407.0,91.6,245.0,319.0,76.8,35.0,93.0,37.6,0.8,1.0,2.2,6.0,29.0,7.0,3.0,42.0,866.0,701.0,163.0,24.0,0.0,2.0,54,138.0,1.0,0.0,0.0,0.0,675.0,2.0,17.0,15.0,0.88,11.0,2.0,0.0,1.0,1.0,0.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,34.0,20,15.0,16.0,3.0,10.0,33.0,30.3,23.0,15.0,4.0,11.0,13,47.0,37.0,0.0,1015.0,52.0,312.0,461.0,253.0,16.0,1015.0,25.0,17.0,68.0,8.0,32.0,517.0,2261.0,1121.0,32.0,24.0,3.0,14.0,7.0,603.0,86.0,19,1540,81,45.0,17.1,17,87.0,15,2,27.0,2,1.53,29,27,2,0.12,0.31,20.7,26.9,-6.2,-0.36,-0.62,0,25,15,3,54,20,0.0,0.0,0,72.0,15.0,19.0,44.1,,Left-Back,,,,,,,,,,5000000.0,
8,24,9818,Aaron Martin_2022_Mainz 05,-0.03568432226145237,54.36,2022,Mainz 05,Bundesliga,AarÃƒÂ³n MartÃƒÂ­n,ESP,DF,24,1997,28,25,2292,25.5,1,1,2,1,0,0,7,0,1.0,1.0,5.0,5.9,32.0,69.0,87.0,0.04,0.04,0.08,0.04,0.08,0.04,0.19,0.23,0.04,0.23,https://fbref.com/en/players/2f3e911a/Aaron-Martin,25.5,1,18,5,27.8,0.71,0.2,0.06,0.2,21.5,5.0,0,0,0.05,0.0,0.0,768.0,1126.0,68.2,13643.0,5220.0,377.0,427.0,88.3,274.0,364.0,75.3,104.0,272.0,38.2,5.0,4.8,-4.0,46.0,57.0,29.0,17.0,69.0,1126.0,872.0,249.0,27.0,1.0,4.0,180,126.0,96.0,53.0,35.0,0.0,768.0,5.0,24.0,68.0,2.67,37.0,26.0,0.0,3.0,1.0,1.0,3.0,0.12,1.0,2.0,0.0,0.0,0.0,0.0,54.0,33,32.0,18.0,4.0,24.0,55.0,43.6,31.0,24.0,4.0,20.0,20,74.0,35.0,0.0,1343.0,39.0,333.0,607.0,412.0,19.0,1343.0,44.0,28.0,63.6,16.0,36.4,646.0,3161.0,1443.0,32.0,24.0,1.0,33.0,15.0,710.0,87.0,28,2292,82,74.9,25.5,25,88.0,20,3,31.0,3,1.46,44,35,9,0.35,0.82,41.5,33.2,8.3,0.32,0.53,0,31,18,0,180,33,0.0,0.0,0,161.0,12.0,15.0,44.4,-,Left-Back,4/22/1997,,Spain,Genoa CFC,1.8,left,7/1/2019,RCD Espanyol Barcelona,6/30/2026,7000000.0,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878
9,25,12692,Aaron Martin_2023_Mainz 05,0.6158133573832012,68.75,2023,Mainz 05,Bundesliga,AarÃƒÂ³n MartÃƒÂ­n,ESP,DF,25,1997,28,20,1847,20.5,5,3,8,5,0,1,3,0,2.2,1.4,2.8,4.2,25.0,86.0,61.0,0.24,0.15,0.39,0.24,0.39,0.11,0.14,0.24,0.07,0.2,https://fbref.com/en/players/2f3e911a/Aaron-Martin,20.5,5,18,7,38.9,0.88,0.34,0.28,0.71,25.9,8.0,0,1,0.08,2.8,3.6,761.0,1028.0,74.0,12672.0,5222.0,385.0,424.0,90.8,283.0,356.0,79.5,73.0,187.0,39.0,2.8,3.4,0.2,27.0,68.0,29.0,16.0,86.0,1028.0,730.0,293.0,39.0,0.0,4.0,145,195.0,59.0,42.0,16.0,0.0,761.0,5.0,29.0,59.0,2.87,39.0,18.0,1.0,1.0,0.0,0.0,5.0,0.24,4.0,1.0,0.0,0.0,0.0,0.0,42.0,27,25.0,11.0,6.0,21.0,40.0,52.5,19.0,22.0,1.0,21.0,15,57.0,31.0,0.0,1192.0,47.0,303.0,523.0,380.0,14.0,1191.0,21.0,10.0,47.6,8.0,38.1,582.0,2815.0,1217.0,25.0,19.0,3.0,15.0,14.0,621.0,61.0,28,1847,66,60.4,20.5,20,83.0,14,8,23.0,6,1.25,29,34,-5,-0.24,-0.54,26.9,34.5,-7.6,-0.37,-0.45,0,28,12,2,145,27,0.0,0.0,0,104.0,1.0,13.0,7.1,,Left-Back,,,,,,,,,,7000000.0,
