,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,22,5932,Aaron Martin_2021_Celta Vigo,-0.16670297712845275,51.61,2021,Celta Vigo,La Liga,AarÃƒÂ³n MartÃƒÂ­n,ESP,DF,23,1997,19,17,1540,17.1,0,3,3,0,0,0,1,0,0.2,0.2,0.8,1.0,32.0,42.0,86.0,0.0,0.18,0.18,0.0,0.18,0.01,0.05,0.06,0.01,0.06,https://fbref.com/en/players/2f3e911a/Aaron-Martin,17.1,0,5,1,20.0,0.29,0.06,0.0,0.0,22.4,0.0,0,0,0.03,-0.2,-0.2,675.0,866.0,77.9,10129.0,3019.0,373.0,407.0,91.6,245.0,319.0,76.8,35.0,93.0,37.6,0.8,1.0,2.2,6.0,29.0,7.0,3.0,42.0,866.0,701.0,163.0,24.0,0.0,2.0,54,138.0,1.0,0.0,0.0,0.0,675.0,2.0,17.0,15.0,0.88,11.0,2.0,0.0,1.0,1.0,0.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,34.0,20,15.0,16.0,3.0,10.0,33.0,30.3,23.0,15.0,4.0,11.0,13,47.0,37.0,0.0,1015.0,52.0,312.0,461.0,253.0,16.0,1015.0,25.0,17.0,68.0,8.0,32.0,517.0,2261.0,1121.0,32.0,24.0,3.0,14.0,7.0,603.0,86.0,19,1540,81,45.0,17.1,17,87.0,15,2,27.0,2,1.53,29,27,2,0.12,0.31,20.7,26.9,-6.2,-0.36,-0.62,0,25,15,3,54,20,0.0,0.0,0,72.0,15.0,19.0,44.1,,Left-Back,,,,,,,,,,5000000.0,
1,275,1998,Aihen Munoz_2019_Real Sociedad,-1.1576713023940828,19.35,2019,Real Sociedad,La Liga,Aihen MuÃƒÂ±oz,ESP,DF,20,1997,11,11,951,10.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,28.0,24.0,43.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03,https://fbref.com/en/players/228b0d9d/Aihen-Munoz,10.6,0,2,0,0.0,0.19,0.0,0.0,,16.7,0.0,0,0,0.05,-0.1,-0.1,381.0,528.0,72.2,5921.0,2320.0,206.0,240.0,85.8,136.0,194.0,70.1,28.0,59.0,47.5,0.3,0.4,-0.3,7.0,17.0,10.0,7.0,24.0,528.0,418.0,108.0,9.0,0.0,0.0,28,99.0,0.0,0.0,0.0,0.0,381.0,2.0,15.0,17.0,1.61,12.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8,11.0,2.0,0.0,10.0,19.0,52.6,9.0,19.0,9.0,10.0,7,20.0,26.0,0.0,639.0,35.0,226.0,266.0,150.0,8.0,639.0,31.0,20.0,64.5,11.0,35.5,306.0,1606.0,827.0,28.0,12.0,2.0,11.0,7.0,349.0,43.0,11,951,86,27.8,10.6,11,86.0,8,0,,9,1.82,14,10,4,0.38,0.56,15.0,13.6,1.4,0.14,0.15,0,6,6,0,28,8,0.0,0.0,0,42.0,15.0,18.0,45.5,12,Left-Back,8/16/1997,,Spain,Real Sociedad,1.75,left,7/1/2019,Real Sociedad B,6/30/2024,4000000.0,https://www.transfermarkt.com/aihen-munoz/profil/spieler/517842
2,276,4683,Aihen Munoz_2020_Real Sociedad,-1.801851963778034,9.68,2020,Real Sociedad,La Liga,Aihen MuÃƒÂ±oz,ESP,DF,21,1997,15,11,981,10.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,19.0,24.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/228b0d9d/Aihen-Munoz,10.9,0,0,0,,0.0,0.0,,,,0.0,0,0,,0.0,0.0,502.0,660.0,76.1,7833.0,2552.0,255.0,288.0,88.5,210.0,253.0,83.0,28.0,89.0,31.5,0.1,0.4,-0.1,1.0,21.0,7.0,7.0,24.0,660.0,516.0,142.0,13.0,0.0,1.0,41,129.0,0.0,0.0,0.0,0.0,502.0,2.0,13.0,8.0,0.73,6.0,0.0,0.0,0.0,1.0,1.0,2.0,0.18,1.0,0.0,0.0,0.0,0.0,1.0,28.0,18,13.0,12.0,3.0,18.0,27.0,66.7,9.0,13.0,2.0,11.0,2,30.0,19.0,0.0,751.0,25.0,238.0,345.0,171.0,10.0,751.0,11.0,5.0,45.5,6.0,54.5,387.0,1748.0,950.0,19.0,15.0,4.0,9.0,10.0,438.0,55.0,15,981,65,28.7,10.9,11,85.0,8,4,12.0,14,1.47,11,14,-3,-0.28,-0.68,12.0,12.0,0.0,0.0,-0.21,0,7,9,0,41,18,0.0,0.0,0,53.0,19.0,16.0,54.3,12,Left-Back,8/16/1997,,Spain,Real Sociedad,1.75,left,7/1/2019,Real Sociedad B,6/30/2024,6000000.0,https://www.transfermarkt.com/aihen-munoz/profil/spieler/517842
3,277,7460,Aihen Munoz_2021_Real Sociedad,-0.4962979329001542,40.86,2021,Real Sociedad,La Liga,Aihen MuÃƒÂ±oz,ESP,DF,22,1997,16,14,1210,13.4,0,1,1,0,0,0,6,0,0.3,0.3,0.5,0.7,30.0,41.0,59.0,0.0,0.07,0.07,0.0,0.07,0.02,0.04,0.06,0.02,0.06,https://fbref.com/en/players/228b0d9d/Aihen-Munoz,13.4,0,4,1,25.0,0.3,0.07,0.0,0.0,21.9,0.0,0,0,0.07,-0.3,-0.3,505.0,747.0,67.6,8945.0,3737.0,222.0,257.0,86.4,213.0,296.0,72.0,58.0,142.0,40.8,0.5,1.0,0.5,6.0,38.0,11.0,8.0,41.0,747.0,563.0,183.0,9.0,0.0,1.0,55,174.0,0.0,0.0,0.0,0.0,505.0,1.0,22.0,17.0,1.26,13.0,1.0,0.0,0.0,3.0,0.0,3.0,0.22,2.0,0.0,0.0,0.0,1.0,0.0,23.0,16,15.0,5.0,3.0,11.0,19.0,57.9,8.0,12.0,2.0,10.0,10,33.0,31.0,0.0,855.0,32.0,241.0,400.0,220.0,13.0,855.0,17.0,10.0,58.8,7.0,41.2,387.0,1808.0,996.0,30.0,20.0,2.0,7.0,6.0,443.0,59.0,16,1210,76,35.4,13.4,14,85.0,12,2,9.0,11,1.44,19,13,6,0.45,-0.16,21.6,15.0,6.6,0.49,-0.12,0,18,9,0,55,16,0.0,0.0,0,57.0,14.0,19.0,42.4,12,Left-Back,8/16/1997,,Spain,Real Sociedad,1.75,left,7/1/2019,Real Sociedad B,6/30/2024,6000000.0,https://www.transfermarkt.com/aihen-munoz/profil/spieler/517842
4,278,10369,Aihen Munoz_2022_Real Sociedad,-1.2399208548304002,17.2,2022,Real Sociedad,La Liga,Aihen MuÃƒÂ±oz,ESP,DF,23,1997,20,15,1342,14.9,0,0,0,0,0,0,4,1,0.1,0.1,0.4,0.5,32.0,51.0,55.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.03,https://fbref.com/en/players/228b0d9d/Aihen-Munoz,14.9,0,7,0,0.0,0.47,0.0,0.0,,26.2,0.0,0,0,0.01,-0.1,-0.1,577.0,772.0,74.7,9469.0,3960.0,296.0,338.0,87.6,221.0,279.0,79.2,47.0,107.0,43.9,0.4,0.7,-0.4,6.0,48.0,10.0,4.0,51.0,772.0,607.0,163.0,24.0,0.0,2.0,39,138.0,1.0,0.0,1.0,0.0,577.0,2.0,20.0,22.0,1.48,12.0,6.0,2.0,1.0,1.0,0.0,1.0,0.07,0.0,0.0,0.0,1.0,0.0,0.0,28.0,17,14.0,13.0,1.0,18.0,29.0,62.1,11.0,11.0,1.0,10.0,17,45.0,34.0,0.0,926.0,38.0,304.0,408.0,223.0,10.0,926.0,28.0,14.0,50.0,14.0,50.0,434.0,2270.0,1266.0,32.0,31.0,2.0,24.0,12.0,484.0,55.0,20,1342,67,39.2,14.9,15,84.0,9,5,16.0,11,1.95,19,18,1,0.07,-0.02,21.9,17.4,4.5,0.3,-0.06,1,27,14,0,39,17,0.0,0.0,0,80.0,25.0,22.0,53.2,12,Left-Back,8/16/1997,,Spain,Real Sociedad,1.75,left,7/1/2019,Real Sociedad B,6/30/2024,6000000.0,https://www.transfermarkt.com/aihen-munoz/profil/spieler/517842
5,279,13228,Aihen Munoz_2023_Real Sociedad,-0.19097797026577773,49.46,2023,Real Sociedad,La Liga,Aihen MuÃƒÂ±oz,ESP,DF,24,1997,23,20,1756,19.5,0,1,1,0,0,0,2,0,0.2,0.2,0.9,1.1,37.0,57.0,87.0,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.06,0.01,0.06,https://fbref.com/en/players/228b0d9d/Aihen-Munoz,19.5,0,6,2,33.3,0.31,0.1,0.0,0.0,24.8,0.0,0,0,0.03,-0.2,-0.2,781.0,1027.0,76.0,13080.0,5178.0,389.0,436.0,89.2,323.0,403.0,80.1,60.0,132.0,45.5,0.9,1.1,0.1,14.0,48.0,18.0,11.0,57.0,1027.0,824.0,196.0,16.0,0.0,3.0,54,180.0,0.0,0.0,0.0,0.0,781.0,7.0,29.0,36.0,1.84,25.0,2.0,5.0,3.0,1.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,38.0,23,17.0,17.0,4.0,22.0,47.0,46.8,25.0,26.0,5.0,21.0,9,47.0,38.0,0.0,1226.0,39.0,340.0,531.0,366.0,9.0,1226.0,40.0,19.0,47.5,18.0,45.0,624.0,3038.0,1395.0,37.0,32.0,2.0,25.0,18.0,704.0,87.0,23,1756,76,51.3,19.5,20,84.0,17,3,27.0,10,1.74,26,21,5,0.26,-0.34,28.6,17.7,10.9,0.56,0.1,0,29,16,0,54,23,0.0,0.0,0,102.0,21.0,25.0,45.7,12,Left-Back,8/16/1997,,Spain,,1.75,left,7/1/2019,Real Sociedad B,6/30/2024,6000000.0,https://www.transfermarkt.com/aihen-munoz/profil/spieler/517842
6,358,5244,Alberto Moreno_2020_Villarreal,0.3703082492670227,66.67,2020,Villarreal,La Liga,Alberto Moreno,ESP,DF,27,1992,18,17,1471,16.3,0,0,0,0,0,0,6,0,0.9,0.9,0.4,1.2,51.0,63.0,70.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.08,0.05,0.08,https://fbref.com/en/players/11b9265b/Alberto-Moreno,16.3,0,9,3,33.3,0.55,0.18,0.0,0.0,18.9,0.0,0,0,0.1,-0.9,-0.9,825.0,976.0,84.5,12969.0,4146.0,411.0,444.0,92.6,320.0,371.0,86.3,55.0,91.0,60.4,0.4,0.9,-0.4,10.0,32.0,15.0,5.0,63.0,976.0,777.0,198.0,15.0,0.0,7.0,32,183.0,0.0,0.0,0.0,0.0,825.0,1.0,15.0,21.0,1.28,19.0,2.0,0.0,0.0,0.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,27.0,16,15.0,11.0,1.0,9.0,25.0,36.0,16.0,15.0,3.0,12.0,25,52.0,36.0,0.0,1157.0,51.0,385.0,508.0,275.0,31.0,1157.0,28.0,14.0,50.0,14.0,50.0,565.0,3045.0,1838.0,51.0,39.0,9.0,27.0,11.0,685.0,70.0,18,1471,82,43.0,16.3,17,85.0,13,1,31.0,1,1.72,27,20,7,0.43,0.11,26.7,19.5,7.2,0.44,-0.02,0,20,7,0,32,16,0.0,0.0,0,69.0,12.0,14.0,46.2,18,Left-Back,7/5/1992,,Spain,Villarreal CF,1.71,left,7/9/2019,Liverpool FC,6/30/2024,2500000.0,https://www.transfermarkt.com/alberto-moreno/profil/spieler/207917
7,360,11010,Alberto Moreno_2022_Villarreal,2.0513202440268277,88.17,2022,Villarreal,La Liga,Alberto Moreno,ESP,"MF,DF",29,1992,24,13,1223,13.6,3,2,5,3,0,0,3,0,3.1,3.1,1.9,5.0,34.0,53.0,87.0,0.22,0.15,0.37,0.22,0.37,0.23,0.14,0.37,0.23,0.37,https://fbref.com/en/players/11b9265b/Alberto-Moreno,13.6,3,22,10,45.5,1.62,0.74,0.14,0.3,18.0,1.0,0,0,0.14,-0.1,-0.1,493.0,617.0,79.9,7664.0,1984.0,259.0,285.0,90.9,190.0,222.0,85.6,26.0,55.0,47.3,1.9,2.8,0.1,16.0,31.0,21.0,7.0,53.0,617.0,550.0,58.0,17.0,3.0,2.0,47,28.0,13.0,7.0,0.0,0.0,493.0,9.0,16.0,37.0,2.72,28.0,4.0,1.0,3.0,1.0,0.0,3.0,0.22,0.0,2.0,0.0,1.0,0.0,0.0,13.0,7,5.0,7.0,1.0,5.0,18.0,27.8,13.0,13.0,1.0,12.0,27,40.0,15.0,0.0,762.0,23.0,145.0,315.0,306.0,35.0,762.0,17.0,10.0,58.8,7.0,41.2,482.0,2501.0,1246.0,34.0,32.0,4.0,32.0,13.0,531.0,87.0,24,1223,51,35.8,13.6,13,75.0,3,11,23.0,3,1.58,19,9,10,0.74,0.08,22.3,14.5,7.7,0.57,0.09,0,20,21,6,47,7,0.0,2.0,0,65.0,7.0,10.0,41.2,18,Left-Back,7/5/1992,,Spain,Villarreal CF,1.71,left,7/9/2019,Liverpool FC,6/30/2024,3000000.0,https://www.transfermarkt.com/alberto-moreno/profil/spieler/207917
8,361,13897,Alberto Moreno_2023_Villarreal,0.7844035651098795,72.04,2023,Villarreal,La Liga,Alberto Moreno,ESP,DF,30,1992,24,14,1296,14.4,0,1,1,0,0,0,7,0,0.9,0.9,1.4,2.3,41.0,47.0,97.0,0.0,0.07,0.07,0.0,0.07,0.07,0.1,0.16,0.07,0.16,https://fbref.com/en/players/11b9265b/Alberto-Moreno,14.4,0,15,3,20.0,1.04,0.21,0.0,0.0,20.7,2.0,0,0,0.06,-0.9,-0.9,605.0,730.0,82.9,9845.0,2768.0,298.0,329.0,90.6,252.0,283.0,89.0,36.0,64.0,56.3,1.4,1.9,-0.4,12.0,18.0,24.0,6.0,47.0,730.0,617.0,107.0,15.0,1.0,4.0,36,85.0,7.0,3.0,3.0,0.0,605.0,6.0,13.0,28.0,1.94,24.0,2.0,1.0,1.0,0.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,23.0,12,10.0,10.0,3.0,11.0,24.0,45.8,13.0,12.0,1.0,11.0,23,46.0,26.0,0.0,872.0,27.0,247.0,298.0,331.0,28.0,872.0,16.0,6.0,37.5,8.0,50.0,490.0,2569.0,1333.0,41.0,32.0,7.0,17.0,6.0,549.0,97.0,24,1296,54,37.9,14.4,14,78.0,3,10,20.0,6,1.96,24,15,9,0.62,0.2,26.7,15.6,11.1,0.77,0.76,0,26,9,3,36,12,0.0,0.0,0,62.0,12.0,10.0,54.5,18,Left-Back,7/5/1992,,Spain,,1.71,left,7/9/2019,Liverpool FC,6/30/2024,3000000.0,https://www.transfermarkt.com/alberto-moreno/profil/spieler/207917
9,391,11433,Alejandro Balde_2023_Barcelona,2.6166392333147415,91.4,2023,Barcelona,La Liga,Alejandro Balde,ESP,DF,18,2003,33,30,2471,27.5,1,6,7,1,0,0,4,0,1.9,1.9,4.9,6.8,96.0,79.0,234.0,0.04,0.22,0.25,0.04,0.25,0.07,0.18,0.25,0.07,0.25,https://fbref.com/en/players/5ccc9672/Alejandro-Balde,27.5,1,19,4,21.1,0.69,0.15,0.05,0.25,17.9,0.0,0,0,0.1,-0.9,-0.9,1482.0,1670.0,88.7,21525.0,4340.0,892.0,951.0,93.8,486.0,536.0,90.7,71.0,106.0,67.0,4.9,5.4,1.1,22.0,74.0,22.0,16.0,79.0,1670.0,1444.0,217.0,32.0,0.0,5.0,67,185.0,0.0,0.0,0.0,0.0,1482.0,9.0,19.0,66.0,2.4,50.0,0.0,8.0,2.0,5.0,1.0,8.0,0.29,8.0,0.0,0.0,0.0,0.0,0.0,42.0,30,22.0,16.0,4.0,24.0,41.0,58.5,17.0,25.0,3.0,22.0,12,54.0,17.0,1.0,1939.0,40.0,419.0,874.0,672.0,78.0,1939.0,96.0,50.0,52.1,36.0,37.5,1270.0,7276.0,4100.0,96.0,69.0,35.0,41.0,24.0,1348.0,234.0,33,2471,75,72.3,27.5,30,81.0,21,3,9.0,4,2.45,48,15,33,1.2,-0.41,53.8,25.9,27.9,1.02,-0.35,0,27,29,5,67,30,0.0,0.0,0,145.0,19.0,18.0,51.4,28,Left-Back,10/18/2003,,Spain,,1.75,left,7/1/2022,FC Barcelona AtlÃƒÂ¨tic,6/30/2024,50000000.0,https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688
