,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,93,10832,Abdu Conte_2022_Troyes,-1.4459144418653964,13.22,2022,Troyes,Ligue 1,Abdu ContÃƒÂ©,POR,DF,23,1998,17,17,1347,15.0,0,1,1,0,0,0,2,0,0.2,0.2,2.1,2.3,31.0,37.0,71.0,0.0,0.07,0.07,0.0,0.07,0.01,0.14,0.15,0.01,0.15,https://fbref.com/en/players/cfa49cc1/Abdu-Conte,15.0,0,5,1,20.0,0.33,0.07,0.0,0.0,15.5,0.0,0,0,0.04,-0.2,-0.2,447.0,614.0,72.8,6811.0,2488.0,244.0,302.0,80.8,159.0,211.0,75.4,27.0,57.0,47.4,2.1,2.0,-1.1,9.0,30.0,9.0,5.0,37.0,614.0,480.0,132.0,4.0,0.0,3.0,41,128.0,0.0,0.0,0.0,0.0,447.0,2.0,21.0,23.0,1.54,16.0,2.0,0.0,2.0,2.0,1.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,22.0,12,16.0,5.0,1.0,12.0,24.0,50.0,12.0,12.0,2.0,10.0,4,26.0,10.0,0.0,733.0,24.0,265.0,282.0,195.0,14.0,733.0,19.0,11.0,57.9,8.0,42.1,433.0,2537.0,1346.0,31.0,32.0,8.0,21.0,8.0,428.0,71.0,17,1347,79,39.4,15.0,17,79.0,7,0,,0,0.88,12,20,-8,-0.53,-0.19,14.9,20.6,-5.7,-0.38,-0.13,0,14,14,2,41,12,0.0,0.0,0,68.0,9.0,11.0,45.0,12,Left-Back,3/24/1998,,Portugal,ESTAC Troyes,1.83,Ã‚Â ,1/12/2022,Moreirense FC,6/30/2026,2000000.0,https://www.transfermarkt.com/abdu-conte/profil/spieler/337798
1,94,13729,Abdu Conte_2023_Troyes,-0.3830228709984701,39.67,2023,Troyes,Ligue 1,Abdu ContÃƒÂ©,POR,DF,24,1998,19,15,1315,14.6,1,2,3,1,0,0,0,0,0.6,0.6,2.0,2.6,32.0,56.0,91.0,0.07,0.14,0.21,0.07,0.21,0.04,0.14,0.18,0.04,0.18,https://fbref.com/en/players/cfa49cc1/Abdu-Conte,14.6,1,4,2,50.0,0.27,0.14,0.25,0.5,15.3,0.0,0,0,0.14,0.4,0.4,591.0,754.0,78.4,10401.0,3886.0,256.0,303.0,84.5,270.0,324.0,83.3,52.0,83.0,62.7,2.0,1.8,0.0,14.0,41.0,14.0,6.0,56.0,754.0,613.0,138.0,12.0,2.0,5.0,37,126.0,0.0,0.0,0.0,0.0,591.0,3.0,30.0,24.0,1.64,20.0,2.0,0.0,0.0,2.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,25.0,17,14.0,8.0,3.0,12.0,22.0,54.5,10.0,13.0,6.0,7.0,6,31.0,25.0,0.0,869.0,48.0,285.0,385.0,206.0,19.0,869.0,17.0,2.0,11.8,14.0,82.4,591.0,3294.0,1623.0,32.0,21.0,6.0,9.0,6.0,542.0,91.0,19,1315,69,38.5,14.6,15,81.0,9,4,26.0,1,0.68,21,26,-5,-0.34,0.98,13.3,30.1,-16.8,-1.15,-0.2,0,12,12,4,37,17,0.0,2.0,0,71.0,16.0,7.0,69.6,,Left-Back,,,,,,,,,,2000000.0,
2,256,7530,Adrien Truffert_2021_Rennes,0.7878209825652283,76.03,2021,Rennes,Ligue 1,Adrien Truffert,FRA,"DF,MF",18,2001,29,23,1951,21.7,1,3,4,1,0,0,3,0,1.1,1.1,2.7,3.8,46.0,77.0,157.0,0.05,0.14,0.18,0.05,0.18,0.05,0.12,0.18,0.05,0.18,https://fbref.com/en/players/5d0e0a1f/Adrien-Truffert,21.7,1,24,3,12.5,1.11,0.14,0.04,0.33,20.5,0.0,0,0,0.05,-0.1,-0.1,1064.0,1279.0,83.2,15992.0,4042.0,603.0,664.0,90.8,403.0,484.0,83.3,41.0,81.0,50.6,2.7,2.4,0.3,21.0,55.0,18.0,11.0,77.0,1279.0,1091.0,184.0,18.0,1.0,0.0,66,166.0,0.0,0.0,0.0,0.0,1064.0,4.0,19.0,37.0,1.71,32.0,0.0,1.0,2.0,2.0,0.0,6.0,0.28,5.0,0.0,0.0,0.0,1.0,0.0,38.0,18,18.0,12.0,8.0,13.0,24.0,54.2,11.0,26.0,5.0,21.0,18,56.0,38.0,1.0,1512.0,46.0,317.0,698.0,501.0,43.0,1512.0,35.0,18.0,51.4,17.0,48.6,841.0,4061.0,2015.0,46.0,38.0,9.0,31.0,14.0,979.0,157.0,29,1951,67,57.0,21.7,23,76.0,9,6,33.0,4,1.45,27,23,4,0.18,-0.31,27.9,23.2,4.7,0.22,-0.09,0,23,25,0,66,18,1.0,0.0,0,89.0,18.0,24.0,42.9,3,Left-Back,11/20/2001,,France,Stade Rennais FC,1.76,left,7/1/2020,Stade Rennais FC B,6/30/2025,12000000.0,https://www.transfermarkt.com/adrien-truffert/profil/spieler/654539
3,257,10447,Adrien Truffert_2022_Rennes,2.0492176679339846,89.25999999999999,2022,Rennes,Ligue 1,Adrien Truffert,FRA,DF,19,2001,30,18,1639,18.2,3,2,5,3,0,0,4,0,1.8,1.8,2.0,3.8,66.0,84.0,118.0,0.16,0.11,0.27,0.16,0.27,0.1,0.11,0.21,0.1,0.21,https://fbref.com/en/players/5d0e0a1f/Adrien-Truffert,18.2,3,19,5,26.3,1.04,0.27,0.16,0.6,20.1,0.0,0,0,0.09,1.2,1.2,938.0,1155.0,81.2,14742.0,4163.0,491.0,548.0,89.6,357.0,435.0,82.1,59.0,96.0,61.5,2.0,2.1,0.0,13.0,72.0,18.0,9.0,84.0,1155.0,976.0,175.0,16.0,0.0,2.0,47,159.0,0.0,0.0,0.0,0.0,938.0,4.0,28.0,37.0,2.03,31.0,0.0,1.0,2.0,3.0,0.0,7.0,0.38,5.0,0.0,0.0,1.0,1.0,0.0,29.0,21,17.0,9.0,3.0,11.0,24.0,45.8,13.0,25.0,5.0,20.0,19,48.0,30.0,0.0,1360.0,39.0,344.0,668.0,362.0,37.0,1360.0,29.0,17.0,58.6,12.0,41.4,809.0,5126.0,2661.0,66.0,50.0,11.0,35.0,14.0,847.0,118.0,30,1639,55,47.9,18.2,18,81.0,9,12,16.0,6,1.7,42,24,18,0.99,-0.22,30.7,22.4,8.2,0.45,-0.13,0,24,20,0,47,21,1.0,1.0,0,91.0,16.0,27.0,37.2,3,Left-Back,11/20/2001,,France,Stade Rennais FC,1.76,left,7/1/2020,Stade Rennais FC B,6/30/2025,18000000.0,https://www.transfermarkt.com/adrien-truffert/profil/spieler/654539
4,258,13304,Adrien Truffert_2023_Rennes,2.0582977267293407,90.08,2023,Rennes,Ligue 1,Adrien Truffert,FRA,DF,20,2001,28,24,1954,21.7,0,6,6,0,0,0,1,0,0.6,0.6,1.5,2.2,55.0,89.0,166.0,0.0,0.28,0.28,0.0,0.28,0.03,0.07,0.1,0.03,0.1,https://fbref.com/en/players/5d0e0a1f/Adrien-Truffert,21.7,0,10,3,30.0,0.46,0.14,0.0,0.0,21.3,0.0,0,0,0.06,-0.6,-0.6,1106.0,1395.0,79.3,17515.0,5252.0,544.0,621.0,87.6,487.0,625.0,77.9,52.0,87.0,59.8,1.5,1.6,4.5,22.0,71.0,17.0,10.0,89.0,1395.0,1153.0,239.0,17.0,0.0,2.0,35,222.0,0.0,0.0,0.0,0.0,1106.0,3.0,36.0,51.0,2.35,40.0,3.0,3.0,3.0,2.0,0.0,8.0,0.37,7.0,1.0,0.0,0.0,0.0,0.0,62.0,32,36.0,17.0,9.0,31.0,46.0,67.4,15.0,32.0,8.0,24.0,22,84.0,55.0,0.0,1656.0,65.0,410.0,790.0,467.0,30.0,1656.0,46.0,21.0,45.7,19.0,41.3,1071.0,5984.0,2659.0,55.0,53.0,9.0,27.0,14.0,979.0,166.0,28,1954,70,57.1,21.7,24,79.0,13,4,13.0,0,1.79,35,25,10,0.46,-0.77,33.6,28.2,5.3,0.25,-0.49,0,20,25,3,35,32,0.0,0.0,0,126.0,34.0,26.0,56.7,3,Left-Back,11/20/2001,,France,,1.76,left,7/1/2020,Stade Rennais FC B,6/30/2025,18000000.0,https://www.transfermarkt.com/adrien-truffert/profil/spieler/654539
5,803,1669,Ambroise Oyongo_2019_Montpellier,-0.6511038992274214,34.71,2019,Montpellier,Ligue 1,Ambroise Oyongo,CMR,DF,27,1991,26,25,2136,23.7,2,0,2,2,0,0,5,0,1.1,1.1,1.2,2.3,52.0,87.0,109.0,0.08,0.0,0.08,0.08,0.08,0.05,0.05,0.1,0.05,0.1,https://fbref.com/en/players/e3e05edf/Ambroise-Oyongo,23.7,2,12,3,25.0,0.51,0.13,0.17,0.67,19.7,0.0,0,0,0.09,0.9,0.9,766.0,1097.0,69.8,12447.0,5768.0,403.0,468.0,86.1,290.0,410.0,70.7,55.0,142.0,38.7,1.2,1.2,-1.2,24.0,47.0,32.0,16.0,87.0,1097.0,808.0,286.0,14.0,0.0,4.0,65,272.0,0.0,0.0,0.0,0.0,766.0,3.0,36.0,46.0,1.94,35.0,4.0,5.0,2.0,0.0,0.0,3.0,0.13,2.0,0.0,0.0,1.0,0.0,0.0,44.0,21,23.0,16.0,5.0,20.0,38.0,52.6,18.0,26.0,6.0,20.0,38,82.0,60.0,0.0,1388.0,48.0,356.0,641.0,407.0,20.0,1388.0,54.0,29.0,53.7,25.0,46.3,653.0,3627.0,1905.0,52.0,44.0,6.0,38.0,26.0,744.0,109.0,26,2136,82,62.5,23.7,25,85.0,19,1,6.0,7,1.77,33,27,6,0.25,-0.1,30.4,26.2,4.1,0.17,-0.11,0,23,24,0,65,21,0.0,0.0,1,108.0,13.0,34.0,27.7,-,Left-Back,6/22/1991,,Cameroon,Without Club,1.76,left,1/2/2018,Montreal Impact,,2800000.0,https://www.transfermarkt.com/ambroise-oyongo/profil/spieler/184922
6,804,4318,Ambroise Oyongo_2020_Montpellier,-0.7833910737883873,28.93,2020,Montpellier,Ligue 1,Ambroise Oyongo,CMR,"DF,FW",28,1991,21,21,1821,20.2,0,0,0,0,0,0,3,0,0.4,0.4,0.7,1.1,31.0,69.0,102.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,https://fbref.com/en/players/e3e05edf/Ambroise-Oyongo,20.2,0,10,0,0.0,0.49,0.0,0.0,,21.2,0.0,0,0,0.04,-0.4,-0.4,688.0,940.0,73.2,11414.0,4814.0,361.0,419.0,86.2,258.0,329.0,78.4,59.0,125.0,47.2,0.7,0.8,-0.7,13.0,59.0,16.0,8.0,69.0,940.0,733.0,204.0,10.0,0.0,2.0,64,194.0,0.0,0.0,0.0,0.0,688.0,3.0,34.0,31.0,1.53,23.0,4.0,2.0,1.0,1.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,25.0,10,16.0,6.0,3.0,16.0,28.0,57.1,12.0,8.0,0.0,8.0,17,42.0,35.0,0.0,1126.0,51.0,265.0,538.0,332.0,14.0,1126.0,38.0,16.0,42.1,22.0,57.9,545.0,2801.0,1389.0,31.0,24.0,3.0,23.0,11.0,625.0,102.0,21,1821,87,72.3,20.2,21,87.0,17,0,,6,1.57,25,21,4,0.2,0.58,21.9,22.8,-0.9,-0.05,-0.23,0,14,22,2,64,10,0.0,0.0,0,114.0,24.0,24.0,50.0,-,Left-Back,6/22/1991,,Cameroon,Without Club,1.76,left,1/2/2018,Montreal Impact,,2200000.0,https://www.transfermarkt.com/ambroise-oyongo/profil/spieler/184922
7,805,7134,Ambroise Oyongo_2021_Montpellier,-0.7294979500468568,32.23,2021,Montpellier,Ligue 1,Ambroise Oyongo,CMR,DF,29,1991,13,5,558,6.2,1,1,2,1,0,0,1,0,0.3,0.3,0.2,0.5,6.0,29.0,15.0,0.16,0.16,0.32,0.16,0.32,0.05,0.04,0.08,0.05,0.08,https://fbref.com/en/players/e3e05edf/Ambroise-Oyongo,6.2,1,1,1,100.0,0.16,0.16,1.0,1.0,10.6,0.0,0,0,0.3,0.7,0.7,231.0,307.0,75.2,4276.0,2033.0,95.0,105.0,90.5,109.0,136.0,80.1,25.0,54.0,46.3,0.2,0.4,0.8,3.0,22.0,5.0,3.0,29.0,307.0,247.0,58.0,3.0,0.0,3.0,12,55.0,0.0,0.0,0.0,0.0,231.0,2.0,6.0,5.0,0.81,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0,13.0,6,10.0,3.0,0.0,9.0,15.0,60.0,6.0,3.0,2.0,1.0,8,21.0,26.0,1.0,375.0,28.0,132.0,182.0,64.0,1.0,375.0,6.0,1.0,16.7,5.0,83.3,196.0,977.0,464.0,6.0,5.0,0.0,5.0,2.0,216.0,15.0,13,558,43,16.3,6.2,5,84.0,3,8,17.0,7,1.38,9,11,-2,-0.32,-0.32,5.8,10.6,-4.8,-0.77,-0.48,0,7,7,0,12,6,0.0,1.0,0,27.0,6.0,4.0,60.0,-,Left-Back,6/22/1991,,Cameroon,Without Club,1.76,left,1/2/2018,Montreal Impact,,1800000.0,https://www.transfermarkt.com/ambroise-oyongo/profil/spieler/184922
8,806,10056,Ambroise Oyongo_2022_Montpellier,-2.6531004955664366,0.0,2022,Montpellier,Ligue 1,Ambroise Oyongo,CMR,DF,30,1991,11,7,659,7.3,1,0,1,1,0,0,5,0,0.3,0.3,0.2,0.5,11.0,18.0,26.0,0.14,0.0,0.14,0.14,0.14,0.03,0.03,0.06,0.03,0.06,https://fbref.com/en/players/e3e05edf/Ambroise-Oyongo,7.3,1,6,3,50.0,0.82,0.41,0.17,0.33,22.8,1.0,0,0,0.04,0.7,0.7,256.0,357.0,71.7,3578.0,1579.0,145.0,166.0,87.3,85.0,124.0,68.5,10.0,38.0,26.3,0.2,0.6,-0.2,2.0,13.0,6.0,2.0,18.0,357.0,280.0,77.0,5.0,0.0,0.0,23,71.0,0.0,0.0,0.0,0.0,256.0,0.0,11.0,12.0,1.64,9.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4,7.0,4.0,2.0,9.0,15.0,60.0,6.0,5.0,1.0,4.0,6,19.0,17.0,0.0,430.0,29.0,134.0,180.0,119.0,8.0,430.0,4.0,4.0,100.0,0.0,0.0,268.0,1165.0,496.0,11.0,6.0,1.0,11.0,4.0,247.0,26.0,11,659,60,19.3,7.3,7,81.0,4,4,22.0,11,0.91,6,14,-8,-1.09,-0.96,7.3,14.0,-6.7,-0.92,-0.67,0,7,10,1,23,4,0.0,1.0,0,32.0,4.0,12.0,25.0,,Left-Back,,,,,,,,,,1800000.0,
9,1154,2293,Anthony Caci_2019_Strasbourg,-0.1939410359557662,47.93,2019,Strasbourg,Ligue 1,Anthony Caci,FRA,DF,21,1997,29,26,2298,25.5,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.8,32.0,94.0,51.0,0.0,0.04,0.04,0.0,0.04,0.01,0.03,0.03,0.01,0.03,https://fbref.com/en/players/0118c54c/Anthony-Caci,25.5,0,6,0,0.0,0.23,0.0,0.0,,27.3,0.0,0,0,0.03,-0.2,-0.2,1141.0,1425.0,80.1,20868.0,8182.0,466.0,526.0,88.6,521.0,612.0,85.1,119.0,209.0,56.9,0.7,1.2,0.3,12.0,71.0,15.0,11.0,94.0,1425.0,1247.0,177.0,16.0,1.0,37.0,39,160.0,1.0,0.0,0.0,0.0,1141.0,1.0,30.0,28.0,1.1,27.0,0.0,0.0,1.0,0.0,0.0,4.0,0.16,3.0,0.0,0.0,1.0,0.0,0.0,56.0,30,38.0,14.0,4.0,24.0,46.0,52.2,22.0,20.0,10.0,10.0,47,103.0,63.0,0.0,1657.0,93.0,638.0,795.0,236.0,13.0,1657.0,25.0,12.0,48.0,13.0,52.0,920.0,4057.0,2447.0,32.0,23.0,2.0,22.0,8.0,1010.0,51.0,29,2298,79,67.2,25.5,26,86.0,20,3,17.0,5,1.45,39,29,10,0.39,0.39,27.5,34.0,-6.4,-0.25,0.03,0,27,8,1,39,30,0.0,1.0,0,143.0,21.0,31.0,40.4,-,Left-Back,7/1/1997,,France,1.FSV Mainz 05,1.84,right,7/1/2018,Racing Strasbourg B,6/30/2026,3200000.0,https://www.transfermarkt.com/anthony-caci/profil/spieler/453016
