,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,20,1504,Aaron Martin_2019_Mainz 05,0.8990633052119694,72.83,2019,Mainz 05,Bundesliga,AarÃƒÂ³n MartÃƒÂ­n,ESP,DF,21,1997,33,32,2878,32.0,0,3,3,0,0,0,3,0,0.8,0.8,4.9,5.7,115.0,106.0,187.0,0.0,0.09,0.09,0.0,0.09,0.02,0.15,0.18,0.02,0.18,https://fbref.com/en/players/2f3e911a/Aaron-Martin,32.0,0,18,5,27.8,0.56,0.16,0.0,0.0,23.6,2.0,0,0,0.04,-0.8,-0.8,1284.0,1739.0,73.8,20885.0,7229.0,714.0,787.0,90.7,439.0,590.0,74.4,110.0,278.0,39.6,4.9,5.6,-1.9,63.0,74.0,38.0,23.0,106.0,1739.0,1281.0,451.0,62.0,2.0,3.0,235,302.0,87.0,31.0,50.0,1.0,1284.0,7.0,42.0,106.0,3.31,71.0,23.0,8.0,2.0,1.0,1.0,9.0,0.28,5.0,2.0,1.0,0.0,1.0,0.0,55.0,30,29.0,21.0,5.0,20.0,38.0,52.6,18.0,38.0,11.0,27.0,38,93.0,75.0,1.0,2043.0,114.0,504.0,824.0,731.0,28.0,2043.0,56.0,45.0,80.4,11.0,19.6,976.0,6575.0,3864.0,115.0,85.0,11.0,22.0,23.0,1079.0,187.0,33,2878,87,94.1,32.0,32,89.0,30,1,27.0,1,1.3,46,50,-4,-0.13,3.34,50.0,55.7,-5.7,-0.18,0.99,0,29,28,6,235,30,1.0,0.0,0,166.0,23.0,36.0,39.0,-,Left-Back,4/22/1997,,Spain,Genoa CFC,1.8,left,7/1/2019,RCD Espanyol Barcelona,6/30/2026,10500000.0,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878
1,21,4096,Aaron Martin_2020_Mainz 05,-1.3993000272501488,16.3,2020,Mainz 05,Bundesliga,AarÃƒÂ³n MartÃƒÂ­n,ESP,DF,22,1997,22,21,1792,19.9,0,0,0,0,0,0,2,0,0.3,0.3,2.9,3.2,40.0,44.0,90.0,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.16,0.02,0.16,https://fbref.com/en/players/2f3e911a/Aaron-Martin,19.9,0,9,3,33.3,0.45,0.15,0.0,0.0,23.8,1.0,0,0,0.04,-0.3,-0.3,649.0,907.0,71.6,9947.0,3939.0,379.0,427.0,88.8,193.0,285.0,67.7,56.0,142.0,39.4,2.9,3.8,-2.9,32.0,33.0,16.0,9.0,44.0,907.0,633.0,270.0,44.0,1.0,1.0,136,167.0,58.0,30.0,28.0,0.0,649.0,4.0,14.0,54.0,2.71,30.0,21.0,3.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,29.0,15,17.0,8.0,4.0,9.0,22.0,40.9,13.0,11.0,5.0,6.0,30,59.0,36.0,0.0,1072.0,48.0,288.0,450.0,351.0,11.0,1072.0,28.0,19.0,67.9,9.0,32.1,527.0,3129.0,1546.0,40.0,26.0,3.0,15.0,15.0,514.0,90.0,22,1792,81,58.6,19.9,21,84.0,16,1,25.0,9,1.0,29,49,-20,-1.0,-0.93,27.5,40.6,-13.1,-0.66,-0.77,0,18,12,2,136,15,0.0,0.0,0,86.0,14.0,21.0,40.0,-,Left-Back,4/22/1997,,Spain,Genoa CFC,1.8,left,7/1/2019,RCD Espanyol Barcelona,6/30/2026,4500000.0,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878
2,24,9818,Aaron Martin_2022_Mainz 05,-0.37451365859987545,42.39,2022,Mainz 05,Bundesliga,AarÃƒÂ³n MartÃƒÂ­n,ESP,DF,24,1997,28,25,2292,25.5,1,1,2,1,0,0,7,0,1.0,1.0,5.0,5.9,32.0,69.0,87.0,0.04,0.04,0.08,0.04,0.08,0.04,0.19,0.23,0.04,0.23,https://fbref.com/en/players/2f3e911a/Aaron-Martin,25.5,1,18,5,27.8,0.71,0.2,0.06,0.2,21.5,5.0,0,0,0.05,0.0,0.0,768.0,1126.0,68.2,13643.0,5220.0,377.0,427.0,88.3,274.0,364.0,75.3,104.0,272.0,38.2,5.0,4.8,-4.0,46.0,57.0,29.0,17.0,69.0,1126.0,872.0,249.0,27.0,1.0,4.0,180,126.0,96.0,53.0,35.0,0.0,768.0,5.0,24.0,68.0,2.67,37.0,26.0,0.0,3.0,1.0,1.0,3.0,0.12,1.0,2.0,0.0,0.0,0.0,0.0,54.0,33,32.0,18.0,4.0,24.0,55.0,43.6,31.0,24.0,4.0,20.0,20,74.0,35.0,0.0,1343.0,39.0,333.0,607.0,412.0,19.0,1343.0,44.0,28.0,63.6,16.0,36.4,646.0,3161.0,1443.0,32.0,24.0,1.0,33.0,15.0,710.0,87.0,28,2292,82,74.9,25.5,25,88.0,20,3,31.0,3,1.46,44,35,9,0.35,0.82,41.5,33.2,8.3,0.32,0.53,0,31,18,0,180,33,0.0,0.0,0,161.0,12.0,15.0,44.4,-,Left-Back,4/22/1997,,Spain,Genoa CFC,1.8,left,7/1/2019,RCD Espanyol Barcelona,6/30/2026,7000000.0,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878
3,25,12692,Aaron Martin_2023_Mainz 05,0.13102546343813617,56.52,2023,Mainz 05,Bundesliga,AarÃƒÂ³n MartÃƒÂ­n,ESP,DF,25,1997,28,20,1847,20.5,5,3,8,5,0,1,3,0,2.2,1.4,2.8,4.2,25.0,86.0,61.0,0.24,0.15,0.39,0.24,0.39,0.11,0.14,0.24,0.07,0.2,https://fbref.com/en/players/2f3e911a/Aaron-Martin,20.5,5,18,7,38.9,0.88,0.34,0.28,0.71,25.9,8.0,0,1,0.08,2.8,3.6,761.0,1028.0,74.0,12672.0,5222.0,385.0,424.0,90.8,283.0,356.0,79.5,73.0,187.0,39.0,2.8,3.4,0.2,27.0,68.0,29.0,16.0,86.0,1028.0,730.0,293.0,39.0,0.0,4.0,145,195.0,59.0,42.0,16.0,0.0,761.0,5.0,29.0,59.0,2.87,39.0,18.0,1.0,1.0,0.0,0.0,5.0,0.24,4.0,1.0,0.0,0.0,0.0,0.0,42.0,27,25.0,11.0,6.0,21.0,40.0,52.5,19.0,22.0,1.0,21.0,15,57.0,31.0,0.0,1192.0,47.0,303.0,523.0,380.0,14.0,1191.0,21.0,10.0,47.6,8.0,38.1,582.0,2815.0,1217.0,25.0,19.0,3.0,15.0,14.0,621.0,61.0,28,1847,66,60.4,20.5,20,83.0,14,8,23.0,6,1.25,29,34,-5,-0.24,-0.54,26.9,34.5,-7.6,-0.37,-0.45,0,28,12,2,145,27,0.0,0.0,0,104.0,1.0,13.0,7.1,,Left-Back,,,,,,,,,,7000000.0,
4,732,2948,Alphonso Davies_2020_Bayern Munich,2.8664326982661326,95.65,2020,Bayern Munich,Bundesliga,Alphonso Davies,CAN,DF,18,2000,29,24,2234,24.8,3,5,8,3,0,0,4,1,2.3,2.3,4.3,6.6,121.0,135.0,191.0,0.12,0.2,0.32,0.12,0.32,0.09,0.17,0.27,0.09,0.27,https://fbref.com/en/players/d781d855/Alphonso-Davies,24.8,3,12,5,41.7,0.48,0.2,0.25,0.6,19.2,0.0,0,0,0.19,0.7,0.7,1556.0,1818.0,85.6,22115.0,6305.0,931.0,1027.0,90.7,488.0,553.0,88.2,67.0,101.0,66.3,4.3,3.8,0.7,37.0,96.0,42.0,19.0,135.0,1818.0,1543.0,271.0,32.0,0.0,5.0,64,239.0,0.0,0.0,0.0,0.0,1556.0,4.0,30.0,73.0,2.94,62.0,1.0,5.0,0.0,3.0,2.0,9.0,0.36,8.0,0.0,1.0,0.0,0.0,0.0,70.0,43,35.0,24.0,11.0,38.0,58.0,65.5,20.0,35.0,6.0,29.0,31,101.0,51.0,0.0,2172.0,60.0,539.0,1010.0,653.0,61.0,2172.0,129.0,82.0,63.6,47.0,36.4,1238.0,7792.0,4438.0,121.0,90.0,22.0,53.0,42.0,1320.0,191.0,29,2234,77,73.0,24.8,24,88.0,20,5,26.0,4,2.48,77,21,56,2.26,0.95,68.8,26.0,42.8,1.73,0.77,1,25,34,7,64,43,0.0,0.0,0,212.0,30.0,26.0,53.6,19,Left-Back,11/2/2000,,Canada,Bayern Munich,1.85,left,1/1/2019,Vancouver Whitecaps FC,6/30/2025,70000000.0,https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204
5,733,5666,Alphonso Davies_2021_Bayern Munich,2.523019461318013,93.47999999999999,2021,Bayern Munich,Bundesliga,Alphonso Davies,CAN,DF,19,2000,23,22,1763,19.6,1,2,3,1,0,0,2,1,0.2,0.2,1.9,2.1,80.0,123.0,131.0,0.05,0.1,0.15,0.05,0.15,0.01,0.1,0.11,0.01,0.11,https://fbref.com/en/players/d781d855/Alphonso-Davies,19.6,1,4,3,75.0,0.2,0.15,0.25,0.33,23.2,0.0,0,0,0.04,0.8,0.8,1322.0,1492.0,88.6,19267.0,5346.0,747.0,809.0,92.3,481.0,520.0,92.5,46.0,69.0,66.7,1.9,2.2,0.1,21.0,107.0,19.0,6.0,123.0,1492.0,1295.0,196.0,33.0,0.0,5.0,36,163.0,0.0,0.0,0.0,0.0,1322.0,1.0,24.0,63.0,3.22,53.0,0.0,6.0,0.0,3.0,1.0,7.0,0.36,5.0,0.0,1.0,0.0,0.0,1.0,39.0,27,16.0,17.0,6.0,28.0,40.0,70.0,12.0,21.0,1.0,20.0,28,67.0,33.0,1.0,1736.0,54.0,420.0,877.0,480.0,34.0,1736.0,96.0,63.0,65.6,33.0,34.4,1027.0,6227.0,3498.0,80.0,63.0,14.0,62.0,28.0,1109.0,131.0,23,1763,77,57.6,19.6,22,80.0,16,1,1.0,4,2.22,55,32,23,1.17,-1.05,47.3,23.0,24.3,1.24,0.45,0,14,37,3,36,27,0.0,0.0,0,201.0,12.0,22.0,35.3,19,Left-Back,11/2/2000,,Canada,Bayern Munich,1.85,left,1/1/2019,Vancouver Whitecaps FC,6/30/2025,70000000.0,https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204
6,734,8508,Alphonso Davies_2022_Bayern Munich,2.0390412446396367,91.3,2022,Bayern Munich,Bundesliga,Alphonso Davies,CAN,DF,20,2000,22,20,1740,19.3,0,3,3,0,0,0,3,0,1.3,1.3,4.1,5.4,113.0,98.0,201.0,0.0,0.16,0.16,0.0,0.16,0.07,0.21,0.28,0.07,0.28,https://fbref.com/en/players/d781d855/Alphonso-Davies,19.3,0,18,6,33.3,0.93,0.31,0.0,0.0,16.6,0.0,0,0,0.07,-1.3,-1.3,1106.0,1322.0,83.7,16408.0,4267.0,649.0,724.0,89.6,392.0,462.0,84.8,45.0,78.0,57.7,4.1,4.5,-1.1,34.0,55.0,39.0,7.0,98.0,1322.0,1147.0,175.0,24.0,4.0,7.0,41,151.0,0.0,0.0,0.0,0.0,1106.0,0.0,24.0,70.0,3.62,54.0,4.0,9.0,1.0,2.0,0.0,4.0,0.21,4.0,0.0,0.0,0.0,0.0,0.0,34.0,17,17.0,8.0,9.0,13.0,31.0,41.9,18.0,27.0,1.0,26.0,23,57.0,26.0,1.0,1592.0,45.0,358.0,678.0,594.0,80.0,1592.0,125.0,80.0,64.0,45.0,36.0,980.0,6590.0,4087.0,113.0,73.0,38.0,47.0,24.0,1030.0,201.0,22,1740,79,56.9,19.3,20,83.0,14,2,37.0,0,2.32,59,21,38,1.97,0.47,49.9,20.3,29.6,1.53,-0.05,0,15,27,3,41,17,0.0,0.0,0,144.0,11.0,17.0,39.3,19,Left-Back,11/2/2000,,Canada,Bayern Munich,1.85,left,1/1/2019,Vancouver Whitecaps FC,6/30/2025,70000000.0,https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204
7,735,11460,Alphonso Davies_2023_Bayern Munich,2.540483043983337,94.57,2023,Bayern Munich,Bundesliga,Alphonso Davies,CAN,DF,21,2000,26,24,2042,22.7,1,4,5,1,0,0,0,0,1.7,1.7,3.7,5.4,117.0,133.0,158.0,0.04,0.18,0.22,0.04,0.22,0.07,0.16,0.24,0.07,0.24,https://fbref.com/en/players/d781d855/Alphonso-Davies,22.7,1,19,8,42.1,0.84,0.35,0.05,0.13,18.6,0.0,0,0,0.09,-0.7,-0.7,1361.0,1567.0,86.9,21727.0,5882.0,721.0,786.0,91.7,542.0,600.0,90.3,76.0,116.0,65.5,3.7,4.3,0.3,44.0,110.0,39.0,5.0,133.0,1567.0,1378.0,181.0,26.0,2.0,9.0,25,155.0,0.0,0.0,0.0,0.0,1361.0,8.0,22.0,88.0,3.88,76.0,0.0,9.0,1.0,1.0,1.0,8.0,0.35,7.0,0.0,1.0,0.0,0.0,0.0,45.0,28,25.0,13.0,7.0,18.0,39.0,46.2,21.0,28.0,4.0,24.0,24,69.0,24.0,4.0,1859.0,51.0,446.0,912.0,545.0,84.0,1859.0,140.0,70.0,50.0,55.0,39.3,1226.0,7671.0,4417.0,117.0,66.0,37.0,50.0,27.0,1229.0,158.0,26,2042,79,66.7,22.7,24,82.0,17,2,38.0,0,1.92,59,25,34,1.5,-0.27,47.9,25.0,22.9,1.01,-0.3,0,9,26,3,25,28,0.0,0.0,0,199.0,6.0,6.0,50.0,19,Left-Back,11/2/2000,,Canada,,1.85,left,1/1/2019,Vancouver Whitecaps FC,6/30/2025,70000000.0,https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204
8,872,9817,Anderson Lucoqui_2022_Mainz 05,-3.690459695992475,0.0,2022,Mainz 05,Bundesliga,Anderson Lucoqui,ANG,DF,24,1997,13,9,743,8.3,1,0,1,1,0,0,2,0,0.7,0.7,0.3,1.0,9.0,15.0,25.0,0.12,0.0,0.12,0.12,0.12,0.09,0.03,0.12,0.09,0.12,https://fbref.com/en/players/5569bf9a/Anderson-Lucoqui,8.3,1,8,4,50.0,0.97,0.48,0.13,0.25,18.7,0.0,0,0,0.09,0.3,0.3,147.0,246.0,59.8,2438.0,1085.0,73.0,96.0,76.0,60.0,92.0,65.2,12.0,44.0,27.3,0.3,0.3,-0.3,6.0,11.0,3.0,2.0,15.0,246.0,210.0,36.0,0.0,0.0,0.0,10,36.0,0.0,0.0,0.0,0.0,147.0,0.0,6.0,14.0,1.7,9.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,10,11.0,6.0,5.0,11.0,22.0,50.0,11.0,15.0,3.0,12.0,11,33.0,10.0,0.0,341.0,19.0,107.0,158.0,78.0,8.0,341.0,9.0,3.0,33.3,6.0,66.7,138.0,573.0,241.0,9.0,6.0,1.0,12.0,9.0,176.0,25.0,13,743,57,24.3,8.3,9,80.0,6,4,6.0,11,1.31,5,10,-5,-0.61,-0.99,8.2,10.4,-2.2,-0.27,-0.61,0,17,16,0,10,10,0.0,0.0,0,41.0,7.0,5.0,58.3,-,Left-Back,7/6/1997,,Angola,1.FSV Mainz 05,1.8,left,7/1/2021,Arminia Bielefeld,6/30/2024,1800000.0,https://www.transfermarkt.com/anderson-lucoqui/profil/spieler/240274
9,1105,4615,Angelino_2020_RB Leipzig,1.8597646312295133,86.96000000000001,2020,RB Leipzig,Bundesliga,AngeliÃƒÂ±o,ESP,"DF,FW",22,1997,13,12,1095,12.2,1,2,3,1,0,0,2,0,0.9,0.9,2.0,2.9,24.0,56.0,92.0,0.08,0.16,0.25,0.08,0.25,0.07,0.16,0.24,0.07,0.24,https://fbref.com/en/players/30941e96/Angelino,12.2,1,5,2,40.0,0.41,0.16,0.2,0.5,12.5,0.0,0,0,0.18,0.1,0.1,574.0,767.0,74.8,9428.0,3269.0,282.0,324.0,87.0,208.0,262.0,79.4,56.0,117.0,47.9,2.0,2.8,0.0,19.0,42.0,22.0,7.0,56.0,767.0,613.0,151.0,19.0,1.0,5.0,80,102.0,30.0,20.0,3.0,0.0,574.0,3.0,20.0,41.0,3.37,27.0,9.0,3.0,1.0,1.0,0.0,5.0,0.41,4.0,0.0,1.0,0.0,0.0,0.0,15.0,9,7.0,5.0,3.0,5.0,15.0,33.3,10.0,14.0,1.0,13.0,19,34.0,24.0,0.0,881.0,24.0,187.0,396.0,303.0,26.0,881.0,25.0,20.0,80.0,5.0,20.0,430.0,2075.0,1099.0,24.0,16.0,12.0,15.0,6.0,518.0,92.0,13,1095,84,35.8,12.2,12,89.0,11,1,25.0,1,1.69,22,11,11,0.9,-0.61,20.4,13.3,7.1,0.58,-0.59,0,12,16,3,80,9,0.0,0.0,0,73.0,7.0,21.0,25.0,-,Left-Back,1/4/1997,,Spain,RB Leipzig,1.71,left,7/1/2021,Manchester City,6/30/2025,35000000.0,https://www.transfermarkt.com/angelino/profil/spieler/277179
