,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,1634,4979,Ben Osborn_2020_Sheffield Utd,1.0358502606776352,75.41,2020,Sheffield Utd,Premier League,Ben Osborn,ENG,"MF,DF",24,1994,13,6,594,6.6,0,0,0,0,0,0,0,0,0.3,0.3,0.9,1.1,7.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.17,0.04,0.17,https://fbref.com/en/players/79bc4c45/Ben-Osborn,6.6,0,3,1,33.3,0.45,0.15,0.0,0.0,13.8,0.0,0,0,0.08,-0.3,-0.3,176.0,258.0,68.2,2571.0,661.0,105.0,125.0,84.0,47.0,69.0,68.1,13.0,36.0,36.1,0.9,0.6,-0.9,7.0,10.0,4.0,2.0,25.0,258.0,243.0,13.0,1.0,0.0,2.0,16,9.0,3.0,1.0,1.0,0.0,176.0,2.0,13.0,14.0,2.12,12.0,0.0,0.0,1.0,1.0,0.0,4.0,0.61,3.0,0.0,0.0,1.0,0.0,0.0,15.0,10,11.0,3.0,1.0,3.0,16.0,18.8,13.0,6.0,1.0,5.0,6,21.0,7.0,0.0,322.0,16.0,63.0,132.0,130.0,16.0,322.0,8.0,4.0,50.0,4.0,50.0,172.0,682.0,293.0,7.0,6.0,0.0,5.0,0.0,198.0,23.0,13,594,46,17.4,6.6,6,77.0,4,7,19.0,17,2.08,9,4,5,0.76,0.92,8.0,7.6,0.4,0.06,0.33,0,9,6,1,16,10,0.0,0.0,0,43.0,6.0,9.0,40.0,23,Left Midfield,8/5/1994,,England,Sheffield United,1.76,left,7/26/2019,Nottingham Forest,6/30/2024,2000000.0,https://www.transfermarkt.com/ben-osborn/profil/spieler/218087
1,1635,7747,Ben Osborn_2021_Sheffield Utd,-0.062459539314384596,50.82,2021,Sheffield Utd,Premier League,Ben Osborn,ENG,"MF,DF",25,1994,24,17,1604,17.8,1,0,1,1,0,0,1,0,1.1,1.1,2.0,3.2,27.0,77.0,100.0,0.06,0.0,0.06,0.06,0.06,0.06,0.12,0.18,0.06,0.18,https://fbref.com/en/players/79bc4c45/Ben-Osborn,17.8,1,9,4,44.4,0.5,0.22,0.11,0.25,18.4,0.0,0,0,0.13,-0.1,-0.1,660.0,859.0,76.8,8905.0,3102.0,420.0,466.0,90.1,169.0,221.0,76.5,33.0,85.0,38.8,2.0,2.0,-2.0,17.0,53.0,27.0,11.0,77.0,859.0,786.0,71.0,10.0,2.0,5.0,68,46.0,13.0,11.0,0.0,0.0,660.0,2.0,29.0,34.0,1.91,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,18,15.0,10.0,8.0,13.0,40.0,32.5,27.0,20.0,3.0,17.0,12,45.0,17.0,0.0,1026.0,31.0,198.0,426.0,415.0,28.0,1026.0,26.0,19.0,73.1,7.0,26.9,594.0,2774.0,1474.0,27.0,28.0,5.0,42.0,25.0,702.0,100.0,24,1604,67,46.9,17.8,17,82.0,10,7,30.0,10,0.67,6,29,-23,-1.29,-0.3,15.0,29.2,-14.2,-0.8,-0.04,0,10,15,4,68,18,0.0,0.0,0,95.0,12.0,17.0,41.4,,Left Midfield,,,,,,,,,,2000000.0,
2,2848,3655,Darko Lazovic_2020_Hellas Verona,0.3136134447904044,65.57,2020,Hellas Verona,Serie A,Darko LazoviÃ„â€¡,SRB,DF,28,1990,38,37,3239,36.0,3,7,10,3,0,0,4,0,2.3,2.3,8.5,10.7,143.0,172.0,321.0,0.08,0.19,0.28,0.08,0.28,0.06,0.24,0.3,0.06,0.3,https://fbref.com/en/players/5128bde4/Darko-Lazovic,36.0,3,36,17,47.2,1.0,0.47,0.08,0.18,17.4,1.0,0,0,0.06,0.7,0.7,1229.0,1665.0,73.8,18145.0,7214.0,732.0,843.0,86.8,397.0,549.0,72.3,64.0,150.0,42.7,8.5,7.6,-1.5,54.0,67.0,78.0,18.0,172.0,1665.0,1342.0,313.0,9.0,1.0,2.0,135,288.0,16.0,14.0,1.0,0.0,1229.0,10.0,49.0,112.0,3.11,85.0,7.0,14.0,5.0,1.0,0.0,18.0,0.5,14.0,0.0,3.0,1.0,0.0,0.0,26.0,16,14.0,8.0,4.0,14.0,27.0,51.9,13.0,15.0,4.0,11.0,23,49.0,53.0,0.0,1962.0,85.0,358.0,851.0,764.0,106.0,1962.0,84.0,37.0,44.0,47.0,56.0,999.0,6307.0,3937.0,143.0,69.0,54.0,40.0,18.0,1219.0,321.0,38,3239,85,94.7,36.0,37,86.0,28,1,45.0,0,1.29,43,48,-5,-0.14,-0.64,47.2,48.4,-1.2,-0.03,0.98,0,11,15,20,135,16,0.0,1.0,0,184.0,20.0,24.0,45.5,8,Left Midfield,9/15/1990,,Serbia,Hellas Verona,1.81,right,8/6/2019,Genoa CFC,6/30/2024,5000000.0,https://www.transfermarkt.com/darko-lazovic/profil/spieler/70411
3,2849,6435,Darko Lazovic_2021_Hellas Verona,0.08623455579163064,55.74,2021,Hellas Verona,Serie A,Darko LazoviÃ„â€¡,SRB,"DF,MF",29,1990,32,27,2503,27.8,3,6,9,3,0,0,3,0,3.4,3.4,4.8,8.2,68.0,156.0,198.0,0.11,0.22,0.32,0.11,0.32,0.12,0.17,0.29,0.12,0.29,https://fbref.com/en/players/5128bde4/Darko-Lazovic,27.8,3,32,11,34.4,1.15,0.4,0.09,0.27,17.8,2.0,0,0,0.11,-0.4,-0.4,1002.0,1389.0,72.1,15672.0,6210.0,550.0,628.0,87.6,367.0,515.0,71.3,66.0,140.0,47.1,4.8,4.6,1.2,35.0,75.0,59.0,17.0,156.0,1389.0,1129.0,238.0,15.0,0.0,4.0,125,202.0,21.0,11.0,8.0,0.0,1002.0,22.0,36.0,66.0,2.37,54.0,5.0,4.0,3.0,0.0,0.0,7.0,0.25,7.0,0.0,0.0,0.0,0.0,0.0,29.0,17,8.0,17.0,4.0,20.0,42.0,47.6,22.0,17.0,7.0,10.0,20,49.0,29.0,0.0,1606.0,61.0,296.0,675.0,650.0,66.0,1606.0,39.0,20.0,51.3,19.0,48.7,744.0,3818.0,2173.0,68.0,53.0,18.0,31.0,16.0,964.0,198.0,32,2503,78,73.2,27.8,27,86.0,23,5,34.0,1,1.0,34,38,-4,-0.14,-0.34,35.0,36.9,-1.9,-0.07,0.14,0,10,2,10,125,17,0.0,0.0,0,157.0,17.0,18.0,48.6,8,Left Midfield,9/15/1990,,Serbia,Hellas Verona,1.81,right,8/6/2019,Genoa CFC,6/30/2024,4000000.0,https://www.transfermarkt.com/darko-lazovic/profil/spieler/70411
4,2850,9328,Darko Lazovic_2022_Hellas Verona,0.6387055472748644,70.49,2022,Hellas Verona,Serie A,Darko LazoviÃ„â€¡,SRB,DF,30,1990,34,32,2766,30.7,1,7,8,1,0,0,2,0,2.9,2.9,6.3,9.2,101.0,174.0,243.0,0.03,0.23,0.26,0.03,0.26,0.09,0.2,0.3,0.09,0.3,https://fbref.com/en/players/5128bde4/Darko-Lazovic,30.7,1,46,10,21.7,1.5,0.33,0.02,0.1,17.9,1.0,0,0,0.06,-1.9,-1.9,1077.0,1540.0,69.9,16904.0,8100.0,557.0,674.0,82.6,428.0,584.0,73.3,65.0,155.0,41.9,6.3,5.4,0.7,44.0,100.0,55.0,14.0,174.0,1540.0,1266.0,261.0,9.0,0.0,2.0,94,246.0,6.0,3.0,0.0,0.0,1077.0,13.0,50.0,91.0,2.96,79.0,4.0,3.0,5.0,0.0,0.0,11.0,0.36,11.0,0.0,0.0,0.0,0.0,0.0,36.0,23,20.0,8.0,8.0,21.0,39.0,53.8,18.0,28.0,4.0,24.0,19,55.0,49.0,1.0,1812.0,72.0,369.0,759.0,700.0,120.0,1812.0,55.0,26.0,47.3,29.0,52.7,883.0,4848.0,3070.0,101.0,54.0,38.0,34.0,8.0,1075.0,243.0,34,2766,81,80.9,30.7,32,84.0,19,2,45.0,1,1.41,56,48,8,0.26,0.54,42.4,40.4,2.0,0.07,0.15,0,13,8,11,94,23,0.0,0.0,0,200.0,14.0,18.0,43.8,8,Left Midfield,9/15/1990,,Serbia,Hellas Verona,1.81,right,8/6/2019,Genoa CFC,6/30/2024,2500000.0,https://www.transfermarkt.com/darko-lazovic/profil/spieler/70411
5,2851,12210,Darko Lazovic_2023_Hellas Verona,2.104057496677184,90.16,2023,Hellas Verona,Serie A,Darko LazoviÃ„â€¡,SRB,"MF,DF",31,1990,30,27,2242,24.9,4,5,9,4,0,0,0,0,3.6,3.6,6.4,10.0,72.0,81.0,167.0,0.16,0.2,0.36,0.16,0.36,0.14,0.26,0.4,0.14,0.4,https://fbref.com/en/players/5128bde4/Darko-Lazovic,24.9,4,43,14,32.6,1.73,0.56,0.09,0.29,18.8,4.0,0,0,0.08,0.4,0.4,517.0,836.0,61.8,8845.0,3738.0,248.0,317.0,78.2,199.0,291.0,68.4,55.0,152.0,36.2,6.4,5.3,-1.4,45.0,49.0,34.0,15.0,81.0,836.0,710.0,117.0,10.0,6.0,1.0,123,69.0,37.0,15.0,16.0,0.0,517.0,9.0,38.0,67.0,2.69,46.0,11.0,5.0,2.0,0.0,3.0,5.0,0.2,3.0,2.0,0.0,0.0,0.0,0.0,24.0,13,9.0,12.0,3.0,13.0,29.0,44.8,16.0,14.0,3.0,11.0,16,40.0,19.0,0.0,1052.0,26.0,197.0,411.0,461.0,67.0,1052.0,54.0,19.0,35.2,30.0,55.6,542.0,3366.0,1943.0,72.0,37.0,21.0,38.0,14.0,620.0,167.0,30,2242,75,65.6,24.9,27,79.0,12,3,36.0,0,0.94,23,36,-13,-0.52,0.62,24.1,31.4,-7.3,-0.3,0.22,0,8,3,9,123,13,0.0,0.0,0,142.0,6.0,16.0,27.3,8,Left Midfield,9/15/1990,,Serbia,,1.81,right,8/6/2019,Genoa CFC,6/30/2024,2500000.0,https://www.transfermarkt.com/darko-lazovic/profil/spieler/70411
6,3220,2304,Dimitri Lienard_2019_Strasbourg,-1.7601728627395958,8.200000000000001,2019,Strasbourg,Ligue 1,Dimitri LiÃƒÂ©nard,FRA,"MF,DF",30,1988,22,15,1291,14.3,0,2,2,0,0,0,1,0,1.0,1.0,0.9,1.9,35.0,58.0,68.0,0.0,0.14,0.14,0.0,0.14,0.07,0.06,0.13,0.07,0.13,https://fbref.com/en/players/f7691f63/Dimitri-Lienard,14.3,0,22,7,31.8,1.53,0.49,0.0,0.0,26.1,5.0,0,0,0.05,-1.0,-1.0,667.0,861.0,77.5,12461.0,2874.0,311.0,337.0,92.3,227.0,278.0,81.7,107.0,203.0,52.7,0.9,1.1,1.1,14.0,50.0,10.0,6.0,58.0,861.0,734.0,126.0,22.0,1.0,20.0,96,50.0,54.0,30.0,13.0,0.0,667.0,1.0,17.0,34.0,2.37,13.0,17.0,0.0,1.0,2.0,1.0,3.0,0.21,0.0,3.0,0.0,0.0,0.0,0.0,33.0,18,20.0,9.0,4.0,21.0,45.0,46.7,24.0,11.0,2.0,9.0,18,51.0,22.0,0.0,1017.0,23.0,226.0,509.0,294.0,11.0,1017.0,25.0,16.0,64.0,9.0,36.0,598.0,3239.0,1720.0,35.0,26.0,2.0,25.0,14.0,644.0,68.0,22,1291,59,37.7,14.3,15,80.0,9,7,14.0,13,1.64,18,17,1,0.07,-0.31,17.0,16.6,0.4,0.03,0.46,0,5,16,3,96,18,0.0,0.0,0,94.0,4.0,12.0,25.0,-,Left Midfield,2/13/1988,,France,SC Bastia,1.81,left,7/1/2013,FC Mulhouse,6/30/2025,1600000.0,https://www.transfermarkt.com/dimitri-lienard/profil/spieler/314940
7,3221,5023,Dimitri Lienard_2020_Strasbourg,-1.5354459724357044,11.48,2020,Strasbourg,Ligue 1,Dimitri LiÃƒÂ©nard,FRA,MF,31,1988,22,16,1489,16.5,2,3,5,2,0,0,3,0,1.6,1.6,3.4,5.0,34.0,98.0,45.0,0.12,0.18,0.3,0.12,0.3,0.1,0.21,0.3,0.1,0.3,https://fbref.com/en/players/f7691f63/Dimitri-Lienard,16.5,2,34,10,29.4,2.06,0.6,0.06,0.2,26.0,7.0,0,0,0.05,0.4,0.4,791.0,1037.0,76.3,16884.0,4238.0,280.0,317.0,88.3,295.0,361.0,81.7,187.0,308.0,60.7,3.4,3.3,-0.4,33.0,88.0,21.0,11.0,98.0,1037.0,916.0,117.0,40.0,1.0,35.0,128,8.0,69.0,27.0,30.0,0.0,791.0,4.0,11.0,72.0,4.35,44.0,21.0,2.0,2.0,2.0,1.0,9.0,0.54,6.0,2.0,1.0,0.0,0.0,0.0,37.0,24,10.0,22.0,5.0,18.0,39.0,46.2,21.0,18.0,4.0,14.0,17,54.0,25.0,0.0,1221.0,32.0,205.0,714.0,317.0,8.0,1221.0,24.0,16.0,66.7,8.0,33.3,727.0,3607.0,1829.0,34.0,28.0,0.0,24.0,14.0,789.0,45.0,22,1489,68,61.3,16.5,16,85.0,11,6,22.0,2,1.45,24,23,1,0.06,0.16,24.4,23.5,0.9,0.05,-0.06,0,16,7,2,128,24,0.0,1.0,0,133.0,16.0,19.0,45.7,-,Left Midfield,2/13/1988,,France,SC Bastia,1.81,left,7/1/2013,FC Mulhouse,6/30/2025,1000000.0,https://www.transfermarkt.com/dimitri-lienard/profil/spieler/314940
8,3222,7831,Dimitri Lienard_2021_Strasbourg,-1.4379950681850153,16.39,2021,Strasbourg,Ligue 1,Dimitri LiÃƒÂ©nard,FRA,MF,32,1988,34,19,1829,20.3,2,4,6,1,1,2,2,0,2.8,1.1,4.8,5.9,45.0,111.0,87.0,0.1,0.2,0.3,0.05,0.25,0.14,0.24,0.37,0.05,0.29,https://fbref.com/en/players/f7691f63/Dimitri-Lienard,20.3,2,28,8,28.6,1.38,0.39,0.04,0.13,28.1,8.0,1,2,0.04,-0.8,-0.1,860.0,1151.0,74.7,17566.0,5273.0,362.0,393.0,92.1,301.0,376.0,80.1,174.0,323.0,53.9,4.8,4.8,-0.8,40.0,92.0,32.0,17.0,111.0,1151.0,1004.0,141.0,46.0,0.0,32.0,173,7.0,88.0,44.0,40.0,0.0,860.0,6.0,23.0,76.0,3.75,37.0,33.0,2.0,1.0,2.0,1.0,10.0,0.49,5.0,4.0,0.0,1.0,0.0,0.0,39.0,27,17.0,19.0,3.0,24.0,55.0,43.6,31.0,23.0,1.0,22.0,18,57.0,10.0,0.0,1328.0,17.0,188.0,761.0,397.0,17.0,1326.0,22.0,13.0,59.1,9.0,40.9,734.0,3837.0,1926.0,45.0,36.0,1.0,30.0,13.0,869.0,87.0,34,1829,54,53.5,20.3,19,80.0,6,15,21.0,0,1.15,26,30,-4,-0.2,0.09,28.3,25.7,2.6,0.13,0.16,0,19,14,0,173,27,0.0,0.0,0,125.0,15.0,26.0,36.6,-,Left Midfield,2/13/1988,,France,SC Bastia,1.81,left,7/1/2013,FC Mulhouse,6/30/2025,1000000.0,https://www.transfermarkt.com/dimitri-lienard/profil/spieler/314940
9,3223,10725,Dimitri Lienard_2022_Strasbourg,-0.7142682554907509,29.509999999999998,2022,Strasbourg,Ligue 1,Dimitri LiÃƒÂ©nard,FRA,"DF,MF",33,1988,33,23,2044,22.7,2,3,5,2,0,0,8,0,1.4,1.4,3.0,4.4,44.0,114.0,166.0,0.09,0.13,0.22,0.09,0.22,0.06,0.13,0.19,0.06,0.19,https://fbref.com/en/players/f7691f63/Dimitri-Lienard,22.7,2,23,3,13.0,1.01,0.13,0.09,0.67,21.2,4.0,0,0,0.06,0.6,0.6,1035.0,1435.0,72.1,19823.0,5953.0,465.0,522.0,89.1,398.0,521.0,76.4,154.0,333.0,46.2,3.0,4.6,0.0,37.0,86.0,43.0,29.0,114.0,1435.0,1145.0,289.0,47.0,2.0,31.0,188,186.0,56.0,6.0,44.0,0.0,1035.0,1.0,26.0,70.0,3.08,40.0,24.0,0.0,3.0,2.0,1.0,10.0,0.44,7.0,1.0,0.0,1.0,1.0,0.0,71.0,43,40.0,21.0,10.0,46.0,77.0,59.7,31.0,12.0,0.0,12.0,21,92.0,28.0,0.0,1652.0,50.0,352.0,737.0,579.0,24.0,1652.0,17.0,10.0,58.8,7.0,41.2,883.0,4395.0,2178.0,44.0,39.0,1.0,30.0,9.0,971.0,166.0,33,2044,62,59.8,22.7,23,81.0,11,10,18.0,1,1.7,35,28,7,0.31,-0.35,32.3,27.1,5.2,0.23,-0.23,0,34,25,4,188,43,1.0,0.0,0,132.0,19.0,25.0,43.2,-,Left Midfield,2/13/1988,,France,SC Bastia,1.81,left,7/1/2013,FC Mulhouse,6/30/2025,,https://www.transfermarkt.com/dimitri-lienard/profil/spieler/314940
