,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,3220,2304,Dimitri Lienard_2019_Strasbourg,1.5453921441711949,72.72999999999999,2019,Strasbourg,Ligue 1,Dimitri LiÃƒÂ©nard,FRA,"MF,DF",30,1988,22,15,1291,14.3,0,2,2,0,0,0,1,0,1.0,1.0,0.9,1.9,35.0,58.0,68.0,0.0,0.14,0.14,0.0,0.14,0.07,0.06,0.13,0.07,0.13,https://fbref.com/en/players/f7691f63/Dimitri-Lienard,14.3,0,22,7,31.8,1.53,0.49,0.0,0.0,26.1,5.0,0,0,0.05,-1.0,-1.0,667.0,861.0,77.5,12461.0,2874.0,311.0,337.0,92.3,227.0,278.0,81.7,107.0,203.0,52.7,0.9,1.1,1.1,14.0,50.0,10.0,6.0,58.0,861.0,734.0,126.0,22.0,1.0,20.0,96,50.0,54.0,30.0,13.0,0.0,667.0,1.0,17.0,34.0,2.37,13.0,17.0,0.0,1.0,2.0,1.0,3.0,0.21,0.0,3.0,0.0,0.0,0.0,0.0,33.0,18,20.0,9.0,4.0,21.0,45.0,46.7,24.0,11.0,2.0,9.0,18,51.0,22.0,0.0,1017.0,23.0,226.0,509.0,294.0,11.0,1017.0,25.0,16.0,64.0,9.0,36.0,598.0,3239.0,1720.0,35.0,26.0,2.0,25.0,14.0,644.0,68.0,22,1291,59,37.7,14.3,15,80.0,9,7,14.0,13,1.64,18,17,1,0.07,-0.31,17.0,16.6,0.4,0.03,0.46,0,5,16,3,96,18,0.0,0.0,0,94.0,4.0,12.0,25.0,-,Left Midfield,2/13/1988,,France,SC Bastia,1.81,left,7/1/2013,FC Mulhouse,6/30/2025,1600000.0,https://www.transfermarkt.com/dimitri-lienard/profil/spieler/314940
1,3221,5023,Dimitri Lienard_2020_Strasbourg,0.8595530774748782,63.63999999999999,2020,Strasbourg,Ligue 1,Dimitri LiÃƒÂ©nard,FRA,MF,31,1988,22,16,1489,16.5,2,3,5,2,0,0,3,0,1.6,1.6,3.4,5.0,34.0,98.0,45.0,0.12,0.18,0.3,0.12,0.3,0.1,0.21,0.3,0.1,0.3,https://fbref.com/en/players/f7691f63/Dimitri-Lienard,16.5,2,34,10,29.4,2.06,0.6,0.06,0.2,26.0,7.0,0,0,0.05,0.4,0.4,791.0,1037.0,76.3,16884.0,4238.0,280.0,317.0,88.3,295.0,361.0,81.7,187.0,308.0,60.7,3.4,3.3,-0.4,33.0,88.0,21.0,11.0,98.0,1037.0,916.0,117.0,40.0,1.0,35.0,128,8.0,69.0,27.0,30.0,0.0,791.0,4.0,11.0,72.0,4.35,44.0,21.0,2.0,2.0,2.0,1.0,9.0,0.54,6.0,2.0,1.0,0.0,0.0,0.0,37.0,24,10.0,22.0,5.0,18.0,39.0,46.2,21.0,18.0,4.0,14.0,17,54.0,25.0,0.0,1221.0,32.0,205.0,714.0,317.0,8.0,1221.0,24.0,16.0,66.7,8.0,33.3,727.0,3607.0,1829.0,34.0,28.0,0.0,24.0,14.0,789.0,45.0,22,1489,68,61.3,16.5,16,85.0,11,6,22.0,2,1.45,24,23,1,0.06,0.16,24.4,23.5,0.9,0.05,-0.06,0,16,7,2,128,24,0.0,1.0,0,133.0,16.0,19.0,45.7,-,Left Midfield,2/13/1988,,France,SC Bastia,1.81,left,7/1/2013,FC Mulhouse,6/30/2025,1000000.0,https://www.transfermarkt.com/dimitri-lienard/profil/spieler/314940
2,3222,7831,Dimitri Lienard_2021_Strasbourg,1.6487191533768981,81.82000000000001,2021,Strasbourg,Ligue 1,Dimitri LiÃƒÂ©nard,FRA,MF,32,1988,34,19,1829,20.3,2,4,6,1,1,2,2,0,2.8,1.1,4.8,5.9,45.0,111.0,87.0,0.1,0.2,0.3,0.05,0.25,0.14,0.24,0.37,0.05,0.29,https://fbref.com/en/players/f7691f63/Dimitri-Lienard,20.3,2,28,8,28.6,1.38,0.39,0.04,0.13,28.1,8.0,1,2,0.04,-0.8,-0.1,860.0,1151.0,74.7,17566.0,5273.0,362.0,393.0,92.1,301.0,376.0,80.1,174.0,323.0,53.9,4.8,4.8,-0.8,40.0,92.0,32.0,17.0,111.0,1151.0,1004.0,141.0,46.0,0.0,32.0,173,7.0,88.0,44.0,40.0,0.0,860.0,6.0,23.0,76.0,3.75,37.0,33.0,2.0,1.0,2.0,1.0,10.0,0.49,5.0,4.0,0.0,1.0,0.0,0.0,39.0,27,17.0,19.0,3.0,24.0,55.0,43.6,31.0,23.0,1.0,22.0,18,57.0,10.0,0.0,1328.0,17.0,188.0,761.0,397.0,17.0,1326.0,22.0,13.0,59.1,9.0,40.9,734.0,3837.0,1926.0,45.0,36.0,1.0,30.0,13.0,869.0,87.0,34,1829,54,53.5,20.3,19,80.0,6,15,21.0,0,1.15,26,30,-4,-0.2,0.09,28.3,25.7,2.6,0.13,0.16,0,19,14,0,173,27,0.0,0.0,0,125.0,15.0,26.0,36.6,-,Left Midfield,2/13/1988,,France,SC Bastia,1.81,left,7/1/2013,FC Mulhouse,6/30/2025,1000000.0,https://www.transfermarkt.com/dimitri-lienard/profil/spieler/314940
3,3223,10725,Dimitri Lienard_2022_Strasbourg,2.009754548636956,90.91,2022,Strasbourg,Ligue 1,Dimitri LiÃƒÂ©nard,FRA,"DF,MF",33,1988,33,23,2044,22.7,2,3,5,2,0,0,8,0,1.4,1.4,3.0,4.4,44.0,114.0,166.0,0.09,0.13,0.22,0.09,0.22,0.06,0.13,0.19,0.06,0.19,https://fbref.com/en/players/f7691f63/Dimitri-Lienard,22.7,2,23,3,13.0,1.01,0.13,0.09,0.67,21.2,4.0,0,0,0.06,0.6,0.6,1035.0,1435.0,72.1,19823.0,5953.0,465.0,522.0,89.1,398.0,521.0,76.4,154.0,333.0,46.2,3.0,4.6,0.0,37.0,86.0,43.0,29.0,114.0,1435.0,1145.0,289.0,47.0,2.0,31.0,188,186.0,56.0,6.0,44.0,0.0,1035.0,1.0,26.0,70.0,3.08,40.0,24.0,0.0,3.0,2.0,1.0,10.0,0.44,7.0,1.0,0.0,1.0,1.0,0.0,71.0,43,40.0,21.0,10.0,46.0,77.0,59.7,31.0,12.0,0.0,12.0,21,92.0,28.0,0.0,1652.0,50.0,352.0,737.0,579.0,24.0,1652.0,17.0,10.0,58.8,7.0,41.2,883.0,4395.0,2178.0,44.0,39.0,1.0,30.0,9.0,971.0,166.0,33,2044,62,59.8,22.7,23,81.0,11,10,18.0,1,1.7,35,28,7,0.31,-0.35,32.3,27.1,5.2,0.23,-0.23,0,34,25,4,188,43,1.0,0.0,0,132.0,19.0,25.0,43.2,-,Left Midfield,2/13/1988,,France,SC Bastia,1.81,left,7/1/2013,FC Mulhouse,6/30/2025,,https://www.transfermarkt.com/dimitri-lienard/profil/spieler/314940
4,3224,13595,Dimitri Lienard_2023_Strasbourg,-0.7767102244770737,36.36,2023,Strasbourg,Ligue 1,Dimitri LiÃƒÂ©nard,FRA,"DF,MF",34,1988,28,18,1543,17.1,0,0,0,0,0,0,4,0,0.6,0.6,2.0,2.7,24.0,67.0,111.0,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.15,0.04,0.15,https://fbref.com/en/players/f7691f63/Dimitri-Lienard,17.1,0,13,2,15.4,0.76,0.12,0.0,0.0,21.8,2.0,0,0,0.05,-0.6,-0.6,728.0,982.0,74.1,13692.0,4011.0,299.0,347.0,86.2,299.0,372.0,80.4,106.0,224.0,47.3,2.0,2.5,-2.0,31.0,49.0,25.0,9.0,67.0,982.0,785.0,193.0,40.0,0.0,12.0,119,100.0,51.0,15.0,28.0,1.0,728.0,4.0,17.0,56.0,3.26,30.0,23.0,0.0,1.0,0.0,2.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,46.0,29,20.0,18.0,8.0,34.0,57.0,59.6,23.0,28.0,4.0,24.0,16,62.0,24.0,0.0,1169.0,35.0,291.0,514.0,379.0,9.0,1169.0,27.0,10.0,37.0,15.0,55.6,733.0,3725.0,1516.0,24.0,39.0,2.0,28.0,10.0,664.0,111.0,28,1543,55,45.1,17.1,18,75.0,8,10,19.0,3,1.21,17,24,-7,-0.41,-0.36,19.6,28.5,-9.0,-0.52,-0.62,0,16,15,3,119,29,0.0,0.0,0,121.0,18.0,15.0,54.5,,Left Midfield,,,,,,,,,,,
5,10949,58,Pierrick Capelle_2019_Angers,0.8474213550695029,54.55,2019,Angers,Ligue 1,Pierrick Capelle,FRA,"DF,MF",31,1987,26,21,1842,20.5,3,3,6,3,0,0,2,0,2.7,2.7,3.3,6.1,45.0,74.0,74.0,0.15,0.15,0.29,0.15,0.29,0.13,0.16,0.3,0.13,0.3,https://fbref.com/en/players/79b2399c/Pierrick-Capelle,20.5,3,28,7,25.0,1.37,0.34,0.11,0.43,19.8,3.0,0,0,0.11,0.3,0.3,764.0,955.0,80.0,11772.0,4489.0,421.0,473.0,89.0,249.0,309.0,80.6,62.0,111.0,55.9,3.3,2.9,-0.3,25.0,56.0,15.0,8.0,74.0,955.0,827.0,124.0,21.0,2.0,5.0,62,84.0,19.0,14.0,3.0,0.0,764.0,4.0,16.0,59.0,2.88,37.0,11.0,3.0,7.0,0.0,1.0,6.0,0.29,2.0,3.0,1.0,0.0,0.0,0.0,51.0,31,23.0,22.0,6.0,19.0,54.0,35.2,35.0,23.0,2.0,21.0,38,89.0,49.0,0.0,1208.0,52.0,327.0,591.0,312.0,27.0,1208.0,27.0,18.0,66.7,9.0,33.3,595.0,3733.0,1840.0,45.0,36.0,4.0,34.0,33.0,694.0,74.0,26,1842,71,53.9,20.5,21,83.0,14,5,20.0,4,1.08,27,29,-2,-0.1,0.07,31.4,27.0,4.4,0.21,0.31,0,32,8,1,62,31,0.0,0.0,0,148.0,30.0,29.0,50.8,15,Left Midfield,4/15/1987,,France,Angers SCO,1.81,left,7/1/2015,Clermont Foot 63,6/30/2024,1600000.0,https://www.transfermarkt.com/pierrick-capelle/profil/spieler/214532
6,10950,2721,Pierrick Capelle_2020_Angers,0.17587007474602778,45.45,2020,Angers,Ligue 1,Pierrick Capelle,FRA,"MF,DF",32,1987,24,20,1747,19.4,1,2,3,1,0,0,7,0,2.6,2.6,2.6,5.2,50.0,68.0,102.0,0.05,0.1,0.15,0.05,0.15,0.14,0.13,0.27,0.14,0.27,https://fbref.com/en/players/79b2399c/Pierrick-Capelle,19.4,1,36,11,30.6,1.85,0.57,0.03,0.09,19.4,0.0,0,0,0.07,-1.6,-1.6,635.0,796.0,79.8,9556.0,2749.0,339.0,381.0,89.0,220.0,272.0,80.9,36.0,70.0,51.4,2.6,2.1,-0.6,26.0,51.0,11.0,4.0,68.0,796.0,750.0,44.0,7.0,1.0,4.0,32,33.0,4.0,3.0,0.0,0.0,635.0,2.0,10.0,45.0,2.32,37.0,1.0,1.0,2.0,2.0,2.0,4.0,0.21,4.0,0.0,0.0,0.0,0.0,0.0,42.0,32,18.0,16.0,8.0,16.0,48.0,33.3,32.0,17.0,3.0,14.0,21,63.0,28.0,0.0,1016.0,40.0,215.0,509.0,305.0,42.0,1016.0,38.0,25.0,65.8,13.0,34.2,538.0,3233.0,1572.0,50.0,32.0,8.0,40.0,40.0,697.0,102.0,24,1747,73,69.3,19.4,20,83.0,15,4,21.0,0,1.33,17,29,-12,-0.62,-1.43,20.0,19.8,0.2,0.01,-0.07,0,27,13,2,32,32,0.0,1.0,0,124.0,32.0,40.0,44.4,15,Left Midfield,4/15/1987,,France,Angers SCO,1.81,left,7/1/2015,Clermont Foot 63,6/30/2024,1600000.0,https://www.transfermarkt.com/pierrick-capelle/profil/spieler/214532
7,10951,5428,Pierrick Capelle_2021_Angers,-1.4744858817800512,18.18,2021,Angers,Ligue 1,Pierrick Capelle,FRA,"MF,DF",33,1987,35,24,2053,22.8,3,3,6,3,0,0,2,0,3.0,3.0,2.1,5.2,38.0,97.0,90.0,0.13,0.13,0.26,0.13,0.26,0.13,0.09,0.23,0.13,0.23,https://fbref.com/en/players/79b2399c/Pierrick-Capelle,22.8,3,29,5,17.2,1.27,0.22,0.1,0.6,21.2,1.0,0,0,0.1,0.0,0.0,939.0,1168.0,80.4,14193.0,4262.0,519.0,597.0,86.9,330.0,381.0,86.6,52.0,99.0,52.5,2.1,1.7,0.9,23.0,60.0,14.0,6.0,97.0,1168.0,1092.0,75.0,11.0,2.0,6.0,32,55.0,7.0,3.0,2.0,0.0,939.0,1.0,36.0,59.0,2.59,44.0,3.0,4.0,2.0,1.0,5.0,5.0,0.22,2.0,2.0,0.0,0.0,0.0,1.0,53.0,28,24.0,17.0,12.0,31.0,79.0,39.2,48.0,25.0,1.0,24.0,47,100.0,32.0,0.0,1438.0,54.0,304.0,799.0,352.0,28.0,1438.0,39.0,22.0,56.4,17.0,43.6,809.0,4234.0,1744.0,38.0,34.0,3.0,38.0,32.0,915.0,90.0,35,2053,59,60.0,22.8,24,78.0,12,11,17.0,1,1.09,27,41,-14,-0.61,-0.35,26.1,33.3,-7.2,-0.32,-0.09,0,30,16,4,32,28,0.0,1.0,0,177.0,42.0,51.0,45.2,15,Left Midfield,4/15/1987,,France,Angers SCO,1.81,left,7/1/2015,Clermont Foot 63,6/30/2024,,https://www.transfermarkt.com/pierrick-capelle/profil/spieler/214532
8,10952,8252,Pierrick Capelle_2022_Angers,-1.7335748212691309,0.0,2022,Angers,Ligue 1,Pierrick Capelle,FRA,"MF,DF",34,1987,30,12,1193,13.3,0,1,1,0,0,0,1,0,1.5,1.5,1.9,3.4,23.0,50.0,42.0,0.0,0.08,0.08,0.0,0.08,0.11,0.14,0.25,0.11,0.25,https://fbref.com/en/players/79b2399c/Pierrick-Capelle,13.3,0,17,1,5.9,1.28,0.08,0.0,0.0,19.5,0.0,0,0,0.09,-1.5,-1.5,456.0,563.0,81.0,7826.0,2216.0,206.0,239.0,86.2,192.0,216.0,88.9,44.0,66.0,66.7,1.9,0.6,-0.9,14.0,38.0,3.0,1.0,50.0,563.0,501.0,60.0,8.0,0.0,8.0,17,43.0,7.0,5.0,1.0,0.0,456.0,2.0,14.0,32.0,2.41,17.0,6.0,3.0,5.0,1.0,0.0,5.0,0.38,0.0,0.0,2.0,2.0,1.0,0.0,36.0,24,16.0,17.0,3.0,18.0,52.0,34.6,34.0,12.0,1.0,11.0,16,52.0,20.0,0.0,748.0,34.0,194.0,382.0,181.0,22.0,748.0,30.0,16.0,53.3,14.0,46.7,432.0,2384.0,969.0,23.0,13.0,7.0,31.0,18.0,432.0,42.0,30,1193,40,34.9,13.3,12,77.0,2,18,15.0,5,1.1,16,15,1,0.08,0.56,17.2,16.7,0.5,0.04,0.2,0,22,5,0,17,24,1.0,1.0,0,98.0,19.0,31.0,38.0,15,Left Midfield,4/15/1987,,France,Angers SCO,1.81,left,7/1/2015,Clermont Foot 63,6/30/2024,,https://www.transfermarkt.com/pierrick-capelle/profil/spieler/214532
9,10953,11205,Pierrick Capelle_2023_Angers,-1.4098670944556697,27.27,2023,Angers,Ligue 1,Pierrick Capelle,FRA,"MF,DF",35,1987,26,15,1428,15.9,0,3,3,0,0,0,8,0,1.5,1.5,1.2,2.7,16.0,66.0,40.0,0.0,0.19,0.19,0.0,0.19,0.1,0.07,0.17,0.1,0.17,https://fbref.com/en/players/79b2399c/Pierrick-Capelle,15.9,0,16,7,43.8,1.01,0.44,0.0,0.0,17.6,0.0,0,0,0.1,-1.5,-1.5,590.0,714.0,82.6,10044.0,2766.0,287.0,321.0,89.4,236.0,274.0,86.1,49.0,88.0,55.7,1.2,1.2,1.8,13.0,58.0,7.0,5.0,66.0,714.0,651.0,63.0,12.0,0.0,4.0,46,21.0,29.0,16.0,8.0,0.0,590.0,0.0,10.0,33.0,2.08,22.0,8.0,1.0,2.0,0.0,0.0,5.0,0.32,3.0,1.0,1.0,0.0,0.0,0.0,36.0,21,17.0,15.0,4.0,22.0,55.0,40.0,33.0,24.0,3.0,21.0,15,51.0,24.0,0.0,898.0,38.0,194.0,485.0,227.0,19.0,898.0,29.0,14.0,48.3,14.0,48.3,608.0,3413.0,1195.0,16.0,24.0,4.0,34.0,20.0,548.0,40.0,26,1428,55,41.8,15.9,15,79.0,8,11,22.0,3,0.58,8,26,-18,-1.13,0.22,14.6,24.0,-9.4,-0.59,-0.08,0,32,6,0,46,21,0.0,0.0,0,107.0,13.0,24.0,35.1,,Left Midfield,,,,,,,,,,,
