,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,2848,3655,Darko Lazovic_2020_Hellas Verona,-0.9079781370987674,25.929999999999996,2020,Hellas Verona,Serie A,Darko LazoviÃ„â€¡,SRB,DF,28,1990,38,37,3239,36.0,3,7,10,3,0,0,4,0,2.3,2.3,8.5,10.7,143.0,172.0,321.0,0.08,0.19,0.28,0.08,0.28,0.06,0.24,0.3,0.06,0.3,https://fbref.com/en/players/5128bde4/Darko-Lazovic,36.0,3,36,17,47.2,1.0,0.47,0.08,0.18,17.4,1.0,0,0,0.06,0.7,0.7,1229.0,1665.0,73.8,18145.0,7214.0,732.0,843.0,86.8,397.0,549.0,72.3,64.0,150.0,42.7,8.5,7.6,-1.5,54.0,67.0,78.0,18.0,172.0,1665.0,1342.0,313.0,9.0,1.0,2.0,135,288.0,16.0,14.0,1.0,0.0,1229.0,10.0,49.0,112.0,3.11,85.0,7.0,14.0,5.0,1.0,0.0,18.0,0.5,14.0,0.0,3.0,1.0,0.0,0.0,26.0,16,14.0,8.0,4.0,14.0,27.0,51.9,13.0,15.0,4.0,11.0,23,49.0,53.0,0.0,1962.0,85.0,358.0,851.0,764.0,106.0,1962.0,84.0,37.0,44.0,47.0,56.0,999.0,6307.0,3937.0,143.0,69.0,54.0,40.0,18.0,1219.0,321.0,38,3239,85,94.7,36.0,37,86.0,28,1,45.0,0,1.29,43,48,-5,-0.14,-0.64,47.2,48.4,-1.2,-0.03,0.98,0,11,15,20,135,16,0.0,1.0,0,184.0,20.0,24.0,45.5,8,Left Midfield,9/15/1990,,Serbia,Hellas Verona,1.81,right,8/6/2019,Genoa CFC,6/30/2024,5000000.0,https://www.transfermarkt.com/darko-lazovic/profil/spieler/70411
1,2849,6435,Darko Lazovic_2021_Hellas Verona,-0.6401232197098267,37.04,2021,Hellas Verona,Serie A,Darko LazoviÃ„â€¡,SRB,"DF,MF",29,1990,32,27,2503,27.8,3,6,9,3,0,0,3,0,3.4,3.4,4.8,8.2,68.0,156.0,198.0,0.11,0.22,0.32,0.11,0.32,0.12,0.17,0.29,0.12,0.29,https://fbref.com/en/players/5128bde4/Darko-Lazovic,27.8,3,32,11,34.4,1.15,0.4,0.09,0.27,17.8,2.0,0,0,0.11,-0.4,-0.4,1002.0,1389.0,72.1,15672.0,6210.0,550.0,628.0,87.6,367.0,515.0,71.3,66.0,140.0,47.1,4.8,4.6,1.2,35.0,75.0,59.0,17.0,156.0,1389.0,1129.0,238.0,15.0,0.0,4.0,125,202.0,21.0,11.0,8.0,0.0,1002.0,22.0,36.0,66.0,2.37,54.0,5.0,4.0,3.0,0.0,0.0,7.0,0.25,7.0,0.0,0.0,0.0,0.0,0.0,29.0,17,8.0,17.0,4.0,20.0,42.0,47.6,22.0,17.0,7.0,10.0,20,49.0,29.0,0.0,1606.0,61.0,296.0,675.0,650.0,66.0,1606.0,39.0,20.0,51.3,19.0,48.7,744.0,3818.0,2173.0,68.0,53.0,18.0,31.0,16.0,964.0,198.0,32,2503,78,73.2,27.8,27,86.0,23,5,34.0,1,1.0,34,38,-4,-0.14,-0.34,35.0,36.9,-1.9,-0.07,0.14,0,10,2,10,125,17,0.0,0.0,0,157.0,17.0,18.0,48.6,8,Left Midfield,9/15/1990,,Serbia,Hellas Verona,1.81,right,8/6/2019,Genoa CFC,6/30/2024,4000000.0,https://www.transfermarkt.com/darko-lazovic/profil/spieler/70411
2,2850,9328,Darko Lazovic_2022_Hellas Verona,-1.178071663332001,14.81,2022,Hellas Verona,Serie A,Darko LazoviÃ„â€¡,SRB,DF,30,1990,34,32,2766,30.7,1,7,8,1,0,0,2,0,2.9,2.9,6.3,9.2,101.0,174.0,243.0,0.03,0.23,0.26,0.03,0.26,0.09,0.2,0.3,0.09,0.3,https://fbref.com/en/players/5128bde4/Darko-Lazovic,30.7,1,46,10,21.7,1.5,0.33,0.02,0.1,17.9,1.0,0,0,0.06,-1.9,-1.9,1077.0,1540.0,69.9,16904.0,8100.0,557.0,674.0,82.6,428.0,584.0,73.3,65.0,155.0,41.9,6.3,5.4,0.7,44.0,100.0,55.0,14.0,174.0,1540.0,1266.0,261.0,9.0,0.0,2.0,94,246.0,6.0,3.0,0.0,0.0,1077.0,13.0,50.0,91.0,2.96,79.0,4.0,3.0,5.0,0.0,0.0,11.0,0.36,11.0,0.0,0.0,0.0,0.0,0.0,36.0,23,20.0,8.0,8.0,21.0,39.0,53.8,18.0,28.0,4.0,24.0,19,55.0,49.0,1.0,1812.0,72.0,369.0,759.0,700.0,120.0,1812.0,55.0,26.0,47.3,29.0,52.7,883.0,4848.0,3070.0,101.0,54.0,38.0,34.0,8.0,1075.0,243.0,34,2766,81,80.9,30.7,32,84.0,19,2,45.0,1,1.41,56,48,8,0.26,0.54,42.4,40.4,2.0,0.07,0.15,0,13,8,11,94,23,0.0,0.0,0,200.0,14.0,18.0,43.8,8,Left Midfield,9/15/1990,,Serbia,Hellas Verona,1.81,right,8/6/2019,Genoa CFC,6/30/2024,2500000.0,https://www.transfermarkt.com/darko-lazovic/profil/spieler/70411
3,2851,12210,Darko Lazovic_2023_Hellas Verona,-3.134628398351287,0.0,2023,Hellas Verona,Serie A,Darko LazoviÃ„â€¡,SRB,"MF,DF",31,1990,30,27,2242,24.9,4,5,9,4,0,0,0,0,3.6,3.6,6.4,10.0,72.0,81.0,167.0,0.16,0.2,0.36,0.16,0.36,0.14,0.26,0.4,0.14,0.4,https://fbref.com/en/players/5128bde4/Darko-Lazovic,24.9,4,43,14,32.6,1.73,0.56,0.09,0.29,18.8,4.0,0,0,0.08,0.4,0.4,517.0,836.0,61.8,8845.0,3738.0,248.0,317.0,78.2,199.0,291.0,68.4,55.0,152.0,36.2,6.4,5.3,-1.4,45.0,49.0,34.0,15.0,81.0,836.0,710.0,117.0,10.0,6.0,1.0,123,69.0,37.0,15.0,16.0,0.0,517.0,9.0,38.0,67.0,2.69,46.0,11.0,5.0,2.0,0.0,3.0,5.0,0.2,3.0,2.0,0.0,0.0,0.0,0.0,24.0,13,9.0,12.0,3.0,13.0,29.0,44.8,16.0,14.0,3.0,11.0,16,40.0,19.0,0.0,1052.0,26.0,197.0,411.0,461.0,67.0,1052.0,54.0,19.0,35.2,30.0,55.6,542.0,3366.0,1943.0,72.0,37.0,21.0,38.0,14.0,620.0,167.0,30,2242,75,65.6,24.9,27,79.0,12,3,36.0,0,0.94,23,36,-13,-0.52,0.62,24.1,31.4,-7.3,-0.3,0.22,0,8,3,9,123,13,0.0,0.0,0,142.0,6.0,16.0,27.3,8,Left Midfield,9/15/1990,,Serbia,,1.81,right,8/6/2019,Genoa CFC,6/30/2024,2500000.0,https://www.transfermarkt.com/darko-lazovic/profil/spieler/70411
4,4183,12325,Filip Kostic_2023_Juventus,-1.0028316667790713,18.52,2023,Juventus,Serie A,Filip KostiÃ„â€¡,SRB,"DF,FW",29,1992,37,33,2564,28.5,3,8,11,3,0,0,3,0,2.4,2.4,7.1,9.4,101.0,78.0,230.0,0.11,0.28,0.39,0.11,0.39,0.08,0.25,0.33,0.08,0.33,https://fbref.com/en/players/b1cd37e6/Filip-Kostic,28.5,3,37,11,29.7,1.3,0.39,0.08,0.27,19.6,0.0,0,0,0.06,0.6,0.6,830.0,1212.0,68.5,14092.0,4148.0,413.0,489.0,84.5,309.0,431.0,71.7,86.0,195.0,44.1,7.1,4.8,0.9,66.0,44.0,47.0,31.0,78.0,1212.0,1041.0,167.0,15.0,4.0,11.0,227,106.0,46.0,2.0,41.0,1.0,830.0,4.0,56.0,93.0,3.26,67.0,17.0,3.0,6.0,0.0,0.0,12.0,0.42,8.0,2.0,0.0,2.0,0.0,0.0,41.0,26,17.0,20.0,4.0,21.0,47.0,44.7,26.0,30.0,4.0,26.0,16,57.0,32.0,0.0,1488.0,41.0,237.0,595.0,674.0,62.0,1488.0,52.0,23.0,44.2,24.0,46.2,809.0,4882.0,2587.0,101.0,54.0,22.0,50.0,20.0,943.0,230.0,37,2564,69,75.0,28.5,33,75.0,12,4,26.0,1,1.86,38,32,6,0.21,-1.58,38.7,34.4,4.4,0.15,-0.83,0,29,12,2,227,26,0.0,0.0,0,139.0,13.0,13.0,50.0,11,Left Midfield,11/1/1992,,Serbia,,1.84,left,8/12/2022,Eintracht Frankfurt,6/30/2026,22000000.0,https://www.transfermarkt.com/filip-kostic/profil/spieler/161011
5,5489,6553,Ivan Perisic_2021_Inter,-0.01985631374716176,44.440000000000005,2021,Inter,Serie A,Ivan PeriÃ…Â¡iÃ„â€¡,CRO,"DF,FW",31,1989,32,20,1795,19.9,4,3,7,4,0,0,3,0,5.2,5.2,4.5,9.7,69.0,51.0,124.0,0.2,0.15,0.35,0.2,0.35,0.26,0.23,0.49,0.26,0.49,https://fbref.com/en/players/6fe90922/Ivan-Perisic,19.9,4,35,10,28.6,1.75,0.5,0.11,0.4,13.1,0.0,0,0,0.15,-1.2,-1.2,576.0,815.0,70.7,9597.0,2680.0,299.0,349.0,85.7,209.0,300.0,69.7,55.0,105.0,52.4,4.5,3.8,-1.5,28.0,22.0,29.0,16.0,51.0,815.0,688.0,127.0,4.0,2.0,7.0,90,116.0,6.0,3.0,0.0,0.0,576.0,0.0,27.0,52.0,2.6,43.0,1.0,3.0,3.0,1.0,1.0,10.0,0.5,6.0,1.0,0.0,2.0,0.0,1.0,22.0,13,11.0,6.0,5.0,12.0,33.0,36.4,21.0,33.0,4.0,29.0,19,41.0,36.0,1.0,1013.0,55.0,221.0,366.0,440.0,91.0,1013.0,18.0,7.0,38.9,11.0,61.1,457.0,2918.0,1580.0,69.0,24.0,21.0,21.0,6.0,586.0,124.0,32,1795,56,52.5,19.9,20,75.0,4,12,24.0,4,2.28,46,21,25,1.25,-0.35,38.3,20.9,17.4,0.87,-0.07,0,13,2,8,90,13,0.0,1.0,0,85.0,32.0,24.0,57.1,-,Left Midfield,2/2/1989,,Croatia,Tottenham Hotspur,1.86,both,8/30/2015,VfL Wolfsburg,6/30/2024,10000000.0,https://www.transfermarkt.com/ivan-perisic/profil/spieler/42460
6,5490,9425,Ivan Perisic_2022_Inter,0.697083801887387,70.37,2022,Inter,Serie A,Ivan PeriÃ…Â¡iÃ„â€¡,CRO,DF,32,1989,35,35,2821,31.3,8,6,14,7,1,1,4,0,4.3,3.5,7.7,11.2,135.0,126.0,242.0,0.26,0.19,0.45,0.22,0.41,0.14,0.25,0.38,0.11,0.36,https://fbref.com/en/players/6fe90922/Ivan-Perisic,31.3,8,43,16,37.2,1.37,0.51,0.16,0.44,15.7,0.0,1,1,0.08,3.7,3.5,1079.0,1510.0,71.5,19289.0,6652.0,515.0,616.0,83.6,413.0,557.0,74.1,127.0,221.0,57.5,7.7,6.7,-1.7,57.0,75.0,59.0,26.0,126.0,1510.0,1307.0,196.0,6.0,2.0,17.0,150,189.0,1.0,0.0,1.0,0.0,1079.0,7.0,51.0,118.0,3.76,100.0,5.0,6.0,4.0,0.0,3.0,13.0,0.41,11.0,0.0,1.0,1.0,0.0,0.0,38.0,22,18.0,11.0,9.0,28.0,50.0,56.0,22.0,39.0,7.0,32.0,47,85.0,42.0,0.0,1817.0,73.0,405.0,659.0,779.0,143.0,1816.0,45.0,26.0,57.8,19.0,42.2,925.0,5768.0,3364.0,135.0,75.0,44.0,48.0,8.0,1145.0,242.0,35,2821,81,82.5,31.3,35,81.0,16,0,,2,2.14,64,25,39,1.24,-0.71,64.7,30.8,33.9,1.08,-0.22,0,29,6,13,150,22,0.0,0.0,0,167.0,55.0,32.0,63.2,,Left Midfield,,,,,,,,,,7000000.0,
7,5628,2160,Jakub Jankto_2019_Sampdoria,-0.4905521330667464,40.739999999999995,2019,Sampdoria,Serie A,Jakub Jankto,CZE,MF,22,1996,25,7,963,10.7,0,0,0,0,0,0,2,0,1.7,1.7,0.8,2.5,32.0,52.0,80.0,0.0,0.0,0.0,0.0,0.0,0.16,0.07,0.23,0.16,0.23,https://fbref.com/en/players/1ea5f91c/Jakub-Jankto,10.7,0,23,5,21.7,2.15,0.47,0.0,0.0,20.3,0.0,0,0,0.07,-1.7,-1.7,433.0,559.0,77.5,6473.0,1706.0,243.0,278.0,87.4,161.0,201.0,80.1,20.0,44.0,45.5,0.8,1.3,-0.8,6.0,30.0,17.0,7.0,52.0,559.0,531.0,24.0,9.0,0.0,4.0,43,6.0,9.0,3.0,4.0,0.0,433.0,4.0,13.0,24.0,2.25,19.0,1.0,0.0,4.0,0.0,0.0,2.0,0.19,1.0,0.0,0.0,1.0,0.0,0.0,7.0,4,5.0,2.0,0.0,4.0,15.0,26.7,11.0,18.0,2.0,16.0,9,16.0,16.0,0.0,656.0,18.0,102.0,326.0,233.0,23.0,656.0,5.0,1.0,20.0,4.0,80.0,369.0,1964.0,1202.0,32.0,25.0,4.0,8.0,5.0,475.0,80.0,25,963,39,28.2,10.7,7,85.0,5,18,21.0,12,1.32,14,22,-8,-0.75,-1.37,15.3,20.7,-5.3,-0.5,-0.53,0,7,6,0,43,4,0.0,0.0,0,70.0,4.0,9.0,30.8,-,Left Midfield,1/19/1996,,Czech Republic,Getafe CF,1.84,left,7/1/2019,Udinese Calcio,6/30/2026,9500000.0,https://www.transfermarkt.com/jakub-jankto/profil/spieler/319160
8,5629,4859,Jakub Jankto_2020_Sampdoria,-1.8353208287774199,11.110000000000001,2020,Sampdoria,Serie A,Jakub Jankto,CZE,"MF,FW",23,1996,30,25,2095,23.3,2,4,6,2,0,0,8,0,2.5,2.5,3.7,6.2,49.0,65.0,140.0,0.09,0.17,0.26,0.09,0.26,0.11,0.16,0.27,0.11,0.27,https://fbref.com/en/players/1ea5f91c/Jakub-Jankto,23.3,2,42,10,23.8,1.8,0.43,0.05,0.2,19.4,0.0,0,0,0.06,-0.5,-0.5,546.0,787.0,69.4,8401.0,2482.0,276.0,330.0,83.6,208.0,285.0,73.0,36.0,98.0,36.7,3.7,3.3,0.3,44.0,47.0,31.0,14.0,65.0,787.0,740.0,43.0,6.0,2.0,3.0,86,21.0,16.0,7.0,8.0,0.0,546.0,4.0,20.0,75.0,3.22,64.0,5.0,0.0,2.0,4.0,0.0,7.0,0.3,6.0,0.0,0.0,0.0,1.0,0.0,27.0,13,14.0,10.0,3.0,10.0,42.0,23.8,32.0,30.0,3.0,27.0,22,49.0,22.0,0.0,998.0,31.0,153.0,439.0,417.0,60.0,998.0,19.0,7.0,36.8,12.0,63.2,527.0,3170.0,1735.0,49.0,37.0,9.0,23.0,13.0,640.0,140.0,30,2095,70,61.3,23.3,25,77.0,11,5,33.0,5,1.03,35,40,-5,-0.21,0.6,32.3,33.4,-1.1,-0.05,0.2,0,23,16,4,86,13,1.0,0.0,0,111.0,9.0,22.0,29.0,-,Left Midfield,1/19/1996,,Czech Republic,Getafe CF,1.84,left,7/1/2019,Udinese Calcio,6/30/2026,11000000.0,https://www.transfermarkt.com/jakub-jankto/profil/spieler/319160
9,5630,7616,Jakub Jankto_2021_Sampdoria,-2.1196431100518756,7.41,2021,Sampdoria,Serie A,Jakub Jankto,CZE,MF,24,1996,35,29,2409,26.8,6,3,9,6,0,0,6,0,4.6,4.6,3.5,8.1,52.0,88.0,158.0,0.22,0.11,0.34,0.22,0.34,0.17,0.13,0.3,0.17,0.3,https://fbref.com/en/players/1ea5f91c/Jakub-Jankto,26.8,6,39,10,25.6,1.46,0.37,0.15,0.6,17.2,0.0,0,0,0.12,1.4,1.4,621.0,920.0,67.5,9938.0,2659.0,337.0,426.0,79.1,214.0,291.0,73.5,52.0,133.0,39.1,3.5,4.2,-0.5,34.0,48.0,27.0,8.0,88.0,920.0,861.0,47.0,11.0,2.0,4.0,81,22.0,14.0,5.0,8.0,0.0,621.0,12.0,28.0,62.0,2.32,41.0,8.0,3.0,5.0,4.0,1.0,7.0,0.26,6.0,0.0,1.0,0.0,0.0,0.0,28.0,17,14.0,7.0,7.0,11.0,35.0,31.4,24.0,16.0,1.0,15.0,24,52.0,34.0,0.0,1175.0,37.0,225.0,525.0,438.0,76.0,1175.0,26.0,10.0,38.5,16.0,61.5,645.0,3659.0,1755.0,52.0,36.0,19.0,39.0,34.0,795.0,158.0,35,2409,69,70.4,26.8,29,78.0,11,6,24.0,1,1.29,38,39,-1,-0.04,0.05,32.4,39.3,-6.8,-0.26,0.08,0,18,28,7,81,17,0.0,1.0,0,141.0,9.0,22.0,29.0,-,Left Midfield,1/19/1996,,Czech Republic,Getafe CF,1.84,left,7/1/2019,Udinese Calcio,6/30/2026,4000000.0,https://www.transfermarkt.com/jakub-jankto/profil/spieler/319160
