,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,397,12764,Alejandro Garnacho_2023_Manchester Utd,1.3738488962149644,76.86,2023,Manchester Utd,Premier League,Alejandro Garnacho,ARG,"FW,MF",18,2004,19,5,569,6.3,3,2,5,3,0,0,3,0,3.0,3.0,1.0,4.1,33.0,12.0,85.0,0.47,0.32,0.79,0.47,0.79,0.48,0.16,0.64,0.48,0.64,https://fbref.com/en/players/7aa8adfe/Alejandro-Garnacho,6.3,3,24,9,37.5,3.8,1.42,0.13,0.33,16.3,0.0,0,0,0.13,0.0,0.0,150.0,187.0,80.2,1802.0,233.0,113.0,131.0,86.3,27.0,30.0,90.0,4.0,5.0,80.0,1.0,0.9,1.0,3.0,2.0,2.0,0.0,12.0,187.0,187.0,0.0,0.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,150.0,0.0,7.0,22.0,3.48,17.0,0.0,3.0,1.0,1.0,0.0,6.0,0.95,5.0,0.0,1.0,0.0,0.0,0.0,5.0,2,2.0,0.0,3.0,1.0,11.0,9.1,10.0,5.0,0.0,5.0,5,10.0,3.0,0.0,305.0,3.0,29.0,84.0,196.0,59.0,305.0,44.0,12.0,27.3,27.0,61.4,220.0,1666.0,896.0,33.0,27.0,28.0,27.0,14.0,235.0,85.0,19,569,30,16.6,6.3,5,56.0,0,14,21.0,9,2.05,16,13,3,0.47,0.1,16.9,8.2,8.6,1.37,1.09,0,8,8,3,2,2,0.0,0.0,0,28.0,3.0,10.0,23.1,49,Left Winger,7/1/2004,,Argentina,,1.8,right,7/1/2022,Manchester United U21,6/30/2028,25000000.0,https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779
1,708,4403,Allan Saint-Maximin_2020_Newcastle Utd,1.1636269005356847,73.55000000000001,2020,Newcastle Utd,Premier League,Allan Saint-Maximin,FRA,"MF,FW",22,1997,26,23,1863,20.7,3,4,7,3,0,0,0,0,3.3,3.3,3.3,6.6,125.0,49.0,92.0,0.14,0.19,0.34,0.14,0.34,0.16,0.16,0.32,0.16,0.32,https://fbref.com/en/players/2b16cb1a/Allan-Saint-Maximin,20.7,3,46,21,45.7,2.22,1.01,0.07,0.14,22.5,0.0,0,0,0.07,-0.3,-0.3,353.0,485.0,72.8,5433.0,1190.0,209.0,246.0,85.0,87.0,123.0,70.7,34.0,56.0,60.7,3.3,3.1,0.7,33.0,22.0,14.0,3.0,49.0,485.0,473.0,9.0,1.0,2.0,6.0,45,6.0,0.0,0.0,0.0,0.0,353.0,3.0,15.0,88.0,4.25,53.0,0.0,22.0,6.0,7.0,0.0,9.0,0.44,6.0,0.0,1.0,1.0,1.0,0.0,13.0,8,7.0,4.0,2.0,4.0,18.0,22.2,14.0,5.0,2.0,3.0,9,22.0,6.0,0.0,766.0,12.0,115.0,310.0,388.0,78.0,766.0,180.0,121.0,67.2,59.0,32.8,616.0,6374.0,3852.0,125.0,74.0,46.0,73.0,51.0,561.0,92.0,26,1863,72,54.5,20.7,23,79.0,9,3,18.0,1,1.46,26,22,4,0.19,1.58,22.0,34.4,-12.4,-0.6,0.42,0,18,48,3,45,8,0.0,0.0,0,115.0,8.0,23.0,25.8,10,Left Winger,3/12/1997,,France,Newcastle United,1.73,right,8/2/2019,OGC Nice,6/30/2026,30000000.0,https://www.transfermarkt.com/allan-saint-maximin/profil/spieler/272642
2,709,7213,Allan Saint-Maximin_2021_Newcastle Utd,2.01101521485437,85.11999999999999,2021,Newcastle Utd,Premier League,Allan Saint-Maximin,FRA,"FW,MF",23,1997,25,19,1560,17.3,3,4,7,3,0,0,0,0,2.6,2.6,3.7,6.3,81.0,65.0,86.0,0.17,0.23,0.4,0.17,0.4,0.15,0.21,0.36,0.15,0.36,https://fbref.com/en/players/2b16cb1a/Allan-Saint-Maximin,17.3,3,30,12,40.0,1.73,0.69,0.1,0.25,20.8,0.0,0,0,0.09,0.4,0.4,355.0,444.0,80.0,5503.0,1314.0,189.0,220.0,85.9,122.0,152.0,80.3,28.0,37.0,75.7,3.7,2.0,0.3,30.0,28.0,11.0,4.0,65.0,444.0,430.0,13.0,0.0,4.0,2.0,21,5.0,0.0,0.0,0.0,0.0,355.0,1.0,11.0,69.0,3.98,44.0,1.0,17.0,1.0,6.0,0.0,10.0,0.58,7.0,0.0,3.0,0.0,0.0,0.0,16.0,9,6.0,9.0,1.0,4.0,9.0,44.4,5.0,10.0,0.0,10.0,4,20.0,2.0,0.0,666.0,3.0,66.0,326.0,299.0,54.0,666.0,145.0,96.0,66.2,49.0,33.8,498.0,4492.0,2479.0,81.0,66.0,24.0,55.0,52.0,518.0,86.0,25,1560,62,45.6,17.3,19,74.0,5,6,26.0,0,1.36,27,26,1,0.06,0.88,21.8,25.6,-3.8,-0.22,0.32,0,10,45,5,21,9,0.0,1.0,0,75.0,6.0,9.0,40.0,10,Left Winger,3/12/1997,,France,Newcastle United,1.73,right,8/2/2019,OGC Nice,6/30/2026,32000000.0,https://www.transfermarkt.com/allan-saint-maximin/profil/spieler/272642
3,710,10137,Allan Saint-Maximin_2022_Newcastle Utd,-0.033802412834680745,57.02,2022,Newcastle Utd,Premier League,Allan Saint-Maximin,FRA,"FW,MF",24,1997,35,31,2804,31.2,5,5,10,5,0,0,6,0,5.2,5.2,4.3,9.5,180.0,87.0,167.0,0.16,0.16,0.32,0.16,0.32,0.17,0.14,0.3,0.17,0.3,https://fbref.com/en/players/2b16cb1a/Allan-Saint-Maximin,31.2,5,64,26,40.6,2.05,0.83,0.08,0.19,19.7,0.0,0,0,0.08,-0.2,-0.2,529.0,747.0,70.8,7953.0,1853.0,299.0,359.0,83.3,165.0,225.0,73.3,38.0,75.0,50.7,4.3,3.8,0.7,50.0,51.0,32.0,8.0,87.0,747.0,721.0,19.0,0.0,11.0,11.0,60,5.0,0.0,0.0,0.0,0.0,529.0,7.0,33.0,130.0,4.17,84.0,1.0,31.0,5.0,7.0,2.0,11.0,0.35,8.0,0.0,2.0,1.0,0.0,0.0,13.0,8,6.0,4.0,3.0,3.0,17.0,17.6,14.0,13.0,2.0,11.0,11,24.0,3.0,0.0,1162.0,7.0,86.0,476.0,649.0,111.0,1162.0,241.0,150.0,62.2,91.0,37.8,859.0,8944.0,4517.0,180.0,119.0,63.0,120.0,90.0,913.0,167.0,35,2804,80,82.0,31.2,31,87.0,20,4,29.0,0,1.2,35,54,-19,-0.61,-0.76,29.8,50.0,-20.2,-0.65,-0.82,0,22,48,13,60,8,0.0,0.0,0,110.0,18.0,18.0,50.0,10,Left Winger,3/12/1997,,France,Newcastle United,1.73,right,8/2/2019,OGC Nice,6/30/2026,32000000.0,https://www.transfermarkt.com/allan-saint-maximin/profil/spieler/272642
4,711,13006,Allan Saint-Maximin_2023_Newcastle Utd,1.9994583098245577,84.3,2023,Newcastle Utd,Premier League,Allan Saint-Maximin,FRA,FW,25,1997,25,12,1120,12.4,1,5,6,1,0,0,1,0,1.6,1.6,4.6,6.2,93.0,69.0,111.0,0.08,0.4,0.48,0.08,0.48,0.13,0.37,0.5,0.13,0.5,https://fbref.com/en/players/2b16cb1a/Allan-Saint-Maximin,12.4,1,28,11,39.3,2.25,0.88,0.04,0.09,17.6,0.0,0,0,0.06,-0.6,-0.6,316.0,447.0,70.7,5087.0,1599.0,169.0,209.0,80.9,106.0,154.0,68.8,29.0,41.0,70.7,4.6,2.8,0.4,31.0,23.0,35.0,4.0,69.0,447.0,435.0,9.0,1.0,4.0,3.0,32,7.0,1.0,0.0,0.0,0.0,316.0,3.0,17.0,65.0,5.22,49.0,0.0,10.0,3.0,3.0,0.0,10.0,0.8,7.0,0.0,2.0,0.0,1.0,0.0,10.0,3,3.0,6.0,1.0,2.0,11.0,18.2,9.0,4.0,0.0,4.0,5,15.0,2.0,0.0,598.0,5.0,69.0,198.0,348.0,77.0,598.0,99.0,57.0,57.6,33.0,33.3,435.0,4137.0,2512.0,93.0,51.0,41.0,31.0,30.0,456.0,111.0,25,1120,45,32.7,12.4,12,75.0,2,13,17.0,1,1.76,19,14,5,0.4,-0.77,22.7,13.1,9.7,0.78,-0.11,0,6,16,2,32,3,0.0,0.0,0,69.0,2.0,2.0,50.0,10,Left Winger,3/12/1997,,France,,1.73,right,8/2/2019,OGC Nice,6/30/2026,32000000.0,https://www.transfermarkt.com/allan-saint-maximin/profil/spieler/272642
5,1160,9895,Anthony Elanga_2022_Manchester Utd,-1.6893540031883845,16.53,2022,Manchester Utd,Premier League,Anthony Elanga,SWE,FW,19,2002,21,14,1214,13.5,2,2,4,2,0,0,0,0,2.6,2.6,2.4,5.1,32.0,18.0,114.0,0.15,0.15,0.3,0.15,0.3,0.19,0.18,0.37,0.19,0.37,https://fbref.com/en/players/2fba6108/Anthony-Elanga,13.5,2,21,7,33.3,1.56,0.52,0.1,0.29,15.7,0.0,0,0,0.12,-0.6,-0.6,340.0,450.0,75.6,4282.0,910.0,229.0,265.0,86.4,71.0,97.0,73.2,12.0,21.0,57.1,2.4,1.2,-0.4,9.0,11.0,8.0,2.0,18.0,450.0,434.0,14.0,0.0,2.0,1.0,21,14.0,0.0,0.0,0.0,0.0,340.0,2.0,16.0,21.0,1.56,12.0,0.0,2.0,1.0,4.0,2.0,5.0,0.37,2.0,0.0,1.0,0.0,1.0,1.0,26.0,20,12.0,12.0,2.0,15.0,29.0,51.7,14.0,17.0,1.0,16.0,9,35.0,7.0,0.0,619.0,11.0,111.0,214.0,296.0,56.0,619.0,31.0,11.0,35.5,20.0,64.5,354.0,2063.0,993.0,32.0,24.0,10.0,37.0,15.0,447.0,114.0,21,1214,58,35.5,13.5,14,78.0,5,7,17.0,3,1.43,20,17,3,0.22,0.34,18.0,16.4,1.6,0.12,0.07,0,8,22,3,21,20,0.0,0.0,0,50.0,24.0,18.0,57.1,36,Left Winger,4/27/2002,,Sweden,Manchester United,1.78,right,1/1/2022,Manchester United U23,6/30/2026,18000000.0,https://www.transfermarkt.com/anthony-elanga/profil/spieler/583189
6,1161,12760,Anthony Elanga_2023_Manchester Utd,-0.19318222227975612,51.239999999999995,2023,Manchester Utd,Premier League,Anthony Elanga,SWE,FW,20,2002,16,5,426,4.7,0,1,1,0,0,0,0,0,0.7,0.7,0.9,1.6,12.0,8.0,28.0,0.0,0.21,0.21,0.0,0.21,0.15,0.19,0.34,0.15,0.34,https://fbref.com/en/players/2fba6108/Anthony-Elanga,4.7,0,10,4,40.0,2.11,0.85,0.0,0.0,13.8,0.0,0,0,0.07,-0.7,-0.7,95.0,130.0,73.1,1201.0,298.0,65.0,86.0,75.6,23.0,32.0,71.9,3.0,3.0,100.0,0.9,1.0,0.1,6.0,3.0,3.0,0.0,8.0,130.0,127.0,3.0,0.0,0.0,1.0,7,2.0,0.0,0.0,0.0,0.0,95.0,0.0,2.0,17.0,3.59,13.0,0.0,0.0,3.0,1.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,2.0,1.0,1.0,2.0,50.0,1.0,4.0,0.0,4.0,2,5.0,4.0,0.0,197.0,4.0,26.0,71.0,100.0,28.0,197.0,15.0,5.0,33.3,7.0,46.7,109.0,656.0,276.0,12.0,3.0,7.0,13.0,7.0,139.0,28.0,16,426,27,12.5,4.7,5,59.0,0,11,12.0,11,2.13,8,2,6,1.27,1.0,9.5,4.7,4.8,1.01,0.63,0,3,7,3,7,0,0.0,0.0,0,17.0,8.0,11.0,42.1,36,Left Winger,4/27/2002,,Sweden,,1.78,right,1/1/2022,Manchester United U23,6/30/2026,18000000.0,https://www.transfermarkt.com/anthony-elanga/profil/spieler/583189
7,1165,9107,Anthony Gordon_2022_Everton,-2.8132810771120407,4.130000000000001,2022,Everton,Premier League,Anthony Gordon,ENG,"MF,FW",20,2001,35,25,2285,25.4,4,2,6,4,0,0,4,0,3.5,3.5,3.8,7.3,74.0,51.0,137.0,0.16,0.08,0.24,0.16,0.24,0.14,0.15,0.29,0.14,0.29,https://fbref.com/en/players/2bd83368/Anthony-Gordon,25.4,4,44,18,40.9,1.73,0.71,0.09,0.22,18.8,5.0,0,0,0.08,0.5,0.5,482.0,743.0,64.9,6816.0,1929.0,265.0,340.0,77.9,151.0,224.0,67.4,28.0,92.0,30.4,3.8,3.1,-1.8,35.0,27.0,21.0,8.0,51.0,743.0,649.0,89.0,25.0,2.0,3.0,119,6.0,50.0,26.0,18.0,0.0,482.0,5.0,28.0,77.0,3.03,38.0,14.0,6.0,3.0,14.0,2.0,5.0,0.2,1.0,2.0,0.0,0.0,2.0,0.0,54.0,32,20.0,30.0,4.0,21.0,59.0,35.6,38.0,49.0,3.0,46.0,22,76.0,17.0,0.0,1116.0,21.0,163.0,386.0,592.0,78.0,1116.0,80.0,38.0,47.5,42.0,52.5,602.0,4905.0,2291.0,74.0,53.0,31.0,74.0,37.0,674.0,137.0,35,2285,65,66.8,25.4,25,83.0,14,10,20.0,2,0.91,24,40,-16,-0.63,-0.08,26.5,33.8,-7.4,-0.29,0.25,0,25,64,8,119,32,2.0,0.0,0,116.0,17.0,38.0,30.9,-,Left Winger,2/24/2001,,England,Newcastle United,1.82,right,1/1/2020,Everton FC U23,,35000000.0,https://www.transfermarkt.com/anthony-gordon/profil/spieler/503733
8,1166,12031,Anthony Gordon_2023_Everton,-3.6223222552998866,0.0,2023,Everton,Premier League,Anthony Gordon,ENG,FW,21,2001,16,12,1095,12.2,3,0,3,3,0,0,6,0,3.3,3.3,0.6,3.9,28.0,19.0,67.0,0.25,0.0,0.25,0.25,0.25,0.27,0.05,0.32,0.27,0.32,https://fbref.com/en/players/2bd83368/Anthony-Gordon,12.2,3,26,16,61.5,2.14,1.32,0.12,0.19,16.6,1.0,0,0,0.13,-0.3,-0.3,193.0,280.0,68.9,2905.0,625.0,110.0,135.0,81.5,66.0,89.0,74.2,11.0,27.0,40.7,0.6,0.5,-0.6,8.0,8.0,11.0,2.0,19.0,280.0,272.0,7.0,0.0,1.0,1.0,25,1.0,2.0,2.0,0.0,0.0,193.0,1.0,10.0,23.0,1.89,13.0,0.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,22,17.0,10.0,7.0,8.0,23.0,34.8,15.0,19.0,0.0,19.0,4,38.0,11.0,0.0,464.0,13.0,87.0,165.0,218.0,47.0,464.0,45.0,11.0,24.4,29.0,64.4,252.0,1875.0,704.0,28.0,23.0,13.0,32.0,23.0,290.0,67.0,16,1095,68,32.0,12.2,12,85.0,7,4,19.0,1,0.88,10,13,-3,-0.25,0.53,13.2,17.5,-4.3,-0.36,0.27,0,20,15,3,25,22,0.0,0.0,0,56.0,9.0,29.0,23.7,,Left Winger,,,,,,,,,,35000000.0,
9,1512,3923,Ayoze Perez_2020_Leicester City,0.9942975247606403,69.42,2020,Leicester City,Premier League,Ayoze PÃƒÂ©rez,ESP,"MF,FW",26,1993,33,26,2004,22.3,8,4,12,7,1,1,0,0,6.5,5.7,4.0,9.7,47.0,62.0,159.0,0.36,0.18,0.54,0.31,0.49,0.29,0.18,0.47,0.26,0.44,https://fbref.com/en/players/819aa8e7/Ayoze-Perez,22.3,8,46,21,45.7,2.07,0.94,0.15,0.33,14.5,0.0,1,1,0.13,1.5,1.3,597.0,770.0,77.5,7574.0,1749.0,394.0,453.0,87.0,140.0,180.0,77.8,20.0,33.0,60.6,4.0,3.2,0.0,28.0,44.0,28.0,5.0,62.0,770.0,750.0,16.0,4.0,9.0,2.0,27,5.0,0.0,0.0,0.0,0.0,597.0,4.0,33.0,75.0,3.37,58.0,1.0,8.0,2.0,5.0,1.0,15.0,0.67,11.0,1.0,2.0,0.0,0.0,1.0,45.0,28,14.0,26.0,5.0,8.0,54.0,14.8,46.0,33.0,1.0,32.0,14,59.0,9.0,1.0,1086.0,13.0,126.0,472.0,497.0,115.0,1085.0,68.0,36.0,52.9,32.0,47.1,694.0,2975.0,1475.0,47.0,34.0,28.0,63.0,58.0,791.0,159.0,33,2004,61,58.6,22.3,26,72.0,4,7,19.0,5,1.55,36,25,11,0.49,-0.46,36.3,22.9,13.4,0.6,0.39,0,30,30,6,27,28,0.0,0.0,0,103.0,24.0,45.0,34.8,-,Left Winger,7/29/1993,,Spain,Real Betis BalompiÃƒÂ©,1.78,right,7/4/2019,Newcastle United,6/30/2027,18000000.0,https://www.transfermarkt.com/ayoze-perez/profil/spieler/246968
