,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,501,5561,Alex Berenguer_2021_Athletic Club,-0.9961995097016769,31.0,2021,Athletic Club,La Liga,ÃƒÂlex Berenguer,ESP,"MF,FW",25,1995,35,27,2278,25.3,8,4,12,8,0,0,4,0,6.2,6.2,3.4,9.7,64.0,85.0,201.0,0.32,0.16,0.47,0.32,0.47,0.25,0.14,0.38,0.25,0.38,https://fbref.com/en/players/dc1c2fce/Alex-Berenguer,25.3,8,48,15,31.3,1.9,0.59,0.17,0.53,17.4,4.0,0,0,0.13,1.8,1.8,601.0,917.0,65.5,8373.0,2615.0,363.0,434.0,83.6,163.0,246.0,66.3,35.0,124.0,28.2,3.4,3.7,0.6,38.0,25.0,40.0,10.0,85.0,917.0,789.0,121.0,25.0,0.0,3.0,147,10.0,86.0,30.0,30.0,1.0,601.0,7.0,37.0,87.0,3.44,61.0,14.0,6.0,1.0,4.0,1.0,12.0,0.47,9.0,1.0,1.0,0.0,1.0,0.0,47.0,31,21.0,20.0,6.0,9.0,51.0,17.6,42.0,48.0,3.0,45.0,18,65.0,27.0,0.0,1276.0,27.0,163.0,406.0,730.0,75.0,1276.0,73.0,35.0,47.9,38.0,52.1,640.0,4115.0,2105.0,64.0,52.0,21.0,55.0,39.0,821.0,201.0,35,2278,65,66.6,25.3,27,78.0,8,8,22.0,0,1.23,33,23,10,0.4,0.87,32.7,23.4,9.2,0.36,0.67,0,48,46,18,147,31,1.0,0.0,0,110.0,23.0,42.0,35.4,7,Left Winger,7/4/1995,,Spain,Athletic Bilbao,1.75,right,10/2/2020,Torino FC,6/30/2024,12000000.0,https://www.transfermarkt.com/alex-berenguer/profil/spieler/338425
1,503,8393,Alex Berenguer_2022_Athletic Club,-1.6168693581600706,17.0,2022,Athletic Club,La Liga,ÃƒÂlex Berenguer,ESP,MF,26,1995,34,24,2168,24.1,3,6,9,3,0,1,8,0,5.2,4.5,5.4,9.9,59.0,77.0,202.0,0.12,0.25,0.37,0.12,0.37,0.22,0.23,0.44,0.19,0.41,https://fbref.com/en/players/dc1c2fce/Alex-Berenguer,24.1,3,45,14,31.1,1.87,0.58,0.07,0.21,18.0,1.0,0,1,0.1,-2.2,-1.5,548.0,877.0,62.5,8138.0,2773.0,311.0,393.0,79.1,152.0,239.0,63.6,47.0,139.0,33.8,5.4,5.4,0.6,43.0,33.0,25.0,12.0,77.0,877.0,760.0,108.0,26.0,7.0,6.0,145,6.0,73.0,20.0,29.0,0.0,548.0,9.0,41.0,77.0,3.2,47.0,16.0,6.0,3.0,4.0,1.0,10.0,0.41,6.0,2.0,0.0,1.0,0.0,1.0,45.0,26,23.0,14.0,8.0,11.0,51.0,21.6,40.0,40.0,2.0,38.0,16,61.0,20.0,0.0,1225.0,22.0,160.0,446.0,633.0,81.0,1224.0,71.0,33.0,46.5,38.0,53.5,633.0,3718.0,1831.0,59.0,39.0,16.0,70.0,36.0,795.0,202.0,34,2168,64,63.4,24.1,24,79.0,11,10,26.0,2,1.5,28,17,11,0.46,0.74,33.3,20.2,13.1,0.54,0.68,0,44,46,14,145,26,0.0,0.0,0,105.0,49.0,58.0,45.8,7,Left Winger,7/4/1995,,Spain,Athletic Bilbao,1.75,right,10/2/2020,Torino FC,6/30/2024,15000000.0,https://www.transfermarkt.com/alex-berenguer/profil/spieler/338425
2,504,11312,Alex Berenguer_2023_Athletic Club,-1.6206202225941144,16.0,2023,Athletic Club,La Liga,ÃƒÂlex Berenguer,ESP,FW,27,1995,37,26,2297,25.5,4,1,5,4,0,0,2,0,4.3,4.3,4.6,9.0,73.0,77.0,249.0,0.16,0.04,0.2,0.16,0.2,0.17,0.18,0.35,0.17,0.35,https://fbref.com/en/players/dc1c2fce/Alex-Berenguer,25.5,4,56,19,33.9,2.19,0.74,0.07,0.21,18.0,4.0,0,0,0.08,-0.3,-0.3,630.0,955.0,66.0,9379.0,2766.0,372.0,441.0,84.4,163.0,266.0,61.3,62.0,152.0,40.8,4.6,5.2,-3.6,52.0,25.0,41.0,16.0,77.0,955.0,792.0,151.0,35.0,0.0,2.0,162,15.0,100.0,36.0,32.0,1.0,630.0,12.0,31.0,98.0,3.84,48.0,29.0,9.0,5.0,4.0,3.0,4.0,0.16,2.0,0.0,1.0,1.0,0.0,0.0,58.0,37,17.0,25.0,16.0,23.0,60.0,38.3,37.0,37.0,4.0,33.0,10,68.0,6.0,0.0,1298.0,22.0,135.0,390.0,794.0,117.0,1298.0,85.0,37.0,43.5,44.0,51.8,716.0,4451.0,2024.0,73.0,54.0,35.0,63.0,39.0,848.0,249.0,37,2297,62,67.2,25.5,26,78.0,10,11,25.0,1,1.3,30,33,-3,-0.12,-0.68,33.7,25.4,8.4,0.33,-0.39,0,48,25,19,162,37,0.0,0.0,0,114.0,35.0,42.0,45.5,7,Left Winger,7/4/1995,,Spain,,1.75,right,10/2/2020,Torino FC,6/30/2024,15000000.0,https://www.transfermarkt.com/alex-berenguer/profil/spieler/338425
3,746,10304,Alvaro Garcia_2022_Rayo Vallecano,-2.558747528040477,2.0,2022,Rayo Vallecano,La Liga,ÃƒÂlvaro GarcÃƒÂ­a,ESP,"FW,MF",28,1992,36,34,2998,33.3,7,4,11,7,0,0,6,0,5.3,5.3,4.7,9.9,124.0,86.0,293.0,0.21,0.12,0.33,0.21,0.33,0.16,0.14,0.3,0.16,0.3,https://fbref.com/en/players/90bbd822/Alvaro-Garcia,33.3,7,68,23,33.8,2.04,0.69,0.1,0.3,17.0,0.0,0,0,0.08,1.7,1.7,640.0,1046.0,61.2,10222.0,3488.0,325.0,421.0,77.2,225.0,349.0,64.5,57.0,164.0,34.8,4.7,6.8,-0.7,43.0,35.0,51.0,28.0,86.0,1046.0,1007.0,31.0,5.0,2.0,4.0,194,19.0,7.0,1.0,2.0,0.0,640.0,8.0,42.0,91.0,2.73,73.0,4.0,3.0,5.0,4.0,2.0,7.0,0.21,5.0,1.0,0.0,1.0,0.0,0.0,42.0,23,15.0,18.0,9.0,8.0,35.0,22.9,27.0,27.0,3.0,24.0,42,84.0,24.0,0.0,1393.0,40.0,248.0,419.0,741.0,154.0,1393.0,50.0,22.0,44.0,28.0,56.0,759.0,4974.0,2696.0,124.0,49.0,58.0,70.0,13.0,888.0,293.0,36,2998,83,87.7,33.3,34,86.0,24,2,31.0,0,1.14,36,44,-8,-0.24,0.4,39.8,42.1,-2.2,-0.07,0.66,0,23,25,11,194,23,0.0,0.0,0,187.0,5.0,23.0,17.9,18,Left Winger,10/27/1992,,Spain,Rayo Vallecano,1.67,both,8/23/2018,CÃƒÂ¡diz CF,6/30/2026,6000000.0,https://www.transfermarkt.com/alvaro-garcia/profil/spieler/257062
4,747,13167,Alvaro Garcia_2023_Rayo Vallecano,-1.834706641951711,12.0,2023,Rayo Vallecano,La Liga,ÃƒÂlvaro GarcÃƒÂ­a,ESP,"FW,MF",29,1992,35,34,2870,31.9,5,5,10,5,0,0,7,0,3.6,3.6,5.7,9.3,116.0,71.0,293.0,0.16,0.16,0.31,0.16,0.31,0.11,0.18,0.29,0.11,0.29,https://fbref.com/en/players/90bbd822/Alvaro-Garcia,31.9,5,52,21,40.4,1.63,0.66,0.1,0.24,17.7,0.0,0,0,0.07,1.4,1.4,664.0,1036.0,64.1,10196.0,3009.0,383.0,473.0,81.0,214.0,337.0,63.5,46.0,128.0,35.9,5.7,4.9,-0.7,48.0,28.0,41.0,27.0,71.0,1036.0,968.0,61.0,4.0,1.0,4.0,159,53.0,4.0,2.0,0.0,0.0,664.0,7.0,49.0,95.0,2.98,70.0,2.0,6.0,6.0,7.0,4.0,14.0,0.44,9.0,0.0,2.0,0.0,3.0,0.0,49.0,28,21.0,13.0,15.0,11.0,33.0,33.3,22.0,41.0,4.0,37.0,34,83.0,24.0,1.0,1347.0,30.0,208.0,346.0,809.0,118.0,1347.0,52.0,21.0,40.4,25.0,48.1,785.0,4400.0,2237.0,116.0,28.0,45.0,52.0,17.0,834.0,293.0,35,2870,82,83.9,31.9,34,84.0,15,1,28.0,0,1.31,35,41,-6,-0.19,0.14,37.0,40.0,-3.0,-0.09,0.4,0,36,32,12,159,28,2.0,0.0,0,184.0,12.0,8.0,60.0,18,Left Winger,10/27/1992,,Spain,,1.67,both,8/23/2018,CÃƒÂ¡diz CF,6/30/2026,6000000.0,https://www.transfermarkt.com/alvaro-garcia/profil/spieler/257062
5,845,1982,Ander Barrenetxea_2019_Real Sociedad,0.29671981706617817,61.0,2019,Real Sociedad,La Liga,Ander Barrenetxea,ESP,"FW,MF",16,2001,9,5,399,4.4,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,14.0,9.0,30.0,0.23,0.0,0.23,0.23,0.23,0.11,0.07,0.18,0.11,0.18,https://fbref.com/en/players/200e89e1/Ander-Barrenetxea,4.4,1,5,1,20.0,1.13,0.23,0.2,1.0,14.0,0.0,0,0,0.1,0.5,0.5,82.0,111.0,73.9,1071.0,226.0,55.0,66.0,83.3,22.0,31.0,71.0,2.0,5.0,40.0,0.3,0.2,-0.3,7.0,4.0,3.0,0.0,9.0,111.0,111.0,0.0,0.0,1.0,0.0,6,0.0,0.0,0.0,0.0,0.0,82.0,0.0,4.0,15.0,3.39,11.0,0.0,3.0,0.0,0.0,1.0,2.0,0.45,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2,2.0,0.0,5.0,2.0,8.0,25.0,6.0,8.0,0.0,8.0,4,11.0,1.0,0.0,175.0,5.0,25.0,64.0,93.0,14.0,175.0,32.0,19.0,59.4,13.0,40.6,119.0,853.0,441.0,14.0,11.0,5.0,15.0,8.0,118.0,30.0,9,399,44,11.7,4.4,5,73.0,0,4,9.0,3,1.44,8,5,3,0.68,0.8,6.4,3.9,2.6,0.58,0.62,0,12,6,3,6,2,0.0,0.0,0,18.0,2.0,7.0,22.2,7,Left Winger,12/27/2001,,Spain,Real Sociedad,1.75,right,7/1/2019,Real Sociedad B,6/30/2027,9000000.0,https://www.transfermarkt.com/ander-barrenetxea/profil/spieler/616369
6,847,7442,Ander Barrenetxea_2021_Real Sociedad,-0.41017702358588354,46.0,2021,Real Sociedad,La Liga,Ander Barrenetxea,ESP,"MF,FW",18,2001,31,13,1307,14.5,3,0,3,3,0,0,7,0,1.9,1.9,1.9,3.8,37.0,37.0,106.0,0.21,0.0,0.21,0.21,0.21,0.13,0.13,0.26,0.13,0.26,https://fbref.com/en/players/200e89e1/Ander-Barrenetxea,14.5,3,23,7,30.4,1.58,0.48,0.13,0.43,19.4,0.0,0,0,0.08,1.1,1.1,291.0,413.0,70.5,4473.0,1038.0,152.0,188.0,80.9,113.0,150.0,75.3,14.0,33.0,42.4,1.9,1.2,-1.9,15.0,24.0,15.0,4.0,37.0,413.0,399.0,13.0,3.0,2.0,2.0,34,9.0,1.0,0.0,0.0,0.0,291.0,1.0,19.0,34.0,2.34,26.0,1.0,4.0,2.0,1.0,0.0,4.0,0.28,4.0,0.0,0.0,0.0,0.0,0.0,29.0,19,5.0,18.0,6.0,9.0,24.0,37.5,15.0,20.0,0.0,20.0,6,35.0,8.0,0.0,612.0,8.0,87.0,251.0,286.0,32.0,612.0,67.0,39.0,58.2,28.0,41.8,389.0,2805.0,1247.0,37.0,23.0,12.0,50.0,35.0,424.0,106.0,31,1307,42,38.2,14.5,13,72.0,2,18,20.0,5,1.45,20,16,4,0.28,-0.45,17.4,15.3,2.1,0.14,-0.69,0,40,20,4,34,19,0.0,0.0,0,78.0,3.0,21.0,12.5,7,Left Winger,12/27/2001,,Spain,Real Sociedad,1.75,right,7/1/2019,Real Sociedad B,6/30/2027,9000000.0,https://www.transfermarkt.com/ander-barrenetxea/profil/spieler/616369
7,848,10354,Ander Barrenetxea_2022_Real Sociedad,-2.068408774360099,7.000000000000001,2022,Real Sociedad,La Liga,Ander Barrenetxea,ESP,"FW,MF",19,2001,11,6,547,6.1,1,1,2,1,0,0,0,0,0.5,0.5,0.8,1.3,20.0,22.0,72.0,0.16,0.16,0.33,0.16,0.33,0.08,0.14,0.22,0.08,0.22,https://fbref.com/en/players/200e89e1/Ander-Barrenetxea,6.1,1,8,2,25.0,1.32,0.33,0.13,0.5,15.2,0.0,0,0,0.06,0.5,0.5,129.0,184.0,70.1,1869.0,529.0,74.0,90.0,82.2,43.0,61.0,70.5,5.0,12.0,41.7,0.8,1.1,0.2,6.0,6.0,10.0,0.0,22.0,184.0,184.0,0.0,0.0,1.0,1.0,8,0.0,0.0,0.0,0.0,0.0,129.0,0.0,11.0,14.0,2.31,10.0,0.0,3.0,0.0,1.0,0.0,3.0,0.49,2.0,0.0,1.0,0.0,0.0,0.0,15.0,10,9.0,6.0,0.0,8.0,18.0,44.4,10.0,7.0,0.0,7.0,2,17.0,2.0,0.0,275.0,5.0,43.0,117.0,120.0,24.0,275.0,37.0,15.0,40.5,22.0,59.5,183.0,1147.0,577.0,20.0,11.0,10.0,23.0,16.0,203.0,72.0,11,547,50,16.0,6.1,6,61.0,0,5,36.0,1,1.09,5,8,-3,-0.49,-0.68,5.9,6.8,-0.8,-0.14,-0.57,0,10,16,1,8,10,0.0,0.0,0,39.0,4.0,4.0,50.0,7,Left Winger,12/27/2001,,Spain,Real Sociedad,1.75,right,7/1/2019,Real Sociedad B,6/30/2027,6000000.0,https://www.transfermarkt.com/ander-barrenetxea/profil/spieler/616369
8,849,13213,Ander Barrenetxea_2023_Real Sociedad,1.3775935197643139,80.0,2023,Real Sociedad,La Liga,Ander Barrenetxea,ESP,"FW,DF",20,2001,23,9,878,9.8,3,1,4,3,0,0,4,0,3.0,3.0,1.2,4.2,36.0,27.0,72.0,0.31,0.1,0.41,0.31,0.41,0.31,0.12,0.43,0.31,0.43,https://fbref.com/en/players/200e89e1/Ander-Barrenetxea,9.8,3,18,12,66.7,1.85,1.23,0.17,0.25,14.9,2.0,0,0,0.17,0.0,0.0,288.0,376.0,76.6,4302.0,1117.0,162.0,187.0,86.6,95.0,113.0,84.1,19.0,33.0,57.6,1.2,1.1,-0.2,9.0,14.0,9.0,1.0,27.0,376.0,343.0,32.0,5.0,1.0,1.0,13,25.0,2.0,0.0,0.0,0.0,288.0,1.0,19.0,28.0,2.87,22.0,0.0,2.0,2.0,2.0,0.0,2.0,0.21,1.0,0.0,1.0,0.0,0.0,0.0,21.0,15,15.0,6.0,0.0,12.0,28.0,42.9,16.0,15.0,1.0,14.0,5,26.0,7.0,0.0,544.0,14.0,110.0,213.0,232.0,41.0,544.0,63.0,34.0,54.0,25.0,39.7,328.0,2099.0,994.0,36.0,15.0,17.0,36.0,18.0,348.0,72.0,23,878,38,25.7,9.8,9,65.0,0,14,21.0,5,2.0,14,5,9,0.92,0.67,14.7,8.5,6.2,0.64,0.18,0,23,14,0,13,15,0.0,0.0,0,74.0,11.0,15.0,42.3,7,Left Winger,12/27/2001,,Spain,,1.75,right,7/1/2019,Real Sociedad B,6/30/2027,6000000.0,https://www.transfermarkt.com/ander-barrenetxea/profil/spieler/616369
9,1134,2919,Ansu Fati_2020_Barcelona,1.0870537745158366,75.0,2020,Barcelona,La Liga,Ansu Fati,ESP,FW,16,2002,24,11,1027,11.4,7,1,8,7,0,0,2,1,3.8,3.8,2.1,5.9,77.0,29.0,187.0,0.61,0.09,0.7,0.61,0.7,0.33,0.18,0.52,0.33,0.52,https://fbref.com/en/players/0ba976e4/Ansu-Fati,11.4,7,33,12,36.4,2.89,1.05,0.21,0.58,15.6,0.0,0,0,0.12,3.2,3.2,438.0,530.0,82.6,4762.0,787.0,324.0,358.0,90.5,61.0,83.0,73.5,10.0,18.0,55.6,2.1,2.1,-1.1,18.0,13.0,14.0,1.0,29.0,530.0,512.0,15.0,1.0,0.0,4.0,21,4.0,10.0,8.0,0.0,0.0,438.0,3.0,9.0,39.0,3.42,26.0,2.0,6.0,2.0,3.0,0.0,3.0,0.26,1.0,0.0,2.0,0.0,0.0,0.0,16.0,8,4.0,7.0,5.0,5.0,15.0,33.3,10.0,14.0,1.0,13.0,8,24.0,3.0,0.0,703.0,7.0,38.0,207.0,464.0,89.0,703.0,53.0,25.0,47.2,28.0,52.8,544.0,3520.0,1934.0,77.0,35.0,46.0,35.0,25.0,601.0,187.0,24,1027,43,30.0,11.4,11,71.0,1,13,19.0,9,2.04,27,14,13,1.14,-0.18,22.3,11.3,11.0,0.96,0.32,0,19,19,4,21,8,0.0,0.0,0,41.0,6.0,11.0,35.3,10,Left Winger,10/31/2002,,Spain,FC Barcelona,1.78,right,9/23/2020,FC Barcelona B,6/30/2027,60000000.0,https://www.transfermarkt.com/ansu-fati/profil/spieler/466810
