,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,811,6176,Amin Younes_2021_Eint Frankfurt,0.8653565611043456,61.4,2021,Eint Frankfurt,Bundesliga,Amin Younes,GER,MF,26,1993,26,16,1391,15.5,3,3,6,3,0,0,5,0,2.8,2.8,1.6,4.5,61.0,98.0,119.0,0.19,0.19,0.39,0.19,0.39,0.18,0.11,0.29,0.18,0.29,https://fbref.com/en/players/228f73ae/Amin-Younes,15.5,3,33,13,39.4,2.14,0.84,0.09,0.23,18.2,0.0,0,0,0.09,0.2,0.2,493.0,672.0,73.4,7569.0,2611.0,283.0,333.0,85.0,141.0,201.0,70.1,44.0,77.0,57.1,1.6,2.7,1.4,24.0,68.0,27.0,4.0,98.0,672.0,625.0,46.0,5.0,2.0,6.0,44,17.0,24.0,16.0,0.0,0.0,493.0,1.0,15.0,60.0,3.88,40.0,6.0,7.0,3.0,4.0,0.0,6.0,0.39,5.0,1.0,0.0,0.0,0.0,0.0,25.0,14,8.0,10.0,7.0,6.0,32.0,18.8,26.0,19.0,1.0,18.0,13,38.0,4.0,0.0,867.0,5.0,74.0,407.0,396.0,55.0,867.0,81.0,51.0,63.0,30.0,37.0,582.0,3620.0,1955.0,61.0,35.0,20.0,32.0,32.0,663.0,119.0,26,1391,54,45.5,15.5,16,73.0,1,10,23.0,0,1.69,33,25,8,0.52,0.09,26.9,19.8,7.1,0.46,0.22,0,38,26,6,44,14,0.0,0.0,0,75.0,1.0,15.0,6.3,-,Left Winger,8/6/1993,,Germany,Al-Ettifaq FC,1.68,right,10/3/2020,SSC Napoli,6/30/2024,1500000.0,https://www.transfermarkt.com/amin-younes/profil/spieler/96167
1,813,9637,Amine Adli_2022_Leverkusen,-0.2105979858098545,43.86,2022,Leverkusen,Bundesliga,Amine Adli,FRA,"FW,MF",21,2000,25,13,1256,14.0,3,2,5,3,0,0,3,0,4.3,4.3,2.1,6.4,51.0,56.0,105.0,0.21,0.14,0.36,0.21,0.36,0.31,0.15,0.46,0.31,0.46,https://fbref.com/en/players/dcfb17f4/Amine-Adli,14.0,3,37,19,51.4,2.65,1.36,0.08,0.16,15.1,0.0,0,0,0.12,-1.3,-1.3,376.0,516.0,72.9,5007.0,1529.0,219.0,272.0,80.5,125.0,166.0,75.3,9.0,18.0,50.0,2.1,1.5,-0.1,14.0,27.0,19.0,4.0,56.0,516.0,494.0,17.0,1.0,6.0,0.0,21,11.0,1.0,0.0,0.0,0.0,376.0,5.0,27.0,49.0,3.51,39.0,1.0,3.0,4.0,2.0,0.0,6.0,0.43,5.0,0.0,0.0,1.0,0.0,0.0,27.0,14,10.0,14.0,3.0,8.0,15.0,53.3,7.0,26.0,2.0,24.0,11,38.0,12.0,0.0,729.0,9.0,116.0,347.0,282.0,57.0,729.0,37.0,21.0,56.8,16.0,43.2,456.0,2836.0,1731.0,51.0,29.0,15.0,47.0,18.0,531.0,105.0,25,1256,50,41.0,14.0,13,75.0,3,12,23.0,0,1.76,24,23,1,0.07,-1.52,23.3,18.9,4.4,0.31,-0.4,0,27,28,8,21,14,0.0,0.0,0,62.0,12.0,29.0,29.3,21,Left Winger,5/10/2000,,France,Bayer 04 Leverkusen,1.74,left,8/26/2021,FC Toulouse,6/30/2026,20000000.0,https://www.transfermarkt.com/amine-adli/profil/spieler/532776
2,814,12507,Amine Adli_2023_Leverkusen,0.6071301599819179,52.629999999999995,2023,Leverkusen,Bundesliga,Amine Adli,FRA,"FW,MF",22,2000,26,16,1435,15.9,5,3,8,5,0,0,2,2,5.0,5.0,1.7,6.7,46.0,49.0,137.0,0.31,0.19,0.5,0.31,0.5,0.31,0.11,0.42,0.31,0.42,https://fbref.com/en/players/dcfb17f4/Amine-Adli,15.9,5,37,17,45.9,2.32,1.07,0.14,0.29,14.0,1.0,0,0,0.14,0.0,0.0,427.0,565.0,75.6,5845.0,1373.0,240.0,296.0,81.1,138.0,166.0,83.1,18.0,34.0,52.9,1.7,1.9,1.3,20.0,26.0,10.0,0.0,49.0,565.0,535.0,23.0,4.0,3.0,2.0,18,5.0,8.0,2.0,2.0,0.0,427.0,7.0,19.0,56.0,3.5,36.0,3.0,4.0,4.0,8.0,1.0,11.0,0.69,6.0,0.0,3.0,0.0,2.0,0.0,18.0,10,4.0,6.0,8.0,5.0,17.0,29.4,12.0,28.0,2.0,26.0,6,24.0,7.0,0.0,786.0,9.0,74.0,394.0,327.0,67.0,786.0,58.0,26.0,44.8,22.0,37.9,467.0,2610.0,1368.0,46.0,29.0,15.0,52.0,18.0,598.0,137.0,26,1435,55,46.9,15.9,16,74.0,1,10,26.0,1,1.69,29,17,12,0.75,0.97,26.3,15.7,10.6,0.66,0.77,0,39,47,4,18,10,2.0,1.0,0,61.0,29.0,41.0,41.4,21,Left Winger,5/10/2000,,France,,1.74,left,8/26/2021,FC Toulouse,6/30/2026,20000000.0,https://www.transfermarkt.com/amine-adli/profil/spieler/532776
3,1145,742,Ante Rebic_2019_Eint Frankfurt,-1.9162858242086873,15.790000000000001,2019,Eint Frankfurt,Bundesliga,Ante RebiÃ„â€¡,CRO,"FW,MF",24,1993,28,23,1978,22.0,9,4,13,9,0,0,4,1,9.2,9.2,5.4,14.6,88.0,59.0,193.0,0.41,0.18,0.59,0.41,0.59,0.42,0.25,0.67,0.42,0.67,https://fbref.com/en/players/536cebe5/Ante-Rebic,22.0,9,61,28,45.9,2.78,1.27,0.15,0.32,16.7,2.0,0,0,0.16,-0.2,-0.2,293.0,548.0,53.5,3970.0,1050.0,193.0,283.0,68.2,67.0,134.0,50.0,17.0,51.0,33.3,5.4,5.0,-1.4,32.0,24.0,17.0,7.0,59.0,548.0,526.0,17.0,2.0,7.0,3.0,43,4.0,0.0,0.0,0.0,0.0,293.0,5.0,29.0,88.0,4.0,52.0,1.0,19.0,5.0,9.0,2.0,9.0,0.41,6.0,0.0,3.0,0.0,0.0,0.0,22.0,9,5.0,12.0,5.0,5.0,12.0,41.7,7.0,18.0,1.0,17.0,8,30.0,3.0,0.0,854.0,4.0,30.0,317.0,524.0,108.0,854.0,93.0,47.0,50.5,46.0,49.5,524.0,3782.0,1756.0,88.0,49.0,37.0,75.0,76.0,658.0,193.0,28,1978,71,64.6,22.0,23,82.0,11,5,20.0,0,1.61,37,29,8,0.36,0.03,37.4,32.6,4.8,0.22,0.07,1,47,21,18,43,9,0.0,0.0,0,77.0,37.0,53.0,41.1,-,Left Winger,9/21/1993,,Croatia,AC Milan,1.85,right,7/1/2018,ACF Fiorentina,6/30/2025,24000000.0,https://www.transfermarkt.com/ante-rebic/profil/spieler/187587
4,2002,12522,Callum Hudson-Odoi_2023_Leverkusen,0.6734410749996174,56.14,2023,Leverkusen,Bundesliga,Callum Hudson-Odoi,ENG,"FW,MF",21,2000,14,7,605,6.7,0,1,1,0,0,0,0,0,0.2,0.2,0.8,0.9,30.0,31.0,44.0,0.0,0.15,0.15,0.0,0.15,0.03,0.11,0.14,0.03,0.14,https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi,6.7,0,4,1,25.0,0.6,0.15,0.0,0.0,20.4,0.0,0,0,0.05,-0.2,-0.2,206.0,248.0,83.1,3427.0,782.0,114.0,128.0,89.1,67.0,78.0,85.9,22.0,30.0,73.3,0.8,0.9,0.2,13.0,18.0,7.0,1.0,31.0,248.0,223.0,22.0,8.0,1.0,2.0,12,4.0,4.0,3.0,0.0,0.0,206.0,3.0,6.0,26.0,3.86,19.0,4.0,1.0,2.0,0.0,0.0,2.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3,4.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2,7.0,4.0,0.0,288.0,6.0,32.0,145.0,117.0,10.0,288.0,28.0,14.0,50.0,10.0,35.7,193.0,1610.0,893.0,30.0,23.0,6.0,7.0,14.0,240.0,44.0,14,605,43,19.8,6.7,7,68.0,0,7,18.0,8,1.5,12,13,-1,-0.15,-0.48,9.8,8.7,1.0,0.15,-0.12,0,2,20,2,12,3,0.0,0.0,0,26.0,0.0,5.0,0.0,,Left Winger,,,,,,,,,,15000000.0,
5,2360,8566,Christopher Antwi-Adjei_2022_Bochum,-3.2659651586330867,5.26,2022,Bochum,Bundesliga,Christopher Antwi-Adjei,GHA,"FW,MF",27,1994,25,12,1130,12.6,1,1,2,1,0,0,2,0,2.0,2.0,1.0,3.1,35.0,22.0,85.0,0.08,0.08,0.16,0.08,0.16,0.18,0.09,0.26,0.18,0.26,https://fbref.com/en/players/0a3f6cde/Christopher-Antwi-Adjei,12.6,1,29,10,34.5,2.31,0.8,0.03,0.1,15.2,0.0,0,0,0.08,-1.0,-1.0,153.0,253.0,60.5,2315.0,735.0,87.0,111.0,78.4,56.0,85.0,65.9,7.0,23.0,30.4,1.0,0.8,0.0,6.0,7.0,10.0,2.0,22.0,253.0,223.0,29.0,1.0,3.0,0.0,29,27.0,1.0,0.0,0.0,0.0,153.0,1.0,20.0,26.0,2.25,15.0,1.0,1.0,3.0,6.0,0.0,2.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0,21.0,18,7.0,8.0,6.0,6.0,26.0,23.1,20.0,12.0,0.0,12.0,1,22.0,8.0,0.0,430.0,4.0,40.0,150.0,246.0,46.0,430.0,32.0,13.0,40.6,19.0,59.4,237.0,1673.0,772.0,35.0,16.0,13.0,51.0,18.0,273.0,85.0,25,1130,45,36.9,12.6,12,77.0,3,13,16.0,4,1.04,13,18,-5,-0.4,0.02,15.4,20.3,-4.9,-0.42,0.04,0,15,29,11,29,18,1.0,0.0,0,52.0,11.0,40.0,21.6,22,Left Winger,2/7/1994,,Ghana,VfL Bochum,1.74,right,7/1/2021,SC Paderborn 07,6/30/2024,2200000.0,https://www.transfermarkt.com/christopher-antwi-adjei/profil/spieler/289182
6,2361,11515,Christopher Antwi-Adjei_2023_Bochum,-1.6287781547282034,21.05,2023,Bochum,Bundesliga,Christopher Antwi-Adjei,GHA,"FW,MF",28,1994,29,22,1981,22.0,3,6,9,3,0,0,2,0,2.2,2.2,3.8,6.0,67.0,36.0,231.0,0.14,0.27,0.41,0.14,0.41,0.1,0.17,0.27,0.1,0.27,https://fbref.com/en/players/0a3f6cde/Christopher-Antwi-Adjei,22.0,3,29,8,27.6,1.32,0.36,0.1,0.38,20.6,0.0,0,0,0.08,0.8,0.8,432.0,712.0,60.7,6857.0,2576.0,234.0,287.0,81.5,145.0,243.0,59.7,37.0,116.0,31.9,3.8,3.8,2.2,33.0,17.0,30.0,15.0,36.0,712.0,513.0,195.0,3.0,2.0,2.0,63,180.0,4.0,0.0,0.0,0.0,432.0,4.0,32.0,79.0,3.59,46.0,16.0,5.0,3.0,9.0,0.0,12.0,0.54,7.0,1.0,2.0,0.0,2.0,0.0,23.0,15,7.0,8.0,8.0,10.0,29.0,34.5,19.0,17.0,0.0,17.0,5,28.0,16.0,0.0,996.0,7.0,102.0,304.0,605.0,63.0,996.0,80.0,31.0,38.8,39.0,48.8,525.0,3766.0,1485.0,67.0,49.0,20.0,89.0,32.0,560.0,231.0,29,1981,68,64.7,22.0,22,81.0,10,7,29.0,2,1.21,32,40,-8,-0.36,1.64,29.3,38.3,-9.0,-0.41,0.99,0,24,40,15,63,15,1.0,0.0,0,109.0,16.0,45.0,26.2,22,Left Winger,2/7/1994,,Ghana,,1.74,right,7/1/2021,SC Paderborn 07,6/30/2024,2200000.0,https://www.transfermarkt.com/christopher-antwi-adjei/profil/spieler/289182
7,3038,6773,Demarai Gray_2021_Leverkusen,-0.4311763217869486,42.11,2021,Leverkusen,Bundesliga,Demarai Gray,JAM,FW,24,1996,10,5,442,4.9,1,2,3,1,0,0,0,0,1.4,1.4,0.9,2.3,27.0,12.0,44.0,0.2,0.41,0.61,0.2,0.61,0.28,0.18,0.46,0.28,0.46,https://fbref.com/en/players/4468ec10/Demarai-Gray,4.9,1,15,7,46.7,3.05,1.43,0.07,0.14,18.0,0.0,0,0,0.09,-0.4,-0.4,118.0,176.0,67.0,1991.0,422.0,65.0,77.0,84.4,38.0,57.0,66.7,12.0,30.0,40.0,0.9,0.6,1.1,9.0,7.0,6.0,1.0,12.0,176.0,155.0,20.0,2.0,0.0,4.0,30,5.0,13.0,5.0,6.0,0.0,118.0,1.0,2.0,17.0,3.48,10.0,4.0,1.0,2.0,0.0,0.0,2.0,0.41,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2,1.0,2.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,3.0,4,7.0,3.0,0.0,232.0,4.0,16.0,82.0,136.0,32.0,232.0,16.0,9.0,56.3,7.0,43.8,155.0,1313.0,615.0,27.0,11.0,14.0,13.0,11.0,164.0,44.0,10,442,44,14.4,4.9,5,67.0,2,5,21.0,2,1.0,5,12,-7,-1.43,-2.15,7.6,6.7,0.9,0.18,-0.04,0,4,5,1,30,2,0.0,0.0,0,14.0,0.0,5.0,0.0,,Left Winger,,,,,,,,,,22000000.0,
8,4650,8577,Gerrit Holtmann_2022_Bochum,-2.134206223505184,14.04,2022,Bochum,Bundesliga,Gerrit Holtmann,PHI,"FW,MF",26,1995,29,23,1840,20.4,5,4,9,5,0,0,0,0,3.7,3.7,4.9,8.6,81.0,43.0,132.0,0.24,0.2,0.44,0.24,0.44,0.19,0.25,0.44,0.19,0.44,https://fbref.com/en/players/2979c05a/Gerrit-Holtmann,20.4,5,46,18,39.1,2.25,0.88,0.11,0.28,21.0,0.0,0,0,0.09,1.3,1.3,227.0,344.0,66.0,3465.0,1152.0,119.0,152.0,78.3,78.0,119.0,65.5,15.0,38.0,39.5,4.9,4.0,-0.9,27.0,19.0,26.0,9.0,43.0,344.0,333.0,8.0,1.0,4.0,1.0,59,6.0,0.0,0.0,0.0,0.0,227.0,3.0,8.0,61.0,3.13,43.0,0.0,10.0,3.0,3.0,2.0,8.0,0.41,5.0,0.0,2.0,1.0,0.0,0.0,15.0,9,5.0,3.0,7.0,6.0,22.0,27.3,16.0,26.0,2.0,24.0,8,23.0,6.0,0.0,598.0,5.0,70.0,205.0,344.0,54.0,598.0,91.0,38.0,41.8,53.0,58.2,385.0,3581.0,1925.0,81.0,56.0,28.0,56.0,39.0,404.0,132.0,29,1840,63,60.1,20.4,23,72.0,4,6,30.0,0,1.45,25,36,-11,-0.54,-0.32,24.2,34.9,-10.7,-0.55,-0.24,0,22,13,5,59,9,0.0,0.0,0,74.0,5.0,32.0,13.5,17,Left Winger,3/25/1995,,Philippines,VfL Bochum,1.85,left,8/24/2020,1.FSV Mainz 05,6/30/2025,2500000.0,https://www.transfermarkt.com/gerrit-holtmann/profil/spieler/190289
9,4651,11524,Gerrit Holtmann_2023_Bochum,-4.008589959605607,0.0,2023,Bochum,Bundesliga,Gerrit Holtmann,PHI,"FW,MF",27,1995,23,8,945,10.5,1,1,2,1,0,0,0,0,2.4,2.4,0.8,3.1,37.0,8.0,83.0,0.1,0.1,0.19,0.1,0.19,0.23,0.07,0.3,0.23,0.3,https://fbref.com/en/players/2979c05a/Gerrit-Holtmann,10.5,1,30,14,46.7,2.86,1.33,0.03,0.07,19.6,0.0,0,0,0.08,-1.4,-1.4,155.0,270.0,57.4,2007.0,519.0,104.0,132.0,78.8,35.0,66.0,53.0,7.0,26.0,26.9,0.8,0.8,0.2,10.0,5.0,8.0,4.0,8.0,270.0,259.0,10.0,1.0,1.0,0.0,52,6.0,1.0,0.0,0.0,0.0,155.0,1.0,22.0,22.0,2.1,16.0,0.0,2.0,3.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7,6.0,7.0,1.0,12.0,21.0,57.1,9.0,15.0,1.0,14.0,2,16.0,4.0,0.0,424.0,2.0,44.0,146.0,242.0,38.0,424.0,41.0,16.0,39.0,23.0,56.1,230.0,1900.0,872.0,37.0,22.0,8.0,31.0,16.0,272.0,83.0,23,945,41,30.9,10.5,8,71.0,2,15,25.0,6,0.91,9,25,-16,-1.52,-0.84,10.9,24.9,-14.1,-1.34,-0.85,0,7,7,3,52,7,0.0,0.0,0,57.0,14.0,19.0,42.4,17,Left Winger,3/25/1995,,Philippines,,1.85,left,8/24/2020,1.FSV Mainz 05,6/30/2025,2500000.0,https://www.transfermarkt.com/gerrit-holtmann/profil/spieler/190289
