,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,11,5754,Aaron Hickey_2021_Bologna,-0.9615820075378156,27.63,2021,Bologna,Serie A,Aaron Hickey,SCO,DF,18,2002,11,10,758,8.4,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.1,21.0,36.0,28.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,https://fbref.com/en/players/1780bb4a/Aaron-Hickey,8.4,0,2,0,0.0,0.24,0.0,0.0,,29.9,0.0,0,0,0.03,-0.1,-0.1,337.0,397.0,84.9,5489.0,1742.0,160.0,174.0,92.0,142.0,165.0,86.1,21.0,34.0,61.8,0.1,0.2,-0.1,2.0,30.0,3.0,1.0,36.0,397.0,314.0,81.0,13.0,0.0,3.0,7,68.0,0.0,0.0,0.0,0.0,337.0,2.0,6.0,7.0,0.83,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,12.0,8,10.0,2.0,0.0,7.0,17.0,41.2,10.0,6.0,1.0,5.0,15,27.0,15.0,1.0,495.0,26.0,149.0,235.0,115.0,8.0,495.0,16.0,7.0,43.8,9.0,56.3,282.0,1610.0,739.0,21.0,17.0,4.0,16.0,8.0,268.0,28.0,11,758,69,22.2,8.4,10,74.0,4,1,15.0,8,1.27,13,16,-3,-0.36,0.02,10.0,12.4,-2.4,-0.28,-0.09,0,11,14,0,7,8,0.0,0.0,0,51.0,6.0,5.0,54.5,-,Right-Back,6/10/2002,,Scotland,Brentford FC,1.85,both,9/24/2020,Heart of Midlothian FC,6/30/2026,18000000.0,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949
1,12,8607,Aaron Hickey_2022_Bologna,-0.9151310703312011,28.65,2022,Bologna,Serie A,Aaron Hickey,SCO,DF,19,2002,36,34,2820,31.3,5,1,6,5,0,0,7,0,0.9,0.9,1.8,2.6,57.0,52.0,156.0,0.16,0.03,0.19,0.16,0.19,0.03,0.06,0.08,0.03,0.08,https://fbref.com/en/players/1780bb4a/Aaron-Hickey,31.3,5,21,13,61.9,0.67,0.41,0.24,0.38,21.3,0.0,0,0,0.04,4.1,4.1,1032.0,1289.0,80.1,14598.0,4242.0,610.0,671.0,90.9,355.0,460.0,77.2,34.0,78.0,43.6,1.8,1.4,-0.8,19.0,45.0,19.0,8.0,52.0,1289.0,1021.0,267.0,16.0,2.0,0.0,52,251.0,0.0,0.0,0.0,0.0,1032.0,1.0,33.0,44.0,1.4,37.0,1.0,2.0,0.0,4.0,0.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,46.0,29,24.0,15.0,7.0,20.0,30.0,66.7,10.0,36.0,13.0,23.0,29,75.0,44.0,0.0,1602.0,80.0,483.0,671.0,458.0,25.0,1602.0,49.0,30.0,61.2,19.0,38.8,831.0,4703.0,2261.0,57.0,43.0,8.0,48.0,27.0,961.0,156.0,36,2820,78,82.5,31.3,34,82.0,17,2,24.0,0,1.25,34,42,-8,-0.26,0.19,34.8,42.7,-7.9,-0.25,-0.27,0,39,71,4,52,29,0.0,0.0,0,134.0,17.0,30.0,36.2,,Right-Back,,,,,,,,,,25000000.0,
2,13,11608,Aaron Hickey_2023_Brentford,-0.7222449299062174,34.65,2023,Brentford,Premier League,Aaron Hickey,SCO,DF,20,2002,26,23,1916,21.3,0,1,1,0,0,0,7,0,0.4,0.4,0.4,0.8,41.0,81.0,47.0,0.0,0.05,0.05,0.0,0.05,0.02,0.02,0.04,0.02,0.04,https://fbref.com/en/players/1780bb4a/Aaron-Hickey,21.3,0,11,2,18.2,0.52,0.09,0.0,0.0,21.5,0.0,0,0,0.04,-0.4,-0.4,695.0,838.0,82.9,10995.0,3282.0,373.0,411.0,90.8,265.0,310.0,85.5,46.0,80.0,57.5,0.4,0.6,0.6,6.0,62.0,13.0,4.0,81.0,838.0,743.0,93.0,11.0,2.0,1.0,27,82.0,0.0,0.0,0.0,0.0,695.0,2.0,17.0,20.0,0.94,14.0,1.0,1.0,2.0,2.0,0.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0,38.0,26,27.0,11.0,0.0,18.0,32.0,56.3,14.0,18.0,7.0,11.0,17,55.0,32.0,1.0,1028.0,47.0,328.0,499.0,211.0,21.0,1028.0,45.0,17.0,37.8,18.0,40.0,616.0,3295.0,1802.0,41.0,17.0,3.0,16.0,13.0,624.0,47.0,26,1916,74,56.0,21.3,23,81.0,8,3,16.0,2,1.46,33,30,3,0.14,-0.4,32.5,27.3,5.1,0.24,0.14,0,20,35,1,27,26,0.0,1.0,0,111.0,14.0,22.0,38.9,2,Right-Back,6/10/2002,,Scotland,,1.85,both,7/9/2022,Bologna FC 1909,6/30/2026,25000000.0,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949
3,39,4191,Aaron Wan-Bissaka_2020_Manchester Utd,0.26380941570387767,60.96,2020,Manchester Utd,Premier League,Aaron Wan-Bissaka,ENG,DF,21,1997,35,34,3070,34.1,0,4,4,0,0,0,8,0,0.7,0.7,3.0,3.7,100.0,134.0,175.0,0.0,0.12,0.12,0.0,0.12,0.02,0.09,0.11,0.02,0.11,https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka,34.1,0,7,1,14.3,0.21,0.03,0.0,0.0,15.5,0.0,0,0,0.1,-0.7,-0.7,1673.0,2128.0,78.6,22117.0,8018.0,1083.0,1214.0,89.2,473.0,620.0,76.3,43.0,107.0,40.2,3.0,3.1,1.0,25.0,102.0,21.0,9.0,134.0,2128.0,1746.0,375.0,8.0,2.0,2.0,103,367.0,0.0,0.0,0.0,0.0,1673.0,7.0,76.0,51.0,1.5,45.0,1.0,4.0,1.0,0.0,0.0,8.0,0.23,7.0,0.0,1.0,0.0,0.0,0.0,129.0,80,71.0,50.0,8.0,64.0,86.0,74.4,22.0,46.0,13.0,33.0,66,195.0,83.0,0.0,2571.0,101.0,737.0,1113.0,745.0,41.0,2571.0,82.0,54.0,65.9,28.0,34.1,1245.0,6447.0,3535.0,100.0,67.0,21.0,34.0,44.0,1466.0,175.0,35,3070,88,89.8,34.1,34,89.0,32,1,45.0,1,1.77,63,33,30,0.88,0.88,56.9,33.2,23.7,0.7,0.5,0,21,19,1,103,80,0.0,1.0,0,179.0,24.0,34.0,41.4,29,Right-Back,11/26/1997,,England,Manchester United,1.83,right,7/1/2019,Crystal Palace,6/30/2024,40000000.0,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
4,40,6998,Aaron Wan-Bissaka_2021_Manchester Utd,0.7463987455164433,71.49,2021,Manchester Utd,Premier League,Aaron Wan-Bissaka,ENG,DF,22,1997,34,34,3060,34.0,2,4,6,2,0,0,3,0,0.9,0.9,2.3,3.2,89.0,145.0,176.0,0.06,0.12,0.18,0.06,0.18,0.03,0.07,0.09,0.03,0.09,https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka,34.0,2,7,4,57.1,0.21,0.12,0.29,0.5,15.2,0.0,0,0,0.14,1.1,1.1,1806.0,2148.0,84.1,24042.0,8317.0,1180.0,1282.0,92.0,516.0,618.0,83.5,43.0,90.0,47.8,2.3,2.1,1.7,31.0,93.0,32.0,13.0,145.0,2148.0,1855.0,288.0,11.0,0.0,2.0,60,277.0,0.0,0.0,0.0,0.0,1806.0,5.0,46.0,57.0,1.68,54.0,1.0,1.0,0.0,0.0,1.0,8.0,0.24,8.0,0.0,0.0,0.0,0.0,0.0,88.0,54,53.0,29.0,6.0,32.0,45.0,71.1,13.0,65.0,17.0,48.0,62,150.0,84.0,2.0,2547.0,116.0,807.0,1085.0,677.0,32.0,2547.0,60.0,34.0,56.7,25.0,41.7,1295.0,7567.0,3799.0,89.0,65.0,5.0,34.0,21.0,1551.0,176.0,34,3060,90,89.5,34.0,34,90.0,34,0,,3,2.06,67,36,31,0.91,1.41,54.9,37.2,17.7,0.52,0.29,0,31,14,1,60,54,0.0,0.0,0,182.0,38.0,37.0,50.7,29,Right-Back,11/26/1997,,England,Manchester United,1.83,right,7/1/2019,Crystal Palace,6/30/2024,25000000.0,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
5,41,9919,Aaron Wan-Bissaka_2022_Manchester Utd,-0.8288179616402184,31.730000000000004,2022,Manchester Utd,Premier League,Aaron Wan-Bissaka,ENG,DF,23,1997,20,20,1793,19.9,0,0,0,0,0,0,2,0,0.3,0.3,0.9,1.2,55.0,61.0,90.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka,19.9,0,5,1,20.0,0.25,0.05,0.0,0.0,14.1,0.0,0,0,0.07,-0.3,-0.3,925.0,1141.0,81.1,12449.0,4048.0,598.0,657.0,91.0,255.0,307.0,83.1,36.0,67.0,53.7,0.9,0.9,-0.9,14.0,52.0,12.0,8.0,61.0,1141.0,968.0,171.0,4.0,0.0,6.0,35,167.0,0.0,0.0,0.0,0.0,925.0,2.0,45.0,35.0,1.76,29.0,0.0,3.0,1.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,49.0,36,25.0,18.0,6.0,14.0,20.0,70.0,6.0,24.0,14.0,10.0,34,83.0,41.0,2.0,1365.0,75.0,454.0,565.0,366.0,28.0,1365.0,61.0,36.0,59.0,25.0,41.0,716.0,4088.0,2131.0,55.0,41.0,8.0,23.0,13.0,815.0,90.0,20,1793,90,52.4,19.9,20,90.0,19,0,,10,1.25,29,35,-6,-0.3,-0.63,28.5,30.7,-2.1,-0.11,-0.38,0,15,13,1,35,36,0.0,1.0,0,126.0,19.0,32.0,37.3,29,Right-Back,11/26/1997,,England,Manchester United,1.83,right,7/1/2019,Crystal Palace,6/30/2024,25000000.0,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
6,42,12780,Aaron Wan-Bissaka_2023_Manchester Utd,0.26617052697692156,61.11,2023,Manchester Utd,Premier League,Aaron Wan-Bissaka,ENG,DF,24,1997,19,16,1435,15.9,0,0,0,0,0,0,2,0,1.2,1.2,1.0,2.2,41.0,55.0,64.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.14,0.07,0.14,https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka,15.9,0,10,2,20.0,0.63,0.13,0.0,0.0,14.7,0.0,0,0,0.12,-1.2,-1.2,706.0,840.0,84.0,9538.0,3292.0,448.0,483.0,92.8,194.0,240.0,80.8,28.0,44.0,63.6,1.0,0.9,-1.0,15.0,48.0,10.0,2.0,55.0,840.0,715.0,123.0,4.0,2.0,2.0,14,119.0,0.0,0.0,0.0,0.0,706.0,2.0,22.0,30.0,1.88,29.0,0.0,0.0,1.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,40.0,25,20.0,17.0,3.0,23.0,25.0,92.0,2.0,24.0,8.0,16.0,22,62.0,41.0,0.0,1026.0,75.0,346.0,400.0,286.0,44.0,1026.0,35.0,17.0,48.6,18.0,51.4,524.0,2614.0,1370.0,41.0,24.0,4.0,14.0,10.0,600.0,64.0,19,1435,76,42.0,15.9,16,87.0,12,3,15.0,7,2.21,28,10,18,1.13,1.26,35.0,19.3,15.7,0.98,0.91,0,11,2,0,14,25,0.0,0.0,0,73.0,13.0,17.0,43.3,29,Right-Back,11/26/1997,,England,,1.83,right,7/1/2019,Crystal Palace,6/30/2024,25000000.0,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
7,73,55,Abdoulaye Bamba_2019_Angers,-0.9410253900449952,28.07,2019,Angers,Ligue 1,Abdoulaye Bamba,CIV,DF,28,1990,30,29,2573,28.6,0,4,4,0,0,0,6,0,0.2,0.2,1.9,2.1,60.0,90.0,79.0,0.0,0.14,0.14,0.0,0.14,0.01,0.07,0.07,0.01,0.07,https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba,28.6,0,7,0,0.0,0.24,0.0,0.0,,25.0,0.0,0,0,0.03,-0.2,-0.2,968.0,1281.0,75.6,14158.0,6172.0,567.0,625.0,90.7,331.0,459.0,72.1,38.0,119.0,31.9,1.9,1.3,2.1,16.0,66.0,17.0,11.0,90.0,1281.0,971.0,308.0,14.0,1.0,1.0,70,294.0,0.0,0.0,0.0,0.0,968.0,2.0,36.0,31.0,1.08,27.0,3.0,0.0,0.0,0.0,1.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,51.0,29,31.0,14.0,6.0,24.0,44.0,54.5,20.0,20.0,4.0,16.0,37,88.0,86.0,0.0,1540.0,58.0,480.0,759.0,312.0,17.0,1540.0,26.0,15.0,57.7,11.0,42.3,647.0,3223.0,2009.0,60.0,41.0,9.0,21.0,14.0,746.0,79.0,30,2573,86,75.2,28.6,29,89.0,27,1,1.0,4,1.33,36,33,3,0.1,0.95,37.7,36.8,0.9,0.03,-0.17,0,21,22,2,70,29,0.0,0.0,0,139.0,22.0,28.0,44.0,25,Right-Back,4/25/1990,,Cote d'Ivoire,Angers SCO,1.82,right,1/1/2017,Without Club,6/30/2025,2000000.0,https://www.transfermarkt.com/abdoulaye-bamba/profil/spieler/62351
8,74,2718,Abdoulaye Bamba_2020_Angers,-1.252303039963222,20.61,2020,Angers,Ligue 1,Abdoulaye Bamba,CIV,DF,29,1990,7,6,554,6.2,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,9.0,15.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba,6.2,0,1,0,0.0,0.16,0.0,0.0,,25.2,0.0,0,0,0.03,0.0,0.0,204.0,277.0,73.6,3252.0,1620.0,107.0,119.0,89.9,75.0,95.0,78.9,16.0,47.0,34.0,0.2,0.3,-0.2,3.0,12.0,2.0,2.0,15.0,277.0,219.0,58.0,3.0,0.0,1.0,15,55.0,0.0,0.0,0.0,0.0,204.0,0.0,5.0,6.0,0.97,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7,7.0,1.0,2.0,8.0,15.0,53.3,7.0,4.0,1.0,3.0,4,14.0,18.0,0.0,321.0,8.0,112.0,147.0,64.0,3.0,321.0,3.0,1.0,33.3,2.0,66.7,106.0,479.0,258.0,9.0,4.0,1.0,3.0,3.0,177.0,23.0,7,554,79,22.0,6.2,6,90.0,6,1,13.0,7,2.14,9,3,6,0.97,1.48,6.0,5.5,0.5,0.08,0.06,0,4,2,0,15,7,0.0,0.0,0,32.0,3.0,8.0,27.3,25,Right-Back,4/25/1990,,Cote d'Ivoire,Angers SCO,1.82,right,1/1/2017,Without Club,6/30/2025,1200000.0,https://www.transfermarkt.com/abdoulaye-bamba/profil/spieler/62351
9,75,5423,Abdoulaye Bamba_2021_Angers,-1.8312259724536324,9.8,2021,Angers,Ligue 1,Abdoulaye Bamba,CIV,DF,30,1990,16,16,1347,15.0,0,0,0,0,0,0,2,0,0.1,0.1,1.4,1.4,19.0,53.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.0,0.1,https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba,15.0,0,1,1,100.0,0.07,0.07,0.0,0.0,15.8,0.0,0,0,0.05,-0.1,-0.1,650.0,875.0,74.3,10169.0,4909.0,358.0,398.0,89.9,223.0,298.0,74.8,46.0,118.0,39.0,1.4,1.4,-1.4,8.0,47.0,11.0,5.0,53.0,875.0,680.0,194.0,16.0,1.0,2.0,48,178.0,0.0,0.0,0.0,0.0,650.0,1.0,23.0,21.0,1.4,17.0,2.0,1.0,0.0,0.0,1.0,1.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0,27.0,17,19.0,7.0,1.0,19.0,28.0,67.9,9.0,7.0,1.0,6.0,19,46.0,34.0,0.0,993.0,36.0,315.0,495.0,189.0,5.0,993.0,9.0,4.0,44.4,5.0,55.6,479.0,1855.0,818.0,19.0,13.0,2.0,13.0,3.0,553.0,60.0,16,1347,84,39.4,15.0,16,84.0,13,0,,15,1.25,15,25,-10,-0.67,-0.32,16.4,20.0,-3.6,-0.24,0.07,0,14,6,0,48,17,0.0,1.0,0,82.0,10.0,9.0,52.6,25,Right-Back,4/25/1990,,Cote d'Ivoire,Angers SCO,1.82,right,1/1/2017,Without Club,6/30/2025,1200000.0,https://www.transfermarkt.com/abdoulaye-bamba/profil/spieler/62351
