,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,13,11608,Aaron Hickey_2023_Brentford,-0.39198840942446606,48.449999999999996,2023,Brentford,Premier League,Aaron Hickey,SCO,DF,20,2002,26,23,1916,21.3,0,1,1,0,0,0,7,0,0.4,0.4,0.4,0.8,41.0,81.0,47.0,0.0,0.05,0.05,0.0,0.05,0.02,0.02,0.04,0.02,0.04,https://fbref.com/en/players/1780bb4a/Aaron-Hickey,21.3,0,11,2,18.2,0.52,0.09,0.0,0.0,21.5,0.0,0,0,0.04,-0.4,-0.4,695.0,838.0,82.9,10995.0,3282.0,373.0,411.0,90.8,265.0,310.0,85.5,46.0,80.0,57.5,0.4,0.6,0.6,6.0,62.0,13.0,4.0,81.0,838.0,743.0,93.0,11.0,2.0,1.0,27,82.0,0.0,0.0,0.0,0.0,695.0,2.0,17.0,20.0,0.94,14.0,1.0,1.0,2.0,2.0,0.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0,38.0,26,27.0,11.0,0.0,18.0,32.0,56.3,14.0,18.0,7.0,11.0,17,55.0,32.0,1.0,1028.0,47.0,328.0,499.0,211.0,21.0,1028.0,45.0,17.0,37.8,18.0,40.0,616.0,3295.0,1802.0,41.0,17.0,3.0,16.0,13.0,624.0,47.0,26,1916,74,56.0,21.3,23,81.0,8,3,16.0,2,1.46,33,30,3,0.14,-0.4,32.5,27.3,5.1,0.24,0.14,0,20,35,1,27,26,0.0,1.0,0,111.0,14.0,22.0,38.9,2,Right-Back,6/10/2002,,Scotland,,1.85,both,7/9/2022,Bologna FC 1909,6/30/2026,25000000.0,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949
1,39,4191,Aaron Wan-Bissaka_2020_Manchester Utd,0.472098826219086,66.46,2020,Manchester Utd,Premier League,Aaron Wan-Bissaka,ENG,DF,21,1997,35,34,3070,34.1,0,4,4,0,0,0,8,0,0.7,0.7,3.0,3.7,100.0,134.0,175.0,0.0,0.12,0.12,0.0,0.12,0.02,0.09,0.11,0.02,0.11,https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka,34.1,0,7,1,14.3,0.21,0.03,0.0,0.0,15.5,0.0,0,0,0.1,-0.7,-0.7,1673.0,2128.0,78.6,22117.0,8018.0,1083.0,1214.0,89.2,473.0,620.0,76.3,43.0,107.0,40.2,3.0,3.1,1.0,25.0,102.0,21.0,9.0,134.0,2128.0,1746.0,375.0,8.0,2.0,2.0,103,367.0,0.0,0.0,0.0,0.0,1673.0,7.0,76.0,51.0,1.5,45.0,1.0,4.0,1.0,0.0,0.0,8.0,0.23,7.0,0.0,1.0,0.0,0.0,0.0,129.0,80,71.0,50.0,8.0,64.0,86.0,74.4,22.0,46.0,13.0,33.0,66,195.0,83.0,0.0,2571.0,101.0,737.0,1113.0,745.0,41.0,2571.0,82.0,54.0,65.9,28.0,34.1,1245.0,6447.0,3535.0,100.0,67.0,21.0,34.0,44.0,1466.0,175.0,35,3070,88,89.8,34.1,34,89.0,32,1,45.0,1,1.77,63,33,30,0.88,0.88,56.9,33.2,23.7,0.7,0.5,0,21,19,1,103,80,0.0,1.0,0,179.0,24.0,34.0,41.4,29,Right-Back,11/26/1997,,England,Manchester United,1.83,right,7/1/2019,Crystal Palace,6/30/2024,40000000.0,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
2,40,6998,Aaron Wan-Bissaka_2021_Manchester Utd,0.9904598389984709,76.4,2021,Manchester Utd,Premier League,Aaron Wan-Bissaka,ENG,DF,22,1997,34,34,3060,34.0,2,4,6,2,0,0,3,0,0.9,0.9,2.3,3.2,89.0,145.0,176.0,0.06,0.12,0.18,0.06,0.18,0.03,0.07,0.09,0.03,0.09,https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka,34.0,2,7,4,57.1,0.21,0.12,0.29,0.5,15.2,0.0,0,0,0.14,1.1,1.1,1806.0,2148.0,84.1,24042.0,8317.0,1180.0,1282.0,92.0,516.0,618.0,83.5,43.0,90.0,47.8,2.3,2.1,1.7,31.0,93.0,32.0,13.0,145.0,2148.0,1855.0,288.0,11.0,0.0,2.0,60,277.0,0.0,0.0,0.0,0.0,1806.0,5.0,46.0,57.0,1.68,54.0,1.0,1.0,0.0,0.0,1.0,8.0,0.24,8.0,0.0,0.0,0.0,0.0,0.0,88.0,54,53.0,29.0,6.0,32.0,45.0,71.1,13.0,65.0,17.0,48.0,62,150.0,84.0,2.0,2547.0,116.0,807.0,1085.0,677.0,32.0,2547.0,60.0,34.0,56.7,25.0,41.7,1295.0,7567.0,3799.0,89.0,65.0,5.0,34.0,21.0,1551.0,176.0,34,3060,90,89.5,34.0,34,90.0,34,0,,3,2.06,67,36,31,0.91,1.41,54.9,37.2,17.7,0.52,0.29,0,31,14,1,60,54,0.0,0.0,0,182.0,38.0,37.0,50.7,29,Right-Back,11/26/1997,,England,Manchester United,1.83,right,7/1/2019,Crystal Palace,6/30/2024,25000000.0,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
3,41,9919,Aaron Wan-Bissaka_2022_Manchester Utd,-0.47030879428165967,45.34,2022,Manchester Utd,Premier League,Aaron Wan-Bissaka,ENG,DF,23,1997,20,20,1793,19.9,0,0,0,0,0,0,2,0,0.3,0.3,0.9,1.2,55.0,61.0,90.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka,19.9,0,5,1,20.0,0.25,0.05,0.0,0.0,14.1,0.0,0,0,0.07,-0.3,-0.3,925.0,1141.0,81.1,12449.0,4048.0,598.0,657.0,91.0,255.0,307.0,83.1,36.0,67.0,53.7,0.9,0.9,-0.9,14.0,52.0,12.0,8.0,61.0,1141.0,968.0,171.0,4.0,0.0,6.0,35,167.0,0.0,0.0,0.0,0.0,925.0,2.0,45.0,35.0,1.76,29.0,0.0,3.0,1.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,49.0,36,25.0,18.0,6.0,14.0,20.0,70.0,6.0,24.0,14.0,10.0,34,83.0,41.0,2.0,1365.0,75.0,454.0,565.0,366.0,28.0,1365.0,61.0,36.0,59.0,25.0,41.0,716.0,4088.0,2131.0,55.0,41.0,8.0,23.0,13.0,815.0,90.0,20,1793,90,52.4,19.9,20,90.0,19,0,,10,1.25,29,35,-6,-0.3,-0.63,28.5,30.7,-2.1,-0.11,-0.38,0,15,13,1,35,36,0.0,1.0,0,126.0,19.0,32.0,37.3,29,Right-Back,11/26/1997,,England,Manchester United,1.83,right,7/1/2019,Crystal Palace,6/30/2024,25000000.0,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
4,42,12780,Aaron Wan-Bissaka_2023_Manchester Utd,0.6158026107735575,69.57,2023,Manchester Utd,Premier League,Aaron Wan-Bissaka,ENG,DF,24,1997,19,16,1435,15.9,0,0,0,0,0,0,2,0,1.2,1.2,1.0,2.2,41.0,55.0,64.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.14,0.07,0.14,https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka,15.9,0,10,2,20.0,0.63,0.13,0.0,0.0,14.7,0.0,0,0,0.12,-1.2,-1.2,706.0,840.0,84.0,9538.0,3292.0,448.0,483.0,92.8,194.0,240.0,80.8,28.0,44.0,63.6,1.0,0.9,-1.0,15.0,48.0,10.0,2.0,55.0,840.0,715.0,123.0,4.0,2.0,2.0,14,119.0,0.0,0.0,0.0,0.0,706.0,2.0,22.0,30.0,1.88,29.0,0.0,0.0,1.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,40.0,25,20.0,17.0,3.0,23.0,25.0,92.0,2.0,24.0,8.0,16.0,22,62.0,41.0,0.0,1026.0,75.0,346.0,400.0,286.0,44.0,1026.0,35.0,17.0,48.6,18.0,51.4,524.0,2614.0,1370.0,41.0,24.0,4.0,14.0,10.0,600.0,64.0,19,1435,76,42.0,15.9,16,87.0,12,3,15.0,7,2.21,28,10,18,1.13,1.26,35.0,19.3,15.7,0.98,0.91,0,11,2,0,14,25,0.0,0.0,0,73.0,13.0,17.0,43.3,29,Right-Back,11/26/1997,,England,,1.83,right,7/1/2019,Crystal Palace,6/30/2024,25000000.0,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
5,146,379,Adam Smith_2019_Bournemouth,-0.13056695154967773,52.800000000000004,2019,Bournemouth,Premier League,Adam Smith,ENG,"DF,MF",27,1991,25,25,2066,23.0,1,1,2,1,0,0,5,1,0.5,0.5,0.6,1.1,87.0,98.0,80.0,0.04,0.04,0.09,0.04,0.09,0.02,0.02,0.05,0.02,0.05,https://fbref.com/en/players/20b104bc/Adam-Smith,23.0,1,7,1,14.3,0.3,0.04,0.14,1.0,21.6,0.0,0,0,0.07,0.5,0.5,863.0,1074.0,80.4,12408.0,4620.0,552.0,627.0,88.0,263.0,327.0,80.4,32.0,72.0,44.4,0.6,0.8,0.4,11.0,70.0,15.0,3.0,98.0,1074.0,867.0,205.0,21.0,0.0,0.0,22,178.0,6.0,0.0,0.0,0.0,863.0,2.0,27.0,44.0,1.92,30.0,5.0,2.0,0.0,7.0,0.0,4.0,0.17,3.0,1.0,0.0,0.0,0.0,0.0,46.0,32,26.0,14.0,6.0,19.0,41.0,46.3,22.0,26.0,7.0,19.0,31,77.0,68.0,1.0,1360.0,80.0,422.0,601.0,364.0,27.0,1360.0,48.0,20.0,41.7,28.0,58.3,760.0,5460.0,3105.0,87.0,69.0,8.0,25.0,10.0,736.0,80.0,25,2066,83,60.4,23.0,25,83.0,18,0,,0,1.44,37,32,5,0.22,1.48,34.6,30.9,3.6,0.16,0.66,0,18,43,0,22,32,0.0,1.0,0,106.0,28.0,30.0,48.3,15,Right-Back,4/29/1991,,England,AFC Bournemouth,1.74,right,1/28/2014,Tottenham Hotspur,6/30/2024,7000000.0,https://www.transfermarkt.com/adam-smith/profil/spieler/61841
6,147,3071,Adam Smith_2020_Bournemouth,-1.3940797760773476,20.5,2020,Bournemouth,Premier League,Adam Smith,ENG,DF,28,1991,24,24,2055,22.8,0,1,1,0,0,0,7,0,0.8,0.8,1.1,1.8,75.0,93.0,69.0,0.0,0.04,0.04,0.0,0.04,0.03,0.05,0.08,0.03,0.08,https://fbref.com/en/players/20b104bc/Adam-Smith,22.8,0,4,1,25.0,0.18,0.04,0.0,0.0,19.5,0.0,0,0,0.19,-0.8,-0.8,827.0,1044.0,79.2,11632.0,4435.0,522.0,574.0,90.9,247.0,310.0,79.7,36.0,93.0,38.7,1.1,0.6,-0.1,10.0,60.0,7.0,3.0,93.0,1044.0,847.0,195.0,21.0,0.0,2.0,28,173.0,1.0,0.0,0.0,0.0,827.0,2.0,32.0,31.0,1.36,28.0,0.0,1.0,0.0,2.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,47.0,32,29.0,16.0,2.0,23.0,50.0,46.0,27.0,27.0,6.0,21.0,25,72.0,64.0,1.0,1321.0,69.0,395.0,610.0,329.0,23.0,1321.0,51.0,24.0,47.1,27.0,52.9,732.0,4669.0,2653.0,75.0,52.0,6.0,27.0,14.0,728.0,69.0,24,2055,86,60.1,22.8,24,86.0,19,0,,0,0.83,23,40,-17,-0.74,-0.22,27.6,36.7,-9.1,-0.4,0.15,0,25,40,2,28,32,0.0,2.0,0,92.0,34.0,28.0,54.8,,Right-Back,,,,,,,,,,7000000.0,
7,148,11589,Adam Smith_2023_Bournemouth,-1.8207164662648987,10.56,2023,Bournemouth,Premier League,Adam Smith,ENG,DF,31,1991,37,34,2943,32.7,0,1,1,0,0,0,11,0,0.5,0.5,1.3,1.8,28.0,83.0,54.0,0.0,0.03,0.03,0.0,0.03,0.02,0.04,0.05,0.02,0.05,https://fbref.com/en/players/20b104bc/Adam-Smith,32.7,0,5,1,20.0,0.15,0.03,0.0,0.0,16.2,0.0,0,0,0.1,-0.5,-0.5,953.0,1264.0,75.4,16233.0,6898.0,450.0,513.0,87.7,398.0,501.0,79.4,88.0,194.0,45.4,1.3,1.5,-0.3,16.0,70.0,28.0,19.0,83.0,1264.0,987.0,276.0,22.0,0.0,2.0,48,254.0,0.0,0.0,0.0,0.0,953.0,1.0,29.0,29.0,0.89,25.0,1.0,0.0,2.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,49.0,29,27.0,19.0,3.0,29.0,60.0,48.3,31.0,30.0,13.0,17.0,25,74.0,81.0,1.0,1527.0,112.0,602.0,650.0,296.0,17.0,1527.0,30.0,6.0,20.0,17.0,56.7,647.0,2762.0,1368.0,28.0,21.0,3.0,21.0,4.0,771.0,54.0,37,2943,80,86.1,32.7,34,84.0,25,3,29.0,0,1.05,34,58,-24,-0.73,1.15,33.5,53.2,-19.8,-0.6,0.44,0,29,27,0,48,29,0.0,1.0,0,128.0,29.0,38.0,43.3,15,Right-Back,4/29/1991,,England,,1.74,right,1/28/2014,Tottenham Hotspur,6/30/2024,1200000.0,https://www.transfermarkt.com/adam-smith/profil/spieler/61841
8,268,2773,Ahmed Elmohamady_2020_Aston Villa,-0.07625626645769545,54.66,2020,Aston Villa,Premier League,Ahmed Elmohamady,EGY,DF,31,1987,18,11,1031,11.5,1,1,2,1,0,0,1,0,0.2,0.2,2.8,3.0,39.0,47.0,37.0,0.09,0.09,0.17,0.09,0.17,0.02,0.24,0.26,0.02,0.26,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,11.5,1,5,1,20.0,0.44,0.09,0.2,1.0,11.1,0.0,0,0,0.05,0.8,0.8,496.0,657.0,75.5,8552.0,3169.0,246.0,268.0,91.8,182.0,251.0,72.5,57.0,104.0,54.8,2.8,2.1,-1.8,22.0,44.0,25.0,18.0,47.0,657.0,550.0,104.0,6.0,0.0,2.0,58,98.0,0.0,0.0,0.0,0.0,496.0,3.0,13.0,36.0,3.14,33.0,3.0,0.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,19.0,9,10.0,7.0,2.0,10.0,21.0,47.6,11.0,11.0,5.0,6.0,13,32.0,25.0,1.0,753.0,49.0,211.0,331.0,216.0,14.0,753.0,11.0,7.0,63.6,4.0,36.4,386.0,1970.0,1263.0,39.0,30.0,4.0,9.0,2.0,438.0,37.0,18,1031,57,30.1,11.5,11,81.0,9,7,19.0,14,0.89,11,28,-17,-1.48,-1.14,12.4,24.5,-12.1,-1.06,-0.63,0,13,5,2,58,9,0.0,0.0,0,73.0,29.0,21.0,58.0,-,Right-Back,9/9/1987,,Egypt,,1.82,right,7/19/2017,Hull City,,1500000.0,https://www.transfermarkt.com/ahmed-elmohamady/profil/spieler/66333
9,269,5508,Ahmed Elmohamady_2021_Aston Villa,0.42435842973887083,65.84,2021,Aston Villa,Premier League,Ahmed Elmohamady,EGY,DF,32,1987,14,8,839,9.3,0,0,0,0,0,0,2,0,0.4,0.4,1.0,1.4,10.0,45.0,36.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.15,0.05,0.15,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,9.3,0,9,1,11.1,0.97,0.11,0.0,0.0,11.9,0.0,0,0,0.05,-0.4,-0.4,468.0,618.0,75.7,8218.0,3180.0,216.0,241.0,89.6,197.0,255.0,77.3,50.0,97.0,51.5,1.0,1.2,-1.0,13.0,34.0,21.0,7.0,45.0,618.0,491.0,126.0,18.0,0.0,4.0,39,108.0,0.0,0.0,0.0,0.0,468.0,1.0,6.0,27.0,2.9,22.0,2.0,0.0,1.0,0.0,2.0,1.0,0.11,0.0,1.0,0.0,0.0,0.0,0.0,17.0,13,12.0,4.0,1.0,9.0,14.0,64.3,5.0,6.0,3.0,3.0,17,34.0,26.0,0.0,693.0,36.0,228.0,273.0,195.0,14.0,693.0,3.0,2.0,66.7,1.0,33.3,314.0,1108.0,567.0,10.0,6.0,1.0,5.0,3.0,374.0,36.0,14,839,60,24.5,9.3,8,90.0,8,6,20.0,24,1.07,9,9,0,0.0,-0.31,14.7,11.9,2.7,0.29,0.34,0,6,3,0,39,13,0.0,0.0,0,63.0,18.0,9.0,66.7,,Right-Back,,,,,,,,,,1500000.0,
