,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,459,5181,Alessandro Florenzi_2020_Valencia,-1.2718103817270792,18.25,2020,Valencia,La Liga,Alessandro Florenzi,ITA,DF,28,1991,12,9,752,8.4,0,0,0,0,0,0,1,1,0.6,0.6,0.8,1.4,18.0,29.0,41.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.17,0.07,0.17,https://fbref.com/en/players/e288d4b3/Alessandro-Florenzi,8.4,0,8,1,12.5,0.96,0.12,0.0,0.0,17.5,0.0,0,0,0.08,-0.6,-0.6,350.0,469.0,74.6,6144.0,1934.0,172.0,191.0,90.1,119.0,155.0,76.8,47.0,88.0,53.4,0.8,1.2,-0.8,4.0,21.0,10.0,7.0,29.0,469.0,395.0,69.0,4.0,0.0,7.0,31,65.0,0.0,0.0,0.0,0.0,350.0,5.0,9.0,9.0,1.08,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9,9.0,4.0,0.0,8.0,18.0,44.4,10.0,11.0,1.0,10.0,14,27.0,21.0,0.0,554.0,34.0,197.0,236.0,122.0,17.0,554.0,9.0,7.0,77.8,2.0,22.2,286.0,1228.0,629.0,18.0,15.0,1.0,7.0,1.0,331.0,41.0,12,752,63,22.0,8.4,9,75.0,3,3,25.0,3,1.17,4,8,-4,-0.48,-0.38,6.1,9.7,-3.6,-0.44,-0.13,0,7,5,0,31,9,0.0,0.0,0,45.0,4.0,7.0,36.4,,Right-Back,,,,,,,,,,13000000.0,
1,704,3604,Allan Nyom_2020_Getafe,-2.7178441741225243,0.0,2020,Getafe,La Liga,Allan Nyom,CMR,"DF,MF",31,1988,34,31,2422,26.9,2,0,2,2,0,0,13,2,0.9,0.9,0.8,1.7,49.0,64.0,68.0,0.07,0.0,0.07,0.07,0.07,0.04,0.03,0.06,0.04,0.06,https://fbref.com/en/players/97572117/Allan-Nyom,26.9,2,13,4,30.8,0.48,0.15,0.15,0.5,15.3,0.0,0,0,0.07,1.1,1.1,572.0,950.0,60.2,9444.0,4314.0,320.0,397.0,80.6,185.0,314.0,58.9,56.0,181.0,30.9,0.8,1.0,-0.8,10.0,60.0,18.0,16.0,64.0,950.0,710.0,235.0,7.0,0.0,2.0,97,228.0,0.0,0.0,0.0,0.0,572.0,5.0,30.0,23.0,0.86,17.0,1.0,1.0,1.0,3.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,45.0,25,26.0,15.0,4.0,20.0,37.0,54.1,17.0,24.0,5.0,19.0,14,59.0,50.0,1.0,1180.0,52.0,314.0,528.0,349.0,23.0,1180.0,34.0,15.0,44.1,19.0,55.9,540.0,3030.0,1299.0,49.0,35.0,1.0,28.0,16.0,536.0,68.0,34,2422,71,70.8,26.9,31,76.0,13,3,18.0,0,1.44,28,28,0,0.0,-0.54,26.8,30.3,-3.5,-0.13,-0.46,0,63,23,3,97,25,0.0,0.0,0,125.0,36.0,29.0,55.4,-,Right-Back,5/10/1988,,Cameroon,CD LeganÃƒÂ©s,1.89,right,7/24/2019,West Bromwich Albion,6/30/2024,2000000.0,https://www.transfermarkt.com/allan-nyom/profil/spieler/111508
2,705,6373,Allan Nyom_2021_Getafe,-2.330002234700906,3.17,2021,Getafe,La Liga,Allan Nyom,CMR,"MF,DF",32,1988,31,28,2323,25.8,0,2,2,0,0,0,10,1,1.0,1.0,2.3,3.3,35.0,59.0,66.0,0.0,0.08,0.08,0.0,0.08,0.04,0.09,0.13,0.04,0.13,https://fbref.com/en/players/97572117/Allan-Nyom,25.8,0,10,2,20.0,0.39,0.08,0.0,0.0,14.0,0.0,0,0,0.1,-1.0,-1.0,577.0,903.0,63.9,9417.0,3925.0,301.0,385.0,78.2,208.0,295.0,70.5,52.0,157.0,33.1,2.3,1.6,-0.3,17.0,54.0,22.0,20.0,59.0,903.0,737.0,162.0,5.0,0.0,7.0,94,156.0,1.0,0.0,0.0,0.0,577.0,4.0,22.0,34.0,1.32,28.0,3.0,2.0,0.0,1.0,0.0,2.0,0.08,1.0,0.0,1.0,0.0,0.0,0.0,38.0,23,14.0,19.0,5.0,15.0,30.0,50.0,15.0,16.0,2.0,14.0,22,60.0,42.0,0.0,1124.0,41.0,238.0,537.0,360.0,35.0,1124.0,24.0,11.0,45.8,13.0,54.2,514.0,2539.0,1020.0,35.0,34.0,5.0,30.0,23.0,574.0,66.0,31,2323,75,67.9,25.8,28,81.0,15,3,14.0,3,1.16,17,27,-10,-0.39,0.02,20.7,26.6,-5.9,-0.23,-0.23,0,44,20,1,94,23,0.0,0.0,0,126.0,51.0,39.0,56.7,-,Right-Back,5/10/1988,,Cameroon,CD LeganÃƒÂ©s,1.89,right,7/24/2019,West Bromwich Albion,6/30/2024,1000000.0,https://www.transfermarkt.com/allan-nyom/profil/spieler/111508
3,766,1972,Alvaro Odriozola_2019_Real Madrid,3.2830763326176258,95.24000000000001,2019,Real Madrid,La Liga,ÃƒÂlvaro Odriozola,ESP,DF,22,1995,14,14,1178,13.1,0,2,2,0,0,0,2,0,0.5,0.5,3.2,3.6,52.0,38.0,136.0,0.0,0.15,0.15,0.0,0.15,0.03,0.24,0.28,0.03,0.28,https://fbref.com/en/players/1d1691ad/Alvaro-Odriozola,13.1,0,1,1,100.0,0.08,0.08,0.0,0.0,11.6,0.0,0,0,0.46,-0.5,-0.5,648.0,762.0,85.0,8974.0,2717.0,419.0,456.0,91.9,192.0,227.0,84.6,25.0,36.0,69.4,3.2,2.4,-1.2,17.0,25.0,14.0,7.0,38.0,762.0,639.0,122.0,8.0,0.0,2.0,53,114.0,0.0,0.0,0.0,0.0,648.0,1.0,23.0,35.0,2.67,27.0,0.0,2.0,0.0,6.0,0.0,5.0,0.38,3.0,0.0,0.0,0.0,2.0,0.0,28.0,25,13.0,11.0,4.0,14.0,18.0,77.8,4.0,11.0,1.0,10.0,11,39.0,17.0,1.0,879.0,30.0,203.0,357.0,326.0,48.0,879.0,28.0,7.0,25.0,21.0,75.0,545.0,3207.0,1415.0,52.0,25.0,15.0,15.0,10.0,580.0,136.0,14,1178,84,34.4,13.1,14,84.0,12,0,,6,1.93,24,15,9,0.69,0.37,25.7,17.5,8.2,0.63,0.17,0,15,19,5,53,25,2.0,1.0,0,61.0,1.0,14.0,6.7,16,Right-Back,12/14/1995,,Spain,Real Madrid,1.76,right,7/5/2018,Real Sociedad,6/30/2024,16000000.0,https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730
4,769,7434,Alvaro Odriozola_2021_Real Madrid,0.9807477514721132,79.36999999999999,2021,Real Madrid,La Liga,ÃƒÂlvaro Odriozola,ESP,DF,24,1995,13,9,829,9.2,2,0,2,2,0,0,0,0,0.6,0.6,0.6,1.1,30.0,14.0,64.0,0.22,0.0,0.22,0.22,0.22,0.06,0.06,0.12,0.06,0.12,https://fbref.com/en/players/1d1691ad/Alvaro-Odriozola,9.2,2,3,2,66.7,0.33,0.22,0.67,1.0,11.0,0.0,0,0,0.19,1.4,1.4,398.0,466.0,85.4,5784.0,1414.0,226.0,240.0,94.2,138.0,166.0,83.1,19.0,32.0,59.4,0.6,1.1,-0.6,8.0,13.0,12.0,8.0,14.0,466.0,386.0,80.0,4.0,0.0,2.0,39,76.0,0.0,0.0,0.0,0.0,398.0,0.0,9.0,17.0,1.84,15.0,0.0,0.0,0.0,2.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7,5.0,8.0,1.0,3.0,5.0,60.0,2.0,6.0,3.0,3.0,6,20.0,12.0,1.0,549.0,19.0,134.0,224.0,195.0,27.0,549.0,18.0,8.0,44.4,10.0,55.6,303.0,1928.0,906.0,30.0,14.0,8.0,12.0,5.0,359.0,64.0,13,829,64,24.2,9.2,9,78.0,5,4,33.0,13,2.31,12,8,4,0.43,-0.78,13.5,11.0,2.5,0.27,-0.48,0,5,5,1,39,7,0.0,0.0,0,36.0,2.0,8.0,20.0,16,Right-Back,12/14/1995,,Spain,Real Madrid,1.76,right,7/5/2018,Real Sociedad,6/30/2024,12000000.0,https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730
5,773,3405,Alvaro Tejero_2020_Eibar,-0.4379202486858795,44.440000000000005,2020,Eibar,La Liga,ÃƒÂlvaro Tejero,ESP,DF,23,1996,18,16,1447,16.1,0,0,0,0,0,0,4,0,0.2,0.2,1.0,1.2,27.0,71.0,45.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,https://fbref.com/en/players/868ce848/Alvaro-Tejero,16.1,0,6,1,16.7,0.37,0.06,0.0,0.0,25.0,0.0,0,0,0.03,-0.2,-0.2,563.0,791.0,71.2,10039.0,4545.0,261.0,300.0,87.0,219.0,296.0,74.0,70.0,158.0,44.3,1.0,1.3,-1.0,17.0,52.0,25.0,18.0,71.0,791.0,600.0,190.0,13.0,0.0,4.0,75,177.0,0.0,0.0,0.0,0.0,563.0,1.0,18.0,36.0,2.24,25.0,7.0,1.0,0.0,2.0,1.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,30.0,18,17.0,10.0,3.0,14.0,23.0,60.9,9.0,17.0,4.0,13.0,28,58.0,38.0,0.0,950.0,43.0,251.0,467.0,242.0,6.0,950.0,14.0,6.0,42.9,8.0,57.1,435.0,2242.0,1025.0,27.0,32.0,0.0,17.0,1.0,434.0,45.0,18,1447,80,42.3,16.1,16,85.0,13,2,45.0,14,1.17,17,19,-2,-0.12,0.56,18.7,24.8,-6.0,-0.38,-0.15,0,23,18,1,75,18,0.0,0.0,0,91.0,19.0,27.0,41.3,15,Right-Back,7/20/1996,,Spain,SD Eibar,1.74,both,7/1/2019,Real Madrid Castilla,6/30/2024,1000000.0,https://www.transfermarkt.com/alvaro-tejero/profil/spieler/290273
6,850,135,Ander Capa_2019_Athletic Club,-0.45654907973137787,42.86,2019,Athletic Club,La Liga,Ander Capa,ESP,"DF,FW",26,1992,25,17,1642,18.2,0,0,0,0,0,0,9,0,0.5,0.5,1.0,1.5,70.0,70.0,107.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.08,0.03,0.08,https://fbref.com/en/players/37f1cf47/Ander-Capa,18.2,0,9,2,22.2,0.49,0.11,0.0,0.0,16.3,0.0,0,0,0.05,-0.5,-0.5,670.0,930.0,72.0,10178.0,4018.0,368.0,420.0,87.6,231.0,323.0,71.5,44.0,103.0,42.7,1.0,1.2,-1.0,12.0,48.0,23.0,6.0,70.0,930.0,728.0,198.0,7.0,0.0,2.0,50,191.0,0.0,0.0,0.0,0.0,670.0,4.0,37.0,40.0,2.19,30.0,4.0,2.0,1.0,3.0,0.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0,43.0,27,32.0,8.0,3.0,13.0,27.0,48.1,14.0,20.0,2.0,18.0,30,73.0,47.0,0.0,1134.0,38.0,275.0,487.0,386.0,32.0,1134.0,47.0,20.0,42.6,27.0,57.4,522.0,3824.0,2260.0,70.0,61.0,11.0,21.0,20.0,582.0,107.0,25,1642,66,48.0,18.2,17,87.0,15,8,19.0,4,1.52,19,19,0,0.0,0.2,20.7,20.6,0.2,0.01,0.13,0,44,16,8,50,27,0.0,0.0,0,78.0,28.0,15.0,65.1,-,Right-Back,2/8/1992,,Spain,Without Club,1.75,right,7/1/2018,SD Eibar,,6000000.0,https://www.transfermarkt.com/ander-capa/profil/spieler/197545
7,851,2832,Ander Capa_2020_Athletic Club,-0.3581812797142572,49.21,2020,Athletic Club,La Liga,Ander Capa,ESP,DF,27,1992,35,32,2872,31.9,3,4,7,3,0,0,10,0,1.2,1.2,2.9,4.1,92.0,107.0,180.0,0.09,0.13,0.22,0.09,0.22,0.04,0.09,0.13,0.04,0.13,https://fbref.com/en/players/37f1cf47/Ander-Capa,31.9,3,16,7,43.8,0.5,0.22,0.19,0.43,18.7,0.0,0,0,0.07,1.8,1.8,1165.0,1616.0,72.1,17005.0,6933.0,677.0,794.0,85.3,387.0,538.0,71.9,54.0,151.0,35.8,2.9,2.8,1.1,23.0,71.0,27.0,13.0,107.0,1616.0,1230.0,383.0,14.0,0.0,3.0,100,367.0,2.0,0.0,0.0,0.0,1165.0,3.0,47.0,63.0,1.97,47.0,9.0,4.0,1.0,2.0,0.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,64.0,36,37.0,21.0,6.0,24.0,59.0,40.7,35.0,26.0,7.0,19.0,28,92.0,63.0,0.0,1934.0,80.0,487.0,841.0,625.0,42.0,1934.0,84.0,56.0,66.7,28.0,33.3,876.0,5615.0,3427.0,92.0,69.0,12.0,40.0,22.0,979.0,180.0,35,2872,82,84.0,31.9,32,88.0,26,3,22.0,0,1.26,35,32,3,0.09,0.09,37.8,38.5,-0.7,-0.02,1.07,0,46,15,6,100,36,0.0,0.0,0,138.0,42.0,24.0,63.6,-,Right-Back,2/8/1992,,Spain,Without Club,1.75,right,7/1/2018,SD Eibar,,6000000.0,https://www.transfermarkt.com/ander-capa/profil/spieler/197545
8,852,5562,Ander Capa_2021_Athletic Club,-0.14428388676983467,54.76,2021,Athletic Club,La Liga,Ander Capa,ESP,DF,28,1992,28,25,2131,23.7,2,1,3,2,0,0,5,0,1.1,1.1,1.1,2.3,66.0,80.0,100.0,0.08,0.04,0.13,0.08,0.13,0.05,0.05,0.1,0.05,0.1,https://fbref.com/en/players/37f1cf47/Ander-Capa,23.7,2,12,6,50.0,0.51,0.25,0.17,0.33,14.2,0.0,0,0,0.1,0.9,0.9,900.0,1199.0,75.1,13915.0,4957.0,466.0,537.0,86.8,354.0,447.0,79.2,54.0,127.0,42.5,1.1,1.6,-0.1,16.0,55.0,14.0,5.0,80.0,1199.0,887.0,308.0,28.0,0.0,2.0,60,280.0,0.0,0.0,0.0,0.0,900.0,4.0,39.0,45.0,1.9,37.0,2.0,3.0,2.0,0.0,1.0,3.0,0.13,2.0,0.0,0.0,1.0,0.0,0.0,37.0,18,22.0,13.0,2.0,18.0,37.0,48.6,19.0,21.0,8.0,13.0,25,62.0,57.0,0.0,1426.0,67.0,370.0,677.0,394.0,31.0,1426.0,55.0,29.0,52.7,26.0,47.3,628.0,4225.0,2714.0,66.0,53.0,2.0,23.0,15.0,717.0,100.0,28,2131,76,62.3,23.7,25,82.0,15,3,23.0,2,1.25,33,27,6,0.25,0.39,26.6,25.2,1.4,0.06,-0.22,0,26,9,1,60,18,0.0,1.0,0,119.0,21.0,22.0,48.8,-,Right-Back,2/8/1992,,Spain,Without Club,1.75,right,7/1/2018,SD Eibar,,2500000.0,https://www.transfermarkt.com/ander-capa/profil/spieler/197545
9,875,1985,Andoni Gorosabel_2019_Real Sociedad,-1.718156560930581,9.520000000000001,2019,Real Sociedad,La Liga,Andoni Gorosabel,ESP,DF,21,1996,7,6,455,5.1,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,6.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,https://fbref.com/en/players/6f5f82c0/Andoni-Gorosabel,5.1,0,2,0,0.0,0.4,0.0,0.0,,21.4,0.0,0,0,0.04,-0.1,-0.1,225.0,279.0,80.6,3260.0,1129.0,133.0,146.0,91.1,74.0,92.0,80.4,10.0,17.0,58.8,0.5,0.3,-0.5,4.0,8.0,5.0,2.0,18.0,279.0,216.0,63.0,3.0,0.0,0.0,9,60.0,0.0,0.0,0.0,0.0,225.0,0.0,11.0,5.0,0.99,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9,10.0,5.0,1.0,8.0,13.0,61.5,5.0,5.0,1.0,4.0,4,20.0,20.0,1.0,347.0,19.0,107.0,163.0,81.0,3.0,347.0,7.0,1.0,14.3,6.0,85.7,143.0,790.0,368.0,6.0,12.0,0.0,12.0,4.0,190.0,25.0,7,455,65,13.3,5.1,6,75.0,4,1,4.0,6,1.43,3,6,-3,-0.59,-0.65,5.1,5.6,-0.4,-0.09,-0.14,0,5,5,0,9,9,0.0,0.0,0,23.0,6.0,8.0,42.9,18,Right-Back,8/4/1996,,Spain,Real Sociedad,1.74,right,7/1/2018,Real Sociedad B,6/30/2024,1600000.0,https://www.transfermarkt.com/andoni-gorosabel/profil/spieler/289255
