,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,73,55,Abdoulaye Bamba_2019_Angers,-1.1119670409721818,24.43,2019,Angers,Ligue 1,Abdoulaye Bamba,CIV,DF,28,1990,30,29,2573,28.6,0,4,4,0,0,0,6,0,0.2,0.2,1.9,2.1,60.0,90.0,79.0,0.0,0.14,0.14,0.0,0.14,0.01,0.07,0.07,0.01,0.07,https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba,28.6,0,7,0,0.0,0.24,0.0,0.0,,25.0,0.0,0,0,0.03,-0.2,-0.2,968.0,1281.0,75.6,14158.0,6172.0,567.0,625.0,90.7,331.0,459.0,72.1,38.0,119.0,31.9,1.9,1.3,2.1,16.0,66.0,17.0,11.0,90.0,1281.0,971.0,308.0,14.0,1.0,1.0,70,294.0,0.0,0.0,0.0,0.0,968.0,2.0,36.0,31.0,1.08,27.0,3.0,0.0,0.0,0.0,1.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,51.0,29,31.0,14.0,6.0,24.0,44.0,54.5,20.0,20.0,4.0,16.0,37,88.0,86.0,0.0,1540.0,58.0,480.0,759.0,312.0,17.0,1540.0,26.0,15.0,57.7,11.0,42.3,647.0,3223.0,2009.0,60.0,41.0,9.0,21.0,14.0,746.0,79.0,30,2573,86,75.2,28.6,29,89.0,27,1,1.0,4,1.33,36,33,3,0.1,0.95,37.7,36.8,0.9,0.03,-0.17,0,21,22,2,70,29,0.0,0.0,0,139.0,22.0,28.0,44.0,25,Right-Back,4/25/1990,,Cote d'Ivoire,Angers SCO,1.82,right,1/1/2017,Without Club,6/30/2025,2000000.0,https://www.transfermarkt.com/abdoulaye-bamba/profil/spieler/62351
1,74,2718,Abdoulaye Bamba_2020_Angers,-1.6144622969134519,16.03,2020,Angers,Ligue 1,Abdoulaye Bamba,CIV,DF,29,1990,7,6,554,6.2,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,9.0,15.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba,6.2,0,1,0,0.0,0.16,0.0,0.0,,25.2,0.0,0,0,0.03,0.0,0.0,204.0,277.0,73.6,3252.0,1620.0,107.0,119.0,89.9,75.0,95.0,78.9,16.0,47.0,34.0,0.2,0.3,-0.2,3.0,12.0,2.0,2.0,15.0,277.0,219.0,58.0,3.0,0.0,1.0,15,55.0,0.0,0.0,0.0,0.0,204.0,0.0,5.0,6.0,0.97,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7,7.0,1.0,2.0,8.0,15.0,53.3,7.0,4.0,1.0,3.0,4,14.0,18.0,0.0,321.0,8.0,112.0,147.0,64.0,3.0,321.0,3.0,1.0,33.3,2.0,66.7,106.0,479.0,258.0,9.0,4.0,1.0,3.0,3.0,177.0,23.0,7,554,79,22.0,6.2,6,90.0,6,1,13.0,7,2.14,9,3,6,0.97,1.48,6.0,5.5,0.5,0.08,0.06,0,4,2,0,15,7,0.0,0.0,0,32.0,3.0,8.0,27.3,25,Right-Back,4/25/1990,,Cote d'Ivoire,Angers SCO,1.82,right,1/1/2017,Without Club,6/30/2025,1200000.0,https://www.transfermarkt.com/abdoulaye-bamba/profil/spieler/62351
2,75,5423,Abdoulaye Bamba_2021_Angers,-1.9420172396912825,10.69,2021,Angers,Ligue 1,Abdoulaye Bamba,CIV,DF,30,1990,16,16,1347,15.0,0,0,0,0,0,0,2,0,0.1,0.1,1.4,1.4,19.0,53.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.0,0.1,https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba,15.0,0,1,1,100.0,0.07,0.07,0.0,0.0,15.8,0.0,0,0,0.05,-0.1,-0.1,650.0,875.0,74.3,10169.0,4909.0,358.0,398.0,89.9,223.0,298.0,74.8,46.0,118.0,39.0,1.4,1.4,-1.4,8.0,47.0,11.0,5.0,53.0,875.0,680.0,194.0,16.0,1.0,2.0,48,178.0,0.0,0.0,0.0,0.0,650.0,1.0,23.0,21.0,1.4,17.0,2.0,1.0,0.0,0.0,1.0,1.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0,27.0,17,19.0,7.0,1.0,19.0,28.0,67.9,9.0,7.0,1.0,6.0,19,46.0,34.0,0.0,993.0,36.0,315.0,495.0,189.0,5.0,993.0,9.0,4.0,44.4,5.0,55.6,479.0,1855.0,818.0,19.0,13.0,2.0,13.0,3.0,553.0,60.0,16,1347,84,39.4,15.0,16,84.0,13,0,,15,1.25,15,25,-10,-0.67,-0.32,16.4,20.0,-3.6,-0.24,0.07,0,14,6,0,48,17,0.0,1.0,0,82.0,10.0,9.0,52.6,25,Right-Back,4/25/1990,,Cote d'Ivoire,Angers SCO,1.82,right,1/1/2017,Without Club,6/30/2025,1200000.0,https://www.transfermarkt.com/abdoulaye-bamba/profil/spieler/62351
3,77,11198,Abdoulaye Bamba_2023_Angers,-2.6543761218633435,0.0,2023,Angers,Ligue 1,Abdoulaye Bamba,CIV,DF,32,1990,21,12,1364,15.2,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,8.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba,15.2,0,0,0,,0.0,0.0,,,,0.0,0,0,,0.0,0.0,619.0,721.0,85.9,10973.0,3954.0,248.0,266.0,93.2,302.0,341.0,88.6,53.0,81.0,65.4,0.3,0.6,-0.3,4.0,46.0,6.0,3.0,36.0,721.0,651.0,70.0,17.0,2.0,0.0,19,53.0,0.0,0.0,0.0,0.0,619.0,0.0,10.0,8.0,0.53,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12,15.0,5.0,2.0,16.0,19.0,84.2,3.0,7.0,3.0,4.0,18,40.0,38.0,0.0,832.0,52.0,317.0,442.0,81.0,2.0,832.0,9.0,4.0,44.4,4.0,44.4,598.0,2647.0,1112.0,8.0,5.0,0.0,9.0,4.0,541.0,19.0,21,1364,65,39.9,15.2,12,90.0,12,9,32.0,14,0.52,17,36,-19,-1.25,0.02,16.9,23.5,-6.6,-0.44,0.19,0,10,13,4,19,12,0.0,0.0,0,68.0,17.0,14.0,54.8,,Right-Back,,,,,,,,,,,
4,111,10242,Achraf Hakimi_2022_Paris S-G,2.2671091685870666,90.84,2022,Paris S-G,Ligue 1,Achraf Hakimi,MAR,DF,22,1998,32,28,2479,27.5,4,6,10,4,0,0,3,1,2.5,2.5,4.1,6.6,71.0,99.0,294.0,0.15,0.22,0.36,0.15,0.36,0.09,0.15,0.24,0.09,0.24,https://fbref.com/en/players/e42d61c7/Achraf-Hakimi,27.5,4,20,10,50.0,0.73,0.36,0.2,0.4,15.9,0.0,0,0,0.13,1.5,1.5,1626.0,1830.0,88.9,22142.0,5722.0,991.0,1064.0,93.1,505.0,564.0,89.5,45.0,59.0,76.3,4.1,5.0,1.9,31.0,61.0,34.0,7.0,99.0,1830.0,1619.0,208.0,26.0,1.0,3.0,52,180.0,2.0,0.0,0.0,0.0,1626.0,3.0,32.0,52.0,1.89,42.0,1.0,5.0,2.0,0.0,2.0,9.0,0.33,8.0,0.0,1.0,0.0,0.0,0.0,74.0,51,38.0,27.0,9.0,40.0,72.0,55.6,32.0,26.0,5.0,21.0,28,102.0,23.0,2.0,2088.0,59.0,519.0,833.0,750.0,80.0,2088.0,53.0,21.0,39.6,32.0,60.4,1356.0,6113.0,3444.0,71.0,52.0,17.0,32.0,14.0,1517.0,294.0,32,2479,77,72.5,27.5,28,87.0,19,4,14.0,0,2.28,70,25,45,1.63,0.77,57.5,26.8,30.8,1.12,0.53,0,20,14,6,52,51,0.0,0.0,0,123.0,9.0,20.0,31.0,2,Right-Back,11/4/1998,,Morocco,Paris Saint-Germain,1.81,right,7/6/2021,Inter Milan,6/30/2026,65000000.0,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073
5,112,13112,Achraf Hakimi_2023_Paris S-G,3.3303210017267135,98.47,2023,Paris S-G,Ligue 1,Achraf Hakimi,MAR,"DF,MF",23,1998,28,23,2053,22.8,5,3,8,5,0,0,7,2,3.8,3.8,3.0,6.8,85.0,99.0,229.0,0.22,0.13,0.35,0.22,0.35,0.17,0.13,0.3,0.17,0.3,https://fbref.com/en/players/e42d61c7/Achraf-Hakimi,22.8,5,18,9,50.0,0.79,0.39,0.28,0.56,14.9,0.0,0,0,0.21,1.2,1.2,1373.0,1538.0,89.3,17560.0,4800.0,875.0,952.0,91.9,378.0,416.0,90.9,28.0,40.0,70.0,3.0,5.3,0.0,33.0,49.0,46.0,13.0,99.0,1538.0,1422.0,116.0,12.0,1.0,1.0,42,101.0,3.0,0.0,0.0,0.0,1373.0,0.0,35.0,75.0,3.29,64.0,1.0,4.0,2.0,2.0,2.0,9.0,0.39,5.0,0.0,1.0,1.0,1.0,1.0,54.0,34,19.0,20.0,15.0,31.0,59.0,52.5,28.0,34.0,2.0,32.0,16,70.0,19.0,0.0,1772.0,49.0,361.0,716.0,713.0,82.0,1772.0,74.0,29.0,39.2,32.0,43.2,1414.0,7700.0,4281.0,85.0,66.0,22.0,29.0,23.0,1326.0,229.0,28,2053,73,60.0,22.8,23,86.0,19,5,17.0,1,2.14,57,19,38,1.67,0.94,48.9,27.2,21.7,0.95,0.41,1,29,19,5,42,34,1.0,0.0,0,129.0,7.0,7.0,50.0,2,Right-Back,11/4/1998,,Morocco,,1.81,right,7/6/2021,Inter Milan,6/30/2026,65000000.0,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073
6,315,11427,Akim Zedadka_2023_Auxerre,-1.2637012407958235,20.61,2023,Auxerre,Ligue 1,Akim Zedadka,ALG,DF,27,1995,20,19,1599,17.8,0,0,0,0,0,0,5,0,0.4,0.4,1.2,1.6,25.0,51.0,71.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,https://fbref.com/en/players/0ff630d0/Akim-Zedadka,17.8,0,9,0,0.0,0.51,0.0,0.0,,19.6,0.0,0,0,0.04,-0.4,-0.4,543.0,707.0,76.8,8466.0,2865.0,273.0,326.0,83.7,222.0,283.0,78.4,28.0,58.0,48.3,1.2,1.3,-1.2,14.0,35.0,15.0,9.0,51.0,707.0,555.0,150.0,14.0,1.0,1.0,38,136.0,0.0,0.0,0.0,0.0,543.0,2.0,22.0,30.0,1.69,24.0,3.0,2.0,0.0,0.0,1.0,2.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,35.0,21,21.0,10.0,4.0,18.0,32.0,56.3,14.0,17.0,3.0,14.0,23,58.0,51.0,1.0,921.0,70.0,298.0,398.0,232.0,21.0,921.0,35.0,9.0,25.7,22.0,62.9,547.0,3288.0,1350.0,25.0,16.0,4.0,27.0,17.0,472.0,71.0,20,1599,80,46.8,17.8,19,84.0,15,1,6.0,1,0.95,18,24,-6,-0.34,0.75,18.3,26.6,-8.3,-0.47,-0.08,0,23,27,0,38,21,0.0,2.0,0,95.0,24.0,23.0,51.1,,Right-Back,,,,,,,,,,2500000.0,
7,1209,13036,Antoine Mendy_2023_Nice,2.017047376886926,88.55,2023,Nice,Ligue 1,Antoine Mendy,FRA,DF,18,2004,11,7,518,5.8,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,2.0,21.0,37.0,0.0,0.17,0.17,0.0,0.17,0.06,0.07,0.13,0.06,0.13,https://fbref.com/en/players/3322e296/Antoine-Mendy,5.8,0,8,2,25.0,1.39,0.35,0.0,0.0,16.3,0.0,0,0,0.04,-0.3,-0.3,262.0,325.0,80.6,4265.0,1050.0,125.0,138.0,90.6,112.0,132.0,84.8,18.0,40.0,45.0,0.4,0.3,0.6,6.0,11.0,7.0,3.0,21.0,325.0,279.0,45.0,2.0,0.0,1.0,13,43.0,0.0,0.0,0.0,0.0,262.0,1.0,4.0,17.0,2.95,12.0,2.0,0.0,2.0,0.0,1.0,2.0,0.35,1.0,0.0,0.0,1.0,0.0,0.0,22.0,13,16.0,5.0,1.0,9.0,15.0,60.0,6.0,6.0,1.0,5.0,2,24.0,16.0,0.0,394.0,22.0,122.0,186.0,88.0,9.0,394.0,4.0,3.0,75.0,1.0,25.0,266.0,1269.0,580.0,2.0,5.0,0.0,11.0,5.0,235.0,37.0,11,518,47,15.1,5.8,7,71.0,2,4,6.0,14,1.64,10,5,5,0.87,0.68,8.9,6.4,2.5,0.44,0.12,0,9,3,2,13,13,0.0,0.0,0,37.0,7.0,11.0,38.9,33,Right-Back,5/27/2004,,France,,1.87,right,7/1/2022,OGC Nice B,6/30/2025,1000000.0,https://www.transfermarkt.com/antoine-mendy/profil/spieler/891998
8,1374,4324,Arnaud Souquet_2020_Montpellier,-0.6080701469082368,38.17,2020,Montpellier,Ligue 1,Arnaud Souquet,FRA,"DF,FW",27,1992,24,22,2016,22.4,2,0,2,2,0,0,6,0,0.6,0.5,1.0,1.5,44.0,82.0,137.0,0.09,0.0,0.09,0.09,0.09,0.03,0.04,0.07,0.02,0.07,https://fbref.com/en/players/4e0afc5d/Arnaud-Souquet,22.4,2,14,4,28.6,0.62,0.18,0.14,0.5,21.3,0.0,0,0,0.03,1.4,1.5,808.0,1076.0,75.1,12556.0,5415.0,456.0,529.0,86.2,295.0,383.0,77.0,47.0,100.0,47.0,1.0,1.1,-1.0,12.0,54.0,13.0,4.0,82.0,1076.0,822.0,253.0,14.0,0.0,3.0,74,239.0,0.0,0.0,0.0,0.0,808.0,1.0,39.0,43.0,1.92,30.0,3.0,2.0,1.0,7.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,62.0,40,45.0,13.0,4.0,30.0,67.0,44.8,37.0,20.0,6.0,14.0,17,79.0,44.0,0.0,1338.0,73.0,373.0,567.0,407.0,28.0,1338.0,51.0,23.0,45.1,28.0,54.9,566.0,3164.0,1729.0,44.0,43.0,5.0,28.0,14.0,697.0,137.0,24,2016,84,80.0,22.4,22,89.0,21,2,27.0,1,1.42,26,24,2,0.09,0.27,24.5,26.9,-2.3,-0.1,-0.61,0,34,32,2,74,40,0.0,0.0,0,130.0,31.0,33.0,48.4,-,Right-Back,2/12/1992,,France,Chicago Fire FC,1.79,right,8/6/2019,KAA Gent,12/31/2025,3000000.0,https://www.transfermarkt.com/arnaud-souquet/profil/spieler/111058
9,1375,7139,Arnaud Souquet_2021_Montpellier,-0.35953411677454117,45.04,2021,Montpellier,Ligue 1,Arnaud Souquet,FRA,DF,28,1992,23,14,1224,13.6,1,1,2,1,0,0,5,0,0.2,0.2,0.5,0.7,34.0,52.0,61.0,0.07,0.07,0.15,0.07,0.15,0.02,0.04,0.05,0.02,0.05,https://fbref.com/en/players/4e0afc5d/Arnaud-Souquet,13.6,1,6,2,33.3,0.44,0.15,0.17,0.5,23.0,0.0,0,0,0.04,0.8,0.8,469.0,644.0,72.8,7348.0,3448.0,244.0,279.0,87.5,185.0,241.0,76.8,29.0,66.0,43.9,0.5,1.0,0.5,9.0,32.0,20.0,12.0,52.0,644.0,481.0,159.0,3.0,0.0,0.0,53,156.0,0.0,0.0,0.0,0.0,469.0,4.0,24.0,27.0,1.98,21.0,2.0,1.0,1.0,1.0,1.0,3.0,0.22,3.0,0.0,0.0,0.0,0.0,0.0,50.0,33,35.0,13.0,2.0,27.0,48.0,56.3,21.0,15.0,6.0,9.0,17,67.0,34.0,0.0,829.0,52.0,283.0,326.0,228.0,12.0,829.0,20.0,11.0,55.0,9.0,45.0,362.0,2186.0,1119.0,34.0,22.0,4.0,23.0,14.0,416.0,61.0,23,1224,53,35.8,13.6,14,76.0,4,9,18.0,11,1.43,20,23,-3,-0.22,-0.26,16.2,24.1,-7.9,-0.58,-0.32,0,19,21,0,53,33,0.0,1.0,0,67.0,7.0,22.0,24.1,-,Right-Back,2/12/1992,,France,Chicago Fire FC,1.79,right,8/6/2019,KAA Gent,12/31/2025,2500000.0,https://www.transfermarkt.com/arnaud-souquet/profil/spieler/111058
