,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,11,5754,Aaron Hickey_2021_Bologna,-1.1400971502246688,24.14,2021,Bologna,Serie A,Aaron Hickey,SCO,DF,18,2002,11,10,758,8.4,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.1,21.0,36.0,28.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,https://fbref.com/en/players/1780bb4a/Aaron-Hickey,8.4,0,2,0,0.0,0.24,0.0,0.0,,29.9,0.0,0,0,0.03,-0.1,-0.1,337.0,397.0,84.9,5489.0,1742.0,160.0,174.0,92.0,142.0,165.0,86.1,21.0,34.0,61.8,0.1,0.2,-0.1,2.0,30.0,3.0,1.0,36.0,397.0,314.0,81.0,13.0,0.0,3.0,7,68.0,0.0,0.0,0.0,0.0,337.0,2.0,6.0,7.0,0.83,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,12.0,8,10.0,2.0,0.0,7.0,17.0,41.2,10.0,6.0,1.0,5.0,15,27.0,15.0,1.0,495.0,26.0,149.0,235.0,115.0,8.0,495.0,16.0,7.0,43.8,9.0,56.3,282.0,1610.0,739.0,21.0,17.0,4.0,16.0,8.0,268.0,28.0,11,758,69,22.2,8.4,10,74.0,4,1,15.0,8,1.27,13,16,-3,-0.36,0.02,10.0,12.4,-2.4,-0.28,-0.09,0,11,14,0,7,8,0.0,0.0,0,51.0,6.0,5.0,54.5,-,Right-Back,6/10/2002,,Scotland,Brentford FC,1.85,both,9/24/2020,Heart of Midlothian FC,6/30/2026,18000000.0,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949
1,12,8607,Aaron Hickey_2022_Bologna,-1.369130984489396,19.31,2022,Bologna,Serie A,Aaron Hickey,SCO,DF,19,2002,36,34,2820,31.3,5,1,6,5,0,0,7,0,0.9,0.9,1.8,2.6,57.0,52.0,156.0,0.16,0.03,0.19,0.16,0.19,0.03,0.06,0.08,0.03,0.08,https://fbref.com/en/players/1780bb4a/Aaron-Hickey,31.3,5,21,13,61.9,0.67,0.41,0.24,0.38,21.3,0.0,0,0,0.04,4.1,4.1,1032.0,1289.0,80.1,14598.0,4242.0,610.0,671.0,90.9,355.0,460.0,77.2,34.0,78.0,43.6,1.8,1.4,-0.8,19.0,45.0,19.0,8.0,52.0,1289.0,1021.0,267.0,16.0,2.0,0.0,52,251.0,0.0,0.0,0.0,0.0,1032.0,1.0,33.0,44.0,1.4,37.0,1.0,2.0,0.0,4.0,0.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,46.0,29,24.0,15.0,7.0,20.0,30.0,66.7,10.0,36.0,13.0,23.0,29,75.0,44.0,0.0,1602.0,80.0,483.0,671.0,458.0,25.0,1602.0,49.0,30.0,61.2,19.0,38.8,831.0,4703.0,2261.0,57.0,43.0,8.0,48.0,27.0,961.0,156.0,36,2820,78,82.5,31.3,34,82.0,17,2,24.0,0,1.25,34,42,-8,-0.26,0.19,34.8,42.7,-7.9,-0.25,-0.27,0,39,71,4,52,29,0.0,0.0,0,134.0,17.0,30.0,36.2,,Right-Back,,,,,,,,,,25000000.0,
2,128,1280,Adam Marusic_2019_Lazio,-0.2164159053085756,46.9,2019,Lazio,Serie A,Adam MaruÃ…Â¡iÃ„â€¡,MNE,DF,25,1992,26,24,2111,23.5,1,1,2,1,0,0,2,1,1.0,1.0,1.3,2.3,67.0,59.0,141.0,0.04,0.04,0.09,0.04,0.09,0.04,0.05,0.1,0.04,0.1,https://fbref.com/en/players/d4535821/Adam-Marusic,23.5,1,16,6,37.5,0.68,0.26,0.06,0.17,17.5,0.0,0,0,0.06,0.0,0.0,798.0,988.0,80.8,12008.0,3759.0,453.0,499.0,90.8,259.0,340.0,76.2,49.0,72.0,68.1,1.3,1.7,-0.3,22.0,37.0,26.0,10.0,59.0,988.0,813.0,170.0,7.0,0.0,5.0,56,163.0,0.0,0.0,0.0,0.0,798.0,5.0,24.0,47.0,2.0,41.0,1.0,2.0,1.0,2.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,32.0,15,14.0,14.0,4.0,16.0,25.0,64.0,9.0,25.0,4.0,21.0,24,56.0,36.0,0.0,1204.0,43.0,270.0,500.0,443.0,47.0,1204.0,49.0,22.0,44.9,27.0,55.1,625.0,3579.0,2061.0,67.0,52.0,12.0,24.0,21.0,706.0,141.0,26,2111,81,61.7,23.5,24,87.0,20,2,12.0,7,1.58,32,29,3,0.13,-0.35,34.5,29.3,5.2,0.22,-0.34,0,31,18,2,56,15,0.0,1.0,0,111.0,31.0,26.0,54.4,77,Right-Back,10/17/1992,,Montenegro,SS Lazio,1.85,right,7/1/2017,KV Oostende,6/30/2025,5500000.0,https://www.transfermarkt.com/adam-marusic/profil/spieler/239802
3,129,3839,Adam Marusic_2020_Lazio,3.0207382966477794,95.86,2020,Lazio,Serie A,Adam MaruÃ…Â¡iÃ„â€¡,MNE,DF,26,1992,15,10,942,10.5,2,1,3,2,0,0,3,0,1.9,1.9,0.6,2.4,11.0,9.0,64.0,0.19,0.1,0.29,0.19,0.29,0.18,0.05,0.23,0.18,0.23,https://fbref.com/en/players/d4535821/Adam-Marusic,10.5,2,11,6,54.5,1.05,0.57,0.18,0.33,12.6,0.0,0,0,0.17,0.1,0.1,327.0,389.0,84.1,4938.0,1159.0,186.0,210.0,88.6,103.0,118.0,87.3,22.0,28.0,78.6,0.6,0.6,0.4,7.0,3.0,5.0,3.0,9.0,389.0,311.0,78.0,6.0,0.0,1.0,13,71.0,1.0,0.0,0.0,0.0,327.0,0.0,9.0,19.0,1.82,10.0,2.0,3.0,3.0,1.0,0.0,6.0,0.57,3.0,0.0,2.0,1.0,0.0,0.0,11.0,6,7.0,4.0,0.0,4.0,11.0,36.4,7.0,14.0,2.0,12.0,14,25.0,16.0,0.0,487.0,26.0,144.0,170.0,175.0,25.0,487.0,16.0,8.0,50.0,8.0,50.0,237.0,1281.0,589.0,11.0,16.0,5.0,3.0,6.0,279.0,64.0,15,942,63,27.5,10.5,10,82.0,7,5,25.0,9,2.4,26,12,14,1.34,0.5,17.5,14.0,3.4,0.33,-0.16,0,8,11,0,13,6,0.0,0.0,0,38.0,7.0,14.0,33.3,77,Right-Back,10/17/1992,,Montenegro,SS Lazio,1.85,right,7/1/2017,KV Oostende,6/30/2025,10000000.0,https://www.transfermarkt.com/adam-marusic/profil/spieler/239802
4,130,6640,Adam Marusic_2021_Lazio,0.09869508956607013,55.86,2021,Lazio,Serie A,Adam MaruÃ…Â¡iÃ„â€¡,MNE,DF,27,1992,36,33,2966,33.0,2,3,5,2,0,0,3,0,2.2,2.2,2.2,4.4,53.0,92.0,201.0,0.06,0.09,0.15,0.06,0.15,0.07,0.07,0.13,0.07,0.13,https://fbref.com/en/players/d4535821/Adam-Marusic,33.0,2,27,12,44.4,0.82,0.36,0.07,0.17,15.4,0.0,0,0,0.08,-0.2,-0.2,1312.0,1578.0,83.1,21586.0,6374.0,631.0,699.0,90.3,531.0,606.0,87.6,106.0,182.0,58.2,2.2,2.2,0.8,29.0,70.0,22.0,14.0,92.0,1578.0,1383.0,192.0,23.0,0.0,6.0,64,168.0,0.0,0.0,0.0,0.0,1312.0,3.0,28.0,63.0,1.91,53.0,4.0,1.0,5.0,0.0,0.0,5.0,0.15,4.0,0.0,0.0,1.0,0.0,0.0,38.0,22,22.0,15.0,1.0,20.0,40.0,50.0,20.0,38.0,6.0,32.0,40,78.0,54.0,0.0,1865.0,92.0,546.0,854.0,482.0,59.0,1865.0,51.0,24.0,47.1,27.0,52.9,1021.0,6096.0,3045.0,53.0,40.0,11.0,25.0,20.0,1186.0,201.0,36,2966,82,86.7,33.0,33,86.0,28,3,45.0,1,1.72,52,46,6,0.18,0.18,51.0,39.6,11.4,0.34,0.44,0,19,16,4,64,22,0.0,1.0,1,185.0,28.0,27.0,50.9,77,Right-Back,10/17/1992,,Montenegro,SS Lazio,1.85,right,7/1/2017,KV Oostende,6/30/2025,7500000.0,https://www.transfermarkt.com/adam-marusic/profil/spieler/239802
5,131,9509,Adam Marusic_2022_Lazio,-0.25605020338642875,44.14,2022,Lazio,Serie A,Adam MaruÃ…Â¡iÃ„â€¡,MNE,DF,28,1992,33,30,2721,30.2,1,0,1,1,0,0,6,1,0.2,0.2,0.5,0.7,52.0,111.0,73.0,0.03,0.0,0.03,0.03,0.03,0.01,0.02,0.02,0.01,0.02,https://fbref.com/en/players/d4535821/Adam-Marusic,30.2,1,8,3,37.5,0.26,0.1,0.13,0.33,25.5,0.0,0,0,0.02,0.8,0.8,1650.0,1887.0,87.4,23922.0,8268.0,937.0,1003.0,93.4,555.0,646.0,85.9,78.0,124.0,62.9,0.5,0.5,-0.5,8.0,116.0,10.0,3.0,111.0,1887.0,1645.0,239.0,33.0,0.0,4.0,29,206.0,0.0,0.0,0.0,0.0,1650.0,3.0,17.0,27.0,0.89,23.0,2.0,1.0,0.0,1.0,0.0,4.0,0.13,3.0,0.0,1.0,0.0,0.0,0.0,30.0,18,16.0,12.0,2.0,13.0,32.0,40.6,19.0,19.0,8.0,11.0,41,71.0,71.0,0.0,2120.0,116.0,737.0,1064.0,333.0,15.0,2120.0,25.0,14.0,56.0,11.0,44.0,1173.0,4684.0,2290.0,52.0,27.0,6.0,19.0,16.0,1385.0,73.0,33,2721,82,79.6,30.2,30,87.0,26,3,37.0,2,1.73,63,41,22,0.73,1.11,46.5,35.6,10.9,0.36,0.78,1,26,13,0,29,18,0.0,0.0,0,155.0,33.0,22.0,60.0,77,Right-Back,10/17/1992,,Montenegro,SS Lazio,1.85,right,7/1/2017,KV Oostende,6/30/2025,8000000.0,https://www.transfermarkt.com/adam-marusic/profil/spieler/239802
6,132,12380,Adam Marusic_2023_Lazio,-0.5104322039564301,38.62,2023,Lazio,Serie A,Adam MaruÃ…Â¡iÃ„â€¡,MNE,DF,29,1992,33,31,2760,30.7,0,2,2,0,0,0,8,1,0.7,0.7,1.1,1.8,38.0,116.0,43.0,0.0,0.07,0.07,0.0,0.07,0.02,0.03,0.06,0.02,0.06,https://fbref.com/en/players/d4535821/Adam-Marusic,30.7,0,16,7,43.8,0.52,0.23,0.0,0.0,24.0,0.0,0,0,0.04,-0.7,-0.7,1564.0,1829.0,85.5,23902.0,9688.0,866.0,939.0,92.2,546.0,644.0,84.8,104.0,164.0,63.4,1.1,1.2,0.9,9.0,107.0,7.0,4.0,116.0,1829.0,1573.0,253.0,28.0,0.0,8.0,17,225.0,0.0,0.0,0.0,0.0,1564.0,3.0,18.0,35.0,1.14,28.0,3.0,0.0,1.0,0.0,3.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,41.0,30,23.0,14.0,4.0,25.0,39.0,64.1,14.0,20.0,6.0,14.0,38,79.0,63.0,1.0,2049.0,100.0,795.0,1005.0,260.0,17.0,2049.0,15.0,10.0,66.7,3.0,20.0,1065.0,4702.0,2669.0,38.0,39.0,4.0,13.0,13.0,1334.0,43.0,33,2760,84,80.7,30.7,31,86.0,23,2,40.0,1,1.91,47,25,22,0.72,-0.37,39.6,33.8,5.8,0.19,-0.35,0,22,14,1,17,30,0.0,0.0,0,175.0,29.0,25.0,53.7,77,Right-Back,10/17/1992,,Montenegro,,1.85,right,7/1/2017,KV Oostende,6/30/2025,8000000.0,https://www.transfermarkt.com/adam-marusic/profil/spieler/239802
7,457,2072,Alessandro Florenzi_2019_Roma,2.723119461523425,93.78999999999999,2019,Roma,Serie A,Alessandro Florenzi,ITA,"DF,FW",27,1991,29,24,2180,24.2,3,2,5,3,0,0,5,1,2.2,2.2,4.4,6.6,66.0,154.0,101.0,0.12,0.08,0.21,0.12,0.21,0.09,0.18,0.27,0.09,0.27,https://fbref.com/en/players/e288d4b3/Alessandro-Florenzi,24.2,3,35,9,25.7,1.44,0.37,0.09,0.33,21.3,0.0,0,0,0.06,0.8,0.8,1137.0,1486.0,76.5,19659.0,8448.0,568.0,636.0,89.3,400.0,519.0,77.1,135.0,254.0,53.1,4.4,3.8,-2.4,42.0,113.0,53.0,24.0,154.0,1486.0,1217.0,269.0,35.0,2.0,16.0,129,211.0,23.0,4.0,18.0,0.0,1137.0,0.0,34.0,94.0,3.88,67.0,15.0,2.0,5.0,3.0,2.0,10.0,0.41,8.0,2.0,0.0,0.0,0.0,0.0,38.0,21,22.0,11.0,5.0,17.0,37.0,45.9,20.0,27.0,5.0,22.0,46,84.0,58.0,0.0,1717.0,78.0,459.0,790.0,487.0,38.0,1717.0,24.0,8.0,33.3,16.0,66.7,860.0,4701.0,2854.0,66.0,46.0,8.0,16.0,9.0,1004.0,101.0,29,2180,75,63.7,24.2,24,84.0,16,5,32.0,3,1.83,40,28,12,0.5,0.06,41.7,31.9,9.7,0.4,0.22,1,15,23,2,129,21,0.0,0.0,0,143.0,15.0,24.0,38.5,-,Right-Back,3/11/1991,,Italy,AC Milan,1.73,right,7/2/2012,FC Crotone,6/30/2025,16000000.0,https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365
8,458,4753,Alessandro Florenzi_2020_Roma,1.4998224340752575,84.14,2020,Roma,Serie A,Alessandro Florenzi,ITA,"DF,FW",28,1991,14,12,997,11.1,0,1,1,0,0,0,5,0,0.5,0.5,1.8,2.3,31.0,80.0,52.0,0.0,0.09,0.09,0.0,0.09,0.04,0.17,0.21,0.04,0.21,https://fbref.com/en/players/e288d4b3/Alessandro-Florenzi,11.1,0,14,2,14.3,1.26,0.18,0.0,0.0,25.7,0.0,0,0,0.04,-0.5,-0.5,551.0,683.0,80.7,10143.0,3971.0,258.0,284.0,90.8,214.0,253.0,84.6,73.0,113.0,64.6,1.8,1.9,-0.8,12.0,55.0,13.0,4.0,80.0,683.0,599.0,83.0,13.0,2.0,14.0,29,70.0,0.0,0.0,0.0,0.0,551.0,1.0,16.0,30.0,2.71,25.0,3.0,0.0,1.0,0.0,1.0,2.0,0.18,1.0,1.0,0.0,0.0,0.0,0.0,14.0,11,8.0,4.0,2.0,7.0,20.0,35.0,13.0,9.0,3.0,6.0,16,30.0,19.0,0.0,786.0,39.0,204.0,389.0,201.0,23.0,786.0,10.0,3.0,30.0,7.0,70.0,383.0,2073.0,1198.0,31.0,30.0,10.0,4.0,4.0,511.0,52.0,14,997,71,29.2,11.1,12,82.0,5,2,8.0,5,1.79,21,15,6,0.54,-0.2,20.0,14.9,5.2,0.47,-0.23,0,11,12,2,29,11,0.0,0.0,0,68.0,12.0,14.0,46.2,,Right-Back,,,,,,,,,,13000000.0,
9,461,9990,Alessandro Florenzi_2022_Milan,1.2205296351696624,78.62,2022,Milan,Serie A,Alessandro Florenzi,ITA,"DF,FW",30,1991,24,12,1152,12.8,2,0,2,2,0,0,2,0,0.7,0.7,0.9,1.6,30.0,68.0,51.0,0.16,0.0,0.16,0.16,0.16,0.06,0.07,0.13,0.06,0.13,https://fbref.com/en/players/e288d4b3/Alessandro-Florenzi,12.8,2,22,6,27.3,1.72,0.47,0.09,0.33,23.7,2.0,0,0,0.03,1.3,1.3,646.0,812.0,79.6,11893.0,3909.0,290.0,316.0,91.8,261.0,302.0,86.4,82.0,151.0,54.3,0.9,1.5,-0.9,11.0,62.0,21.0,8.0,68.0,812.0,686.0,121.0,23.0,4.0,11.0,56,79.0,19.0,9.0,5.0,0.0,646.0,5.0,17.0,34.0,2.65,25.0,6.0,0.0,1.0,1.0,1.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,28.0,14,14.0,7.0,7.0,14.0,32.0,43.8,18.0,9.0,2.0,7.0,27,55.0,10.0,1.0,925.0,31.0,223.0,496.0,217.0,20.0,925.0,10.0,8.0,80.0,2.0,20.0,493.0,2434.0,1397.0,30.0,16.0,4.0,11.0,1.0,584.0,51.0,24,1152,48,33.7,12.8,12,77.0,3,12,19.0,4,2.08,23,10,13,1.02,0.02,19.6,10.8,8.8,0.69,0.09,0,10,8,3,56,14,0.0,0.0,0,79.0,9.0,9.0,50.0,25,Right-Back,3/11/1991,,Italy,AC Milan,1.73,right,7/1/2022,AS Roma,6/30/2025,2000000.0,https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365
