,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,286,89,Ainsley Maitland-Niles_2019_Arsenal,-1.1629614086565203,22.03,2019,Arsenal,Premier League,Ainsley Maitland-Niles,ENG,DF,20,1997,16,11,987,11.0,1,1,2,1,0,0,2,1,0.9,0.9,0.9,1.8,32.0,60.0,66.0,0.09,0.09,0.18,0.09,0.18,0.08,0.08,0.17,0.08,0.17,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,11.0,1,5,3,60.0,0.46,0.27,0.2,0.33,15.4,0.0,0,0,0.18,0.1,0.1,453.0,575.0,78.8,7039.0,2349.0,249.0,282.0,88.3,163.0,194.0,84.0,30.0,55.0,54.5,0.9,1.0,0.1,6.0,27.0,14.0,1.0,60.0,575.0,464.0,109.0,5.0,0.0,4.0,18,104.0,0.0,0.0,0.0,0.0,453.0,2.0,16.0,19.0,1.73,16.0,1.0,1.0,1.0,0.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,33.0,22,19.0,12.0,2.0,14.0,28.0,50.0,14.0,22.0,4.0,18.0,19,52.0,15.0,2.0,728.0,29.0,183.0,316.0,232.0,23.0,728.0,33.0,19.0,57.6,14.0,42.4,338.0,1948.0,1030.0,32.0,21.0,8.0,25.0,17.0,410.0,66.0,16,987,62,28.9,11.0,11,78.0,8,5,25.0,7,1.38,17,17,0,0.0,-0.81,15.6,18.7,-3.1,-0.29,-0.62,1,8,12,1,18,22,0.0,0.0,0,59.0,6.0,12.0,33.3,-,Right Midfield,8/29/1997,,England,Without Club,1.8,right,7/1/2017,Arsenal FC U23,,14500000.0,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845
1,287,2751,Ainsley Maitland-Niles_2020_Arsenal,-1.3039098299736607,15.25,2020,Arsenal,Premier League,Ainsley Maitland-Niles,ENG,DF,21,1997,20,15,1386,15.4,0,2,2,0,0,0,6,1,0.4,0.4,1.5,2.0,38.0,61.0,34.0,0.0,0.13,0.13,0.0,0.13,0.03,0.1,0.13,0.03,0.13,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,15.4,0,4,1,25.0,0.26,0.06,0.0,0.0,18.0,0.0,0,0,0.11,-0.4,-0.4,841.0,1025.0,82.0,12850.0,4193.0,446.0,502.0,88.8,311.0,370.0,84.1,53.0,95.0,55.8,1.5,1.4,0.5,11.0,44.0,13.0,5.0,61.0,1025.0,839.0,185.0,19.0,2.0,4.0,18,166.0,0.0,0.0,0.0,0.0,841.0,1.0,11.0,21.0,1.36,17.0,1.0,1.0,0.0,0.0,2.0,3.0,0.19,2.0,0.0,0.0,0.0,0.0,1.0,41.0,23,34.0,5.0,2.0,22.0,43.0,51.2,21.0,12.0,3.0,9.0,28,69.0,38.0,0.0,1203.0,71.0,442.0,536.0,233.0,15.0,1203.0,34.0,19.0,55.9,15.0,44.1,596.0,3219.0,1917.0,38.0,23.0,9.0,17.0,18.0,744.0,34.0,20,1386,69,40.5,15.4,15,87.0,14,5,17.0,8,1.7,22,21,1,0.06,-0.24,19.3,22.7,-3.4,-0.22,0.0,1,15,13,0,18,23,0.0,0.0,0,86.0,17.0,12.0,58.6,-,Right Midfield,8/29/1997,,England,Without Club,1.8,right,7/1/2017,Arsenal FC U23,,16000000.0,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845
2,288,5487,Ainsley Maitland-Niles_2021_Arsenal,-0.9218143655217748,32.2,2021,Arsenal,Premier League,Ainsley Maitland-Niles,ENG,"MF,DF",22,1997,11,5,490,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,12.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,5.4,0,2,1,50.0,0.37,0.18,0.0,0.0,20.9,0.0,0,0,0.04,-0.1,-0.1,226.0,291.0,77.7,3689.0,985.0,114.0,127.0,89.8,88.0,114.0,77.2,16.0,30.0,53.3,0.1,0.2,-0.1,2.0,19.0,4.0,1.0,24.0,291.0,256.0,35.0,3.0,0.0,3.0,8,32.0,0.0,0.0,0.0,0.0,226.0,0.0,6.0,11.0,2.02,6.0,1.0,2.0,0.0,1.0,1.0,2.0,0.37,0.0,0.0,0.0,0.0,1.0,1.0,11.0,7,6.0,5.0,0.0,8.0,12.0,66.7,4.0,12.0,2.0,10.0,14,25.0,7.0,1.0,355.0,18.0,120.0,154.0,84.0,6.0,355.0,10.0,6.0,60.0,4.0,40.0,198.0,1018.0,479.0,12.0,10.0,3.0,10.0,7.0,215.0,21.0,11,490,45,14.3,5.4,5,85.0,4,6,11.0,8,1.64,8,6,2,0.37,-0.06,8.1,6.6,1.5,0.28,0.06,0,6,3,2,8,7,1.0,0.0,0,39.0,3.0,3.0,50.0,-,Right Midfield,8/29/1997,,England,Without Club,1.8,right,7/1/2017,Arsenal FC U23,,10000000.0,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845
3,289,8122,Ainsley Maitland-Niles_2021_West Brom,-0.09843498348646812,47.46,2021,West Brom,Premier League,Ainsley Maitland-Niles,ENG,MF,22,1997,15,14,1230,13.7,0,0,0,0,0,0,2,0,0.6,0.6,0.7,1.2,25.0,47.0,52.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,13.7,0,10,3,30.0,0.73,0.22,0.0,0.0,23.1,0.0,0,0,0.06,-0.6,-0.6,313.0,416.0,75.2,4264.0,1309.0,177.0,214.0,82.7,81.0,102.0,79.4,22.0,37.0,59.5,0.7,1.3,-0.7,4.0,28.0,9.0,2.0,47.0,416.0,391.0,21.0,1.0,0.0,3.0,12,3.0,2.0,1.0,0.0,0.0,313.0,4.0,13.0,22.0,1.61,19.0,0.0,1.0,0.0,2.0,0.0,2.0,0.15,1.0,0.0,0.0,0.0,1.0,0.0,22.0,10,7.0,8.0,7.0,9.0,28.0,32.1,19.0,12.0,1.0,11.0,17,39.0,24.0,0.0,583.0,36.0,131.0,260.0,199.0,25.0,583.0,33.0,16.0,48.5,17.0,51.5,292.0,1574.0,724.0,25.0,16.0,8.0,32.0,24.0,320.0,52.0,15,1230,82,36.0,13.7,14,87.0,10,1,18.0,0,0.93,14,17,-3,-0.22,1.34,17.4,21.4,-3.9,-0.29,0.87,0,10,14,0,12,10,1.0,0.0,0,77.0,5.0,19.0,20.8,,Right Midfield,,,,,,,,,,10000000.0,
4,291,10460,Ainsley Maitland-Niles_2022_Roma,-0.6135540333066218,33.900000000000006,2022,Roma,Serie A,Ainsley Maitland-Niles,ENG,DF,23,1997,8,7,487,5.4,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.8,13.0,24.0,33.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.16,0.05,0.16,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,5.4,0,3,2,66.7,0.55,0.37,0.0,0.0,18.5,0.0,0,0,0.09,-0.3,-0.3,249.0,326.0,76.4,4079.0,1366.0,126.0,142.0,88.7,96.0,122.0,78.7,20.0,41.0,48.8,0.6,1.0,-0.6,5.0,15.0,6.0,4.0,24.0,326.0,256.0,69.0,2.0,1.0,5.0,25,67.0,0.0,0.0,0.0,0.0,249.0,1.0,8.0,15.0,2.77,11.0,1.0,0.0,2.0,0.0,1.0,2.0,0.37,2.0,0.0,0.0,0.0,0.0,0.0,8.0,6,5.0,0.0,3.0,5.0,14.0,35.7,9.0,7.0,0.0,7.0,6,14.0,7.0,0.0,376.0,9.0,100.0,157.0,120.0,7.0,376.0,10.0,6.0,60.0,4.0,40.0,175.0,851.0,477.0,13.0,7.0,1.0,6.0,3.0,216.0,33.0,8,487,61,14.2,5.4,7,67.0,1,1,15.0,10,1.38,10,8,2,0.37,-0.06,8.6,3.8,4.8,0.88,0.21,0,6,1,1,25,6,0.0,0.0,0,42.0,8.0,1.0,88.9,,Right Midfield,,,,,,,,,,8000000.0,
5,292,13530,Ainsley Maitland-Niles_2023_Southampton,-1.231024134533348,18.64,2023,Southampton,Premier League,Ainsley Maitland-Niles,ENG,"DF,MF",24,1997,22,13,1407,15.6,0,0,0,0,0,0,3,0,0.0,0.0,0.7,0.7,15.0,57.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,15.6,0,1,1,100.0,0.06,0.06,0.0,0.0,31.4,0.0,0,0,0.02,0.0,0.0,565.0,713.0,79.2,9322.0,3245.0,288.0,331.0,87.0,214.0,258.0,82.9,50.0,84.0,59.5,0.7,0.7,-0.7,10.0,52.0,12.0,5.0,57.0,713.0,633.0,77.0,11.0,2.0,3.0,20,66.0,0.0,0.0,0.0,0.0,565.0,3.0,12.0,24.0,1.54,22.0,0.0,1.0,0.0,1.0,0.0,2.0,0.13,1.0,0.0,0.0,0.0,1.0,0.0,45.0,24,23.0,18.0,4.0,28.0,44.0,63.6,16.0,28.0,7.0,21.0,22,67.0,45.0,1.0,912.0,73.0,328.0,440.0,155.0,7.0,912.0,22.0,17.0,77.3,5.0,22.7,407.0,2036.0,885.0,15.0,13.0,2.0,26.0,13.0,509.0,35.0,22,1407,64,41.1,15.6,13,86.0,7,9,32.0,5,0.64,16,31,-15,-0.96,0.02,17.7,22.2,-4.5,-0.29,0.55,0,13,8,0,20,24,1.0,1.0,0,90.0,15.0,11.0,57.7,,Right Midfield,,,,,,,,,,8000000.0,
6,470,2226,Alessandro Schopf_2019_Schalke 04,-1.3065495387831183,13.56,2019,Schalke 04,Bundesliga,Alessandro SchÃƒÂ¶pf,AUT,"MF,DF",24,1994,15,11,1004,11.2,1,0,1,1,0,0,3,0,1.2,1.2,1.4,2.6,43.0,35.0,49.0,0.09,0.0,0.09,0.09,0.09,0.11,0.12,0.23,0.11,0.23,https://fbref.com/en/players/106bca06/Alessandro-Schopf,11.2,1,18,3,16.7,1.61,0.27,0.06,0.33,20.5,0.0,0,0,0.07,-0.2,-0.2,380.0,479.0,79.3,5882.0,1365.0,209.0,242.0,86.4,142.0,171.0,83.0,24.0,38.0,63.2,1.4,1.5,-1.4,13.0,29.0,9.0,3.0,35.0,479.0,443.0,33.0,1.0,1.0,2.0,14,32.0,0.0,0.0,0.0,0.0,380.0,3.0,17.0,27.0,2.42,23.0,0.0,1.0,2.0,1.0,0.0,2.0,0.18,1.0,0.0,0.0,0.0,1.0,0.0,26.0,16,12.0,13.0,1.0,12.0,29.0,41.4,17.0,14.0,0.0,14.0,9,35.0,12.0,0.0,625.0,12.0,125.0,325.0,188.0,18.0,625.0,27.0,16.0,59.3,11.0,40.7,353.0,2650.0,1433.0,43.0,37.0,6.0,27.0,22.0,396.0,49.0,15,1004,67,32.8,11.2,11,80.0,8,4,31.0,3,1.2,15,16,-1,-0.09,0.65,17.2,14.4,2.8,0.25,0.57,0,28,10,0,14,16,1.0,1.0,0,89.0,5.0,10.0,33.3,-,Right Midfield,2/7/1994,,Austria,Vancouver Whitecaps FC,1.78,right,1/7/2016,1.FC Nuremberg,12/31/2024,4000000.0,https://www.transfermarkt.com/alessandro-schopf/profil/spieler/118397
7,471,4927,Alessandro Schopf_2020_Schalke 04,-1.3892270817087222,11.86,2020,Schalke 04,Bundesliga,Alessandro SchÃƒÂ¶pf,AUT,MF,25,1994,22,15,1432,15.9,0,1,1,0,0,0,3,0,1.1,1.1,1.2,2.3,34.0,50.0,85.0,0.0,0.06,0.06,0.0,0.06,0.07,0.08,0.14,0.07,0.14,https://fbref.com/en/players/106bca06/Alessandro-Schopf,15.9,0,15,4,26.7,0.94,0.25,0.0,0.0,19.6,0.0,0,0,0.07,-1.1,-1.1,542.0,674.0,80.4,7648.0,1715.0,288.0,326.0,88.3,174.0,211.0,82.5,28.0,42.0,66.7,1.2,0.9,-0.2,11.0,33.0,6.0,0.0,50.0,674.0,653.0,16.0,7.0,0.0,2.0,16,8.0,1.0,0.0,1.0,0.0,542.0,5.0,19.0,34.0,2.14,25.0,2.0,3.0,0.0,3.0,1.0,3.0,0.19,1.0,1.0,0.0,0.0,1.0,0.0,29.0,16,11.0,10.0,8.0,12.0,33.0,36.4,21.0,17.0,1.0,16.0,26,55.0,8.0,0.0,872.0,16.0,173.0,406.0,306.0,33.0,872.0,39.0,23.0,59.0,16.0,41.0,505.0,2720.0,1204.0,34.0,26.0,7.0,46.0,40.0,576.0,85.0,22,1432,65,46.8,15.9,15,89.0,14,7,14.0,3,0.91,12,31,-19,-1.19,-1.14,15.7,22.4,-6.6,-0.42,-0.02,0,20,18,1,16,16,0.0,0.0,0,109.0,8.0,27.0,22.9,-,Right Midfield,2/7/1994,,Austria,Vancouver Whitecaps FC,1.78,right,1/7/2016,1.FC Nuremberg,12/31/2024,1500000.0,https://www.transfermarkt.com/alessandro-schopf/profil/spieler/118397
8,472,7693,Alessandro Schopf_2021_Schalke 04,-0.5211453546895374,37.29,2021,Schalke 04,Bundesliga,Alessandro SchÃƒÂ¶pf,AUT,"FW,MF",26,1994,19,10,942,10.5,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,19.0,22.0,63.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.07,0.04,0.07,https://fbref.com/en/players/106bca06/Alessandro-Schopf,10.5,0,10,1,10.0,0.96,0.1,0.0,0.0,21.7,0.0,0,0,0.05,-0.5,-0.5,279.0,350.0,79.7,3671.0,898.0,169.0,198.0,85.4,79.0,91.0,86.8,8.0,13.0,61.5,0.2,0.4,-0.2,4.0,18.0,4.0,0.0,22.0,350.0,324.0,26.0,6.0,0.0,1.0,12,17.0,3.0,0.0,3.0,0.0,279.0,0.0,14.0,15.0,1.43,9.0,2.0,2.0,1.0,1.0,0.0,2.0,0.19,2.0,0.0,0.0,0.0,0.0,0.0,11.0,9,3.0,7.0,1.0,1.0,6.0,16.7,5.0,15.0,1.0,14.0,6,17.0,6.0,0.0,472.0,11.0,79.0,245.0,154.0,16.0,472.0,30.0,12.0,40.0,18.0,60.0,282.0,1558.0,608.0,19.0,16.0,4.0,23.0,29.0,313.0,63.0,19,942,50,30.8,10.5,10,71.0,3,9,26.0,10,0.42,10,33,-23,-2.2,-0.58,11.4,22.9,-11.5,-1.1,0.14,0,12,13,4,12,9,0.0,0.0,0,50.0,6.0,13.0,31.6,,Right Midfield,,,,,,,,,,2500000.0,
9,1247,1210,Antonio Candreva_2019_Inter,0.4820479085710416,61.019999999999996,2019,Inter,Serie A,Antonio Candreva,ITA,"FW,MF",31,1987,18,5,502,5.6,1,0,1,1,0,0,0,0,2.0,2.0,1.1,3.1,41.0,17.0,75.0,0.18,0.0,0.18,0.18,0.18,0.35,0.2,0.55,0.35,0.55,https://fbref.com/en/players/356c9002/Antonio-Candreva,5.6,1,21,7,33.3,3.76,1.25,0.05,0.14,20.1,1.0,0,0,0.09,-1.0,-1.0,203.0,294.0,69.0,3205.0,866.0,105.0,126.0,83.3,65.0,83.0,78.3,20.0,50.0,40.0,1.1,1.1,-1.1,17.0,12.0,15.0,10.0,17.0,294.0,257.0,37.0,6.0,0.0,2.0,71,9.0,22.0,3.0,12.0,1.0,203.0,0.0,16.0,31.0,5.57,18.0,9.0,1.0,1.0,2.0,0.0,3.0,0.54,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,8.0,12.5,7.0,0.0,0.0,0.0,4,5.0,9.0,0.0,351.0,4.0,29.0,115.0,208.0,31.0,351.0,11.0,6.0,54.5,5.0,45.5,235.0,1811.0,943.0,41.0,22.0,11.0,8.0,10.0,268.0,75.0,18,502,28,14.7,5.6,5,60.0,0,13,16.0,20,1.78,11,4,7,1.25,0.73,10.6,4.8,5.8,1.04,0.44,0,8,10,4,71,1,0.0,0.0,0,19.0,1.0,3.0,25.0,-,Right Midfield,2/28/1987,,Italy,US Salernitana 1919,1.8,right,8/3/2016,SS Lazio,6/30/2024,5500000.0,https://www.transfermarkt.com/antonio-candreva/profil/spieler/25488
