,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,286,89,Ainsley Maitland-Niles_2019_Arsenal,-1.5916411138846343,15.379999999999999,2019,Arsenal,Premier League,Ainsley Maitland-Niles,ENG,DF,20,1997,16,11,987,11.0,1,1,2,1,0,0,2,1,0.9,0.9,0.9,1.8,32.0,60.0,66.0,0.09,0.09,0.18,0.09,0.18,0.08,0.08,0.17,0.08,0.17,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,11.0,1,5,3,60.0,0.46,0.27,0.2,0.33,15.4,0.0,0,0,0.18,0.1,0.1,453.0,575.0,78.8,7039.0,2349.0,249.0,282.0,88.3,163.0,194.0,84.0,30.0,55.0,54.5,0.9,1.0,0.1,6.0,27.0,14.0,1.0,60.0,575.0,464.0,109.0,5.0,0.0,4.0,18,104.0,0.0,0.0,0.0,0.0,453.0,2.0,16.0,19.0,1.73,16.0,1.0,1.0,1.0,0.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,33.0,22,19.0,12.0,2.0,14.0,28.0,50.0,14.0,22.0,4.0,18.0,19,52.0,15.0,2.0,728.0,29.0,183.0,316.0,232.0,23.0,728.0,33.0,19.0,57.6,14.0,42.4,338.0,1948.0,1030.0,32.0,21.0,8.0,25.0,17.0,410.0,66.0,16,987,62,28.9,11.0,11,78.0,8,5,25.0,7,1.38,17,17,0,0.0,-0.81,15.6,18.7,-3.1,-0.29,-0.62,1,8,12,1,18,22,0.0,0.0,0,59.0,6.0,12.0,33.3,-,Right Midfield,8/29/1997,,England,Without Club,1.8,right,7/1/2017,Arsenal FC U23,,14500000.0,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845
1,287,2751,Ainsley Maitland-Niles_2020_Arsenal,-1.7428906370621462,7.6899999999999995,2020,Arsenal,Premier League,Ainsley Maitland-Niles,ENG,DF,21,1997,20,15,1386,15.4,0,2,2,0,0,0,6,1,0.4,0.4,1.5,2.0,38.0,61.0,34.0,0.0,0.13,0.13,0.0,0.13,0.03,0.1,0.13,0.03,0.13,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,15.4,0,4,1,25.0,0.26,0.06,0.0,0.0,18.0,0.0,0,0,0.11,-0.4,-0.4,841.0,1025.0,82.0,12850.0,4193.0,446.0,502.0,88.8,311.0,370.0,84.1,53.0,95.0,55.8,1.5,1.4,0.5,11.0,44.0,13.0,5.0,61.0,1025.0,839.0,185.0,19.0,2.0,4.0,18,166.0,0.0,0.0,0.0,0.0,841.0,1.0,11.0,21.0,1.36,17.0,1.0,1.0,0.0,0.0,2.0,3.0,0.19,2.0,0.0,0.0,0.0,0.0,1.0,41.0,23,34.0,5.0,2.0,22.0,43.0,51.2,21.0,12.0,3.0,9.0,28,69.0,38.0,0.0,1203.0,71.0,442.0,536.0,233.0,15.0,1203.0,34.0,19.0,55.9,15.0,44.1,596.0,3219.0,1917.0,38.0,23.0,9.0,17.0,18.0,744.0,34.0,20,1386,69,40.5,15.4,15,87.0,14,5,17.0,8,1.7,22,21,1,0.06,-0.24,19.3,22.7,-3.4,-0.22,0.0,1,15,13,0,18,23,0.0,0.0,0,86.0,17.0,12.0,58.6,-,Right Midfield,8/29/1997,,England,Without Club,1.8,right,7/1/2017,Arsenal FC U23,,16000000.0,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845
2,288,5487,Ainsley Maitland-Niles_2021_Arsenal,-1.4274292813633829,23.080000000000002,2021,Arsenal,Premier League,Ainsley Maitland-Niles,ENG,"MF,DF",22,1997,11,5,490,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,12.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,5.4,0,2,1,50.0,0.37,0.18,0.0,0.0,20.9,0.0,0,0,0.04,-0.1,-0.1,226.0,291.0,77.7,3689.0,985.0,114.0,127.0,89.8,88.0,114.0,77.2,16.0,30.0,53.3,0.1,0.2,-0.1,2.0,19.0,4.0,1.0,24.0,291.0,256.0,35.0,3.0,0.0,3.0,8,32.0,0.0,0.0,0.0,0.0,226.0,0.0,6.0,11.0,2.02,6.0,1.0,2.0,0.0,1.0,1.0,2.0,0.37,0.0,0.0,0.0,0.0,1.0,1.0,11.0,7,6.0,5.0,0.0,8.0,12.0,66.7,4.0,12.0,2.0,10.0,14,25.0,7.0,1.0,355.0,18.0,120.0,154.0,84.0,6.0,355.0,10.0,6.0,60.0,4.0,40.0,198.0,1018.0,479.0,12.0,10.0,3.0,10.0,7.0,215.0,21.0,11,490,45,14.3,5.4,5,85.0,4,6,11.0,8,1.64,8,6,2,0.37,-0.06,8.1,6.6,1.5,0.28,0.06,0,6,3,2,8,7,1.0,0.0,0,39.0,3.0,3.0,50.0,-,Right Midfield,8/29/1997,,England,Without Club,1.8,right,7/1/2017,Arsenal FC U23,,10000000.0,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845
3,289,8122,Ainsley Maitland-Niles_2021_West Brom,-0.7642553645411779,38.46,2021,West Brom,Premier League,Ainsley Maitland-Niles,ENG,MF,22,1997,15,14,1230,13.7,0,0,0,0,0,0,2,0,0.6,0.6,0.7,1.2,25.0,47.0,52.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,13.7,0,10,3,30.0,0.73,0.22,0.0,0.0,23.1,0.0,0,0,0.06,-0.6,-0.6,313.0,416.0,75.2,4264.0,1309.0,177.0,214.0,82.7,81.0,102.0,79.4,22.0,37.0,59.5,0.7,1.3,-0.7,4.0,28.0,9.0,2.0,47.0,416.0,391.0,21.0,1.0,0.0,3.0,12,3.0,2.0,1.0,0.0,0.0,313.0,4.0,13.0,22.0,1.61,19.0,0.0,1.0,0.0,2.0,0.0,2.0,0.15,1.0,0.0,0.0,0.0,1.0,0.0,22.0,10,7.0,8.0,7.0,9.0,28.0,32.1,19.0,12.0,1.0,11.0,17,39.0,24.0,0.0,583.0,36.0,131.0,260.0,199.0,25.0,583.0,33.0,16.0,48.5,17.0,51.5,292.0,1574.0,724.0,25.0,16.0,8.0,32.0,24.0,320.0,52.0,15,1230,82,36.0,13.7,14,87.0,10,1,18.0,0,0.93,14,17,-3,-0.22,1.34,17.4,21.4,-3.9,-0.29,0.87,0,10,14,0,12,10,1.0,0.0,0,77.0,5.0,19.0,20.8,,Right Midfield,,,,,,,,,,10000000.0,
4,292,13530,Ainsley Maitland-Niles_2023_Southampton,-2.686465365667429,0.0,2023,Southampton,Premier League,Ainsley Maitland-Niles,ENG,"DF,MF",24,1997,22,13,1407,15.6,0,0,0,0,0,0,3,0,0.0,0.0,0.7,0.7,15.0,57.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,15.6,0,1,1,100.0,0.06,0.06,0.0,0.0,31.4,0.0,0,0,0.02,0.0,0.0,565.0,713.0,79.2,9322.0,3245.0,288.0,331.0,87.0,214.0,258.0,82.9,50.0,84.0,59.5,0.7,0.7,-0.7,10.0,52.0,12.0,5.0,57.0,713.0,633.0,77.0,11.0,2.0,3.0,20,66.0,0.0,0.0,0.0,0.0,565.0,3.0,12.0,24.0,1.54,22.0,0.0,1.0,0.0,1.0,0.0,2.0,0.13,1.0,0.0,0.0,0.0,1.0,0.0,45.0,24,23.0,18.0,4.0,28.0,44.0,63.6,16.0,28.0,7.0,21.0,22,67.0,45.0,1.0,912.0,73.0,328.0,440.0,155.0,7.0,912.0,22.0,17.0,77.3,5.0,22.7,407.0,2036.0,885.0,15.0,13.0,2.0,26.0,13.0,509.0,35.0,22,1407,64,41.1,15.6,13,86.0,7,9,32.0,5,0.64,16,31,-15,-0.96,0.02,17.7,22.2,-4.5,-0.29,0.55,0,13,8,0,20,24,1.0,1.0,0,90.0,15.0,11.0,57.7,,Right Midfield,,,,,,,,,,8000000.0,
5,8409,1320,Marc Albrighton_2019_Leicester City,2.7697142100646244,92.31,2019,Leicester City,Premier League,Marc Albrighton,ENG,"FW,MF",28,1989,27,18,1625,18.1,2,2,4,2,0,0,3,0,1.2,1.2,2.9,4.1,54.0,64.0,172.0,0.11,0.11,0.22,0.11,0.22,0.07,0.16,0.23,0.07,0.23,https://fbref.com/en/players/b827d5b3/Marc-Albrighton,18.1,2,19,7,36.8,1.05,0.39,0.11,0.29,21.4,0.0,0,0,0.06,0.8,0.8,448.0,776.0,57.7,7849.0,2947.0,236.0,301.0,78.4,129.0,217.0,59.4,61.0,160.0,38.1,2.9,2.3,-0.9,28.0,53.0,29.0,14.0,64.0,776.0,732.0,33.0,5.0,9.0,9.0,125,19.0,8.0,3.0,3.0,1.0,448.0,11.0,54.0,47.0,2.6,37.0,4.0,3.0,3.0,0.0,0.0,4.0,0.22,4.0,0.0,0.0,0.0,0.0,0.0,35.0,22,18.0,14.0,3.0,13.0,31.0,41.9,18.0,26.0,3.0,23.0,23,58.0,30.0,0.0,1005.0,39.0,203.0,416.0,402.0,27.0,1005.0,55.0,20.0,36.4,35.0,63.6,633.0,3260.0,1410.0,54.0,30.0,3.0,35.0,23.0,656.0,172.0,27,1625,60,47.5,18.1,18,78.0,8,9,25.0,2,1.37,17,17,0,0.0,-0.15,19.9,23.1,-3.2,-0.18,-0.78,0,10,20,2,125,22,0.0,0.0,0,141.0,15.0,18.0,45.5,-,Right Midfield,11/18/1989,,England,Leicester City,1.75,right,7/1/2014,Aston Villa,6/30/2024,8000000.0,https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560
6,8410,3906,Marc Albrighton_2020_Leicester City,1.4395225481022427,76.92,2020,Leicester City,Premier League,Marc Albrighton,ENG,"MF,DF",29,1989,20,9,867,9.6,0,3,3,0,0,0,2,0,0.4,0.4,2.2,2.6,20.0,45.0,94.0,0.0,0.31,0.31,0.0,0.31,0.04,0.22,0.27,0.04,0.27,https://fbref.com/en/players/b827d5b3/Marc-Albrighton,9.6,0,10,2,20.0,1.04,0.21,0.0,0.0,20.7,0.0,0,0,0.04,-0.4,-0.4,339.0,499.0,67.9,5532.0,2035.0,179.0,216.0,82.9,110.0,145.0,75.9,36.0,97.0,37.1,2.2,1.6,0.8,19.0,39.0,21.0,8.0,45.0,499.0,464.0,35.0,2.0,3.0,5.0,69,23.0,10.0,1.0,6.0,1.0,339.0,0.0,14.0,27.0,2.8,23.0,2.0,1.0,1.0,0.0,0.0,5.0,0.52,5.0,0.0,0.0,0.0,0.0,0.0,24.0,17,10.0,13.0,1.0,9.0,30.0,30.0,21.0,19.0,2.0,17.0,10,34.0,8.0,0.0,618.0,12.0,102.0,245.0,284.0,20.0,618.0,33.0,14.0,42.4,19.0,57.6,393.0,1968.0,822.0,20.0,19.0,4.0,12.0,9.0,423.0,94.0,20,867,43,25.4,9.6,9,69.0,2,11,22.0,16,1.45,16,11,5,0.52,-0.22,15.3,12.0,3.2,0.34,-0.14,0,7,11,1,69,17,0.0,1.0,0,67.0,3.0,7.0,30.0,-,Right Midfield,11/18/1989,,England,Leicester City,1.75,right,7/1/2014,Aston Villa,6/30/2024,4000000.0,https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560
7,8411,6675,Marc Albrighton_2021_Leicester City,0.8407135342500491,61.53999999999999,2021,Leicester City,Premier League,Marc Albrighton,ENG,"DF,FW",30,1989,31,17,1746,19.4,1,5,6,1,0,0,2,0,1.2,1.2,3.5,4.7,46.0,84.0,139.0,0.05,0.26,0.31,0.05,0.31,0.06,0.18,0.24,0.06,0.24,https://fbref.com/en/players/b827d5b3/Marc-Albrighton,19.4,1,21,9,42.9,1.08,0.46,0.05,0.11,21.2,0.0,0,0,0.06,-0.2,-0.2,627.0,933.0,67.2,10197.0,3898.0,345.0,408.0,84.6,193.0,262.0,73.7,67.0,157.0,42.7,3.5,3.9,1.5,38.0,54.0,37.0,14.0,84.0,933.0,830.0,97.0,8.0,1.0,9.0,118,60.0,29.0,6.0,15.0,0.0,627.0,6.0,53.0,77.0,3.97,59.0,5.0,5.0,2.0,3.0,3.0,12.0,0.62,8.0,2.0,0.0,1.0,0.0,1.0,33.0,19,14.0,15.0,4.0,16.0,45.0,35.6,29.0,29.0,3.0,26.0,17,50.0,27.0,1.0,1163.0,37.0,246.0,462.0,476.0,37.0,1163.0,66.0,37.0,56.1,29.0,43.9,615.0,3494.0,1576.0,46.0,33.0,7.0,33.0,29.0,725.0,139.0,31,1746,56,51.1,19.4,17,80.0,9,14,27.0,7,1.9,36,22,14,0.72,0.51,30.5,24.1,6.4,0.33,0.15,0,9,19,4,118,19,0.0,0.0,0,138.0,10.0,36.0,21.7,-,Right Midfield,11/18/1989,,England,Leicester City,1.75,right,7/1/2014,Aston Villa,6/30/2024,2500000.0,https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560
8,8412,9550,Marc Albrighton_2022_Leicester City,2.4296248597422574,84.61999999999999,2022,Leicester City,Premier League,Marc Albrighton,ENG,"FW,DF",31,1989,17,11,1132,12.6,1,2,3,1,0,0,3,0,0.5,0.5,2.0,2.5,21.0,26.0,56.0,0.08,0.16,0.24,0.08,0.24,0.04,0.16,0.2,0.04,0.2,https://fbref.com/en/players/b827d5b3/Marc-Albrighton,12.6,1,4,1,25.0,0.32,0.08,0.25,1.0,16.3,0.0,0,0,0.12,0.5,0.5,347.0,558.0,62.2,5152.0,2040.0,220.0,258.0,85.3,86.0,145.0,59.3,26.0,94.0,27.7,2.0,1.0,0.0,11.0,23.0,8.0,6.0,26.0,558.0,452.0,101.0,15.0,2.0,3.0,78,48.0,37.0,27.0,6.0,0.0,347.0,5.0,27.0,19.0,1.51,12.0,4.0,0.0,0.0,3.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,31.0,19,16.0,9.0,6.0,10.0,47.0,21.3,37.0,15.0,3.0,12.0,14,45.0,20.0,0.0,705.0,35.0,166.0,302.0,243.0,12.0,705.0,40.0,15.0,37.5,25.0,62.5,357.0,1616.0,691.0,21.0,14.0,2.0,21.0,8.0,397.0,56.0,17,1132,67,33.1,12.6,11,90.0,11,6,24.0,17,1.35,17,24,-7,-0.56,-0.95,13.3,24.6,-11.3,-0.9,-0.89,0,6,13,2,78,19,0.0,0.0,0,65.0,4.0,13.0,23.5,-,Right Midfield,11/18/1989,,England,Leicester City,1.75,right,7/1/2014,Aston Villa,6/30/2024,1000000.0,https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560
9,9042,1755,Matt Ritchie_2019_Newcastle Utd,1.1935778666008432,69.23,2019,Newcastle Utd,Premier League,Matt Ritchie,SCO,"DF,MF",28,1989,36,35,2928,32.5,2,8,10,1,1,2,9,0,5.1,3.6,5.3,8.9,56.0,83.0,131.0,0.06,0.25,0.31,0.03,0.28,0.16,0.16,0.32,0.11,0.27,https://fbref.com/en/players/71ef519e/Matt-Ritchie,32.5,2,39,8,20.5,1.2,0.25,0.03,0.13,19.2,0.0,1,2,0.09,-3.1,-2.6,1034.0,1586.0,65.2,17181.0,6715.0,549.0,639.0,85.9,293.0,442.0,66.3,133.0,337.0,39.5,5.3,3.7,2.7,60.0,57.0,43.0,32.0,83.0,1586.0,1202.0,376.0,53.0,5.0,23.0,259,221.0,102.0,38.0,38.0,9.0,1034.0,8.0,70.0,109.0,3.35,61.0,33.0,5.0,5.0,4.0,1.0,12.0,0.37,6.0,3.0,2.0,1.0,0.0,0.0,70.0,44,35.0,27.0,8.0,19.0,47.0,40.4,28.0,34.0,11.0,23.0,51,121.0,76.0,1.0,1948.0,76.0,450.0,787.0,729.0,50.0,1946.0,32.0,15.0,46.9,17.0,53.1,817.0,4137.0,2068.0,56.0,53.0,3.0,45.0,19.0,994.0,131.0,36,2928,81,85.6,32.5,35,83.0,21,1,9.0,0,1.22,35,40,-5,-0.15,0.03,31.9,44.1,-12.2,-0.38,0.03,0,55,38,1,259,44,0.0,0.0,0,171.0,32.0,65.0,33.0,11,Right Midfield,9/10/1989,,Scotland,Newcastle United,1.73,left,7/1/2016,AFC Bournemouth,6/30/2024,9500000.0,https://www.transfermarkt.com/matt-ritchie/profil/spieler/92469
