,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,1657,2043,Benjamin Bourigeaud_2019_Rennes,-0.4511997819033144,44.0,2019,Rennes,Ligue 1,Benjamin Bourigeaud,FRA,"MF,FW",24,1994,34,28,2425,26.9,6,5,11,4,2,3,5,0,6.5,4.2,2.4,6.6,53.0,123.0,167.0,0.22,0.19,0.41,0.15,0.33,0.24,0.09,0.33,0.16,0.24,https://fbref.com/en/players/20e73fac/Benjamin-Bourigeaud,26.9,6,44,14,31.8,1.63,0.52,0.09,0.29,22.9,8.0,2,3,0.1,-0.5,-0.2,913.0,1227.0,74.4,17165.0,4616.0,415.0,482.0,86.1,332.0,421.0,78.9,142.0,252.0,56.3,2.4,2.5,2.6,33.0,95.0,21.0,9.0,123.0,1227.0,1107.0,117.0,41.0,6.0,31.0,120,20.0,55.0,37.0,13.0,0.0,913.0,3.0,32.0,69.0,2.56,48.0,13.0,0.0,3.0,2.0,3.0,11.0,0.41,6.0,2.0,0.0,3.0,0.0,0.0,55.0,35,23.0,21.0,11.0,20.0,67.0,29.9,47.0,44.0,5.0,39.0,32,87.0,34.0,1.0,1536.0,36.0,237.0,814.0,497.0,36.0,1533.0,32.0,10.0,31.3,22.0,68.8,818.0,3974.0,1910.0,53.0,35.0,5.0,40.0,24.0,992.0,167.0,34,2425,71,70.9,26.9,28,81.0,13,6,27.0,2,1.41,37,39,-2,-0.07,-0.53,35.4,35.9,-0.5,-0.02,-0.78,0,35,14,3,120,35,0.0,0.0,0,129.0,15.0,36.0,29.4,14,Right Midfield,1/14/1994,,France,Stade Rennais FC,1.78,right,7/1/2017,RC Lens,6/30/2026,12000000.0,https://www.transfermarkt.com/benjamin-bourigeaud/profil/spieler/266359
1,1658,4722,Benjamin Bourigeaud_2020_Rennes,-1.3085506280787382,20.0,2020,Rennes,Ligue 1,Benjamin Bourigeaud,FRA,MF,25,1994,25,21,1903,21.1,2,2,4,2,0,0,5,0,2.5,2.5,2.3,4.9,30.0,120.0,58.0,0.09,0.09,0.19,0.09,0.19,0.12,0.11,0.23,0.12,0.23,https://fbref.com/en/players/20e73fac/Benjamin-Bourigeaud,21.1,2,42,10,23.8,1.99,0.47,0.05,0.2,25.9,12.0,0,0,0.06,-0.5,-0.5,902.0,1211.0,74.5,18020.0,5424.0,370.0,431.0,85.8,357.0,442.0,80.8,160.0,273.0,58.6,2.3,2.7,-0.3,26.0,105.0,19.0,10.0,120.0,1211.0,1066.0,140.0,66.0,2.0,37.0,123,17.0,57.0,23.0,28.0,1.0,902.0,5.0,24.0,67.0,3.17,41.0,18.0,3.0,3.0,2.0,0.0,6.0,0.28,3.0,2.0,0.0,0.0,1.0,0.0,40.0,12,18.0,20.0,2.0,17.0,68.0,25.0,51.0,38.0,7.0,31.0,20,60.0,25.0,0.0,1453.0,40.0,283.0,829.0,352.0,14.0,1453.0,16.0,13.0,81.3,3.0,18.8,813.0,3459.0,1754.0,30.0,24.0,0.0,29.0,11.0,901.0,58.0,25,1903,76,75.5,21.1,21,86.0,16,4,23.0,0,1.84,29,20,9,0.43,-0.3,27.1,21.4,5.7,0.27,0.09,0,30,15,2,123,12,1.0,0.0,0,151.0,13.0,26.0,33.3,14,Right Midfield,1/14/1994,,France,Stade Rennais FC,1.78,right,7/1/2017,RC Lens,6/30/2026,15000000.0,https://www.transfermarkt.com/benjamin-bourigeaud/profil/spieler/266359
2,1659,7503,Benjamin Bourigeaud_2021_Rennes,-1.358673231690799,16.0,2021,Rennes,Ligue 1,Benjamin Bourigeaud,FRA,"MF,FW",26,1994,37,29,2552,28.4,6,5,11,6,0,0,8,0,4.3,4.3,5.6,9.9,21.0,192.0,164.0,0.21,0.18,0.39,0.21,0.39,0.15,0.2,0.35,0.15,0.35,https://fbref.com/en/players/20e73fac/Benjamin-Bourigeaud,28.4,6,64,24,37.5,2.26,0.85,0.09,0.25,22.2,11.0,0,0,0.07,1.7,1.7,1442.0,1908.0,75.6,26552.0,7192.0,667.0,749.0,89.1,519.0,643.0,80.7,220.0,399.0,55.1,5.6,7.0,-0.6,59.0,142.0,41.0,9.0,192.0,1908.0,1669.0,233.0,81.0,2.0,34.0,226,15.0,132.0,57.0,65.0,0.0,1442.0,6.0,45.0,120.0,4.23,64.0,49.0,1.0,6.0,0.0,0.0,11.0,0.39,5.0,6.0,0.0,0.0,0.0,0.0,40.0,23,17.0,16.0,7.0,21.0,71.0,29.6,50.0,37.0,1.0,36.0,19,59.0,25.0,0.0,2169.0,39.0,263.0,1136.0,782.0,55.0,2169.0,16.0,8.0,50.0,8.0,50.0,1136.0,3920.0,1749.0,21.0,31.0,6.0,30.0,15.0,1493.0,164.0,37,2552,69,74.6,28.4,29,82.0,15,8,22.0,0,1.57,33,27,6,0.21,-0.41,35.2,27.5,7.6,0.27,0.06,0,26,10,3,226,23,0.0,0.0,0,167.0,18.0,45.0,28.6,14,Right Midfield,1/14/1994,,France,Stade Rennais FC,1.78,right,7/1/2017,RC Lens,6/30/2026,18000000.0,https://www.transfermarkt.com/benjamin-bourigeaud/profil/spieler/266359
3,1660,10427,Benjamin Bourigeaud_2022_Rennes,-0.4266598354546793,48.0,2022,Rennes,Ligue 1,Benjamin Bourigeaud,FRA,"FW,MF",27,1994,38,38,3193,35.5,11,12,23,11,0,0,2,0,5.7,5.7,12.3,18.0,47.0,201.0,322.0,0.31,0.34,0.65,0.31,0.65,0.16,0.35,0.51,0.16,0.51,https://fbref.com/en/players/20e73fac/Benjamin-Bourigeaud,35.5,11,51,21,41.2,1.44,0.59,0.22,0.52,17.3,8.0,0,0,0.11,5.3,5.3,1374.0,1942.0,70.8,26382.0,8525.0,576.0,690.0,83.5,541.0,695.0,77.8,223.0,430.0,51.9,12.3,11.6,-0.3,122.0,133.0,82.0,26.0,201.0,1942.0,1665.0,269.0,56.0,10.0,25.0,294,42.0,171.0,47.0,104.0,0.0,1374.0,8.0,43.0,176.0,4.96,97.0,71.0,1.0,4.0,1.0,2.0,18.0,0.51,14.0,4.0,0.0,0.0,0.0,0.0,46.0,24,16.0,18.0,12.0,24.0,67.0,35.8,43.0,33.0,3.0,30.0,30,76.0,44.0,0.0,2263.0,60.0,266.0,1001.0,1009.0,91.0,2263.0,21.0,9.0,42.9,12.0,57.1,1294.0,6002.0,2613.0,47.0,50.0,14.0,41.0,20.0,1530.0,322.0,38,3193,84,93.4,35.5,38,84.0,15,0,,0,1.74,70,34,36,1.01,-1.36,56.7,37.7,19.0,0.54,0.22,0,25,8,4,294,24,0.0,0.0,0,144.0,14.0,45.0,23.7,14,Right Midfield,1/14/1994,,France,Stade Rennais FC,1.78,right,7/1/2017,RC Lens,6/30/2026,18000000.0,https://www.transfermarkt.com/benjamin-bourigeaud/profil/spieler/266359
4,1661,13281,Benjamin Bourigeaud_2023_Rennes,-0.732529340772516,36.0,2023,Rennes,Ligue 1,Benjamin Bourigeaud,FRA,"MF,FW",28,1994,37,37,3065,34.1,7,10,17,5,2,2,6,1,8.7,7.1,11.6,18.7,40.0,264.0,250.0,0.21,0.29,0.5,0.15,0.44,0.26,0.34,0.6,0.21,0.55,https://fbref.com/en/players/20e73fac/Benjamin-Bourigeaud,34.1,7,71,19,26.8,2.08,0.56,0.07,0.26,20.0,10.0,2,2,0.1,-1.7,-2.1,1505.0,2007.0,75.0,28664.0,9729.0,576.0,692.0,83.2,682.0,843.0,80.9,207.0,382.0,54.2,11.6,10.3,-1.6,98.0,183.0,96.0,19.0,264.0,2007.0,1766.0,230.0,63.0,13.0,23.0,231,39.0,128.0,45.0,64.0,0.0,1505.0,11.0,40.0,166.0,4.88,102.0,49.0,4.0,9.0,1.0,1.0,19.0,0.56,16.0,0.0,0.0,3.0,0.0,0.0,45.0,29,16.0,23.0,6.0,21.0,65.0,32.3,44.0,38.0,3.0,35.0,31,76.0,32.0,0.0,2305.0,53.0,274.0,1149.0,904.0,80.0,2303.0,33.0,14.0,42.4,17.0,51.5,1716.0,8088.0,3068.0,40.0,72.0,4.0,32.0,18.0,1602.0,250.0,37,3065,83,89.6,34.1,37,83.0,16,0,,0,1.76,64,35,29,0.85,0.6,55.3,39.1,16.1,0.47,0.19,1,35,14,2,231,29,0.0,0.0,0,176.0,10.0,32.0,23.8,14,Right Midfield,1/14/1994,,France,,1.78,right,7/1/2017,RC Lens,6/30/2026,18000000.0,https://www.transfermarkt.com/benjamin-bourigeaud/profil/spieler/266359
5,6143,8858,Jim Allevinah_2022_Clermont Foot,-0.04500120554651139,56.00000000000001,2022,Clermont Foot,Ligue 1,Jim Allevinah,GAB,FW,26,1995,30,13,1488,16.5,1,2,3,1,0,0,1,0,2.8,2.8,1.9,4.7,77.0,56.0,118.0,0.06,0.12,0.18,0.06,0.18,0.17,0.12,0.29,0.17,0.29,https://fbref.com/en/players/1956b948/Jim-Allevinah,16.5,1,43,15,34.9,2.6,0.91,0.02,0.07,19.2,1.0,0,0,0.07,-1.8,-1.8,416.0,545.0,76.3,6103.0,1306.0,245.0,287.0,85.4,123.0,164.0,75.0,29.0,44.0,65.9,1.9,1.4,0.1,15.0,44.0,10.0,2.0,56.0,545.0,524.0,16.0,3.0,1.0,5.0,34,4.0,9.0,5.0,1.0,0.0,416.0,5.0,18.0,53.0,3.21,32.0,4.0,9.0,6.0,1.0,1.0,3.0,0.18,2.0,0.0,0.0,1.0,0.0,0.0,18.0,13,8.0,8.0,2.0,5.0,18.0,27.8,13.0,11.0,0.0,11.0,6,24.0,4.0,0.0,747.0,8.0,105.0,339.0,319.0,64.0,747.0,68.0,32.0,47.1,36.0,52.9,565.0,4604.0,2177.0,77.0,48.0,17.0,42.0,40.0,595.0,118.0,30,1488,50,43.5,16.5,13,77.0,3,17,29.0,1,0.93,15,32,-17,-1.03,-0.38,18.8,23.4,-4.5,-0.27,-0.11,0,16,34,2,34,13,0.0,1.0,0,65.0,16.0,23.0,41.0,11,Right Midfield,2/27/1995,,Gabon,Clermont Foot 63,1.72,right,7/1/2019,Le Puy Foot 43 Auvergne,6/30/2024,2000000.0,https://www.transfermarkt.com/jim-allevinah/profil/spieler/646733
6,6144,11740,Jim Allevinah_2023_Clermont Foot,0.5323012812385544,68.0,2023,Clermont Foot,Ligue 1,Jim Allevinah,GAB,"DF,FW",27,1995,36,25,2244,24.9,1,1,2,1,0,0,2,0,2.5,2.5,2.0,4.5,82.0,59.0,141.0,0.04,0.04,0.08,0.04,0.08,0.1,0.08,0.18,0.1,0.18,https://fbref.com/en/players/1956b948/Jim-Allevinah,24.9,1,30,8,26.7,1.2,0.32,0.03,0.13,16.9,0.0,0,0,0.08,-1.5,-1.5,658.0,848.0,77.6,9331.0,2378.0,388.0,453.0,85.7,216.0,273.0,79.1,25.0,62.0,40.3,2.0,2.5,-1.0,18.0,37.0,14.0,9.0,59.0,848.0,789.0,58.0,7.0,0.0,3.0,65,50.0,0.0,0.0,0.0,0.0,658.0,1.0,32.0,48.0,1.93,39.0,1.0,3.0,2.0,3.0,0.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,39.0,24,24.0,11.0,4.0,19.0,62.0,30.6,43.0,24.0,2.0,22.0,24,63.0,26.0,1.0,1134.0,39.0,257.0,502.0,396.0,65.0,1134.0,88.0,34.0,38.6,45.0,51.1,851.0,6113.0,2685.0,82.0,62.0,14.0,46.0,40.0,746.0,141.0,36,2244,62,65.6,24.9,25,80.0,11,11,22.0,0,1.56,24,33,-9,-0.36,-0.74,30.4,38.0,-7.6,-0.31,-0.07,0,22,53,1,65,24,0.0,0.0,0,153.0,12.0,17.0,41.4,11,Right Midfield,2/27/1995,,Gabon,,1.72,right,7/1/2019,Le Puy Foot 43 Auvergne,6/30/2024,2000000.0,https://www.transfermarkt.com/jim-allevinah/profil/spieler/646733
7,6149,5427,Jimmy Cabot_2021_Angers,0.17784577579544433,60.0,2021,Angers,Ligue 1,Jimmy Cabot,FRA,"FW,MF",26,1994,22,8,942,10.5,1,1,2,1,0,0,1,0,0.8,0.8,1.1,1.9,33.0,42.0,84.0,0.1,0.1,0.19,0.1,0.19,0.08,0.11,0.18,0.08,0.18,https://fbref.com/en/players/46359159/Jimmy-Cabot,10.5,1,10,4,40.0,0.96,0.38,0.1,0.25,19.8,0.0,0,0,0.08,0.2,0.2,315.0,429.0,73.4,5004.0,1245.0,178.0,213.0,83.6,105.0,141.0,74.5,27.0,42.0,64.3,1.1,1.1,-0.1,11.0,27.0,16.0,3.0,42.0,429.0,417.0,12.0,3.0,2.0,2.0,26,5.0,4.0,1.0,1.0,0.0,315.0,0.0,15.0,20.0,1.91,15.0,0.0,2.0,2.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,26.0,13,8.0,14.0,4.0,11.0,36.0,30.6,25.0,8.0,0.0,8.0,12,38.0,6.0,0.0,575.0,4.0,85.0,252.0,249.0,26.0,575.0,56.0,24.0,42.9,32.0,57.1,374.0,2122.0,1018.0,33.0,25.0,5.0,34.0,12.0,397.0,84.0,22,942,43,27.5,10.5,8,66.0,0,14,30.0,2,1.09,13,19,-6,-0.57,-0.14,12.1,13.7,-1.6,-0.15,0.18,0,16,11,1,26,13,0.0,0.0,0,65.0,1.0,7.0,12.5,-,Right Midfield,4/18/1994,,France,RC Lens,1.64,right,9/25/2020,FC Lorient,6/30/2026,5000000.0,https://www.transfermarkt.com/jimmy-cabot/profil/spieler/206912
8,6150,8251,Jimmy Cabot_2022_Angers,-1.2683215571290367,24.0,2022,Angers,Ligue 1,Jimmy Cabot,FRA,DF,27,1994,24,24,2008,22.3,0,5,5,0,0,0,4,0,0.4,0.4,1.7,2.1,92.0,77.0,150.0,0.0,0.22,0.22,0.0,0.22,0.02,0.08,0.09,0.02,0.09,https://fbref.com/en/players/46359159/Jimmy-Cabot,22.3,0,11,3,27.3,0.49,0.13,0.0,0.0,22.4,0.0,0,0,0.04,-0.4,-0.4,1081.0,1381.0,78.3,18917.0,5045.0,536.0,597.0,89.8,424.0,524.0,80.9,107.0,196.0,54.6,1.7,1.5,3.3,18.0,55.0,23.0,10.0,77.0,1381.0,1150.0,229.0,11.0,3.0,21.0,69,215.0,3.0,0.0,1.0,0.0,1081.0,2.0,26.0,36.0,1.61,28.0,4.0,0.0,1.0,1.0,2.0,4.0,0.18,3.0,0.0,0.0,0.0,1.0,0.0,81.0,44,59.0,15.0,7.0,47.0,83.0,56.6,36.0,29.0,0.0,29.0,32,113.0,30.0,0.0,1712.0,47.0,490.0,777.0,474.0,29.0,1712.0,107.0,45.0,42.1,62.0,57.9,1040.0,7057.0,3914.0,92.0,63.0,13.0,60.0,21.0,1043.0,150.0,24,2008,84,58.7,22.3,24,84.0,20,0,,0,1.21,29,27,2,0.09,0.92,27.4,26.4,1.1,0.05,0.34,0,32,32,1,69,44,1.0,0.0,0,180.0,11.0,12.0,47.8,,Right Midfield,,,,,,,,,,3500000.0,
9,6151,12482,Jimmy Cabot_2023_Lens,-0.9495742317377114,32.0,2023,Lens,Ligue 1,Jimmy Cabot,FRA,"DF,MF",28,1994,11,5,511,5.7,0,1,1,0,0,0,2,0,0.3,0.3,2.1,2.4,26.0,29.0,65.0,0.0,0.18,0.18,0.0,0.18,0.05,0.37,0.43,0.05,0.43,https://fbref.com/en/players/46359159/Jimmy-Cabot,5.7,0,5,1,20.0,0.88,0.18,0.0,0.0,17.0,0.0,0,0,0.06,-0.3,-0.3,261.0,346.0,75.4,4629.0,1527.0,123.0,137.0,89.8,102.0,130.0,78.5,32.0,68.0,47.1,2.1,2.0,-1.1,17.0,19.0,13.0,4.0,29.0,346.0,266.0,78.0,4.0,1.0,2.0,50,41.0,33.0,12.0,14.0,0.0,261.0,2.0,7.0,31.0,5.45,23.0,7.0,0.0,0.0,0.0,1.0,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,20.0,12,10.0,8.0,2.0,12.0,26.0,46.2,14.0,5.0,0.0,5.0,4,24.0,12.0,0.0,432.0,13.0,88.0,162.0,193.0,19.0,432.0,24.0,12.0,50.0,11.0,45.8,282.0,2002.0,887.0,26.0,17.0,8.0,26.0,6.0,247.0,65.0,11,511,46,14.9,5.7,5,81.0,3,6,17.0,0,2.18,8,6,2,0.35,-0.79,11.2,6.7,4.5,0.78,0.19,0,14,0,1,50,12,0.0,0.0,0,50.0,3.0,3.0,50.0,19,Right Midfield,4/18/1994,,France,,1.64,right,7/1/2022,Angers SCO,6/30/2026,3500000.0,https://www.transfermarkt.com/jimmy-cabot/profil/spieler/206912
