,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,195,1989,Adnan Januzaj_2019_Real Sociedad,-0.7884551490825848,29.87,2019,Real Sociedad,La Liga,Adnan Januzaj,BEL,"FW,MF",23,1995,20,13,1254,13.9,1,3,4,1,0,0,1,0,2.4,2.4,3.0,5.4,72.0,54.0,173.0,0.07,0.22,0.29,0.07,0.29,0.17,0.21,0.39,0.17,0.39,https://fbref.com/en/players/4737cebe/Adnan-Januzaj,13.9,1,32,6,18.8,2.3,0.43,0.03,0.17,19.9,5.0,0,0,0.08,-1.4,-1.4,369.0,557.0,66.2,6946.0,2270.0,191.0,214.0,89.3,91.0,134.0,67.9,68.0,153.0,44.4,3.0,3.4,0.0,30.0,30.0,33.0,12.0,54.0,557.0,457.0,97.0,26.0,3.0,22.0,118,5.0,66.0,33.0,26.0,1.0,369.0,3.0,22.0,69.0,4.95,33.0,19.0,7.0,4.0,5.0,1.0,7.0,0.5,5.0,0.0,1.0,0.0,1.0,0.0,11.0,8,5.0,2.0,4.0,3.0,13.0,23.1,10.0,7.0,0.0,7.0,6,17.0,6.0,0.0,766.0,9.0,61.0,257.0,468.0,57.0,766.0,105.0,65.0,61.9,39.0,37.1,552.0,4311.0,2061.0,72.0,44.0,29.0,52.0,51.0,586.0,173.0,20,1254,63,36.7,13.9,13,86.0,8,7,20.0,0,1.35,21,11,10,0.72,1.17,21.9,17.3,4.6,0.33,0.47,0,16,35,5,118,8,0.0,0.0,0,59.0,3.0,14.0,17.6,-,Right Winger,2/5/1995,,Belgium,Sevilla FC,1.86,left,7/12/2017,Manchester United,6/30/2026,9500000.0,https://www.transfermarkt.com/adnan-januzaj/profil/spieler/177847
1,196,4676,Adnan Januzaj_2020_Real Sociedad,0.6059275435269117,57.14,2020,Real Sociedad,La Liga,Adnan Januzaj,BEL,"FW,MF",24,1995,24,13,1167,13.0,3,3,6,3,0,0,3,0,1.9,1.9,3.0,5.0,62.0,57.0,133.0,0.23,0.23,0.46,0.23,0.46,0.15,0.23,0.38,0.15,0.38,https://fbref.com/en/players/4737cebe/Adnan-Januzaj,13.0,3,24,8,33.3,1.85,0.62,0.13,0.38,20.3,4.0,0,0,0.08,1.1,1.1,316.0,495.0,63.8,5723.0,1810.0,153.0,203.0,75.4,97.0,129.0,75.2,50.0,114.0,43.9,3.0,2.4,0.0,23.0,23.0,24.0,2.0,57.0,495.0,435.0,57.0,24.0,4.0,8.0,65,4.0,28.0,19.0,3.0,1.0,316.0,3.0,20.0,60.0,4.63,31.0,9.0,7.0,4.0,7.0,2.0,6.0,0.46,3.0,1.0,0.0,1.0,0.0,1.0,8.0,7,3.0,2.0,3.0,3.0,16.0,18.8,13.0,9.0,1.0,8.0,7,15.0,2.0,0.0,667.0,6.0,45.0,283.0,343.0,38.0,667.0,68.0,37.0,54.4,31.0,45.6,503.0,3075.0,1566.0,62.0,35.0,20.0,50.0,30.0,534.0,133.0,24,1167,49,34.1,13.0,13,73.0,4,11,20.0,8,1.46,16,15,1,0.08,-0.2,16.6,12.9,3.7,0.29,0.21,0,25,39,2,65,7,0.0,0.0,0,51.0,4.0,14.0,22.2,-,Right Winger,2/5/1995,,Belgium,Sevilla FC,1.86,left,7/12/2017,Manchester United,6/30/2026,12000000.0,https://www.transfermarkt.com/adnan-januzaj/profil/spieler/177847
2,197,7452,Adnan Januzaj_2021_Real Sociedad,-2.7789249018002122,9.09,2021,Real Sociedad,La Liga,Adnan Januzaj,BEL,"FW,MF",25,1995,27,12,1014,11.3,4,5,9,1,3,3,2,0,5.0,2.6,4.0,6.6,45.0,67.0,116.0,0.36,0.44,0.8,0.09,0.53,0.44,0.35,0.79,0.23,0.58,https://fbref.com/en/players/4737cebe/Adnan-Januzaj,11.3,4,29,9,31.0,2.57,0.8,0.03,0.11,22.1,4.0,3,3,0.09,-1.0,-1.6,397.0,567.0,70.0,6787.0,2355.0,208.0,239.0,87.0,123.0,160.0,76.9,48.0,107.0,44.9,4.0,4.2,1.0,23.0,28.0,34.0,4.0,67.0,567.0,483.0,78.0,18.0,2.0,10.0,73,12.0,46.0,21.0,17.0,0.0,397.0,6.0,20.0,54.0,4.79,32.0,11.0,5.0,1.0,5.0,0.0,12.0,1.07,7.0,3.0,0.0,0.0,2.0,0.0,9.0,8,0.0,6.0,3.0,3.0,8.0,37.5,5.0,7.0,2.0,5.0,3,12.0,4.0,0.0,718.0,4.0,44.0,303.0,387.0,38.0,715.0,67.0,45.0,67.2,22.0,32.8,484.0,3075.0,1574.0,45.0,39.0,10.0,36.0,22.0,557.0,116.0,27,1014,38,29.6,11.3,12,64.0,0,15,16.0,5,1.7,24,10,14,1.24,0.98,24.2,7.6,16.5,1.47,1.28,0,8,36,2,73,8,1.0,0.0,0,60.0,8.0,11.0,42.1,-,Right Winger,2/5/1995,,Belgium,Sevilla FC,1.86,left,7/12/2017,Manchester United,6/30/2026,12000000.0,https://www.transfermarkt.com/adnan-januzaj/profil/spieler/177847
3,198,10364,Adnan Januzaj_2022_Real Sociedad,0.6262401024714409,58.440000000000005,2022,Real Sociedad,La Liga,Adnan Januzaj,BEL,"FW,MF",26,1995,33,17,1625,18.1,3,0,3,1,2,2,5,0,4.1,2.5,2.9,5.4,65.0,80.0,140.0,0.17,0.0,0.17,0.06,0.06,0.23,0.16,0.39,0.14,0.3,https://fbref.com/en/players/4737cebe/Adnan-Januzaj,18.1,3,40,13,32.5,2.22,0.72,0.03,0.08,23.1,9.0,2,2,0.06,-1.1,-1.5,486.0,749.0,64.9,9086.0,3098.0,231.0,268.0,86.2,161.0,224.0,71.9,76.0,190.0,40.0,2.9,3.7,-2.9,34.0,46.0,35.0,9.0,80.0,749.0,606.0,134.0,44.0,5.0,15.0,146,7.0,82.0,34.0,39.0,0.0,486.0,9.0,27.0,78.0,4.32,42.0,20.0,5.0,9.0,2.0,0.0,6.0,0.33,1.0,0.0,1.0,3.0,1.0,0.0,17.0,11,5.0,8.0,4.0,9.0,24.0,37.5,15.0,15.0,3.0,12.0,12,29.0,15.0,0.0,1037.0,19.0,100.0,425.0,526.0,51.0,1035.0,79.0,46.0,58.2,33.0,41.8,633.0,4080.0,1906.0,65.0,61.0,20.0,79.0,45.0,730.0,140.0,33,1625,49,47.5,18.1,17,72.0,1,16,25.0,0,1.61,13,14,-1,-0.06,-0.26,22.6,16.9,5.7,0.31,-0.04,0,28,51,4,146,11,1.0,0.0,0,93.0,10.0,19.0,34.5,,Right Winger,,,,,,,,,,6000000.0,
4,370,9278,Alberto Soro_2022_Granada,2.337781346718274,93.51,2022,Granada,La Liga,Alberto Soro,ESP,"MF,FW",22,1999,16,7,578,6.4,0,0,0,0,0,0,0,0,0.8,0.8,0.5,1.3,8.0,21.0,35.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.2,0.12,0.2,https://fbref.com/en/players/452c3055/Alberto-Soro,6.4,0,7,4,57.1,1.09,0.62,0.0,0.0,13.2,0.0,0,0,0.11,-0.8,-0.8,125.0,179.0,69.8,1715.0,591.0,78.0,91.0,85.7,36.0,54.0,66.7,5.0,15.0,33.3,0.5,0.4,-0.5,8.0,10.0,6.0,0.0,21.0,179.0,168.0,11.0,2.0,1.0,0.0,15,5.0,2.0,0.0,2.0,0.0,125.0,0.0,6.0,14.0,2.18,9.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10,3.0,6.0,3.0,1.0,7.0,14.3,6.0,21.0,2.0,19.0,3,15.0,4.0,0.0,260.0,6.0,59.0,96.0,107.0,18.0,260.0,11.0,6.0,54.5,5.0,45.5,129.0,605.0,316.0,8.0,5.0,2.0,18.0,14.0,156.0,35.0,16,578,36,16.9,6.4,7,68.0,1,9,11.0,18,1.06,11,14,-3,-0.47,-0.02,8.2,13.1,-4.9,-0.76,-0.21,0,5,5,2,15,10,0.0,0.0,0,37.0,10.0,19.0,34.5,,Right Winger,,,,,,,,,,2500000.0,
5,386,9087,Aleix Vidal_2022_Espanyol,1.6369931685426349,81.82000000000001,2022,Espanyol,La Liga,Aleix Vidal,ESP,"DF,MF",31,1989,31,21,1901,21.1,2,0,2,2,0,0,10,0,0.7,0.7,2.3,3.0,44.0,78.0,120.0,0.09,0.0,0.09,0.09,0.09,0.03,0.11,0.14,0.03,0.14,https://fbref.com/en/players/04965583/Aleix-Vidal,21.1,2,6,3,50.0,0.28,0.14,0.33,0.67,18.4,0.0,0,0,0.11,1.3,1.3,877.0,1093.0,80.2,14118.0,4962.0,439.0,475.0,92.4,341.0,411.0,83.0,61.0,121.0,50.4,2.3,2.2,-2.3,26.0,53.0,28.0,9.0,78.0,1093.0,912.0,178.0,39.0,0.0,14.0,52,135.0,4.0,2.0,1.0,0.0,877.0,3.0,32.0,61.0,2.89,41.0,7.0,5.0,0.0,4.0,4.0,3.0,0.14,2.0,0.0,1.0,0.0,0.0,0.0,31.0,25,17.0,9.0,5.0,19.0,39.0,48.7,20.0,19.0,6.0,13.0,25,56.0,35.0,2.0,1285.0,64.0,394.0,495.0,404.0,18.0,1285.0,32.0,12.0,37.5,20.0,62.5,643.0,3081.0,1668.0,44.0,29.0,4.0,25.0,15.0,753.0,120.0,31,1901,61,55.6,21.1,21,80.0,9,10,22.0,1,1.06,21,34,-13,-0.62,-0.62,19.9,31.9,-12.0,-0.57,-0.42,0,24,31,1,52,25,0.0,1.0,0,127.0,10.0,9.0,52.6,-,Right Winger,8/21/1989,,Spain,Without Club,1.77,right,8/18/2021,Sevilla FC,,1500000.0,https://www.transfermarkt.com/aleix-vidal/profil/spieler/88490
6,387,12019,Aleix Vidal_2023_Espanyol,1.1304069801808627,72.72999999999999,2023,Espanyol,La Liga,Aleix Vidal,ESP,"MF,FW",32,1989,25,10,1025,11.4,0,3,3,0,0,0,10,1,0.1,0.1,2.2,2.4,16.0,23.0,53.0,0.0,0.26,0.26,0.0,0.26,0.01,0.2,0.21,0.01,0.21,https://fbref.com/en/players/04965583/Aleix-Vidal,11.4,0,3,2,66.7,0.26,0.18,0.0,0.0,17.4,0.0,0,0,0.04,-0.1,-0.1,279.0,384.0,72.7,4979.0,1379.0,147.0,176.0,83.5,90.0,127.0,70.9,37.0,53.0,69.8,2.2,1.3,0.8,15.0,19.0,10.0,4.0,23.0,384.0,328.0,54.0,11.0,1.0,3.0,39,36.0,6.0,0.0,4.0,0.0,279.0,2.0,17.0,25.0,2.2,16.0,5.0,3.0,0.0,0.0,1.0,5.0,0.44,3.0,1.0,0.0,0.0,0.0,1.0,11.0,5,6.0,3.0,2.0,4.0,22.0,18.2,18.0,21.0,2.0,19.0,15,26.0,14.0,0.0,489.0,19.0,99.0,205.0,188.0,15.0,489.0,19.0,7.0,36.8,11.0,57.9,238.0,1219.0,457.0,16.0,5.0,3.0,15.0,7.0,250.0,53.0,25,1025,41,30.0,11.4,10,66.0,1,15,25.0,6,1.16,18,19,-1,-0.09,0.51,17.5,15.5,2.0,0.18,0.69,1,23,17,1,39,5,0.0,0.0,0,63.0,3.0,7.0,30.0,,Right Winger,,,,,,,,,,1500000.0,
7,1265,3629,Antonio Puertas_2020_Granada,0.8193301850693376,63.63999999999999,2020,Granada,La Liga,Antonio Puertas,ESP,"FW,MF",27,1992,36,27,2563,28.5,7,3,10,7,0,0,7,0,6.5,6.5,3.6,10.1,69.0,45.0,157.0,0.25,0.11,0.35,0.25,0.35,0.23,0.13,0.35,0.23,0.35,https://fbref.com/en/players/c77a8043/Antonio-Puertas,28.5,7,44,18,40.9,1.55,0.63,0.16,0.39,16.2,0.0,0,0,0.15,0.5,0.5,514.0,745.0,69.0,6913.0,1534.0,330.0,405.0,81.5,119.0,180.0,66.1,32.0,60.0,53.3,3.6,2.6,-0.6,19.0,30.0,13.0,7.0,45.0,745.0,714.0,28.0,8.0,2.0,6.0,49,19.0,1.0,0.0,1.0,0.0,514.0,3.0,28.0,63.0,2.21,40.0,2.0,9.0,4.0,6.0,2.0,10.0,0.35,6.0,0.0,3.0,1.0,0.0,0.0,37.0,24,8.0,18.0,11.0,16.0,53.0,30.2,37.0,21.0,3.0,18.0,12,49.0,21.0,0.0,1088.0,29.0,157.0,451.0,501.0,90.0,1088.0,89.0,48.0,53.9,41.0,46.1,701.0,4229.0,1893.0,69.0,42.0,20.0,70.0,55.0,757.0,157.0,36,2563,71,74.9,28.5,27,84.0,19,9,32.0,0,1.39,43,31,12,0.42,0.95,33.5,34.7,-1.2,-0.04,-0.41,0,39,37,5,49,24,0.0,0.0,0,121.0,63.0,98.0,39.1,10,Right Winger,2/21/1992,,Spain,Granada CF,1.83,right,7/1/2017,UD AlmerÃƒÂ­a,6/30/2024,5000000.0,https://www.transfermarkt.com/antonio-puertas/profil/spieler/262365
8,1266,6407,Antonio Puertas_2021_Granada,1.6821569880977527,84.42,2021,Granada,La Liga,Antonio Puertas,ESP,"FW,MF",28,1992,35,22,2170,24.1,3,5,8,3,0,0,6,0,3.3,3.3,2.3,5.6,49.0,47.0,140.0,0.12,0.21,0.33,0.12,0.33,0.14,0.1,0.23,0.14,0.23,https://fbref.com/en/players/c77a8043/Antonio-Puertas,24.1,3,26,11,42.3,1.08,0.46,0.12,0.27,16.8,0.0,0,0,0.13,-0.3,-0.3,418.0,652.0,64.1,5773.0,1456.0,254.0,323.0,78.6,105.0,168.0,62.5,25.0,69.0,36.2,2.3,1.3,2.7,17.0,28.0,13.0,4.0,47.0,652.0,597.0,49.0,3.0,2.0,2.0,53,42.0,1.0,1.0,0.0,0.0,418.0,6.0,35.0,46.0,1.91,33.0,3.0,5.0,2.0,3.0,0.0,6.0,0.25,5.0,0.0,1.0,0.0,0.0,0.0,27.0,13,9.0,12.0,6.0,10.0,32.0,31.3,22.0,24.0,5.0,19.0,12,39.0,25.0,0.0,929.0,31.0,156.0,356.0,426.0,63.0,929.0,66.0,43.0,65.2,23.0,34.8,492.0,2956.0,1342.0,49.0,29.0,14.0,71.0,41.0,594.0,140.0,35,2170,62,63.5,24.1,22,81.0,14,13,30.0,0,1.23,24,40,-16,-0.66,-0.52,23.6,34.4,-10.8,-0.45,-0.14,0,31,25,13,53,13,0.0,0.0,0,89.0,47.0,90.0,34.3,10,Right Winger,2/21/1992,,Spain,Granada CF,1.83,right,7/1/2017,UD AlmerÃƒÂ­a,6/30/2024,4500000.0,https://www.transfermarkt.com/antonio-puertas/profil/spieler/262365
9,1267,9272,Antonio Puertas_2022_Granada,1.3731562379153017,77.92,2022,Granada,La Liga,Antonio Puertas,ESP,"MF,FW",29,1992,33,25,2261,25.1,6,1,7,6,0,0,4,0,3.5,3.5,0.9,4.4,51.0,54.0,126.0,0.24,0.04,0.28,0.24,0.28,0.14,0.04,0.17,0.14,0.17,https://fbref.com/en/players/c77a8043/Antonio-Puertas,25.1,6,33,14,42.4,1.31,0.56,0.18,0.43,14.2,0.0,0,0,0.1,2.5,2.5,482.0,690.0,69.9,7080.0,1803.0,278.0,349.0,79.7,139.0,190.0,73.2,35.0,65.0,53.8,0.9,1.0,0.1,18.0,30.0,18.0,8.0,54.0,690.0,651.0,36.0,2.0,3.0,5.0,42,31.0,2.0,0.0,0.0,0.0,482.0,3.0,29.0,46.0,1.83,32.0,3.0,6.0,1.0,3.0,1.0,6.0,0.24,4.0,0.0,1.0,0.0,0.0,1.0,34.0,20,18.0,12.0,4.0,17.0,44.0,38.6,27.0,33.0,3.0,30.0,11,45.0,36.0,0.0,989.0,34.0,184.0,428.0,391.0,64.0,989.0,56.0,31.0,55.4,25.0,44.6,520.0,3214.0,1426.0,51.0,37.0,14.0,56.0,40.0,640.0,126.0,33,2261,69,66.1,25.1,25,79.0,8,8,36.0,5,1.09,27,34,-7,-0.28,0.5,24.6,36.1,-11.5,-0.46,0.37,0,44,30,9,42,20,0.0,1.0,0,114.0,48.0,74.0,39.3,,Right Winger,,,,,,,,,,4500000.0,
