,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,180,6307,Ademola Lookman_2021_Fulham,1.2345055317354077,76.79,2021,Fulham,Premier League,Ademola Lookman,NGA,"FW,MF",22,1997,34,31,2747,30.5,4,4,8,4,0,1,5,0,6.3,5.5,5.2,10.7,110.0,110.0,236.0,0.13,0.13,0.26,0.13,0.26,0.21,0.17,0.37,0.18,0.35,https://fbref.com/en/players/7c104bb7/Ademola-Lookman,30.5,4,68,22,32.4,2.23,0.72,0.06,0.18,17.8,4.0,0,1,0.08,-2.3,-1.5,892.0,1199.0,74.4,13128.0,3607.0,497.0,577.0,86.1,295.0,378.0,78.0,56.0,128.0,43.8,5.2,4.2,-1.2,61.0,51.0,41.0,5.0,110.0,1199.0,1035.0,160.0,37.0,6.0,3.0,134,12.0,84.0,33.0,29.0,8.0,892.0,4.0,36.0,127.0,4.16,82.0,24.0,6.0,9.0,6.0,0.0,9.0,0.29,5.0,2.0,1.0,1.0,0.0,0.0,35.0,11,18.0,9.0,8.0,13.0,44.0,29.5,31.0,31.0,1.0,30.0,20,55.0,9.0,0.0,1576.0,12.0,145.0,650.0,810.0,132.0,1575.0,128.0,82.0,64.1,46.0,35.9,962.0,6839.0,3071.0,110.0,67.0,52.0,107.0,73.0,1075.0,236.0,34,2747,81,80.3,30.5,31,86.0,19,3,25.0,0,0.82,23,33,-10,-0.33,1.81,34.7,39.0,-4.4,-0.14,0.89,0,46,59,12,134,11,0.0,0.0,0,168.0,7.0,22.0,24.1,,Second Striker,,,,,,,,,,10000000.0,
1,182,11289,Ademola Lookman_2023_Atalanta,-0.7306713801569921,30.36,2023,Atalanta,Serie A,Ademola Lookman,NGA,"FW,MF",24,1997,31,20,1729,19.2,13,6,19,10,3,3,3,0,9.1,6.7,6.6,13.3,73.0,79.0,185.0,0.68,0.31,0.99,0.52,0.83,0.47,0.34,0.82,0.35,0.69,https://fbref.com/en/players/7c104bb7/Ademola-Lookman,19.2,13,49,23,46.9,2.55,1.2,0.2,0.43,15.8,1.0,3,3,0.14,3.9,3.3,492.0,649.0,75.8,6802.0,2025.0,284.0,333.0,85.3,144.0,189.0,76.2,25.0,44.0,56.8,6.6,4.9,-0.6,39.0,30.0,33.0,4.0,79.0,649.0,601.0,46.0,7.0,6.0,3.0,38,11.0,16.0,2.0,7.0,0.0,492.0,2.0,25.0,87.0,4.53,60.0,6.0,10.0,5.0,5.0,1.0,12.0,0.62,8.0,0.0,1.0,2.0,1.0,0.0,13.0,5,2.0,6.0,5.0,3.0,15.0,20.0,12.0,18.0,0.0,18.0,4,17.0,1.0,0.0,867.0,2.0,58.0,350.0,470.0,111.0,864.0,80.0,34.0,42.5,37.0,46.3,572.0,3472.0,1744.0,73.0,28.0,33.0,47.0,46.0,675.0,185.0,31,1729,56,50.6,19.2,20,73.0,3,11,25.0,1,1.65,38,23,15,0.78,0.62,34.7,20.9,13.8,0.72,0.58,0,24,36,11,38,5,1.0,0.0,0,86.0,3.0,13.0,18.8,11,Second Striker,10/20/1997,,Nigeria,,1.74,right,8/4/2022,RB Leipzig,6/30/2026,30000000.0,https://www.transfermarkt.com/ademola-lookman/profil/spieler/406040
2,191,2625,Admir Mehmedi_2019_Wolfsburg,0.4834563066228496,51.790000000000006,2019,Wolfsburg,Bundesliga,Admir Mehmedi,SUI,"FW,MF",27,1991,26,20,1692,18.8,6,5,11,6,0,0,1,0,4.0,4.0,3.6,7.6,36.0,74.0,176.0,0.32,0.27,0.59,0.32,0.59,0.21,0.19,0.41,0.21,0.41,https://fbref.com/en/players/b500b384/Admir-Mehmedi,18.8,6,36,13,36.1,1.91,0.69,0.17,0.46,17.1,1.0,0,0,0.11,2.0,2.0,562.0,784.0,71.7,8285.0,2441.0,315.0,381.0,82.7,153.0,207.0,73.9,47.0,101.0,46.5,3.6,4.3,1.4,36.0,28.0,27.0,7.0,74.0,784.0,671.0,109.0,22.0,4.0,6.0,78,25.0,47.0,14.0,16.0,2.0,562.0,4.0,23.0,78.0,4.15,47.0,16.0,3.0,5.0,6.0,1.0,10.0,0.53,5.0,1.0,0.0,2.0,1.0,1.0,46.0,28,19.0,19.0,8.0,18.0,44.0,40.9,26.0,25.0,0.0,25.0,12,58.0,9.0,0.0,1007.0,9.0,130.0,418.0,468.0,78.0,1007.0,29.0,13.0,44.8,16.0,55.2,533.0,2681.0,1112.0,36.0,30.0,17.0,45.0,28.0,654.0,176.0,26,1692,65,55.3,18.8,20,78.0,7,6,22.0,1,1.69,35,25,10,0.53,0.4,25.9,25.2,0.7,0.04,0.13,0,28,38,17,78,28,0.0,0.0,0,84.0,24.0,39.0,38.1,-,Second Striker,3/16/1991,,Switzerland,Without Club,1.83,right,1/31/2018,Bayer 04 Leverkusen,,8000000.0,https://www.transfermarkt.com/admir-mehmedi/profil/spieler/66058
3,192,5355,Admir Mehmedi_2020_Wolfsburg,1.3405791620218162,78.57,2020,Wolfsburg,Bundesliga,Admir Mehmedi,SUI,"MF,FW",28,1991,21,14,1200,13.3,2,2,4,2,0,0,0,0,1.6,1.6,2.0,3.7,14.0,55.0,94.0,0.15,0.15,0.3,0.15,0.3,0.12,0.15,0.28,0.12,0.28,https://fbref.com/en/players/b500b384/Admir-Mehmedi,13.3,2,23,9,39.1,1.72,0.68,0.09,0.22,17.1,0.0,0,0,0.07,0.4,0.4,410.0,570.0,71.9,5893.0,1650.0,239.0,285.0,83.9,106.0,147.0,72.1,31.0,69.0,44.9,2.0,2.3,0.0,19.0,37.0,15.0,3.0,55.0,570.0,512.0,57.0,16.0,4.0,7.0,41,11.0,20.0,5.0,11.0,0.0,410.0,1.0,16.0,42.0,3.15,29.0,7.0,0.0,2.0,4.0,0.0,6.0,0.45,5.0,0.0,0.0,0.0,1.0,0.0,14.0,6,2.0,9.0,3.0,4.0,15.0,26.7,11.0,10.0,0.0,10.0,5,19.0,4.0,0.0,687.0,6.0,71.0,326.0,295.0,34.0,687.0,12.0,6.0,50.0,6.0,50.0,387.0,1589.0,742.0,14.0,17.0,5.0,22.0,18.0,511.0,94.0,21,1200,57,39.2,13.3,14,74.0,2,7,24.0,0,1.57,20,15,5,0.37,0.52,18.9,15.5,3.4,0.25,-0.06,0,25,25,9,41,6,0.0,0.0,0,67.0,22.0,26.0,45.8,-,Second Striker,3/16/1991,,Switzerland,Without Club,1.83,right,1/31/2018,Bayer 04 Leverkusen,,4000000.0,https://www.transfermarkt.com/admir-mehmedi/profil/spieler/66058
4,193,8171,Admir Mehmedi_2021_Wolfsburg,-0.061700854660706954,44.64,2021,Wolfsburg,Bundesliga,Admir Mehmedi,SUI,"MF,FW",29,1991,18,8,820,9.1,0,2,2,0,0,0,0,0,0.6,0.6,2.4,3.0,17.0,71.0,60.0,0.0,0.22,0.22,0.0,0.22,0.07,0.27,0.33,0.07,0.33,https://fbref.com/en/players/b500b384/Admir-Mehmedi,9.1,0,7,3,42.9,0.77,0.33,0.0,0.0,16.3,0.0,0,0,0.09,-0.6,-0.6,340.0,440.0,77.3,4998.0,1304.0,185.0,220.0,84.1,106.0,132.0,80.3,21.0,36.0,58.3,2.4,2.5,-0.4,18.0,35.0,17.0,1.0,71.0,440.0,410.0,28.0,7.0,1.0,8.0,20,4.0,7.0,2.0,1.0,0.0,340.0,2.0,13.0,39.0,4.28,33.0,1.0,1.0,2.0,2.0,0.0,3.0,0.33,3.0,0.0,0.0,0.0,0.0,0.0,17.0,9,6.0,7.0,4.0,6.0,16.0,37.5,10.0,7.0,0.0,7.0,5,22.0,1.0,0.0,528.0,4.0,47.0,246.0,238.0,33.0,528.0,8.0,7.0,87.5,1.0,12.5,270.0,1186.0,498.0,17.0,19.0,4.0,24.0,18.0,385.0,60.0,18,820,46,26.8,9.1,8,76.0,0,10,21.0,10,1.94,15,8,7,0.77,0.09,13.8,11.4,2.3,0.26,0.07,0,19,15,10,20,9,0.0,0.0,0,45.0,5.0,19.0,20.8,-,Second Striker,3/16/1991,,Switzerland,Without Club,1.83,right,1/31/2018,Bayer 04 Leverkusen,,1000000.0,https://www.transfermarkt.com/admir-mehmedi/profil/spieler/66058
5,1204,2921,Antoine Griezmann_2020_Barcelona,0.9692220879993739,69.64,2020,Barcelona,La Liga,Antoine Griezmann,FRA,FW,28,1991,35,31,2549,28.3,9,4,13,9,0,0,2,0,7.2,7.2,4.5,11.7,40.0,83.0,229.0,0.32,0.14,0.46,0.32,0.46,0.26,0.16,0.41,0.26,0.41,https://fbref.com/en/players/df69b544/Antoine-Griezmann,28.3,9,55,23,41.8,1.94,0.81,0.16,0.39,14.9,0.0,0,0,0.13,1.8,1.8,924.0,1147.0,80.6,12266.0,2108.0,573.0,657.0,87.2,224.0,269.0,83.3,55.0,77.0,71.4,4.5,4.8,-0.5,32.0,49.0,31.0,3.0,83.0,1147.0,1106.0,38.0,4.0,7.0,13.0,22,5.0,7.0,1.0,2.0,0.0,924.0,3.0,28.0,60.0,2.12,52.0,1.0,1.0,3.0,3.0,0.0,10.0,0.35,9.0,0.0,0.0,1.0,0.0,0.0,33.0,18,12.0,11.0,10.0,9.0,34.0,26.5,25.0,22.0,3.0,19.0,12,45.0,20.0,1.0,1381.0,29.0,129.0,575.0,689.0,139.0,1381.0,34.0,20.0,58.8,14.0,41.2,805.0,3314.0,1433.0,40.0,33.0,21.0,43.0,22.0,1096.0,229.0,35,2549,73,74.5,28.3,31,81.0,15,4,13.0,1,2.17,61,29,32,1.13,-0.52,45.0,27.1,17.9,0.63,-0.42,0,10,21,16,22,18,0.0,0.0,0,84.0,29.0,29.0,50.0,-,Second Striker,3/21/1991,,France,AtlÃƒÂ©tico de Madrid,1.76,left,7/14/2019,AtlÃƒÂ©tico de Madrid,6/30/2026,60000000.0,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781
6,1205,5645,Antoine Griezmann_2021_Barcelona,-0.46069008109155973,37.5,2021,Barcelona,La Liga,Antoine Griezmann,FRA,"FW,MF",29,1991,36,32,2604,28.9,13,7,20,12,1,2,4,0,12.1,10.5,5.6,16.1,41.0,104.0,224.0,0.45,0.24,0.69,0.41,0.66,0.42,0.19,0.61,0.36,0.56,https://fbref.com/en/players/df69b544/Antoine-Griezmann,28.9,13,69,32,46.4,2.38,1.11,0.17,0.38,14.7,0.0,1,2,0.15,0.9,1.5,1168.0,1352.0,86.4,15333.0,2573.0,720.0,791.0,91.0,287.0,327.0,87.8,64.0,77.0,83.1,5.6,5.6,1.4,42.0,59.0,31.0,3.0,104.0,1352.0,1296.0,52.0,10.0,3.0,7.0,22,10.0,14.0,2.0,2.0,0.0,1168.0,4.0,20.0,95.0,3.28,80.0,4.0,6.0,2.0,3.0,0.0,11.0,0.38,8.0,1.0,1.0,0.0,1.0,0.0,37.0,22,10.0,18.0,9.0,12.0,40.0,30.0,28.0,20.0,1.0,19.0,12,49.0,11.0,0.0,1585.0,23.0,134.0,616.0,846.0,173.0,1583.0,37.0,26.0,70.3,11.0,29.7,907.0,4066.0,1742.0,41.0,47.0,12.0,34.0,23.0,1278.0,224.0,36,2604,72,76.1,28.9,32,79.0,12,4,20.0,2,2.03,66,31,35,1.21,-0.11,54.3,30.8,23.5,0.81,-0.2,0,13,34,13,22,22,2.0,0.0,0,100.0,18.0,17.0,51.4,-,Second Striker,3/21/1991,,France,AtlÃƒÂ©tico de Madrid,1.76,left,7/14/2019,AtlÃƒÂ©tico de Madrid,6/30/2026,35000000.0,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781
7,1206,8421,Antoine Griezmann_2022_Atletico Madrid,0.7766182472952262,64.29,2022,AtlÃƒÂ©tico Madrid,La Liga,Antoine Griezmann,FRA,"FW,MF",30,1991,26,21,1695,18.8,3,4,7,3,0,0,3,0,5.1,5.1,3.1,8.2,39.0,53.0,126.0,0.16,0.21,0.37,0.16,0.37,0.27,0.17,0.44,0.27,0.44,https://fbref.com/en/players/df69b544/Antoine-Griezmann,18.8,3,43,14,32.6,2.28,0.74,0.07,0.21,16.3,3.0,0,0,0.12,-2.1,-2.1,544.0,704.0,77.3,7532.0,1658.0,315.0,373.0,84.5,143.0,186.0,76.9,35.0,61.0,57.4,3.1,3.0,0.9,26.0,38.0,12.0,0.0,53.0,704.0,653.0,46.0,12.0,5.0,8.0,34,7.0,22.0,14.0,4.0,0.0,544.0,5.0,11.0,49.0,2.6,36.0,8.0,1.0,1.0,2.0,1.0,10.0,0.53,8.0,0.0,1.0,0.0,0.0,1.0,30.0,14,11.0,15.0,4.0,12.0,32.0,37.5,20.0,18.0,1.0,17.0,7,37.0,18.0,0.0,890.0,16.0,102.0,423.0,377.0,70.0,890.0,29.0,19.0,65.5,10.0,34.5,474.0,2408.0,1114.0,39.0,33.0,10.0,33.0,24.0,657.0,126.0,26,1695,65,49.6,18.8,21,71.0,5,5,40.0,1,1.96,24,16,8,0.42,-0.31,24.0,14.8,9.2,0.49,-0.14,0,18,27,10,34,14,0.0,0.0,0,72.0,31.0,53.0,36.9,,Second Striker,,,,,,,,,,25000000.0,
8,2249,10746,Chris Fuhrich_2022_Stuttgart,1.770728541729164,87.5,2022,Stuttgart,Bundesliga,Chris FÃƒÂ¼hrich,GER,"FW,MF",23,1998,25,21,1714,19.0,3,2,5,3,0,0,3,0,3.2,3.2,4.2,7.4,61.0,69.0,102.0,0.16,0.11,0.26,0.16,0.26,0.17,0.22,0.39,0.17,0.39,https://fbref.com/en/players/0cf778df/Chris-Fuhrich,19.0,3,30,12,40.0,1.58,0.63,0.1,0.25,19.6,0.0,0,0,0.11,-0.2,-0.2,553.0,698.0,79.2,8245.0,2406.0,292.0,331.0,88.2,173.0,212.0,81.6,42.0,77.0,54.5,4.2,4.9,-2.2,32.0,39.0,28.0,5.0,69.0,698.0,610.0,84.0,28.0,4.0,4.0,61,26.0,23.0,4.0,17.0,0.0,553.0,4.0,15.0,64.0,3.36,40.0,13.0,5.0,2.0,4.0,0.0,4.0,0.21,1.0,2.0,0.0,1.0,0.0,0.0,28.0,16,10.0,10.0,8.0,18.0,39.0,46.2,21.0,31.0,2.0,29.0,8,36.0,9.0,0.0,900.0,16.0,109.0,412.0,402.0,41.0,900.0,65.0,40.0,61.5,25.0,38.5,521.0,3376.0,1684.0,61.0,41.0,11.0,42.0,23.0,581.0,102.0,25,1714,69,56.0,19.0,21,76.0,5,4,30.0,0,1.0,21,27,-6,-0.32,0.49,24.3,30.2,-5.9,-0.31,-0.02,0,9,19,2,61,16,0.0,0.0,0,107.0,3.0,12.0,20.0,27,Second Striker,1/9/1998,,Germany,VfB Stuttgart,1.81,right,7/19/2021,SC Paderborn 07,6/30/2025,4000000.0,https://www.transfermarkt.com/chris-fuhrich/profil/spieler/272278
9,2250,13616,Chris Fuhrich_2023_Stuttgart,1.3885160344921466,80.36,2023,Stuttgart,Bundesliga,Chris FÃƒÂ¼hrich,GER,"FW,MF",24,1998,33,21,1884,20.9,5,2,7,4,1,1,2,0,3.6,2.9,4.8,7.6,93.0,83.0,142.0,0.24,0.1,0.33,0.19,0.29,0.17,0.23,0.4,0.14,0.37,https://fbref.com/en/players/0cf778df/Chris-Fuhrich,20.9,5,43,13,30.2,2.05,0.62,0.09,0.31,18.5,0.0,1,1,0.07,1.4,1.1,552.0,704.0,78.4,8781.0,2032.0,300.0,342.0,87.7,195.0,236.0,82.6,43.0,78.0,55.1,4.8,3.5,-2.8,24.0,43.0,21.0,3.0,83.0,704.0,633.0,69.0,9.0,2.0,13.0,50,21.0,31.0,6.0,18.0,0.0,552.0,2.0,15.0,79.0,3.77,52.0,11.0,7.0,6.0,3.0,0.0,9.0,0.43,7.0,2.0,0.0,0.0,0.0,0.0,36.0,14,15.0,14.0,7.0,24.0,44.0,54.5,20.0,29.0,2.0,27.0,7,43.0,13.0,0.0,948.0,16.0,131.0,376.0,461.0,69.0,947.0,106.0,50.0,47.2,45.0,42.5,575.0,4471.0,2403.0,93.0,60.0,31.0,36.0,29.0,641.0,142.0,33,1884,57,61.6,20.9,21,72.0,1,12,31.0,0,0.91,27,35,-8,-0.38,-0.08,27.8,28.7,-0.9,-0.04,-0.3,0,6,10,3,50,14,0.0,0.0,0,104.0,3.0,10.0,23.1,27,Second Striker,1/9/1998,,Germany,,1.81,right,7/19/2021,SC Paderborn 07,6/30/2025,4000000.0,https://www.transfermarkt.com/chris-fuhrich/profil/spieler/272278
