Name,Year,Club,unique_ID,Role,Name_Year
Abdelhamid Sabiri,2022,Sampdoria,Abdelhamid Sabiri_2022_Sampdoria,attacking-midfield,Abdelhamid Sabiri_2022
Abdelhamid Sabiri,2023,Sampdoria,Abdelhamid Sabiri_2023_Sampdoria,attacking-midfield,Abdelhamid Sabiri_2023
Adam Lallana,2019,Liverpool,Adam Lallana_2019_Liverpool,attacking-midfield,Adam Lallana_2019
Adam Lallana,2021,Brighton,Adam Lallana_2021_Brighton,attacking-midfield,Adam Lallana_2021
Adam Lallana,2022,Brighton,Adam Lallana_2022_Brighton,attacking-midfield,Adam Lallana_2022
Adam Lallana,2023,Brighton,Adam Lallana_2023_Brighton,attacking-midfield,Adam Lallana_2023
Adrien Thomasson,2019,Strasbourg,Adrien Thomasson_2019_Strasbourg,attacking-midfield,Adrien Thomasson_2019
Adrien Thomasson,2020,Strasbourg,Adrien Thomasson_2020_Strasbourg,attacking-midfield,Adrien Thomasson_2020
Adrien Thomasson,2021,Strasbourg,Adrien Thomasson_2021_Strasbourg,attacking-midfield,Adrien Thomasson_2021
Adrien Thomasson,2022,Strasbourg,Adrien Thomasson_2022_Strasbourg,attacking-midfield,Adrien Thomasson_2022
Adrien Thomasson,2023,Lens,Adrien Thomasson_2023_Lens,attacking-midfield,Adrien Thomasson_2023
Adrien Thomasson,2023,Strasbourg,Adrien Thomasson_2023_Strasbourg,attacking-midfield,Adrien Thomasson_2023
Aiman Maurer,2023,Clermont Foot,Aiman Maurer_2023_Clermont Foot,attacking-midfield,Aiman Maurer_2023
Aimar Oroz,2023,Osasuna,Aimar Oroz_2023_Osasuna,attacking-midfield,Aimar Oroz_2023
Ajdin Hrustic,2022,Eint Frankfurt,Ajdin Hrustic_2022_Eint Frankfurt,attacking-midfield,Ajdin Hrustic_2022
Aleksandr Golovin,2019,Monaco,Aleksandr Golovin_2019_Monaco,attacking-midfield,Aleksandr Golovin_2019
Aleksandr Golovin,2020,Monaco,Aleksandr Golovin_2020_Monaco,attacking-midfield,Aleksandr Golovin_2020
Aleksandr Golovin,2021,Monaco,Aleksandr Golovin_2021_Monaco,attacking-midfield,Aleksandr Golovin_2021
Aleksandr Golovin,2022,Monaco,Aleksandr Golovin_2022_Monaco,attacking-midfield,Aleksandr Golovin_2022
Aleksandr Golovin,2023,Monaco,Aleksandr Golovin_2023_Monaco,attacking-midfield,Aleksandr Golovin_2023
Alex Baena,2023,Villarreal,Alex Baena_2023_Villarreal,attacking-midfield,Alex Baena_2023
Alex Iwobi,2020,Everton,Alex Iwobi_2020_Everton,attacking-midfield,Alex Iwobi_2020
Alex Iwobi,2021,Everton,Alex Iwobi_2021_Everton,attacking-midfield,Alex Iwobi_2021
Alex Iwobi,2022,Everton,Alex Iwobi_2022_Everton,attacking-midfield,Alex Iwobi_2022
Alex Iwobi,2023,Everton,Alex Iwobi_2023_Everton,attacking-midfield,Alex Iwobi_2023
Alexis Claude-Maurice,2020,Nice,Alexis Claude-Maurice_2020_Nice,attacking-midfield,Alexis Claude-Maurice_2020
Alexis Claude-Maurice,2021,Nice,Alexis Claude-Maurice_2021_Nice,attacking-midfield,Alexis Claude-Maurice_2021
Alexis Claude-Maurice,2023,Lens,Alexis Claude-Maurice_2023_Lens,attacking-midfield,Alexis Claude-Maurice_2023
Alexis Mac Allister,2021,Brighton,Alexis Mac Allister_2021_Brighton,attacking-midfield,Alexis Mac Allister_2021
Alexis Mac Allister,2022,Brighton,Alexis Mac Allister_2022_Brighton,attacking-midfield,Alexis Mac Allister_2022
Alexis Mac Allister,2023,Brighton,Alexis Mac Allister_2023_Brighton,attacking-midfield,Alexis Mac Allister_2023
Amine Harit,2019,Schalke 04,Amine Harit_2019_Schalke 04,attacking-midfield,Amine Harit_2019
Amine Harit,2020,Schalke 04,Amine Harit_2020_Schalke 04,attacking-midfield,Amine Harit_2020
Amine Harit,2021,Schalke 04,Amine Harit_2021_Schalke 04,attacking-midfield,Amine Harit_2021
Amine Harit,2022,Marseille,Amine Harit_2022_Marseille,attacking-midfield,Amine Harit_2022
Amine Harit,2023,Marseille,Amine Harit_2023_Marseille,attacking-midfield,Amine Harit_2023
Andreas Pereira,2019,Manchester Utd,Andreas Pereira_2019_Manchester Utd,attacking-midfield,Andreas Pereira_2019
Andreas Pereira,2020,Manchester Utd,Andreas Pereira_2020_Manchester Utd,attacking-midfield,Andreas Pereira_2020
Andreas Pereira,2023,Fulham,Andreas Pereira_2023_Fulham,attacking-midfield,Andreas Pereira_2023
Angel Gomes,2022,Lille,Angel Gomes_2022_Lille,attacking-midfield,Angel Gomes_2022
Angel Gomes,2023,Lille,Angel Gomes_2023_Lille,attacking-midfield,Angel Gomes_2023
Angelo Fulgini,2019,Angers,Angelo Fulgini_2019_Angers,attacking-midfield,Angelo Fulgini_2019
Angelo Fulgini,2020,Angers,Angelo Fulgini_2020_Angers,attacking-midfield,Angelo Fulgini_2020
Angelo Fulgini,2021,Angers,Angelo Fulgini_2021_Angers,attacking-midfield,Angelo Fulgini_2021
Angelo Fulgini,2022,Angers,Angelo Fulgini_2022_Angers,attacking-midfield,Angelo Fulgini_2022
Angelo Fulgini,2023,Lens,Angelo Fulgini_2023_Lens,attacking-midfield,Angelo Fulgini_2023
Angelo Fulgini,2023,Mainz 05,Angelo Fulgini_2023_Mainz 05,attacking-midfield,Angelo Fulgini_2023
Antonin Barak,2020,Lecce,Antonin Barak_2020_Lecce,attacking-midfield,Antonin Barak_2020
Antonin Barak,2021,Hellas Verona,Antonin Barak_2021_Hellas Verona,attacking-midfield,Antonin Barak_2021
Antonin Barak,2022,Hellas Verona,Antonin Barak_2022_Hellas Verona,attacking-midfield,Antonin Barak_2022
Antonin Barak,2023,Fiorentina,Antonin Barak_2023_Fiorentina,attacking-midfield,Antonin Barak_2023
Benjamin Corgnet,2019,Strasbourg,Benjamin Corgnet_2019_Strasbourg,attacking-midfield,Benjamin Corgnet_2019
Bernardo Silva,2019,Manchester City,Bernardo Silva_2019_Manchester City,attacking-midfield,Bernardo Silva_2019
Bernardo Silva,2020,Manchester City,Bernardo Silva_2020_Manchester City,attacking-midfield,Bernardo Silva_2020
Bernardo Silva,2021,Manchester City,Bernardo Silva_2021_Manchester City,attacking-midfield,Bernardo Silva_2021
Bernardo Silva,2022,Manchester City,Bernardo Silva_2022_Manchester City,attacking-midfield,Bernardo Silva_2022
Bernardo Silva,2023,Manchester City,Bernardo Silva_2023_Manchester City,attacking-midfield,Bernardo Silva_2023
Brahim Diaz,2019,Real Madrid,Brahim Diaz_2019_Real Madrid,attacking-midfield,Brahim Diaz_2019
Brahim Diaz,2021,Milan,Brahim Diaz_2021_Milan,attacking-midfield,Brahim Diaz_2021
Brahim Diaz,2022,Milan,Brahim Diaz_2022_Milan,attacking-midfield,Brahim Diaz_2022
Brahim Diaz,2023,Milan,Brahim Diaz_2023_Milan,attacking-midfield,Brahim Diaz_2023
Brais Mendez,2019,Celta Vigo,Brais Mendez_2019_Celta Vigo,attacking-midfield,Brais Mendez_2019
Brais Mendez,2020,Celta Vigo,Brais Mendez_2020_Celta Vigo,attacking-midfield,Brais Mendez_2020
Brais Mendez,2021,Celta Vigo,Brais Mendez_2021_Celta Vigo,attacking-midfield,Brais Mendez_2021
Brais Mendez,2022,Celta Vigo,Brais Mendez_2022_Celta Vigo,attacking-midfield,Brais Mendez_2022
